Geneid,Apical_1,Apical_2,Middle_1,Middle_2,Basal_1,Basal_2
FBgn0267431,28,30,25,40,36,5
FBgn0085804,0,0,0,0,0,0
FBgn0039987,0,0,0,0,0,0
FBgn0267798,0,3,0,0,1,0
FBgn0267797,16,60,14,18,10,4
FBgn0058182,27,28,9,8,5,0
FBgn0267430,193,338,166,229,145,57
FBgn0266747,23,60,40,50,36,8
FBgn0086917,0,0,0,0,0,0
FBgn0010247,1287,1876,269,304,258,142
FBgn0086378,186,338,52,86,89,63
FBgn0267816,17,44,101,116,116,53
FBgn0263977,426,742,248,274,297,185
FBgn0069923,36,98,14,14,24,8
FBgn0039955,739,1084,395,504,384,199
FBgn0259821,35,38,25,30,44,14
FBgn0027341,8,20,10,23,16,16
FBgn0085812,40,68,36,52,53,16
FBgn0058198,1,0,0,0,0,0
FBgn0037213,6,4,0,4,2,8
FBgn0053294,0,6,0,6,7,0
FBgn0000500,0,2,0,3,1,0
FBgn0037215,117,168,66,100,126,67
FBgn0037217,6,10,10,11,50,36
FBgn0037218,863,1346,418,626,711,284
FBgn0051516,7,12,34,31,455,315
FBgn0261436,67,100,91,102,128,47
FBgn0037220,787,1229,368,503,453,193
FBgn0015331,679,1151,299,398,425,162
FBgn0010225,171,248,122,227,296,112
FBgn0267988,10,21,27,23,17,5
FBgn0037222,313,459,164,207,173,65
FBgn0085334,5,12,2,10,5,2
FBgn0037223,3,4,1,0,0,0
FBgn0037224,0,0,4,0,0,0
FBgn0037225,4,12,2,16,6,4
FBgn0250821,760,1105,1098,1583,1462,472
FBgn0037227,14,9,12,16,14,8
FBgn0041621,0,0,0,0,0,0
FBgn0037228,135,207,122,172,113,48
FBgn0037229,70,145,167,273,283,108
FBgn0267157,0,0,0,0,0,0
FBgn0041605,47,65,52,64,76,54
FBgn0037230,88,123,61,133,93,31
FBgn0262214,0,0,0,0,0,0
FBgn0037231,19,20,9,17,21,9
FBgn0027930,0,0,0,0,0,0
FBgn0267815,0,2,0,5,0,0
FBgn0037232,212,310,97,84,64,30
FBgn0261086,258,456,67,86,49,30
FBgn0037234,437,684,457,734,841,246
FBgn0027866,1329,2029,985,1615,1690,636
FBgn0037236,119,140,16,44,24,2
FBgn0040687,0,0,0,0,0,0
FBgn0037235,409,608,105,133,103,33
FBgn0261434,10,2,2,10,2,4
FBgn0037238,11,26,12,16,16,11
FBgn0266227,1,0,1,3,2,0
FBgn0037239,1696,2379,2370,3662,3871,1360
FBgn0037240,878,1305,388,574,849,489
FBgn0003882,254,383,73,125,91,24
FBgn0037241,95,206,45,61,59,28
FBgn0086608,0,2,1,0,0,0
FBgn0267814,4,16,3,4,8,0
FBgn0267661,0,0,3,0,0,0
FBgn0037242,300,449,323,460,360,165
FBgn0086605,978,1417,625,901,864,349
FBgn0037244,205,264,60,94,74,45
FBgn0266697,6,0,2,0,0,2
FBgn0263594,5591,8896,1505,2095,1305,506
FBgn0052944,342,512,427,502,671,217
FBgn0051528,1457,2104,1263,1727,1152,365
FBgn0037248,312,345,67,72,68,25
FBgn0051525,788,1272,742,1146,1114,368
FBgn0037249,2989,4654,1500,2108,1756,737
FBgn0037250,36,48,21,24,35,5
FBgn0267813,0,0,0,0,0,0
FBgn0037251,6,6,3,6,7,3
FBgn0264983,0,0,0,0,0,0
FBgn0037252,1135,1896,444,594,386,168
FBgn0051522,40,58,26,38,50,42
FBgn0263620,4,3,6,6,0,0
FBgn0051523,2302,3757,2787,4092,4092,1498
FBgn0037254,782,1173,839,1113,914,394
FBgn0037255,241,278,60,120,95,46
FBgn0085386,27,38,19,40,46,17
FBgn0085454,1653,2392,2277,3260,3058,1103
FBgn0051526,67,123,144,211,217,86
FBgn0037260,6,17,4,2,0,2
FBgn0052945,432,647,561,882,925,388
FBgn0267118,13,14,25,28,24,13
FBgn0265376,0,1,0,0,6,2
FBgn0087012,39,81,40,79,62,31
FBgn0267233,1,0,2,0,0,0
FBgn0037261,674,1011,202,259,214,100
FBgn0286036,0,0,0,0,0,0
FBgn0037263,19,12,8,12,6,2
FBgn0037262,900,1371,296,389,279,128
FBgn0040466,94,121,26,34,27,8
FBgn0022981,160,308,135,202,177,88
FBgn0265038,8,18,10,29,18,5
FBgn0087013,5365,8030,5300,7976,8163,3140
FBgn0037265,53,67,19,39,93,81
FBgn0263346,567,913,404,509,631,345
FBgn0265039,46,113,127,142,116,29
FBgn0265040,31,49,65,101,76,24
FBgn0053927,0,0,1,1,0,0
FBgn0037270,365,485,105,157,234,103
FBgn0266228,0,0,0,0,0,0
FBgn0027570,93,91,96,127,404,277
FBgn0026620,1850,2843,933,1268,1196,526
FBgn0267812,0,0,0,3,0,0
FBgn0283546,0,1,0,1,0,0
FBgn0010750,501,818,169,312,290,74
FBgn0264907,12,23,25,32,26,44
FBgn0264897,76,129,109,90,74,42
FBgn0037275,48,52,20,20,27,9
