Gene_ID,Spermatogonia_Rep_1,Spermatogonia_Rep_2,Spermatogonia_Rep_3,Spermatocytes_Rep_1,Spermatocytes_Rep_2,Spermatocytes_Rep_3,Spermatids_Rep_1,Spermatids_Rep_2,Spermatids_Rep_3
ENSMUSG00000102693,0,0,0,0,0,1,13,18,10
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,76,91,99,0,0,0,0,0,0
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,2,2,2,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,0,1,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,1,0,0,1,1
ENSMUSG00000025900,96,102,109,840,1004,1273,216,451,450
ENSMUSG00000102948,0,0,0,1,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,221,240,277,253,443,557,208,385,382
ENSMUSG00000104238,0,0,0,11,7,7,5,7,10
ENSMUSG00000102269,3,0,2,0,0,0,0,1,0
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,8,10,14,34,42,46
ENSMUSG00000102735,0,1,1,4,6,6,10,11,18
ENSMUSG00000098104,115,156,148,123,169,179,45,79,86
ENSMUSG00000102175,1,0,0,0,1,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0
ENSMUSG00000103922,7,18,13,11,16,6,6,18,8
ENSMUSG00000033845,468,482,526,427,541,658,284,452,539
ENSMUSG00000102275,2,0,2,2,5,1,1,1,2
ENSMUSG00000025903,459,467,468,290,336,420,122,253,227
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,2000,2094,2424,352,373,423,786,1290,1429
ENSMUSG00000062588,98,121,119,0,4,4,4,8,6
ENSMUSG00000103280,3,3,4,0,0,0,0,0,0
ENSMUSG00000002459,34,34,52,0,0,0,1,4,2
ENSMUSG00000091305,0,0,0,0,0,0,0,0,1
ENSMUSG00000102653,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,2,3,2
ENSMUSG00000033793,2861,3072,3417,2525,2914,3732,493,880,901
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,1,0,0,1,0,1,0,1,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,4670,4807,5744,25462,29226,36145,12103,21678,22397
ENSMUSG00000090031,59,56,91,4,12,15,7,8,6
ENSMUSG00000087247,0,3,0,1,0,0,0,0,0
ENSMUSG00000103355,0,3,0,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,284,405,520,203,356,413
ENSMUSG00000103845,24,42,37,80,165,189,216,322,338
ENSMUSG00000033740,9,9,11,1,4,7,14,17,18
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,1,1,0,0,0,0,0,0
ENSMUSG00000102135,2,2,4,1,2,2,0,0,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,671,644,771,43,53,55,13,21,28
ENSMUSG00000098201,6,13,13,3,2,0,0,1,0
ENSMUSG00000103509,13,13,12,1,2,0,0,0,0
ENSMUSG00000048538,2,5,4,3,3,1,2,4,1
ENSMUSG00000103709,0,0,1,0,1,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,5,8,14,24,20,39,12,26,26
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,63,49,51,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,2,1,0,0,0
ENSMUSG00000103903,0,1,0,0,1,1,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,5,0,5,20,32,32,74,151,151
ENSMUSG00000102647,0,0,0,0,0,0,0,0,1
ENSMUSG00000086235,1,1,0,1,0,2,0,1,2
ENSMUSG00000102253,0,0,0,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,1,0,0,0,0,0,0
ENSMUSG00000084353,1,1,1,4,0,10,2,0,0
ENSMUSG00000103933,36,40,42,11,11,22,7,11,14
ENSMUSG00000076135,1,0,0,0,0,0,0,0,0
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,1,0,0,0,1
ENSMUSG00000066693,0,0,0,0,0,0,0,0,0
