"","Mitotic_Cells","Pre_Mitotic_Cells"
"ENSG00000227232.5",300,267
"ENSG00000279457.4",283,196
"ENSG00000225972.1",355,217
"ENSG00000225630.1",43788,32352
"ENSG00000237973.1",72848,44272
"ENSG00000229344.1",534,220
"ENSG00000248527.1",123438,80768
"ENSG00000198744.5",792,404
"ENSG00000228327.3",653,319
"ENSG00000237491.8",161,73
"ENSG00000228794.8",3115,1876
"ENSG00000230699.2",362,244
"ENSG00000223764.2",851,537
"ENSG00000187634.11",3855,2506
"ENSG00000188976.10",36964,22707
"ENSG00000187961.13",1843,1447
"ENSG00000187583.10",1089,863
"ENSG00000187642.9",265,228
"ENSG00000188290.10",216,308
"ENSG00000187608.8",3756,2553
"ENSG00000188157.14",34765,26598
"ENSG00000217801.9",635,529
"ENSG00000131591.17",2420,1492
"ENSG00000078808.16",33957,21659
"ENSG00000176022.4",7693,5261
"ENSG00000184163.3",147,72
"ENSG00000160087.20",13497,8342
"ENSG00000162572.20",312,201
"ENSG00000131584.18",8599,6124
"ENSG00000169972.11",3542,2494
"ENSG00000127054.20",12723,8242
"ENSG00000240731.1",440,268
"ENSG00000224051.6",4102,2357
"ENSG00000169962.4",634,326
"ENSG00000107404.19",25382,16161
"ENSG00000162576.16",844,368
"ENSG00000175756.13",16650,11040
"ENSG00000221978.11",14943,11664
"ENSG00000224870.6",3154,1720
"ENSG00000242485.5",15566,9779
"ENSG00000272455.1",1095,462
"ENSG00000160072.19",15365,8862
"ENSG00000284740.1",153,67
"ENSG00000197785.13",19957,13168
"ENSG00000160075.11",22423,12560
"ENSG00000228594.3",3117,2242
"ENSG00000272106.1",370,181
"ENSG00000197530.12",5411,3579
"ENSG00000248333.8",8429,5501
"ENSG00000189339.11",5865,3830
"ENSG00000269737.2",114,102
"ENSG00000008128.22",184,111
"ENSG00000215790.7",958,663
"ENSG00000008130.15",12030,7404
"ENSG00000078369.17",79003,45820
"ENSG00000067606.16",3519,2435
"ENSG00000182873.5",262,189
"ENSG00000162585.16",3618,2596
"ENSG00000157933.9",12311,8421
"ENSG00000116151.13",889,611
"ENSG00000157916.19",16792,10927
"ENSG00000157911.9",3325,2029
"ENSG00000157881.13",331,68
"ENSG00000130762.14",4264,3085
"ENSG00000162591.15",2768,2073
"ENSG00000158109.14",5268,3808
"ENSG00000116213.15",3790,2640
"ENSG00000227372.11",2951,1691
"ENSG00000130764.9",13002,8379
"ENSG00000116198.12",9673,6070
"ENSG00000169598.15",1492,1028
"ENSG00000198912.10",5633,2830
"ENSG00000131697.17",1887,1451
"ENSG00000069424.14",11048,8300
"ENSG00000116254.17",221,156
"ENSG00000116251.9",58535,33249
"ENSG00000158286.12",2305,2771
"ENSG00000116237.15",23525,13793
"ENSG00000225077.2",189,129
"ENSG00000158292.6",1178,779
"ENSG00000097021.19",6575,4419
"ENSG00000069812.11",312,237
"ENSG00000215788.9",605,383
"ENSG00000171680.21",2312,1387
"ENSG00000162408.10",10830,6945
"ENSG00000204859.12",2396,1565
"ENSG00000162413.16",14018,7108
"ENSG00000116273.5",2749,1332
"ENSG00000041988.15",1502,893
"ENSG00000007923.15",16057,8961
"ENSG00000171735.18",2721,1881
"ENSG00000049245.12",14836,10049
"ENSG00000049246.14",631,558
"ENSG00000116288.12",28062,17972
"ENSG00000116285.12",3194,2606
"ENSG00000142599.17",12822,8884
"ENSG00000074800.14",424603,267913
"ENSG00000180758.11",3248,2080
"ENSG00000228526.7",421,304
"ENSG00000049239.12",1349,853
"ENSG00000171621.13",3850,2497
"ENSG00000171612.6",3775,2013
"ENSG00000188807.12",7222,5029
"ENSG00000171608.15",4951,3613
"ENSG00000171603.16",27513,16765
"ENSG00000178585.14",668,455
"ENSG00000162441.11",4459,2848
"ENSG00000173614.13",1748,745
"ENSG00000130939.18",18924,11071
"ENSG00000054523.17",20434,13106
"ENSG00000142657.20",36235,23235
"ENSG00000175279.21",354,292
"ENSG00000160049.11",21440,13380
"ENSG00000142655.12",3457,1685
"ENSG00000130940.14",341,218
"ENSG00000120948.16",22720,12834
"ENSG00000009724.16",191,82
"ENSG00000116649.9",29852,19840
"ENSG00000171824.13",15076,9244
"ENSG00000198793.12",34431,20862
"ENSG00000120942.13",4580,3671
"ENSG00000116661.10",498,312
"ENSG00000132879.13",332,189
"ENSG00000116670.14",6918,5449
"ENSG00000177674.15",4139,2635
"ENSG00000177000.11",1062,757
"ENSG00000011021.21",2056,1203
"ENSG00000116685.15",11026,6848
"ENSG00000083444.16",39482,24816
