id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0261399,Pp1-Y1,protein_coding,-8.983380291,3.870553996,618.9016351,8.37E-10,1.08E-08,28.96641327,26.06214846,27.8665823,0.100468916,0.013457835,0.038676028,16.72750123,15.63896109,16.51321751
FBgn0263405,lncRNA:CR43451,ncRNA,-7.592918117,3.166063042,197.7200962,2.24E-06,7.61E-06,25.42419328,30.41754794,23.58332269,0.18658513,0.114391594,0.077352056,0.278791687,0.166879158,0
FBgn0264570,lncRNA:CR43942,ncRNA,-6.748440557,3.694020269,479.1977068,2.52E-09,2.52E-08,35.63981065,38.95272594,39.68363846,0.416228366,0.316259114,0.309408224,0.39495489,0.119199399,0.095728797
FBgn0053300,Muc30E,protein_coding,-6.550101948,4.180869419,261.1690052,8.36E-07,3.22E-06,54.47523297,55.58402957,49.77384688,0.746340518,0.57868689,0.270732196,0.673746577,0.190719038,0.33505079
FBgn0034563,CG15649,protein_coding,-6.504700114,2.112379897,28.15425002,0.001638404,0.002919115,12.35545675,9.536217395,13.08679715,0.114821618,0.114391594,0.174042126,2.857614793,0.166879158,0.119660996
FBgn0286914,lncRNA:CR46414,ncRNA,-6.197137924,3.335585182,2115.084275,2.98E-16,3.99E-12,12.25874084,13.06619842,11.19065061,0.165056076,0.168222933,0.154704112,19.21339377,17.28391279,18.18847146
FBgn0265368,lncRNA:CR44309,ncRNA,-5.975137491,2.974965338,411.5749656,1.38E-09,1.61E-08,19.22228594,21.91749412,23.07542629,0.452110122,0.269156693,0.270732196,2.462659903,1.239673745,1.483796356
FBgn0265444,lncRNA:CR44344,ncRNA,-5.963835424,3.632713417,436.8162114,2.17E-09,2.25E-08,18.58154307,29.50431901,21.39936818,0.495168228,0.235512106,0.38676028,14.70626149,12.73049576,13.95247218
FBgn0265585,lncRNA:CR44412,ncRNA,-5.814461755,4.063402432,176.1034056,4.38E-06,1.38E-05,50.77584964,45.6263219,45.01655063,1.284566853,0.780554409,0.29007021,2.021239731,1.811830858,2.297491131
FBgn0266380,lncRNA:CR45022,ncRNA,-5.760687626,1.070107432,277.4289953,3.38E-10,5.70E-09,5.150121892,6.585785494,6.382564718,0.121997969,0.074018091,0.154704112,0,0.047679759,0
FBgn0058053,lncRNA:CR40053,ncRNA,-5.752172872,3.301568166,309.6730169,3.66E-08,2.13E-07,25.66598304,34.7905095,24.95464296,0.775045923,0.363361535,0.406098295,0.487885452,0.286078556,0.502576185
FBgn0264431,lncRNA:CR43849,ncRNA,-5.661458499,2.963764723,137.9536099,7.00E-06,2.08E-05,19.94765522,22.49704325,25.1747314,0.688929709,0.20186752,0.444774323,0.418187531,0.143039278,0.191457594
FBgn0085336,CG34307,protein_coding,-5.555785097,2.300828706,203.140266,1.89E-07,8.83E-07,12.95993115,14.62922484,14.15337959,0.430581068,0.17495185,0.270732196,0.696979218,0.333758316,0.239321993
FBgn0262604,lncRNA:CR43130,ncRNA,-5.345496476,3.607056136,615.7169216,1.29E-11,7.08E-10,33.16146561,40.28744513,30.49071368,1.033394564,0.726723071,0.773520561,1.208097311,0.691356512,0.765830377
FBgn0040725,CG13946,protein_coding,-5.308236829,4.191923994,105.5209275,3.33E-05,8.45E-05,45.00916386,57.76172931,50.53569147,2.066789127,1.042982185,0.599478435,1.57981956,3.480622437,1.938508142
FBgn0264429,lncRNA:CR43847,ncRNA,-5.264158527,4.003528413,409.8937032,4.95E-09,4.25E-08,42.80887704,46.38149197,49.57068832,1.715147922,0.874759252,0.966900701,0.604048655,0.476797594,0.382915189
FBgn0040629,CAH5,protein_coding,-5.250064787,4.2649036,125.4622234,1.78E-05,4.83E-05,59.15386483,46.59223711,51.92394162,1.944791158,1.285223208,0.773520561,2.230333497,5.602371731,2.967592712
FBgn0264369,lncRNA:CR43821,ncRNA,-5.075503326,3.017727798,807.7325425,1.88E-13,8.77E-11,20.80600886,22.02286669,21.07770046,0.69610606,0.531584468,0.676830491,1.695982763,2.717746287,2.297491131
FBgn0264705,lncRNA:CR43974,ncRNA,-5.060883777,3.692743442,424.109266,1.06E-09,1.31E-08,35.796974,36.93308505,36.12836368,1.442446578,0.794012244,1.005576729,1.254562592,1.59727194,0.885491374
FBgn0052457,CG32457,protein_coding,-5.051895535,5.814478672,78.09086338,9.72E-05,0.00022287,145.3277354,137.8975672,162.1205298,7.664343013,2.967452539,2.475265795,9.246590955,22.45716668,15.91491253
FBgn0036679,CG13022,protein_coding,-5.047577755,2.237493843,871.745193,1.13E-13,6.49E-11,12.99619961,14.71703532,11.29222989,0.38034661,0.444108543,0.328746238,0.604048655,0.548317233,0.67010158
FBgn0264697,lncRNA:CR43966,ncRNA,-5.011683715,1.275795026,80.04139427,1.77E-05,4.79E-05,6.661307893,6.585785494,7.229058713,0.200937832,0.181680768,0.270732196,0.209093765,0,0
FBgn0032110,CG3748,protein_coding,-4.985531701,7.110529069,158.1363751,9.76E-06,2.82E-05,293.2547107,350.9960237,308.6825,15.90279412,6.903869171,6.961685049,86.84361053,99.45997814,74.62059737
FBgn0053301,CG33301,protein_coding,-4.963082763,1.578644446,74.06376194,4.00E-05,9.97E-05,5.10176394,8.359557054,10.61503469,0.236819587,0.27588561,0.251394182,1.208097311,0.262238677,0.33505079
