id,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3
FBgn0266380,lncRNA:CR45022,ncRNA,-8.432663453,1.070107432,300.6389622,2.04E-10,7.14E-09,5.150121892,6.585785494,6.382564718,0.121997969,0.074018091,0.154704112,0,0.047679759,0
FBgn0264570,lncRNA:CR43942,ncRNA,-7.528085749,3.694020269,476.7421669,2.58E-09,4.26E-08,35.63981065,38.95272594,39.68363846,0.416228366,0.316259114,0.309408224,0.39495489,0.119199399,0.095728797
FBgn0263405,lncRNA:CR43451,ncRNA,-7.450982207,3.166063042,169.2197703,3.79E-06,1.70E-05,25.42419328,30.41754794,23.58332269,0.18658513,0.114391594,0.077352056,0.278791687,0.166879158,0
FBgn0053300,Muc30E,protein_coding,-7.04591756,4.180869419,255.1357597,9.06E-07,5.04E-06,54.47523297,55.58402957,49.77384688,0.746340518,0.57868689,0.270732196,0.673746577,0.190719038,0.33505079
FBgn0264914,lncRNA:CR44105,ncRNA,-6.80484465,2.908231973,656.7140327,3.29E-12,4.32E-10,24.97688223,20.31934351,18.74137704,1.040570915,0.666162815,0.580140421,0.185861125,0.238398797,0.143593196
FBgn0265455,CG44355,protein_coding,-6.704116874,3.996412094,530.7786582,1.15E-09,2.45E-08,41.90216544,48.38357076,43.272773,2.90642221,2.355121062,2.939378132,0.650513937,0.190719038,0.430779587
FBgn0264429,lncRNA:CR43847,ncRNA,-6.559636594,4.003528413,495.7161485,2.07E-09,3.64E-08,42.80887704,46.38149197,49.57068832,1.715147922,0.874759252,0.966900701,0.604048655,0.476797594,0.382915189
FBgn0264697,lncRNA:CR43966,ncRNA,-6.557461429,1.275795026,90.21179976,1.13E-05,4.37E-05,6.661307893,6.585785494,7.229058713,0.200937832,0.181680768,0.270732196,0.209093765,0,0
FBgn0264431,lncRNA:CR43849,ncRNA,-6.473295887,2.963764723,144.2111028,6.02E-06,2.54E-05,19.94765522,22.49704325,25.1747314,0.688929709,0.20186752,0.444774323,0.418187531,0.143039278,0.191457594
FBgn0058053,lncRNA:CR40053,ncRNA,-6.057311834,3.301568166,300.5144697,4.16E-08,3.91E-07,25.66598304,34.7905095,24.95464296,0.775045923,0.363361535,0.406098295,0.487885452,0.286078556,0.502576185
FBgn0264485,lncRNA:CR43893,ncRNA,-5.86453076,2.477892326,1058.745363,3.09E-14,2.88E-11,13.66112145,16.68398992,15.42312058,1.026218212,1.096813523,0.928224673,0.325256968,0.214558917,0.239321993
FBgn0085303,CG34274,protein_coding,-5.863184363,3.822781441,787.9786401,1.24E-12,2.61E-10,37.19935461,37.63556884,43.72987975,2.411253982,1.709145,2.049829487,0.929305624,0.524477354,0.574372783
