id,gene,logFC,logCPM,F,PValue,FDR,13__13_S13,14__14_S14,15__15_S15,Wyr_34_S2,Wyr_53_S5
ENSG00000186118,TEX38,-6.601579879,6.103733996,276.8166209,1.62E-06,0.006744288,6.947292176,6.580953142,6.93153105,0.097324006,0.683947989
ENSG00000228075,BOD1L2,-6.533452034,8.130424381,53.81104427,0.000255135,0.008938513,9.066009443,8.560162485,8.898961169,0.511733341,3.156762975
ENSG00000186143,PRR30,-6.329343369,5.989816477,224.4754141,3.38E-06,0.006744288,7.04961259,6.292800056,6.699880757,0.418749591,0.683947989
ENSG00000152503,TRIM36,-6.199294847,7.163907084,83.63926084,7.03E-05,0.006747405,8.077789668,7.657385855,7.895962238,0.511733341,2.419960781
ENSG00000140932,CMTM2,-6.128874278,7.263370679,89.35088152,5.77E-05,0.006747405,8.21489451,7.817580104,7.89432436,0.759363207,2.55742717
ENSG00000124449,IRGC,-5.980127468,5.784957836,235.1658339,2.65E-06,0.006744288,6.660273778,6.343141025,6.494678822,0.970650804,0.321766627
ENSG00000124678,TCP11,-5.451548148,7.916883222,23.73892366,0.002398874,0.020551191,8.876530364,8.518725921,8.464094352,0.31935751,4.105245705
ENSG00000165309,ARMC3,-5.316723645,5.487113372,92.13262151,5.27E-05,0.006747405,6.394089871,6.121015266,6.056881284,0.097324006,1.557798476
ENSG00000177673,TEX44,-5.17647389,5.314335386,130.4542724,1.85E-05,0.006744288,6.342900317,5.707839744,5.945302682,0.511733341,1.320891865
ENSG00000225630,MTND2P28,-5.170114584,8.53950527,37.05062138,0.000730271,0.011993971,9.316661579,9.125657314,9.299359074,2.210867536,4.88342312
ENSG00000196911,KPNA5,-5.15232697,5.326199543,83.57933975,7.04E-05,0.006747405,6.294886784,5.919568286,5.847121755,0.097324006,1.557798476
ENSG00000104901,DKKL1,-5.119712371,5.814699121,132.0343468,1.78E-05,0.006744288,6.875936579,6.328705977,6.285674972,1.034721517,1.835202505
ENSG00000168454,TXNDC2,-5.093814605,5.336051128,78.10983091,8.60E-05,0.006926818,6.38936727,5.649669144,5.995055974,1.598197947,0.214985955
ENSG00000205301,MGAT4D,-5.053935086,5.08345765,128.1595063,1.95E-05,0.006744288,5.956860414,5.808366178,5.577296518,0.31935751,1.268456853
ENSG00000164972,C9orf24,-4.959627017,4.69254367,129.5370951,1.84E-05,0.006744288,5.741530841,4.880521492,5.437340058,0.681448894,0.514193064
ENSG00000240204,SMKR1,-4.942536672,5.254393861,78.1584846,8.59E-05,0.006926818,6.151641733,5.700383973,5.986882001,0.212607971,1.68326748
ENSG00000124721,DNAH8,-4.901902992,7.460367194,20.15518631,0.003633306,0.025689101,8.411318082,8.160942337,7.872860991,0.418749591,4.185207161
ENSG00000168594,ADAM29,-4.842825037,5.906284253,65.35713553,0.000145289,0.007665895,6.954770269,6.44777427,6.347630971,2.417241012,0.835815006
ENSG00000137473,TTC29,-4.804086687,5.710410815,55.93645063,0.000228225,0.008667927,6.440484616,6.414745561,6.379201174,0.418749591,2.345981698
ENSG00000122644,ARL4A,-4.740358286,5.863166799,85.12423245,6.67E-05,0.006747405,6.670690741,6.44182502,6.56774254,1.034721517,2.419960781
ENSG00000145491,ROPN1L,-4.69234244,6.638566625,28.75369499,0.001452027,0.016132219,7.660951203,7.122873139,7.165890401,0.681448894,3.490136128
ENSG00000170777,TPD52L3,-4.631553886,6.345508543,63.30349323,0.000159465,0.007822147,7.419819959,6.769701578,6.849381785,1.510790582,3.020725667
ENSG00000121058,COIL,-4.623484905,7.084779421,20.89104367,0.003321165,0.02451891,8.016324524,7.5229597,7.76645735,0.599085301,4.059687203
ENSG00000106013,ANKRD7,-4.615786477,8.450636062,39.47986238,0.000612508,0.011343721,9.408215989,9.046765441,8.949521557,3.017973653,5.2676059
ENSG00000155542,SETD9,-4.569929393,4.574254105,160.4097787,8.72E-06,0.006744288,5.455568097,5.115424773,5.210439725,0.599085301,1.03728911
ENSG00000092850,TEKT2,-4.563998298,5.344608946,110.4055429,3.06E-05,0.006744288,6.253906281,5.754185375,6.066609588,1.034721517,1.939496423
ENSG00000042813,ZPBP,-4.549340025,5.58421056,35.91503346,0.000795606,0.012368753,6.616490596,6.077551768,6.072415238,0.212607971,2.535406577
ENSG00000264940,SNORD3C,-4.544496911,10.64135764,104.0877563,3.65E-05,0.006747405,10.70574253,11.44879052,11.68764417,6.45970445,7.067266801
ENSG00000125409,TEKT3,-4.515896703,4.440704831,145.6857059,1.18E-05,0.006744288,5.443469017,4.889291631,5.003176627,0.681448894,0.835815006
ENSG00000101746,NOL4,-4.443723167,4.566521156,110.5292261,2.98E-05,0.006744288,5.422048353,4.928110572,5.369796801,0.511733341,1.268456853
ENSG00000151743,AMN1,-4.431326591,3.979127779,123.2775856,2.00E-05,0.006744288,4.939655647,4.482975116,4.533062145,0.097324006,0.683947989
ENSG00000112214,FHL5,-4.414093163,5.634756532,68.89294364,0.000124534,0.007413509,6.537586968,6.071784846,6.329968303,1.096067404,2.513044655
ENSG00000188738,FSIP2,-4.410087098,8.357430794,123.1418233,2.20E-05,0.006744288,9.269037737,8.935528382,8.916281307,4.094966979,5.048003104
ENSG00000137948,BRDT,-4.394509599,7.538161094,222.2316143,3.15E-06,0.006744288,8.525840414,8.057748334,8.052487323,3.840951636,3.861540198
ENSG00000198938,MT-CO3,-4.393877518,10.69294009,16.04087172,0.006334812,0.03495693,11.07498976,11.21093502,11.77085476,4.189474605,7.885535954
ENSG00000154479,CCDC173,-4.371653177,5.063463604,67.95101275,0.00012966,0.007574759,6.065452253,5.426847659,5.692355644,0.681448894,1.972650334
ENSG00000132141,CCT6B,-4.361860206,6.726270329,47.3815685,0.000366892,0.009611805,7.69068571,7.314936811,7.196339539,1.868135557,3.731994695
ENSG00000205108,FAM205A,-4.35572187,5.898117663,120.9620277,2.32E-05,0.006744288,6.961149355,6.254281362,6.452264913,2.00237121,2.513044655
ENSG00000237973,MTCO1P12,-4.309837551,8.977822887,15.10866024,0.007293609,0.038122078,9.612149591,9.60227638,9.779383361,2.34326691,6.270913173
ENSG00000198840,MT-ND3,-4.298729339,6.783651687,89.66418834,5.71E-05,0.006747405,7.788985511,7.035700913,7.493239431,2.639561557,3.600304741
ENSG00000111644,ACRBP,-4.2922686,7.569069693,50.60014999,0.000304296,0.009142459,8.478450578,8.097079523,8.167249005,2.814010155,4.616038603
ENSG00000151005,TKTL2,-4.27556553,6.333839883,23.7816664,0.00238778,0.020507606,7.249601888,6.973140813,6.804740963,0.681448894,3.600304741
ENSG00000205853,RFPL3S,-4.265867132,4.281438571,125.3904227,1.87E-05,0.006744288,5.217002137,4.561891356,5.039196208,0.903601908,0.761878883
ENSG00000173868,PHOSPHO1,-4.236852498,5.051149709,102.9109968,3.78E-05,0.006747405,5.977984849,5.390244758,5.777747653,1.902883447,1.157498132
ENSG00000065371,ROPN1,-4.227602812,5.661046596,96.33336568,4.61E-05,0.006747405,6.632565911,6.245769889,6.106766906,1.639992762,2.55742717
ENSG00000170967,DDI1,-4.224674355,4.494711749,149.7250568,1.08E-05,0.006744288,5.259029125,4.889291631,5.344429881,1.096067404,1.03728911
ENSG00000121380,BCL2L14,-4.208633695,4.575003422,74.81269644,9.77E-05,0.00712546,5.585118821,5.014821548,5.104873013,1.598197947,0.514193064
ENSG00000140307,GTF2A2,-4.186757073,6.063638795,216.1581987,3.44E-06,0.006744288,6.785373012,6.598440526,6.847125805,2.554698796,2.642294847
ENSG00000126467,TSKS,-4.186122952,6.063098379,175.0407557,6.65E-06,0.006744288,6.945148439,6.493067535,6.767051982,2.464530497,2.722446269
ENSG00000154040,CABYR,-4.166754947,7.29544314,187.5035263,5.58E-06,0.006744288,8.253521275,7.650953863,7.970917487,3.876352426,3.779607374
ENSG00000161798,AQP5,-4.16358242,6.281997368,51.73513256,0.000285599,0.009031967,7.24088974,6.884904512,6.719746125,1.796023522,3.431727481
ENSG00000153140,CETN3,-4.160800594,5.790774188,25.38950221,0.002015314,0.018754034,6.664188959,6.294451677,6.437345437,0.418749591,3.156762975
ENSG00000185013,NT5C1B,-4.122645549,4.06353563,160.8533061,8.65E-06,0.006744288,4.623061639,4.697896742,4.889385776,0.681448894,0.835815006
ENSG00000168658,VWA3B,-4.10111658,6.003523771,52.38959318,0.000275501,0.009000594,6.860094603,6.420807297,6.736906728,1.598197947,3.213337076
ENSG00000130783,CCDC62,-4.068675449,7.077822597,47.83631665,0.000357079,0.009550344,8.025991837,7.645787543,7.558122396,2.597754065,4.326551795
ENSG00000127824,TUBA4A,-4.049137384,4.84891912,72.88054159,0.000105562,0.00717617,5.98008038,5.054349625,5.38853351,1.154910806,1.870811473
ENSG00000179168,GGN,-4.031530541,6.126405466,148.1672183,1.12E-05,0.006744288,7.028506413,6.757778437,6.593542096,3.017973653,2.55742717
ENSG00000204661,C5orf60,-4.021328709,4.087121279,109.161523,2.89E-05,0.006744288,4.990435724,4.599787587,4.661865636,0.511733341,1.157498132
ENSG00000163535,SGO2,-4.011109668,6.117123234,43.40727332,0.00046987,0.010477556,7.007086869,6.597102842,6.74904052,1.639992762,3.455375455
ENSG00000138180,CEP55,-3.987061014,4.592811433,38.18322291,0.000671965,0.011583375,5.668045469,5.069862514,4.957895284,0.212607971,2.005059435
ENSG00000251350,LINC02475,-3.953645056,3.411306558,112.1677021,2.63E-05,0.006744288,4.265789054,3.808384554,4.127343898,0.097324006,0.514193064
ENSG00000180777,ANKRD30B,-3.952748067,6.656882577,23.51726273,0.002457508,0.020840513,7.694519332,6.87941272,7.308814507,1.598197947,4.178118328
ENSG00000165972,CCDC38,-3.940451456,4.40930218,104.2912601,3.39E-05,0.006747405,5.473528567,4.808372304,4.862832065,1.265852715,1.214043969
ENSG00000174898,CATSPERD,-3.933539811,3.658809101,75.00946721,9.70E-05,0.00712546,4.82774992,3.98241117,4.003162089,0.418749591,0.683947989
ENSG00000153790,C7orf31,-3.930055397,6.571470992,96.39676005,4.60E-05,0.006747405,7.540456082,6.905584724,7.221812497,2.885250421,3.682756888
ENSG00000115841,RMDN2,-3.916748039,4.167801515,93.00839579,4.97E-05,0.006747405,5.063404109,4.594434406,4.817460045,0.599085301,1.371487764
ENSG00000218823,PAPOLB,-3.916363344,6.343298403,56.92622304,0.000216966,0.008583849,7.411303722,6.745755935,6.794240073,2.34326691,3.631779083
ENSG00000116668,SWT1,-3.908863942,6.092382359,19.35028002,0.004020601,0.027320927,6.991590122,6.681570866,6.592195666,0.681448894,3.722280652
ENSG00000164304,CAGE1,-3.908180065,4.379016734,72.15692751,0.000108708,0.00717617,5.368662958,4.737289824,4.970386357,0.681448894,1.642644943
ENSG00000234199,LINC01191,-3.903224608,5.24247284,164.1153056,8.12E-06,0.006744288,6.057535809,5.77799266,5.893772106,2.154307227,1.972650334
ENSG00000120860,WASHC3,-3.892092172,5.064098679,27.3524905,0.001657618,0.017152168,6.071361208,5.447778202,5.61225659,0.31935751,2.642294847
ENSG00000198723,TEX45,-3.874399473,4.022343056,76.18622763,9.26E-05,0.007077548,5.102402139,4.277863032,4.566357044,0.599085301,1.214043969
ENSG00000133193,FAM104A,-3.873595729,5.731344758,32.12564595,0.001078289,0.014251536,6.67974429,6.289491131,6.191009456,1.154910806,3.26777613
ENSG00000115339,GALNT3,-3.863269523,5.188938436,63.33864175,0.000159207,0.007822147,6.195587143,5.607773261,5.702374462,1.368869132,2.513044655
ENSG00000205359,SLCO6A1,-3.854947541,5.303687248,131.5938957,1.61E-05,0.006744288,6.197389469,5.842635937,5.851630206,2.36834876,1.939496423
ENSG00000020577,SAMD4A,-3.854350412,7.114528248,135.2009131,1.66E-05,0.006744288,8.035594801,7.5229597,7.753265513,3.639345906,4.19928118
ENSG00000229089,ANKRD20A8P,-3.843310593,5.735718562,17.09293555,0.005442654,0.03205203,6.670690741,6.247476205,6.257072381,0.212607971,3.455375455
ENSG00000183246,RIMBP3C,-3.839777675,5.416473268,132.1869657,1.59E-05,0.006744288,6.333096731,5.829025562,6.051012658,2.441079506,2.127871726
ENSG00000064199,SPA17,-3.832964938,5.946651886,72.36665735,0.000107783,0.00717617,6.888262946,6.327093131,6.578661797,2.182864542,3.254357736
ENSG00000170860,LSM3,-3.809065621,4.03153167,125.4207291,1.87E-05,0.006744288,4.540272247,4.770897921,4.765845336,0.759363207,1.214043969
