id_gene,id_string,gene,FPKM,TPM,biotype
FBgn0000003,,7SLRNA:CR32864,9.593156,13.1923275,ncRNA
FBgn0000008,7227.FBpp0099961,a,3.2826199999999996,4.561386,protein_coding
FBgn0000014,7227.FBpp0082829,abd-A,2.094831,2.906567,protein_coding
FBgn0000015,7227.FBpp0082826,Abd-B,0.45532550000000005,0.6312915,protein_coding
FBgn0000017,7227.FBpp0303166,Abl,5.287050499999999,7.350351,protein_coding
FBgn0000018,7227.FBpp0079757,abo,4.1244675,5.7196555,protein_coding
FBgn0000022,7227.FBpp0070071,ac,0.0,0.0,protein_coding
FBgn0000024,7227.FBpp0289713,Ace,0.1172415,0.1647475,protein_coding
FBgn0000028,7227.FBpp0073832,acj6,5.232729,7.2680975,protein_coding
FBgn0000032,7227.FBpp0084975,Acph-1,12.8989785,17.9177475,protein_coding
FBgn0000036,7227.FBpp0084003,nAChRalpha1,0.4037865,0.561857,protein_coding
FBgn0000037,7227.FBpp0072275,mAChR-A,0.0,0.0,protein_coding
FBgn0000038,7227.FBpp0073155,nAChRbeta1,2.4279035,3.367554,protein_coding
FBgn0000039,7227.FBpp0084023,nAChRalpha2,0.0,0.0,protein_coding
FBgn0000042,7227.FBpp0100124,Act5C,141.680382,196.9579465,protein_coding
FBgn0000043,7227.FBpp0085365,Act42A,263.5720215,366.361145,protein_coding
FBgn0000044,7227.FBpp0071448,Act57B,68.0892635,94.56268299999999,protein_coding
FBgn0000045,7227.FBpp0078131,Act79B,1.717444,2.3832975,protein_coding
FBgn0000046,7227.FBpp0082253,Act87E,376.83955349999997,523.9953,protein_coding
FBgn0000047,7227.FBpp0082597,Act88F,0.0,0.0,protein_coding
FBgn0000052,7227.FBpp0078850,Pfas,5.119061,7.110897,protein_coding
FBgn0000053,7227.FBpp0079059,Gart,3.1439084999999998,4.350649499999999,protein_coding
FBgn0000055,7227.FBpp0100048,Adh,11.640785999999999,16.157640999999998,protein_coding
FBgn0000056,7227.FBpp0099544,Adhr,0.0,0.0,protein_coding
FBgn0000057,7227.FBpp0085923,adp,36.276543000000004,50.4330695,protein_coding
FBgn0000061,7227.FBpp0077713,al,0.0,0.0,protein_coding
FBgn0000063,7227.FBpp0303766,Mps1,10.27952,14.3007385,protein_coding
FBgn0000064,7227.FBpp0302781,Ald,397.344727,552.651001,protein_coding
FBgn0000071,7227.FBpp0081135,Ama,0.0932885,0.131089,protein_coding
FBgn0000075,7227.FBpp0080697,amd,0.679565,0.934525,protein_coding
FBgn0000077,7227.FBpp0071266,amx,0.908333,1.267288,protein_coding
FBgn0000078,"['7227.FBpp0086136', '7227.FBpp0086155']",Amy-d,3.838739,5.34474,protein_coding
FBgn0000079,7227.FBpp0086155,Amy-p,5.209883,7.2555955,protein_coding
FBgn0000083,7227.FBpp0088506,AnxB9,24.655791,34.2793865,protein_coding
FBgn0000084,7227.FBpp0291143,AnxB10,34.9209005,48.540887999999995,protein_coding
FBgn0000092,7227.FBpp0070480,CG2650,0.0,0.0,protein_coding
FBgn0000094,7227.FBpp0084976,Anp,14.762998,20.363296,protein_coding
FBgn0000097,7227.FBpp0077522,aop,0.9010315,1.255528,protein_coding
FBgn0000100,7227.FBpp0306232,RpLP0,37.4028385,51.90080449999999,protein_coding
FBgn0000108,7227.FBpp0298292,Appl,0.2704335,0.3748165,protein_coding
FBgn0000109,7227.FBpp0088438,Aprt,1.7286519999999999,2.401281,protein_coding
FBgn0000114,7227.FBpp0079926,bru1,471.8554684999999,656.1916504999999,protein_coding
FBgn0000115,7227.FBpp0075272,Arl1,12.669953,17.585534,protein_coding
FBgn0000116,7227.FBpp0076270,Argk,56.944497999999996,79.10710900000001,protein_coding
FBgn0000117,7227.FBpp0089035,arm,16.925175,23.514718000000002,protein_coding
FBgn0000119,7227.FBpp0086821,arr,4.756444500000001,6.6110475,protein_coding
FBgn0000120,7227.FBpp0298351,Arr1,9.005278500000001,12.581994499999999,protein_coding
FBgn0000121,7227.FBpp0076326,Arr2,0.0,0.0,protein_coding
FBgn0000137,7227.FBpp0070074,ase,0.0,0.0,protein_coding
FBgn0000139,7227.FBpp0084040,ash2,5.3171655,7.391422,protein_coding
FBgn0000140,7227.FBpp0084071,asp,10.871604,15.1212485,protein_coding
FBgn0000146,7227.FBpp0079754,aub,1.336846,1.85755,protein_coding
FBgn0000147,7227.FBpp0081957,aurA,46.247991999999996,64.22208,protein_coding
FBgn0000150,7227.FBpp0085223,awd,94.6465415,131.416649,protein_coding
FBgn0000152,7227.FBpp0074146,Axs,1.5293899999999998,2.122654,protein_coding
FBgn0000153,7227.FBpp0301687,b,0.0,0.0,protein_coding
FBgn0000157,7227.FBpp0289353,Dll,0.0668215,0.09389750000000001,protein_coding
FBgn0000158,7227.FBpp0084243,bam,0.30754549999999997,0.4321615,protein_coding
FBgn0000163,7227.FBpp0110299,baz,2.3395435,3.2525364999999997,protein_coding
FBgn0000166,7227.FBpp0081168,bcd,0.346099,0.48633699999999996,protein_coding
FBgn0000173,7227.FBpp0073686,ben,14.714084,20.457164,protein_coding
FBgn0000179,7227.FBpp0301040,bi,0.0,0.0,protein_coding
FBgn0000180,7227.FBpp0079519,bib,0.6497985,0.904658,protein_coding
FBgn0000181,7227.FBpp0086895,bic,257.6227185,357.5075835,protein_coding
FBgn0000182,7227.FBpp0080361,BicC,137.0952605,190.569031,protein_coding
FBgn0000183,7227.FBpp0303258,BicD,5.2665685,7.30791,protein_coding
FBgn0000206,7227.FBpp0084323,boss,1.4011375,1.9466960000000002,protein_coding
FBgn0000212,7227.FBpp0305757,brm,1.0162879999999999,1.4150800000000001,protein_coding
FBgn0000216,7227.FBpp0075374,Brd,0.0,0.0,protein_coding
FBgn0000221,7227.FBpp0070606,brn,2.705489,3.8017425000000005,protein_coding
FBgn0000227,7227.FBpp0077114,Bsg25A,0.0,0.0,protein_coding
FBgn0000228,7227.FBpp0302745,Bsg25D,0.0,0.0,protein_coding
FBgn0000229,7227.FBpp0079676,bsk,10.630691500000001,14.7825995,protein_coding
FBgn0000233,7227.FBpp0071314,btd,0.582329,0.808894,protein_coding
FBgn0000239,7227.FBpp0290556,bur,52.0895785,72.43522999999999,protein_coding
FBgn0000241,7227.FBpp0072026,bw,0.0,0.0,protein_coding
FBgn0000244,7227.FBpp0081597,by,0.923003,1.280703,protein_coding
FBgn0000246,7227.FBpp0082648,c(3)G,1.0129,1.407594,protein_coding
FBgn0000247,7227.FBpp0084850,ca,5.764177500000001,8.0170675,protein_coding
FBgn0000250,7227.FBpp0080402,cact,11.107178000000001,15.447171,protein_coding
