id_gene,gene,Stock Number,Transgene,Status,Human variants in cohort,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously reported in DM?,Function,Previous ref to RNAi working?,Other species infertility phenotype?,Our DM pheno code,Others DM pheno code,MM pheno code,HS pheno code,Flybase link,Origin of gene
FBgn0003943,Ubi-p63E,v102379,P{KK109327}VIE-260B,Screened,,26,0,28,0,24,0,20,0,No sperm. Meiotic arrest.,Yes. Meiotic arrest (http://dev.biologists.org/content/140/17/3522),Polyubiquitin precursor,No,Mouse infertility 1/3 (Ubb). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2223379/),A,A,A,,http://flybase.org/reports/FBgn0003943,"Original ""core"""
FBgn0039869,CG1890,53677,P{TRiP.HMJ21731}attP40,Screened,,38,0,27,0,27,0,28,0,No sperm. Highly defective spermatogenesis from spermatocyte stage onwards. Late meiotic arrest.,No,Predicted to have tubulin binding activity,No,,A,,,,http://flybase.org/reports/FBgn0039869,"Original ""core"""
FBgn0038274,Nup93-2,51758,P{TRiP.HMC03310}attP2,Screened,,23,0,27,0,27,0,25,0,No sperm. Spermatogenic defects from the meiotic domain onwards,No,Nucleoporin 93kD-2,No,,A,,,,http://flybase.org/reports/FBgn0038274,"Original ""pool"""
FBgn0028684,Rpt5,53886,P{TRiP.HMJ21204}attP40 ,Screened,,22,0,30,0,26,0,35,0,No sperm. Meiotic cell death,No,Component of the 26S proteasome,No,,A,,,,http://flybase.org/reports/FBgn0028684,"Original ""pool"""
FBgn0036273,INPP5E,34037,P{TRiP.HMS01011}attP2,Screened,,10,0,8,0,18,0,20,0,No sperm. Meiotic arrest.,No,Inositol polyphosphate-related phosphatase,No ,,A,,,,http://flybase.org/reports/FBgn0036273,"Original ""pool"""
FBgn0285937,Rab1,27299,P{TRiP.JF02609}attP2,Screened,,28,0,33,0,21,0,31,0,No sperm. Late meiotic defects (cells do not elongate).,Yes. Meiotic cytokinesis defects (https://www.molbiolcell.org/doi/10.1091/mbc.e03-08-0603),Rab1,No ,,A,A,,,http://flybase.org/reports/FBgn0285937,"Original ""pool"""
FBgn0004066,Prosalpha4,36063,P{TRiP.GL00341}attP2,Screened,,41,0,30,0,29,0,27,0,No sperm. Meiotic arrest.,No,Proteasome α4 subunit,No ,Mouse infertility 2/3 (PSMA8). Meiotic arrest (https://www.nature.com/articles/s41467-019-11346-y),A,,A,,http://flybase.org/reports/FBgn0004066,"Original ""pool"""
FBgn0003886,alphaTub85E,31703,P{TRiP.HM04009}attP2,Screened,,32,0,23,0,8,0,19,0,"No sperm. Late meiotic arrest: predominance of round spermatid cysts, few manage to start elongation","Yes, in overexpression. Sperm axoneme defects (https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481)",Structural gene for alpha-tubulin. 98% similar to 84B,Yes,,A,B,,,http://flybase.org/reports/FBgn0003886,"Original ""core"""
FBgn0017551,Rca1,v35489,P{GD12609}v35489,Screened,Homozygous - frameshift,17,0,36,0,26,0,24,0,No sperm. Highly defective spermatogenesis from spermatocyte stage onwards.,No,Anaphase-promoting complex/cyclosome inhibitor,Yes,Mouse infertility (Fbxo43). Meiotic defects (https://www.sciencedirect.com/science/article/pii/S2211124717308471),A,,A,,http://flybase.org/reports/FBgn0017551,"Original ""core"""
FBgn0039070,wampa,v39937,P{GD8788}v39937,Screened,,45,0,39,0,25,0,28,0,No sperm. Defective spermatogenesis from spermatocyte stage onwards.,Yes. Spermiogenesis defects (https://www.sciencedirect.com/science/article/pii/S0012160620301263?via%3Dihub),Component of the outer dynein arm docking complex,Yes,,A,B,,,http://flybase.org/reports/FBgn0039070,"Original ""core"""
FBgn0261385,scra,v33466,P{GD9720}v33466,Screened,,29,0,37,0,25,0,28,0,"Few sperm, all morphologically abnormal. Defective spermatogenesis from the spermatocyte stage onwards.  ",Yes. Meiotic cytokinesis defects (https://www.molbiolcell.org/doi/10.1091/mbc.e09-08-0714),"Actin, nonmuscle myosin II and microtubule-binding protein",Yes,,A,A,,,http://flybase.org/reports/FBgn0261385,"Original ""core"""
FBgn0003559,su(f),55693,P{TRiP.HMC03907}attP40,Screened,,26,0,35,0,30,0,29,0,No sperm. Meiotic defect: Nebenkern have irregular shape and no elongating bundles are observed.,No,Protein involved in mRNA 3'-end processing and alternative poly(A) site utilization,Yes,,A,,,,http://flybase.org/reports/FBgn0003559,"Original ""pool"""
FBgn0035675,CG6610,57586,P{TRiP.HMC04835}attP40 ,Screened,,28,0,29,0,25,0,29,0,No sperm. Meiotic cell death,No,U4-U6-U5 small nuclear ribonucleoprotein particle,Yes,,A,,,,http://flybase.org/reports/FBgn0035675,"Original ""pool"""
FBgn0263979,Caf1-55,v26455,P{GD11258}v26455,Screened,,26,0,29,0,31,0,27,0,No sperm. Meiotic defect (no post-meiotic stages).,No,"Chromatin assembly factor 1, p55 subunit",Yes,,A,,,,http://flybase.org/reports/FBgn0263979,"Original ""pool"""
FBgn0039348,Npl4,v109309,P{KK102533}VIE-260B,Screened,,30,0,25,0,31,0,25,0,No sperm. Meiotic defects: cell death and incapability to start post-meiotic development.,No,Exhibits K11-linked polyubiquitin modification-dependent protein binding activity,Yes,,A,,,,http://flybase.org/reports/FBgn0039348,"Original ""pool"""
FBgn0015019,CCT3,v36070,P{GD14084}v36070,Screened,,25,0,24,0,26,0,29,0,No sperm. Meiotic defects: cell death and highly defective spermatogenesis from that point onwards.,No,Molecular chaperone; assists the folding of proteins upon ATP hydrolysis,Yes,,A,,,,http://flybase.org/reports/FBgn0015019,"Original ""pool"""
FBgn0038772,mdlc,57027,P{TRiP.HMS04472}attP40,Screened,Homozygous - frameshift,30,0,27,0,31,0,28,0,No sperm. Meiotic defects: abnormal spermatocytes that are incapable of sustaining post-meiotic development.,No,RNA splicing regulator,Yes,,A,,,,http://flybase.org/reports/FBgn0038772,"Original ""pool"""
FBgn0028968,gammaCOP,v25101,P{GD8960}v25101,Screened,,29,0,33,0,26,0,29,0,No sperm. Meiotic defects: abnormal spermatocytes that fail to sustain post-meiotic development.,Yes. Meiotic cytokinesis defects (https://jcs.biologists.org/content/125/15/3649),Subunit of the coat complex of COPI vesicles,Yes,,A,A,,,http://flybase.org/reports/FBgn0028968,"Original ""pool"""
FBgn0030692,mRpS30,v40712,P{GD13934}v40712,Screened,,32,0,29,0,25,0,27,0,No sperm. Meiotic defects: extensive cell death that compromises all subsequent developmental stages,No,Mitochondrial ribosomal protein S30,Yes,,A,,,,http://flybase.org/reports/FBgn0030692,"Original ""pool"""
FBgn0001233,Hsp83,v7716,P{GD1202}v7716,Screened,,31,0,29,0,25,0,33,0,No sperm. Meiotic defect: extensive spermatocyte death.,Yes. Defects from the spermatocyte stage onwards (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1460532),Heat shock protein 83,Yes,Mouse infertility. Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3013136),A,A,A,,http://flybase.org/reports/FBgn0001233,"Original ""pool"""
FBgn0261119,Prp19,32865,P{TRiP.HMS00652}attP2,Screened,,29,0,31,0,25,0,27,0,No sperm. Meiotic arrest.,Yes. Early germ cell defects (https://www.nature.com/articles/s41598-019-46419-x),Catalytic step 2 spliceosome and precatalytic spliceosome factor,Yes,,A,D,,,http://flybase.org/reports/FBgn0261119,"Original ""pool"""
FBgn0003884,alphaTub84B,31389,P{TRiP.JF01373}attP2,Screened,,25,0,24,0,18,0,18,0,"No sperm. Late meiotic arrest: predominance of round spermatid cysts, few manage to start elongation.",Yes. Axonemal defects (https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481),Structural gene for alpha-tubulin,Yes ,,A,B,,,http://flybase.org/reports/FBgn0003884,"Original ""pool"""
FBgn0028692,Rpn2,v44134,P{GD7421}v44134,Screened,,32,0,22,0,30,0,28,0,No sperm. Meiotic arrest.,No,Regulatory subunit of the 26S proteasome,Yes ,,A,,,,http://flybase.org/reports/FBgn0028692,"Original ""pool"""
FBgn0028694,Rpn11,v19272,P{GD8888}v19272,Screened,,14,0,16,0,22,0,25,0,No sperm. Meiotic arrest.,Yes. Decreased male fertility (https://www.science.org/doi/10.1126/sciadv.abb7426),Metalloprotease component of the 26S proteasome that specifically cleaves 'Lys-63'-linked polyubiquitin chains,Yes ,,A,G,,,http://flybase.org/reports/FBgn0028694,"Original ""pool"""
FBgn0041087,wun2,v4176,P{GD1900}v4176,Screened,,6,0,19,0,9,0,32,0,No sperm. Defective spermatogenesis from spermatocyte stage onwards.,Yes. Affects early germ cell migration (https://dev.biologists.org/content/128/6/983.long),Lipid phosphate phosphatase,Yes ,,A,D,,,http://flybase.org/reports/FBgn0041087,"Original ""pool"""
FBgn0263120,Acsl,v3222,P{GD1638}v3222,Screened,Homozygous - frameshift,6,0,17,0,15,0,8,0,No sperm. Defective spermatogenesis from spermatocyte stage onwards.,Yes. Reduced male fertility (10.1093/g3journal/jkab183),Long-chain-fatty-acid--CoA ligase,Yes ,,A,G,,,http://flybase.org/reports/FBgn0263120,"Original ""pool"""
FBgn0014189,Hel25E,33666,P{TRiP.HMS00076}attP2,Screened,,33,0,30,0,35,0,27,0,No sperm. Meiotic entry defect.,No,UAP56 RNA helicase,Yes ,,A,,,,http://flybase.org/reports/FBgn0014189,"Original ""pool"""
FBgn0015949,hrg,33378,P{TRiP.HMS00252}attP2,Screened,,35,0,20,0,27,0,25,0,No sperm. Meiotic defects: evidence of cell death at the spermatocyte stage. Some cells are able to progress and form elongating spermatids.,Yes. Regulates spermatogonia growth (https://www.sciencedirect.com/science/article/pii/S1673852717300176?via%3Dihub),Canonical poly(A) polymerase required for the nuclear poly(A) tail synthesis at the mRNA 3'-end,Yes ,Mouse infertility (Papolb). Spermiogenesis defects (https://science.sciencemag.org/content/298/5600/1999.long),A,D,B,,http://flybase.org/reports/FBgn0015949,"Original ""pool"""
FBgn0030735,CG3632,38341,P{TRiP.HMS01808}attP2,Screened,,29,0,25,0,27,0,25,0,"No sperm. Disorganized testis from the meiotic domain onwards, sperm fail to individualize.",No,Phosphatidylinositol-3-phosphatase,Yes ,,A,,,,http://flybase.org/reports/FBgn0030735,"Original ""pool"""
FBgn0031066,COX6B,v26848,P{GD13061}v26848,Screened,,25,0,27,0,25,0,28,0,"No sperm. Extensive cell death at the meiotic stage, impacting all subsequent developmental stages.",No,Cytochrome c oxidase subunit 6B,Yes ,,A,,,,http://flybase.org/reports/FBgn0031066,"Original ""pool"""
FBgn0086134,Prosalpha2,v29686,P{GD15087}v29686,Screened,,30,0,26,0,26,0,24,0,No sperm. Meiotic cell death: no/few cells are able to progress to post-meiotic stages,No,Proteasome α2 subunit,Yes ,,A,,,,http://flybase.org/reports/FBgn0086134,"Original ""pool"""
FBgn0039560,BOD1,v105166,P{KK102939}VIE-260B,Screened,Homozygous - missense,27,0,26,0,28,0,31,0,No sperm. Meiotic defects: spermatocyte abnormalities  that culminate in an indvidualization defect.,No,Protein phosphatase inhibitor activity,Yes ,,A,,,,http://flybase.org/reports/FBgn0039560,"Original ""pool"""
FBgn0262743,Fs(2)Ket,v22348,P{GD9797}v22348,Screened,,29,0,25,0,26,0,30,0,No sperm. Meiotic cell death.,No,Required for nuclear protein import and mediates docking of import substrate to distinct nucleoporins,Yes  ,,A,,,,http://flybase.org/reports/FBgn0262743,"Original ""pool"""
FBgn0004903,Rb97D,31333,P{TRiP.JF01290}attP2,Screened,,19,0,23,0,23,0,30,0,No sperm. Spermiogenesis defect.,Yes. Spemiogenesis defects (https://academic.oup.com/nar/article-abstract/21/9/2229/1338725?redirectedFrom=fulltext),Ribonuclear protein,No,,B,B,,,http://flybase.org/reports/FBgn0004903,"Original ""core"""
FBgn0028887,CG3491,57556,P{TRiP.HMC04873}attP40,Screened,,22,0,14,0,25,0,26,0,"No sperm. Late spermiogenesis defect (elongating bundles can separate, but sperm retain cytoplasm).",No,Predicted to be involved in regulation of transcription,No,,B,,,,http://flybase.org/reports/FBgn0028887,"Original ""core"""
FBgn0033845,mars,33929,P{TRiP.HMS00878}attP2,Screened,Homozygous - frameshift,18,0,30,0,25,0,23,0,No sperm. Spermiogenesis defect.,No,Microtubule-associated protein required for mitotic spindle attachment to the centrosome,No,,B,,,,http://flybase.org/reports/FBgn0033845,"Original ""core"""
FBgn0035722,CG10075,64894 - lost stock,P{TRiP.HMC05767}attP40,Screened,,20,0,21,0,30,0,32,0,"Few sperm present, all presumably dead/immotile. Individualization defect.",No,Ubiquinol-cytochrome c chaperone,No,,B,,,,http://flybase.org/reports/FBgn0035722,"Original ""pool"""
FBgn0262123,l(2)41Ab,in-house line,M{IGCt.CG41265.attp}ZH-86Fb,Screened,,22,0,27,0,30,0,25,0,No sperm. Individualization defect.,No,Predicted to be involved in axonemal dynein complex assembly and cilium movement,No,Human infertility (CCDC40). PCD (https://onlinelibrary.wiley.com/doi/abs/10.1111/crj.12268),B,,,C,http://flybase.org/reports/FBgn0262123,"Original ""pool"""
FBgn0033672,rho-7,35617,P{TRiP.GL00461}attP2,Screened,,30,0,23,0,28,0,29,0,No sperm. Post-meiotic and individualization defect.,Yes. Nebenkern defects (https://www.sciencedirect.com/science/article/pii/S0960982206013947?via%3Dihub),Intramembrane serine protease (present in the inner membrane of mitochondria),No,,B,B,,,http://flybase.org/reports/FBgn0033672,"Original ""pool"""
FBgn0035799,mmm,53239,P{TRiP.GL01061}attP2,Screened,,38,0,29,0,28,0,32,0,No sperm. Individualization defect.,Yes. Sperm motility defects (https://www.sciencedirect.com/science/article/pii/S0012160621002359?via%3Dihub),Predicted to be involved in cilium movement and outer dynein arm assembly,No,,B,C,,,http://flybase.org/reports/FBgn0035799,"Original ""pool"""
FBgn0026432,Grip163,63606,P{TRiP.HMJ30173}attP40,Screened,Heterozygous - missense (multiple),27,0,24,0,25,0,27,0,No sperm. Individualization defect.,No,Gamma-tubulin binding protein involved in the mitotic cell cycle,No,,B,,,,http://flybase.org/reports/FBgn0026432,"Original ""pool"""
