id_gene_DM,Others DM pheno code
FBgn0003943,A
FBgn0285937,A
FBgn0003886,B
FBgn0261385,A
FBgn0028968,A
FBgn0001233,A
FBgn0261119,D
FBgn0003884,B
FBgn0041087,D
FBgn0015949,D
FBgn0004903,B
FBgn0033672,B
FBgn0003889,A
FBgn0266709,B
FBgn0037660,B
FBgn0265606,B
FBgn0004363,B
FBgn0028734,A
FBgn0020255,B
FBgn0014870,A
FBgn0264307,A
FBgn0260439,B
FBgn0003124,A
FBgn0015790,A
FBgn0262872,B
FBgn0027055,B
FBgn0284220,A
FBgn0029891,B
FBgn0051320,B
FBgn0028836,D
FBgn0051864,B
FBgn0264291,A
FBgn0039796,C
FBgn0004106,A
FBgn0278608,B
FBgn0265512,B
FBgn0010258,C
FBgn0038578,A
FBgn0038233,B
FBgn0041164,E
FBgn0263855,A
FBgn0001977,F
FBgn0011224,B
FBgn0250816,A
FBgn0035987,D
FBgn0035849,D
FBgn0020251,C
FBgn0011596,B
FBgn0266670,D
FBgn0015075,B
FBgn0022724,D
FBgn0260934,D
FBgn0051989,A
FBgn0002973,D
FBgn0267790,G
FBgn0004889,A
FBgn0040298,D
FBgn0003731,H
FBgn0036581,A
FBgn0266668,A
FBgn0033352,D
FBgn0263599,D
FBgn0031256,D
FBgn0031990,B
FBgn0261618,A
FBgn0003041,A
FBgn0002905,G
FBgn0004379,A
FBgn0025615,G
FBgn0033447,B
FBgn0264695,C
FBgn0038877,D
FBgn0032407,G
FBgn0040228,G
FBgn0004360,H
FBgn0028426,D
FBgn0036480,A
FBgn0013548,G
FBgn0010382,G
FBgn0002466,A
FBgn0000139,G
FBgn0020278,G
FBgn0002542,A
FBgn0002719,D
FBgn0011205,A
FBgn0263391,D
FBgn0003716,D
FBgn0004373,A
FBgn0037913,D
FBgn0000146,A
FBgn0002906,A
FBgn0035168,B
FBgn0038721,G
FBgn0003292,H
FBgn0026630,B
FBgn0035627,A
FBgn0262739,H
FBgn0004872,D
FBgn0036386,D
FBgn0016078,D
FBgn0037109,A
FBgn0003317,D
FBgn0263510,D
FBgn0003483,A
FBgn0010328,G
FBgn0003545,A
FBgn0001197,D
FBgn0031047,D
