id_gene,Stock Number,Transgene,status,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously known to affect male fertility/sperm cells,Function,Previous ref to RNAi working,Other species infertility phenotype?,Flybase link
FBgn0003124,v20177,P{GD7563}v20177,Screened,23,0,25,0,20,0,11,0,No sperm. Spermiogenesis defect (severely compromised post-meiotic stages).,Yes. Cell-cycle defects (https://link.springer.com/article/10.1007/PL00013778),Serine/threonine-protein kinase,Yes ,,http://flybase.org/reports/FBgn0003124
FBgn0003884,31389,P{TRiP.JF01373}attP2,Screened,25,0,24,0,18,0,18,0,"No sperm. Post-meiotic defect: predominance of round spermatid cysts, few manage to start elongation.",Yes. Axonemal defects (https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481),structural gene for alpha-tubulin. Major alpha-tub isoform during spermatogenesis,Yes ,, http://flybase.org/reports/FBgn0003884
FBgn0025874,50636,P{TRiP.HMC03035}attP2,Screened,5,0,18,0,26,0,30,0,No sperm. Severely abnormal spermiogenesis.,No (but observed to dynamically relocate to male meiotic central spindle),nucleic acid binding,No ,, http://flybase.org/reports/FBgn0025874
FBgn0028694,v19272,P{GD8888}v19272,Screened,14,0,16,0,22,0,25,0,No sperm. Meiotic arrest.,No,26S Proteasome non-ATPase regulatory subunit 14,Yes ,,http://flybase.org/reports/FBgn0028694
FBgn0032513,v39006,P{GD11963}v39006/TM3,Screened,10,0,6,0,19,0,12,0,No sperm. Individualization defect.,No,Phospholipid transporter,No ,,http://flybase.org/reports/FBgn0032513
FBgn0033816,v110665,P{KK100629}VIE-260B,Screened,18,0,10,0,11,0,13,0,No sperm. Individualization defect.,No,Ribosomal small subunit binding (mitochondrial),No ,,http://flybase.org/reports/FBgn0033816
FBgn0033916,v110250,P{KK104810}VIE-260B,Screened,14,0,15,0,9,0,15,0,No sperm. Individualization defect.,No,Ubiquitin specific protease,No ,,http://flybase.org/reports/FBgn0033916
FBgn0035437,34657,P{TRiP.HMS01134}attP2,Screened,15,0,11,0,16,0,25,0,No sperm. Severe post-meiotic abnormalities.,No,component of the striatin-interacting phosphatase and kinase (STRIPAK) complex,No ,, http://flybase.org/reports/FBgn0035437
FBgn0036273,34037,P{TRiP.HMS01011}attP2,Screened,10,0,8,0,18,0,20,0,No sperm. Meiotic arrest.,No,Inositol polyphosphate-related phosphatase,No ,, http://flybase.org/reports/FBgn0036273
FBgn0037383,34693,P{TRiP.HMS01172}attP2,Screened,29,0,27,0,18,0,35,0,No sperm. Individualization defect.,No,SNAP receptor activity,No ,, http://flybase.org/reports/FBgn0037383
FBgn0038248,v109607,P{KK100967}VIE-260B,Screened,19,0,17,0,11,0,21,0,No motile sperm. Testis is full of seemingly individualized sperm that have no motility.,No,Centrosomal protein of 78kDa,No ,,http://flybase.org/reports/FBgn0038248
FBgn0040075,v103483,P{KK105732}VIE-260B,Screened,13,0,29,0,18,0,19,0,No sperm. Individualization defect.,No,histone acetyltransferase,Yes ,,http://flybase.org/reports/FBgn0040075
FBgn0040918,v109418,P{KK108152}VIE-260B,Screened,25,0,27,0,28,0,30,0,No sperm. Individualization defect.,No,essential for ceramide synthesis and modulates triacylglycerol levels and transcriptional expression of body fat metabolism regulators,Yes ,,http://flybase.org/reports/FBgn0040918
FBgn0267977,44448 - lost stock,"P{TRiP.GLC01597}attP2/TM3, Sb1",Screened,17,0,30,0,16,0,11,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,DNA binding / protease,No ,, http://flybase.org/reports/FBgn0267977
