,id_string,label,TPM,biotype,logFPKM,layer,is_conserved,is_core,is_ortho_metric_nodes
FBgn0086687,7227.FBpp0082095,Desat1,103.4799765,protein_coding,6.238326086415708,DM,True,False,False
FBgn0038065,7227.FBpp0082110,Snx3,131.72132850000003,protein_coding,6.579440354761456,DM,True,False,True
FBgn0020930,7227.FBpp0086966,Dgkepsilon,41.3681335,protein_coding,4.942427776820778,DM,True,True,True
FBgn0027086,7227.FBpp0078150,IleRS,4.0720255000000005,protein_coding,1.975919209881313,DM,True,False,True
FBgn0031710,7227.FBpp0078760,Vps52,49.6156175,protein_coding,5.197492445162604,DM,True,False,True
FBgn0035423,7227.FBpp0072908,eIF1,428.36683650000003,protein_coding,8.272834213325108,DM,True,False,True
FBgn0025615,7227.FBpp0070658,Torsin,4.6647235,protein_coding,2.123999189506154,DM,True,True,False
FBgn0026076,7227.FBpp0290011,UBL3,7.068525500000001,protein_coding,2.6032887816150767,DM,True,False,False
FBgn0004888,7227.FBpp0073010,Scsalpha1,14.760032999999998,protein_coding,3.5414862182085134,DM,True,False,True
FBgn0034127,7227.FBpp0086304,CG7848,165.0783385,protein_coding,6.9036807218360785,DM,True,True,True
FBgn0011327,7227.FBpp0076200,Uch-L5,428.55235300000004,protein_coding,8.273210177443527,DM,True,False,True
FBgn0036058,7227.FBpp0076085,CG6707,16.452005999999994,protein_coding,3.6835128779276265,DM,True,False,True
FBgn0026401,7227.FBpp0110411,Nipped-B,13.1481155,protein_coding,3.385596903073866,DM,True,False,False
FBgn0039767,7227.FBpp0084991,CG2218,24.968557999999998,protein_coding,4.245369018330456,DM,True,True,True
FBgn0031356,7227.FBpp0077578,CG17660,14.557273,protein_coding,3.5188907962600036,DM,True,False,False
FBgn0250788,7227.FBpp0074228,beta-Spec,34.9225215,protein_coding,4.706567434446601,DM,True,False,True
FBgn0005596,7227.FBpp0084784,yem,9.144091,protein_coding,2.9233110347388997,DM,True,False,True
FBgn0284251,7227.FBpp0113107,l(2)05287,19.43564,protein_coding,3.9060576316143765,DM,True,False,True
FBgn0285963,7227.FBpp0111795,CG46339,1.0232445,protein_coding,0.7957976961393453,DM,True,False,False
FBgn0036667,7227.FBpp0075098,kud,11.0455395,protein_coding,3.1653601532749778,DM,True,False,False
FBgn0016078,7227.FBpp0087635,wun,4.22518,protein_coding,2.0109455780673904,DM,True,True,False
FBgn0264492,7227.FBpp0110433,CkIIalpha,54.216202,protein_coding,5.324054232125557,DM,True,False,True
FBgn0285954,7227.FBpp0073996,caz,5.5940105,protein_coding,2.3315397011672316,DM,True,False,True
FBgn0086706,7227.FBpp0076284,pix,73.01175649999999,protein_coding,5.7424488848117266,DM,True,False,True
FBgn0002914,7227.FBpp0089402,Myb,74.67100500000002,protein_coding,5.773354457249215,DM,True,True,False
FBgn0038961,7227.FBpp0083626,CG13850,8.3383275,protein_coding,2.806917409977969,DM,True,False,False
FBgn0004106,7227.FBpp0079641,Cdk1,8.8387465,protein_coding,2.8795303191931905,DM,True,True,True
FBgn0030263,7227.FBpp0073284,CG2076,79.38834750000002,protein_coding,5.861357821788155,DM,True,False,False
FBgn0038039,7227.FBpp0082056,CG5196,9.218283,protein_coding,2.9331374036738516,DM,True,False,False
FBgn0011205,7227.FBpp0077845,fbl,26.254721000000004,protein_coding,4.313023552221627,DM,True,True,True
FBgn0003053,7227.FBpp0070648,peb,7.314984,protein_coding,2.6483270343041587,DM,True,False,False
FBgn0010340,7227.FBpp0082370,140up,4.546151,protein_coding,2.093915059828375,DM,True,True,True
FBgn0025674,7227.FBpp0085295,CycK,17.159506999999998,protein_coding,3.7383385846814985,DM,True,False,True
FBgn0036369,7227.FBpp0303925,CG10089,298.9623565,protein_coding,7.754506286428828,DM,True,False,True
FBgn0040319,7227.FBpp0071063,Gclc,13.175917000000002,protein_coding,3.387754389437306,DM,True,False,True
FBgn0040239,7227.FBpp0076792,bc10,18.273186000000006,protein_coding,3.821366692325148,DM,True,False,True
FBgn0045823,7227.FBpp0076129,vsg,32.721272,protein_coding,4.615462734439269,DM,True,False,False
FBgn0036332,7227.FBpp0075633,CG11261,7.019170000000001,protein_coding,2.598301359414402,DM,True,False,False
FBgn0036892,7227.FBpp0271918,Lon,117.89726299999998,protein_coding,6.423145600148278,DM,True,False,True
FBgn0027508,7227.FBpp0084264,Tnks,4.3348525,protein_coding,2.042387640916497,DM,True,False,True
FBgn0037988,7227.FBpp0082025,CG14740,600.6283875,protein_coding,8.758085888945356,DM,True,False,True
FBgn0038818,7227.FBpp0083345,Nep4,49.0148985,protein_coding,5.180571244506588,DM,True,False,False
FBgn0037987,7227.FBpp0082026,CG14739,449.1613465,protein_coding,8.34030793911999,DM,True,False,False
FBgn0024740,7227.FBpp0079712,Lip2,10.124841499999999,protein_coding,3.053609154168745,DM,True,False,False
FBgn0031684,7227.FBpp0078662,ND-13A,361.8382875,protein_coding,8.029100614376041,DM,True,False,True
FBgn0013678,7227.FBpp0100186,mt:Cyt-b,1250.0893555,protein_coding,9.813869390086788,DM,True,False,True
FBgn0061469,7227.FBpp0075916,Ube3a,164.0269475,protein_coding,6.894575776384506,DM,True,True,True
FBgn0266410,7227.FBpp0302548,CG45050,380.44732650000003,protein_coding,8.100976113389244,DM,True,False,False
FBgn0027287,7227.FBpp0073859,Gmap,5.6992135,protein_coding,2.3500741359409036,DM,True,False,False
FBgn0025678,7227.FBpp0080395,CaBP1,44.194643,protein_coding,5.036247740442237,DM,True,False,True
FBgn0021761,7227.FBpp0088820,Nup154,5.8058865,protein_coding,2.3724434443263704,DM,True,False,True
FBgn0030660,7227.FBpp0073863,CG8097,73.183739,protein_coding,5.746043324417446,DM,True,False,True
FBgn0034689,7227.FBpp0071713,CG2921,469.30159,protein_coding,8.402830699297105,DM,True,True,False
FBgn0037846,7227.FBpp0081773,CG6574,3.2448585000000003,protein_coding,1.7380602564378325,DM,True,False,False
FBgn0034027,7227.FBpp0086488,CG8187,4.680103,protein_coding,2.127960077513444,DM,True,False,False
FBgn0032259,7227.FBpp0100020,CG6144,10.723092,protein_coding,3.1263964723225532,DM,True,False,True
FBgn0034786,7227.FBpp0071821,CG13531,1.8188395,protein_coding,1.2087622661761237,DM,True,True,True
FBgn0003416,7227.FBpp0074009,sl,1.3526625,protein_coding,0.9821174274484616,DM,True,False,True
FBgn0028579,7227.FBpp0085459,phtf,183.16391000000002,protein_coding,7.052285700526642,DM,True,True,True
FBgn0036761,7227.FBpp0074926,MED19,16.677898000000003,protein_coding,3.7023143361697826,DM,True,False,True
FBgn0031030,7227.FBpp0292968,Tao,2.25182,protein_coding,1.3900449694018582,DM,True,False,False
FBgn0265089,7227.FBpp0076424,eIF4E3,444.718933,protein_coding,8.327233143255464,DM,True,False,True
FBgn0004436,7227.FBpp0078490,Ubc6,54.492987,protein_coding,5.330116507006206,DM,True,False,True
FBgn0032101,7227.FBpp0303253,CG9586,41.8871955,protein_coding,4.961437631854427,DM,True,False,True
FBgn0037543,7227.FBpp0302559,CG10903,10.856483500000001,protein_coding,3.1402388527348335,DM,True,True,True
FBgn0027844,7227.FBpp0080116,CAH1,1.966742,protein_coding,1.262806562251297,DM,True,False,True
FBgn0032499,7227.FBpp0080039,Uvrag,6.4138779999999995,protein_coding,2.4891146362054357,DM,True,False,True
FBgn0067864,7227.FBpp0072662,Patj,16.861517000000003,protein_coding,3.7157467330174696,DM,True,False,False
FBgn0032297,7227.FBpp0079707,CG17124,8.872230499999999,protein_coding,2.8836192523877604,DM,True,False,False
FBgn0263199,7227.FBpp0076280,Galk,8.0341845,protein_coding,2.760474966195728,DM,True,True,False
FBgn0086656,7227.FBpp0087704,shrb,42.7054065,protein_coding,4.986840858024664,DM,True,False,True
FBgn0036386,7227.FBpp0075534,CG8833,2.6935960000000003,protein_coding,1.5558240064418585,DM,True,True,True
FBgn0033427,7227.FBpp0087625,Smyd4-1,11.4736625,protein_coding,3.2112262448825426,DM,True,False,True
FBgn0036623,7227.FBpp0300976,CG4729,21.769413,protein_coding,4.059492643819919,DM,True,False,True
FBgn0004432,7227.FBpp0074017,Cyp1,35.7931005,protein_coding,4.742617528483391,DM,True,False,False
FBgn0052199,7227.FBpp0303836,CG32199,1.2650095,protein_coding,0.9370290742090864,DM,True,False,True
FBgn0015790,7227.FBpp0083413,Rab11,35.9512635,protein_coding,4.7474999480345925,DM,True,True,True
