,id_string,label,TPM,biotype,logFPKM,layer,is_conserved,is_core,is_ortho_metric_nodes
ENSG00000091009,9606.ENSP00000265271,RBM27,9.446073916666666,protein_coding,4.199728899990576,HS,True,False,False
ENSG00000170949,9606.ENSP00000406201,ZNF160,6.0132425000000005,protein_coding,3.521689911521718,HS,True,False,False
ENSG00000148303,9606.ENSP00000361076,RPL7A,62.29924658333334,protein_coding,6.756040946512142,HS,True,False,True
ENSG00000108387,9606.ENSP00000402000,SEPT4,6.417036499999999,protein_coding,3.447960305531239,HS,True,False,True
ENSG00000160633,9606.ENSP00000467423,SAFB,12.378440249999995,protein_coding,4.434382748453759,HS,True,True,True
ENSG00000088756,9606.ENSP00000392660,ARHGAP28,10.807510166666667,protein_coding,3.9518379431482757,HS,True,False,True
ENSG00000166794,9606.ENSP00000300026,PPIB,12.841066583333333,protein_coding,4.266063588105661,HS,True,False,True
ENSG00000047346,9606.ENSP00000443598,FAM214A,25.85793833333333,protein_coding,5.616528218299648,HS,True,True,False
ENSG00000215301,9606.ENSP00000382840,DDX3X,9.147996416666668,protein_coding,3.385222395058949,HS,True,False,False
ENSG00000172500,9606.ENSP00000344572,FIBP,33.840869500000004,protein_coding,5.811663815841225,HS,True,False,True
ENSG00000144736,9606.ENSP00000315182,SHQ1,1.6863891666666666,protein_coding,1.5225304577040601,HS,True,False,False
ENSG00000120063,9606.ENSP00000400717,GNA13,1.7506076666666666,protein_coding,1.626149400423112,HS,True,False,True
ENSG00000105701,9606.ENSP00000476767,FKBP8,11.474211666666665,protein_coding,4.162793703147426,HS,True,False,True
ENSG00000132694,9606.ENSP00000357177,ARHGEF11,15.54410483333333,protein_coding,4.829413189362631,HS,True,False,True
ENSG00000137168,9606.ENSP00000362803,PPIL1,5.5447430833333335,protein_coding,3.136613218284247,HS,True,False,True
ENSG00000168282,9606.ENSP00000307423,MGAT2,4.518019000000001,protein_coding,3.0170687885249454,HS,True,False,True
ENSG00000139197,9606.ENSP00000391601,PEX5,7.77434525,protein_coding,3.4860581579208203,HS,True,False,True
ENSG00000165629,9606.ENSP00000349142,ATP5F1C,22.078917333333337,protein_coding,5.009978791633434,HS,True,False,True
ENSG00000115616,9606.ENSP00000233969,SLC9A2,1.7268270000000001,protein_coding,1.8996978199335703,HS,True,False,True
ENSG00000198522,9606.ENSP00000264718,GPN1,9.849363083333332,protein_coding,4.29720973755135,HS,True,False,True
ENSG00000101558,9606.ENSP00000345656,VAPA,22.71177591666667,protein_coding,5.240463969377962,HS,True,False,True
ENSG00000167553,9606.ENSP00000301072,TUBA1C,10.562404916666667,protein_coding,4.038287129710349,HS,True,False,True
ENSG00000077157,9606.ENSP00000476755,PPP1R12B,6.788835499999999,protein_coding,3.4625700643793866,HS,True,False,True
ENSG00000087191,9606.ENSP00000310572,PSMC5,20.217957833333333,protein_coding,4.959478538622069,HS,True,False,True
ENSG00000101052,9606.ENSP00000362121,IFT52,8.918388333333334,protein_coding,3.922212400573414,HS,True,False,False
ENSG00000214087,9606.ENSP00000380635,ARL16,6.365390250000001,protein_coding,3.6062131120200736,HS,True,True,False
ENSG00000153339,9606.ENSP00000283351,TRAPPC8,18.37909925,protein_coding,5.121194179045154,HS,True,False,True
ENSG00000144935,9606.ENSP00000419313,TRPC1,6.998218083333334,protein_coding,3.743945581388388,HS,True,False,True
ENSG00000164934,9606.ENSP00000297579,DCAF13,7.474275666666667,protein_coding,3.6568716302981086,HS,True,True,True
ENSG00000114738,9606.ENSP00000396467,MAPKAPK3,1.4160520833333334,protein_coding,1.5059938789422427,HS,True,False,True
ENSG00000167985,9606.ENSP00000301761,SDHAF2,3.7530671666666673,protein_coding,2.764497064925514,HS,True,False,True
ENSG00000188177,9606.ENSP00000386764,ZC3H6,6.394165916666666,protein_coding,3.564872671293017,HS,True,False,False
ENSG00000166902,9606.ENSP00000300151,MRPL16,7.126041083333335,protein_coding,3.5137679092752423,HS,True,False,True
ENSG00000198648,9606.ENSP00000348278,STK39,18.0082045,protein_coding,5.03689874590699,HS,True,False,True
ENSG00000143376,9606.ENSP00000357836,SNX27,9.029182166666667,protein_coding,3.953613537812162,HS,True,False,True
ENSG00000120948,9606.ENSP00000240185,TARDBP,27.55815816666667,protein_coding,5.467900527966771,HS,True,True,True
ENSG00000040933,9606.ENSP00000074304,INPP4A,10.32884575,protein_coding,3.9582491230542023,HS,True,False,True
ENSG00000171858,9606.ENSP00000345957,RPS21,54.47651316666667,protein_coding,6.13770553472847,HS,True,False,True
ENSG00000108424,9606.ENSP00000290158,KPNB1,56.11288166666666,protein_coding,6.859510331277961,HS,True,True,True
