,id_string,label,TPM,biotype,logFPKM,layer,is_conserved,is_core,is_ortho_metric_nodes
ENSMUSG00000026353,10090.ENSMUSP00000027592,Ubxn4,123.00661466666666,protein_coding,6.229161677718529,MM,True,False,False
ENSMUSG00000028863,10090.ENSMUSP00000053543,Meaf6,96.13126133333333,protein_coding,5.877515494314609,MM,True,False,True
ENSMUSG00000020409,10090.ENSMUSP00000020681,Slu7,76.944191,protein_coding,5.563244960048433,MM,True,False,True
ENSMUSG00000021072,10090.ENSMUSP00000021471,Tmx1,26.312597666666665,protein_coding,4.073286063101877,MM,True,False,True
ENSMUSG00000031808,10090.ENSMUSP00000034267,Slc27a1,9.318568666666666,protein_coding,2.7224289365309526,MM,True,False,False
ENSMUSG00000041268,10090.ENSMUSP00000113705,Dmxl2,9.659016666666666,protein_coding,2.7679978830005516,MM,True,False,False
ENSMUSG00000025171,10090.ENSMUSP00000026170,Ubtd1,73.752379,protein_coding,5.502004923107037,MM,True,False,True
ENSMUSG00000026349,10090.ENSMUSP00000027587,Ccnt2,3.852729,protein_coding,1.730289971620809,MM,True,False,True
ENSMUSG00000014245,10090.ENSMUSP00000014389,Pigl,3.933128333333334,protein_coding,1.7504891694422884,MM,True,True,True
ENSMUSG00000038371,10090.ENSMUSP00000033058,Sbf2,40.511832,protein_coding,4.665001609093116,MM,True,False,True
ENSMUSG00000027655,10090.ENSMUSP00000029186,Dhx35,2.9423073333333334,protein_coding,1.4699304196248544,MM,True,False,False
ENSMUSG00000032288,10090.ENSMUSP00000034827,Imp3,20.958523,protein_coding,3.765577248664335,MM,True,False,True
ENSMUSG00000040025,10090.ENSMUSP00000120414,Ythdf2,20.13394733333333,protein_coding,3.712482759406293,MM,True,False,False
ENSMUSG00000030861,10090.ENSMUSP00000015829,Acadsb,18.689841,protein_coding,3.614671175444196,MM,True,True,True
ENSMUSG00000020283,10090.ENSMUSP00000020523,Pex13,105.080803,protein_coding,6.0050450794398715,MM,True,False,True
ENSMUSG00000021771,10090.ENSMUSP00000022293,Vdac2,581.4783729999998,protein_coding,8.45462879920694,MM,True,True,False
ENSMUSG00000071645,10090.ENSMUSP00000093958,Tut1,50.24769866666667,protein_coding,4.9642424781234205,MM,True,False,True
ENSMUSG00000052748,10090.ENSMUSP00000067516,Swt1,15.929096333333336,protein_coding,3.4039733975920154,MM,True,False,False
ENSMUSG00000029234,10090.ENSMUSP00000031144,Tmem165,15.699929666666668,protein_coding,3.384154550391295,MM,True,False,True
ENSMUSG00000024789,10090.ENSMUSP00000064394,Jak2,2.334832,protein_coding,1.2662074478595013,MM,True,False,True
ENSMUSG00000070280,10090.ENSMUSP00000091289,Slc22a14,88.55532600000001,protein_coding,5.762482881534942,MM,True,False,False
ENSMUSG00000020694,10090.ENSMUSP00000102554,Tlk2,203.67332966666663,protein_coding,6.948741952643995,MM,True,False,True
ENSMUSG00000022791,10090.ENSMUSP00000110777,Tnk2,3.1622220000000003,protein_coding,1.5373298662686585,MM,True,False,True
ENSMUSG00000028656,10090.ENSMUSP00000101862,Cap1,104.175102,protein_coding,5.992425644251503,MM,True,False,False
ENSMUSG00000047368,10090.ENSMUSP00000056099,Abhd17b,98.917132,protein_coding,5.919191339558757,MM,True,False,True
ENSMUSG00000037674,10090.ENSMUSP00000127192,Rfx7,5.323748666666666,protein_coding,2.0716774457390743,MM,True,False,True
ENSMUSG00000024234,10090.ENSMUSP00000025077,Mtpap,23.198293,protein_coding,3.9027168746387875,MM,True,False,True
ENSMUSG00000015291,10090.ENSMUSP00000015435,Gdi1,2.823694333333333,protein_coding,1.431011701589032,MM,True,False,True
ENSMUSG00000020849,10090.ENSMUSP00000070993,Ywhae,440.74759900000004,protein_coding,8.056140992116502,MM,True,False,True
ENSMUSG00000063273,10090.ENSMUSP00000029303,Naa15,100.71455866666668,protein_coding,5.9449902106213,MM,True,False,True
ENSMUSG00000020594,10090.ENSMUSP00000131074,Pum2,17.689621666666664,protein_coding,3.540989034701056,MM,True,False,False
ENSMUSG00000024712,10090.ENSMUSP00000025617,Rfk,7.086531000000001,protein_coding,2.3950231202870214,MM,True,False,True
ENSMUSG00000027582,10090.ENSMUSP00000029105,Zgpat,11.021471333333333,protein_coding,2.930916819735063,MM,True,False,True
ENSMUSG00000040250,10090.ENSMUSP00000032427,Ints13,165.08826733333333,protein_coding,6.648348363113956,MM,True,False,True
ENSMUSG00000026019,10090.ENSMUSP00000027173,Wdr12,212.49746733333333,protein_coding,7.009311833830841,MM,True,True,True
ENSMUSG00000071281,10090.ENSMUSP00000072900,Zfp65,1.2507943333333331,protein_coding,0.8096569996728263,MM,True,False,False
ENSMUSG00000027455,10090.ENSMUSP00000086542,Nsfl1c,37.21088533333333,protein_coding,4.54678152922066,MM,True,True,True
ENSMUSG00000049076,10090.ENSMUSP00000061501,Acap2,4.953491333333333,protein_coding,1.992396713711038,MM,True,False,False
ENSMUSG00000021275,10090.ENSMUSP00000126749,Tecpr2,2.4425326666666667,protein_coding,1.3041194556446456,MM,True,False,True
ENSMUSG00000057230,10090.ENSMUSP00000086948,Aak1,8.312591333333334,protein_coding,2.58520637571916,MM,True,False,True
ENSMUSG00000032567,10090.ENSMUSP00000035181,Aste1,67.43465833333333,protein_coding,5.378100211550846,MM,True,False,False
ENSMUSG00000015002,10090.ENSMUSP00000015146,Efr3a,40.50349033333333,protein_coding,4.665110772861101,MM,True,False,True
ENSMUSG00000070644,10090.ENSMUSP00000114272,Etnk2,2.715882,protein_coding,1.3966129093399235,MM,True,False,True
ENSMUSG00000079614,10090.ENSMUSP00000025421,Seh1l,2.409418,protein_coding,1.292833567547685,MM,True,False,True
ENSMUSG00000062963,10090.ENSMUSP00000078914,Ufc1,43.640175,protein_coding,4.7677075831034665,MM,True,False,True
ENSMUSG00000031839,10090.ENSMUSP00000034300,Hsbp1,1337.2911783333334,protein_coding,9.65361422017352,MM,True,False,True
ENSMUSG00000023353,10090.ENSMUSP00000024123,Agap3,11.675806666666665,protein_coding,3.0021752658570766,MM,True,False,False
ENSMUSG00000026111,10090.ENSMUSP00000027285,Unc50,77.75480166666667,protein_coding,5.577938319099086,MM,True,True,True
ENSMUSG00000024797,10090.ENSMUSP00000123994,Vps51,19.351021,protein_coding,3.6596421171153644,MM,True,False,True
ENSMUSG00000028668,10090.ENSMUSP00000030427,Eloa,31.64386266666667,protein_coding,4.32446570240888,MM,True,False,True
ENSMUSG00000022564,10090.ENSMUSP00000023225,Grina,186.38038633333332,protein_coding,6.821054017089184,MM,True,False,True
ENSMUSG00000026520,10090.ENSMUSP00000027802,Pycr2,3.509958333333333,protein_coding,1.6363984887694256,MM,True,False,True
ENSMUSG00000037104,10090.ENSMUSP00000038591,Socs5,9.48929,protein_coding,2.745383494871783,MM,True,False,False
ENSMUSG00000063362,10090.ENSMUSP00000072382,Alg11,5.768022333333334,protein_coding,2.160522467423748,MM,True,False,True
ENSMUSG00000003660,10090.ENSMUSP00000099509,Snrnp200,81.03860233333334,protein_coding,5.636606805445646,MM,True,True,True
ENSMUSG00000005873,10090.ENSMUSP00000006027,Reep5,10.755143666666667,protein_coding,2.9009107843576554,MM,True,False,False
ENSMUSG00000092232,10090.ENSMUSP00000117229,Gm20521,1.1570256666666665,protein_coding,0.7657734784948063,MM,True,False,True
ENSMUSG00000010936,10090.ENSMUSP00000034190,Vac14,2.6031796666666667,protein_coding,1.3595532174673433,MM,True,False,True
ENSMUSG00000025503,10090.ENSMUSP00000026576,Taldo1,10.983266333333333,protein_coding,2.9269661432013345,MM,True,False,True
ENSMUSG00000025354,10090.ENSMUSP00000026410,Dnajc14,16.411513666666664,protein_coding,3.4423195860556333,MM,True,False,True
ENSMUSG00000041231,10090.ENSMUSP00000099859,Ublcp1,24.661858,protein_coding,3.985448119517396,MM,True,False,True
ENSMUSG00000030092,10090.ENSMUSP00000086623,Cntn6,1.2437083333333334,protein_coding,0.8055442344804307,MM,True,True,False
ENSMUSG00000014867,10090.ENSMUSP00000015011,Surf4,69.14104733333333,protein_coding,5.412373742678219,MM,True,False,True
ENSMUSG00000026313,10090.ENSMUSP00000095249,Hdac4,2.152241666666667,protein_coding,1.1981888189813168,MM,True,False,True
ENSMUSG00000053510,10090.ENSMUSP00000068328,Nrd1,344.7791953333333,protein_coding,7.703469389531203,MM,True,False,False
