,id_gene_i,id_gene_j,gene_i,gene_j,logFPKM_i,logFPKM_j,weight,is_metric,is_ultrametric,is_metric_ortho
0,ENSG00000153046,ENSG00000181090,CDYL,EHMT1,2.083796399959053,4.798887526827125,0.879,True,True,False
1,ENSG00000153046,ENSG00000275004,CDYL,ZNF280B,2.083796399959053,2.881584064967083,0.77,True,True,False
2,ENSG00000153046,ENSG00000011451,CDYL,WIZ,2.083796399959053,5.721917823725969,0.855,True,True,is_metric_ortho-MM
3,ENSG00000153046,ENSG00000143379,CDYL,SETDB1,2.083796399959053,4.749217640025217,0.842,True,False,False
4,ENSG00000153046,ENSG00000198160,CDYL,MIER1,2.083796399959053,2.831459282017369,0.921,True,True,is_metric_ortho-MM-DM
5,ENSG00000138587,ENSG00000137941,MNS1,TTLL7,5.041184011538686,1.5120611124678942,0.606,True,False,is_metric_ortho-MM
6,ENSG00000138587,ENSG00000275835,MNS1,TUBGCP5,5.041184011538686,3.066827058677383,0.893,True,True,is_metric_ortho-MM-DM
7,ENSG00000138587,ENSG00000128408,MNS1,RIBC2,5.041184011538686,4.1875278056845335,0.665,True,False,is_metric_ortho-MM-DM
8,ENSG00000109832,ENSG00000165495,DDX25,PKNOX2,4.899938907036678,2.649698109901793,0.904,True,True,is_metric_ortho-MM
9,ENSG00000109832,ENSG00000236027,DDX25,PATE3,4.899938907036678,3.704786467859196,0.574,True,False,False
10,ENSG00000109832,ENSG00000180113,DDX25,TDRD6,4.899938907036678,4.770592646631773,0.873,True,False,is_metric_ortho-MM
11,ENSG00000109832,ENSG00000196116,DDX25,TDRD7,4.899938907036678,5.017685788367179,0.85,True,False,is_metric_ortho-MM
12,ENSG00000109832,ENSG00000119392,DDX25,GLE1,4.899938907036678,5.588634499453949,0.85,True,False,is_metric_ortho-MM-DM
13,ENSG00000109832,ENSG00000197181,DDX25,PIWIL2,4.899938907036678,4.399643464917678,0.86,True,False,is_metric_ortho-MM
14,ENSG00000109832,ENSG00000198331,DDX25,HYLS1,4.899938907036678,5.063192482118064,0.906,True,True,is_metric_ortho-MM
15,ENSG00000152430,ENSG00000183283,BOLL,DAZAP2,5.993642320372618,4.9191877713848005,0.8,True,False,False
16,ENSG00000152430,ENSG00000164287,BOLL,CDC20B,5.993642320372618,5.761732087641197,0.87,True,True,False
17,ENSG00000152430,ENSG00000214575,BOLL,CPEB1,5.993642320372618,3.573978724388703,0.912,True,True,is_metric_ortho-MM-DM
18,ENSG00000152430,ENSG00000167858,BOLL,TEKT1,5.993642320372618,1.6215766820082727,0.619,True,False,is_metric_ortho-DM
19,ENSG00000071626,ENSG00000095380,DAZAP1,NANS,5.074148550409434,2.8251190494511347,0.87,True,False,is_metric_ortho-MM
20,ENSG00000071626,ENSG00000123992,DAZAP1,DNPEP,5.074148550409434,5.444106717865126,0.632,True,False,is_metric_ortho-MM
21,ENSG00000071626,ENSG00000183283,DAZAP1,DAZAP2,5.074148550409434,4.9191877713848005,0.93,True,True,False
22,ENSG00000071626,ENSG00000078114,DAZAP1,NEBL,5.074148550409434,1.6269346689265691,0.719,True,True,False
23,ENSG00000071626,ENSG00000171757,DAZAP1,LRRC34,5.074148550409434,3.9810007399697844,0.663,True,False,is_metric_ortho-MM-DM
24,ENSG00000071626,ENSG00000135097,DAZAP1,MSI1,5.074148550409434,1.6679242856581549,0.813,True,False,is_metric_ortho-MM
25,ENSG00000071626,ENSG00000156110,DAZAP1,ADK,5.074148550409434,2.7895187777990973,0.828,True,False,is_metric_ortho-MM
26,ENSG00000071626,ENSG00000106686,DAZAP1,SPATA6L,5.074148550409434,3.0538413784760703,0.731,True,True,is_metric_ortho-MM
27,ENSG00000071626,ENSG00000244462,DAZAP1,RBM12,5.074148550409434,3.5200523913400863,0.843,True,False,is_metric_ortho-MM
28,ENSG00000071626,ENSG00000168096,DAZAP1,ANKS3,5.074148550409434,2.9229389583711347,0.678,True,False,is_metric_ortho-MM
29,ENSG00000071626,ENSG00000198556,DAZAP1,ZNF789,5.074148550409434,4.864509461994583,0.547,True,False,False
30,ENSG00000071626,ENSG00000153944,DAZAP1,MSI2,5.074148550409434,2.916598265191129,0.815,True,True,is_metric_ortho-MM
