,id_gene_i,id_gene_j,gene_i,gene_j,logFPKM_i,logFPKM_j,weight,is_metric,is_ultrametric,is_metric_ortho
0,ENSG00000161533,ENSG00000151726,ACOX1,ACSL1,2.454989264005147,3.2779289595340417,0.975,True,True,False
1,ENSG00000161533,ENSG00000164398,ACOX1,ACSL6,2.454989264005147,4.698114236592641,0.952,True,True,False
2,ENSG00000161533,ENSG00000116171,ACOX1,SCP2,2.454989264005147,1.7462844210954052,0.985,True,False,is_metric_ortho-MM-DM
3,ENSG00000161533,ENSG00000157184,ACOX1,CPT2,2.454989264005147,3.1460904388550865,0.976,True,False,is_metric_ortho-MM
4,ENSG00000161533,ENSG00000156521,ACOX1,TYSND1,2.454989264005147,5.231969002235108,0.983,True,True,is_metric_ortho-MM
5,ENSG00000161533,ENSG00000110090,ACOX1,CPT1A,2.454989264005147,3.116547383359337,0.982,True,True,False
6,ENSG00000161533,ENSG00000157326,ACOX1,DHRS4,2.454989264005147,3.357927783596998,0.933,True,False,is_metric_ortho-MM-DM
7,ENSG00000161533,ENSG00000186951,ACOX1,PPARA,2.454989264005147,1.6157258502091796,0.977,True,False,False
8,ENSG00000161533,ENSG00000103740,ACOX1,ACSBG1,2.454989264005147,1.7078152001220683,0.937,True,False,False
9,ENSG00000161533,ENSG00000131373,ACOX1,HACL1,2.454989264005147,6.7430277502420966,0.928,True,False,is_metric_ortho-MM
10,ENSG00000161533,ENSG00000197142,ACOX1,ACSL5,2.454989264005147,2.4604696139636264,0.959,True,False,False
11,ENSG00000161533,ENSG00000068366,ACOX1,ACSL4,2.454989264005147,2.0950851911344834,0.955,True,True,False
12,ENSG00000161533,ENSG00000116906,ACOX1,GNPAT,2.454989264005147,4.335520849417091,0.963,True,False,False
13,ENSG00000161533,ENSG00000123983,ACOX1,ACSL3,2.454989264005147,4.005401275327876,0.962,True,True,False
14,ENSG00000161533,ENSG00000060971,ACOX1,ACAA1,2.454989264005147,1.9030642435331395,0.991,True,True,is_metric_ortho-MM
15,ENSG00000161533,ENSG00000119673,ACOX1,ACOT2,2.454989264005147,1.0091336428477433,0.956,True,False,False
16,ENSG00000161533,ENSG00000197448,ACOX1,GSTK1,2.454989264005147,4.375596198390742,0.919,True,False,False
17,ENSG00000161533,ENSG00000130377,ACOX1,ACSBG2,2.454989264005147,5.133778902915429,0.951,True,True,False
18,ENSG00000072364,ENSG00000118985,AFF4,ELL2,4.161346563552722,3.354431460832192,0.996,True,True,is_metric_ortho-MM
19,ENSG00000072364,ENSG00000136807,AFF4,CDK9,4.161346563552722,4.936223458939345,0.999,True,True,False
20,ENSG00000072364,ENSG00000129315,AFF4,CCNT1,4.161346563552722,3.5977123985505917,0.999,True,True,is_metric_ortho-MM-DM
21,ENSG00000072364,ENSG00000105656,AFF4,ELL,4.161346563552722,2.1418841347597835,0.996,True,True,is_metric_ortho-MM
22,ENSG00000072364,ENSG00000130382,AFF4,MLLT1,4.161346563552722,2.5061741281992176,0.99,True,True,is_metric_ortho-MM-DM
23,ENSG00000072364,ENSG00000145088,AFF4,EAF2,4.161346563552722,2.8416619770123037,0.987,True,False,is_metric_ortho-MM-DM
24,ENSG00000004455,ENSG00000138035,AK2,PNPT1,5.602138685052555,2.854325171239567,0.929,True,False,is_metric_ortho-MM-DM
25,ENSG00000004455,ENSG00000135778,AK2,NTPCR,5.602138685052555,2.8864237555896155,0.905,True,False,is_metric_ortho-MM-DM
26,ENSG00000004455,ENSG00000156110,AK2,ADK,5.602138685052555,2.7895187777990973,0.979,True,True,is_metric_ortho-MM
27,ENSG00000004455,ENSG00000196511,AK2,TPK1,5.602138685052555,3.470497364511694,0.904,True,False,is_metric_ortho-DM
28,ENSG00000133794,ENSG00000173077,ARNTL,DEC1,3.274464022012008,2.1326443423298187,0.947,True,False,False
29,ENSG00000133794,ENSG00000159208,ARNTL,CIART,3.274464022012008,3.51560974192479,0.786,True,True,False
30,ENSG00000133794,ENSG00000134852,ARNTL,CLOCK,3.274464022012008,5.931997133238073,0.999,True,True,is_metric_ortho-MM-DM
31,ENSG00000133794,ENSG00000121671,ARNTL,CRY2,3.274464022012008,5.335015654961122,0.999,True,True,is_metric_ortho-MM-DM
32,ENSG00000133794,ENSG00000008405,ARNTL,CRY1,3.274464022012008,5.124298002711117,0.999,True,True,is_metric_ortho-MM-DM
33,ENSG00000133794,ENSG00000096717,ARNTL,SIRT1,3.274464022012008,3.933175378217128,0.994,True,True,False
34,ENSG00000133794,ENSG00000134107,ARNTL,BHLHE40,3.274464022012008,1.395790043508547,0.983,True,True,is_metric_ortho-MM
35,ENSG00000133794,ENSG00000069667,ARNTL,RORA,3.274464022012008,2.6158421017669324,0.985,True,True,is_metric_ortho-MM
36,ENSG00000133794,ENSG00000170485,ARNTL,NPAS2,3.274464022012008,2.467269349383286,0.998,True,True,is_metric_ortho-MM-DM
37,ENSG00000105011,ENSG00000159259,ASF1B,CHAF1B,5.433015268882789,3.457597728091185,0.991,True,True,is_metric_ortho-MM-DM
38,ENSG00000105011,ENSG00000198586,ASF1B,TLK1,5.433015268882789,2.930989448171708,0.992,True,True,is_metric_ortho-MM-DM
