id_gene,gene
FBgn0000079,Amy-p
FBgn0000108,Appl
FBgn0000119,arr
FBgn0000152,Axs
FBgn0000299,Col4a1
FBgn0000326,clt
FBgn0000370,crc
FBgn0000567,Eip74EF
FBgn0001089,Gal
FBgn0001104,Galphai
FBgn0001114,Glt
FBgn0001122,Galphao
FBgn0001197,His2Av
FBgn0001624,dlg1
FBgn0002542,lds
FBgn0002778,mnd
FBgn0002899,mus301
FBgn0002905,mus308
FBgn0002914,Myb
FBgn0002973,numb
FBgn0003090,pk
FBgn0003124,polo
FBgn0003210,rb
FBgn0003292,rt
FBgn0003386,Shaw
FBgn0003392,shi
FBgn0003450,snk
FBgn0003545,sub
FBgn0003607,Su(var)205
FBgn0003731,Egfr
FBgn0003892,ptc
FBgn0004227,nonA
FBgn0004363,porin
FBgn0004381,Klp68D
FBgn0004556,Dbp73D
FBgn0004619,GluRIA
FBgn0004855,RpII15
FBgn0004875,enc
FBgn0004876,cdi
FBgn0005617,msl-1
FBgn0010328,woc
FBgn0010389,htl
FBgn0010435,emp
FBgn0010531,Ccs
FBgn0011224,heph
FBgn0011259,Sema1a
FBgn0011260,Sema2a
FBgn0011640,lark
FBgn0012034,AcCoAS
FBgn0013548,l(2)dtl
FBgn0013759,CASK
FBgn0013812,Dhc93AB
FBgn0014075,Uggt
FBgn0015239,Hr78
FBgn0015277,Pi3K59F
FBgn0015520,nonA-l
FBgn0015572,alpha-Est4
FBgn0015574,alpha-Est6
FBgn0015622,Cnx99A
FBgn0015949,hrg
FBgn0016059,Sema1b
FBgn0016075,vkg
FBgn0016078,wun
FBgn0016970,l(2)k10201
FBgn0017414,cag
FBgn0017551,Rca1
FBgn0020270,mre11
FBgn0020278,loco
FBgn0020309,crol
FBgn0022338,dnk
FBgn0022699,D19B
FBgn0022800,Cad96Ca
FBgn0022935,D19A
FBgn0022942,Cbp80
FBgn0022959,yps
FBgn0022986,qkr58E-1
FBgn0022987,qkr54B
FBgn0023083,fray
FBgn0023514,CG14805
FBgn0024285,Srp54
FBgn0024291,Sirt1
FBgn0024804,Dbp80
FBgn0024846,p38b
FBgn0024921,Tnpo
FBgn0024945,NitFhit
FBgn0025615,Torsin
FBgn0025635,CG17829
FBgn0025807,Rad9
FBgn0025837,CG17636
FBgn0025874,Meics
FBgn0025936,Eph
FBgn0026616,alpha-Man-IIb
FBgn0026679,IntS4
FBgn0026876,CG11403
FBgn0027330,l(1)G0020
FBgn0027341,Gfat1
FBgn0027507,CG1344
FBgn0027610,Dic1
FBgn0027864,Ogg1
FBgn0027866,CG9776
FBgn0028292,ric8a
FBgn0028425,JhI-21
FBgn0028539,Eato
FBgn0028647,CG11902
FBgn0028669,Vha100-3
FBgn0028670,Vha100-2
FBgn0028671,Vha100-1
FBgn0028879,CG15270
FBgn0028892,CG4161
FBgn0028897,CG4935
FBgn0028932,CG16890
FBgn0029512,Aos1
FBgn0029778,RhoGAP5A
FBgn0029820,CG16721
FBgn0029928,CG3032
FBgn0030008,CG2129
FBgn0030010,CG10959
FBgn0030082,HP1b
FBgn0030122,Aladin
FBgn0030377,CG1924
FBgn0030574,CG9413
FBgn0030581,CG14408
FBgn0030610,CG9065
FBgn0030655,CG9213
FBgn0030706,Lrp4
FBgn0030724,Nipsnap
FBgn0030753,rngo
FBgn0030768,CG9723
FBgn0030794,CG13005
FBgn0030796,CG4829
FBgn0030932,Ggt-1
FBgn0031052,CG14215
FBgn0031066,COX6B
FBgn0031078,Nup205
FBgn0031144,CG1529
FBgn0031169,CG1494
FBgn0031170,ABCA
FBgn0031171,CG1801
FBgn0031227,CG3709
FBgn0031254,CG13692
FBgn0031287,CG4291
FBgn0031456,Tnpo-SR
FBgn0031519,Fign
FBgn0031673,CG31650
FBgn0031720,CG14013
FBgn0031764,CG9107
FBgn0031850,Tsp
FBgn0031865,Nha1
FBgn0031990,PAPLA1
FBgn0032042,CG13398
FBgn0032123,Oatp30B
FBgn0032188,CG13137
FBgn0032246,Wdfy2
FBgn0032295,CG12299
FBgn0032373,Vha100-5
FBgn0032475,Sfmbt
FBgn0032524,Hacd2
FBgn0032600,BuGZ
FBgn0032633,Lrch
FBgn0032691,Atac2
FBgn0032700,CG10338
FBgn0032723,ssp3
FBgn0032752,CG10702
FBgn0032879,CarT
FBgn0033015,d4
FBgn0033117,CG3358
FBgn0033248,Dic3
FBgn0033371,CNT1
FBgn0033491,CG18011
FBgn0033636,tou
FBgn0033638,CG9005
FBgn0033755,ClC-b
FBgn0033766,Nup188
FBgn0033809,CG4630
FBgn0033845,mars
FBgn0033921,tej
FBgn0033934,CG17385
FBgn0033984,Lap1
FBgn0033995,GPHR
FBgn0034050,bug
FBgn0034071,CG8405
FBgn0034109,CG7747
