id_gene,gene,biotype,logFC,logCPM,F,PValue,FDR,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3,id_string
FBgn0261399,Pp1-Y1,protein_coding,-8.983380291,3.8705539960000004,618.9016351,8.37e-10,1.08e-08,28.96641327,26.06214846,27.866582300000005,0.10046891599999999,0.013457835,0.038676028,16.72750123,15.63896109,16.51321751,7227.FBpp0291546
FBgn0263405,lncRNA:CR43451,ncRNA,-7.592918117000001,3.1660630419999998,197.72009619999997,2.24e-06,7.61e-06,25.42419328,30.41754794,23.58332269,0.18658513,0.114391594,0.077352056,0.278791687,0.166879158,0.0,
FBgn0264570,lncRNA:CR43942,ncRNA,-6.748440557,3.6940202689999997,479.1977068,2.52e-09,2.52e-08,35.63981065,38.95272594,39.68363846,0.416228366,0.316259114,0.309408224,0.39495489,0.119199399,0.09572879699999999,
FBgn0053300,Muc30E,protein_coding,-6.550101947999999,4.1808694189999995,261.16900519999996,8.359999999999999e-07,3.22e-06,54.47523297,55.58402957,49.77384688,0.746340518,0.57868689,0.27073219600000004,0.6737465770000001,0.190719038,0.33505079,7227.FBpp0296937
FBgn0034563,CG15649,protein_coding,-6.504700113999999,2.112379897,28.15425002,0.001638404,0.002919115,12.35545675,9.536217395,13.08679715,0.11482161800000001,0.114391594,0.17404212600000002,2.857614793,0.166879158,0.11966099599999999,7227.FBpp0289790
FBgn0286914,lncRNA:CR46414,ncRNA,-6.197137924,3.335585182,2115.084275,2.98e-16,3.99e-12,12.25874084,13.06619842,11.19065061,0.165056076,0.16822293300000002,0.154704112,19.21339377,17.28391279,18.18847146,
FBgn0265368,lncRNA:CR44309,ncRNA,-5.975137491,2.974965338,411.57496560000004,1.3800000000000002e-09,1.6100000000000002e-08,19.22228594,21.91749412,23.07542629,0.452110122,0.269156693,0.27073219600000004,2.462659903,1.239673745,1.483796356,
FBgn0265444,lncRNA:CR44344,ncRNA,-5.963835424,3.6327134169999997,436.8162114,2.17e-09,2.25e-08,18.58154307,29.50431901,21.39936818,0.495168228,0.23551210600000003,0.38676028,14.70626149,12.73049576,13.95247218,
FBgn0265585,lncRNA:CR44412,ncRNA,-5.814461755,4.063402432,176.10340559999997,4.38e-06,1.3800000000000002e-05,50.77584964,45.6263219,45.01655063,1.284566853,0.7805544090000001,0.29007021,2.021239731,1.8118308580000002,2.297491131,
FBgn0266380,lncRNA:CR45022,ncRNA,-5.760687626,1.0701074320000001,277.4289953,3.3799999999999997e-10,5.7e-09,5.150121892,6.585785494,6.382564717999999,0.121997969,0.074018091,0.154704112,0.0,0.047679759,0.0,
FBgn0058053,lncRNA:CR40053,ncRNA,-5.752172872,3.301568166,309.6730169,3.6600000000000003e-08,2.1300000000000001e-07,25.66598304,34.7905095,24.95464296,0.775045923,0.363361535,0.406098295,0.48788545200000005,0.28607855600000004,0.502576185,7227.FBpp0110497
