,label,logFC,logCPM,FDR,id_string,layer,page-rank,module,is_metric_ortho,core,reg,cross-reg,id-cross
FBgn0036414,,2.552081732,1.504747749,1.05e-08,7227.FBpp0302810,DM,,,,,up,,
FBgn0263392,Tet,-1.6126226609999998,5.047126904,2.53e-09,7227.FBpp0306013,DM,2.9834960097881093e-05,,,,down,,
FBgn0032907,CG9272,-1.6131277869999998,4.984499448,4.83e-10,7227.FBpp0088883,DM,8.694848842421415e-05,,True,,down,up,ENSG00000065057
FBgn0035161,CG13898,-1.6135022,7.786846841,7.490000000000001e-09,7227.FBpp0072496,DM,0.0003326633940605035,11.0,,,down,,
FBgn0265274,Inx3,-1.613928491,5.6176100060000005,5.63e-10,7227.FBpp0303338,DM,0.00013114964608761104,,,,down,,
FBgn0051363,Jupiter,-1.615745069,9.915299979,5e-08,7227.FBpp0081930,DM,5.5177582551778366e-05,,,,down,,
FBgn0064912,CG31178,-1.616149481,9.360241579,1.01e-09,7227.FBpp0289352,DM,2.1130476716372682e-05,,,,down,,
FBgn0053723,CG33723,-1.6187155869999998,2.386705034,3.67e-07,7227.FBpp0091019,DM,,,,,down,,
FBgn0034840,CG3124,-1.619682769,10.54432904,6.71e-08,7227.FBpp0071955,DM,0.0002031920556099306,,,,down,,
FBgn0062449,CG13197,-1.622100746,7.141124284,3.41e-10,7227.FBpp0087183,DM,5.21065790199914e-05,,,,down,down,ENSG00000144048
FBgn0026563,CG1979,-1.62363758,10.13612335,3.829999999999999e-09,7227.FBpp0081142,DM,6.543517544633853e-05,,,,down,,
FBgn0035709,eIF4E4,-1.624530334,8.017705788999999,1.91e-09,7227.FBpp0076672,DM,0.0003810142968717848,3.0,True,,down,,
FBgn0046793,CG32236,-1.627046723,7.583912004,2.6600000000000003e-09,7227.FBpp0073225,DM,2.160968560105647e-05,,,,down,,
FBgn0011725,twin,-1.6276788919999998,9.957033359,1.06e-09,7227.FBpp0083954,DM,0.00015043759228183792,,True,,down,down,ENSG00000113300
FBgn0035491,Dpy-30L2,-1.62841705,8.000188784,1.04e-09,7227.FBpp0305197,DM,0.0004766380428806538,12.0,,,down,,
FBgn0261625,GLS,-1.6285466219999998,7.665688288999998,5.1e-10,7227.FBpp0292103,DM,9.250628439552934e-05,,True,,down,,
FBgn0267431,Myo81F,-1.6301823969999998,2.3473272830000003,5.69e-07,7227.FBpp0291459,DM,,,,,down,,
FBgn0039007,CCAP,-1.6302915619999998,2.658837637,2.88e-08,7227.FBpp0083726,DM,7.456205847379178e-05,,,,down,,
FBgn0051921,CG31921,-1.6321218240000002,9.440061018,2.1100000000000004e-09,7227.FBpp0077755,DM,,,,,down,,
FBgn0050376,CG30376,-1.632249489,9.16511822,3.63e-09,7227.FBpp0087876,DM,0.00011539054305399833,,,,down,,
FBgn0039373,CG5024,-1.612155224,8.171340817,5.579999999999999e-09,7227.FBpp0084276,DM,0.00017669033958091828,,True,True,down,down,ENSG00000143933
FBgn0025702,Srpk79D,-1.6120706480000002,8.114009098,1.22e-09,7227.FBpp0297551,DM,4.453808656661943e-05,,True,,down,"down,down","ENSG00000096063,ENSG00000135250"
FBgn0037228,CG1092,-1.6113535019999998,3.413187977,4.43e-08,7227.FBpp0078617,DM,2.561984556978712e-05,,,,down,,
FBgn0034835,CG3092,-1.611135695,8.776281714,2.92e-09,7227.FBpp0071908,DM,0.00013397849390698956,,,,down,,
FBgn0037860,CG6629,-1.594186148,5.990363911,1.87e-07,7227.FBpp0081856,DM,0.00033566060407302293,12.0,,,down,,
