Probe Set ID,GSM461121.mas5-Signal,GSM461121.mas5-Detection,GSM461122.mas5-Signal,GSM461122.mas5-Detection,GSM461123.mas5-Signal,GSM461123.mas5-Detection,Ensembl,Ave signal,Combined detection signal
1630905_at,0.1522674,A,0.5260248,A,0.1509843,A,---,0.2764255,A
1631711_at,0.2552944,A,0.2313391,A,0.3574517,A,FBgn0035734,0.281361733,A
1634018_at,0.3656316,A,0.3917929,A,0.3602866,A,FBgn0054028,0.372570367,A
1640428_a_at,0.6735432,A,0.2749396,A,0.2486498,A,---,0.3990442,A
1624838_a_at,0.8146551,A,0.3044286,A,0.2503561,A,FBgn0032840,0.456479933,A
1625286_at,0.6135086,A,0.2033237,A,0.5528098,A,---,0.456547367,A
1632357_x_at,0.3764302,A,0.5040127,A,0.6399077,A,---,0.506783533,A
1625279_a_at,0.5195697,A,0.54848,A,0.6316001,A,FBgn0003896,0.566549933,A
1638759_at,1.106174,A,0.3382344,A,0.6331598,A,FBgn0261930,0.692522733,A
1626794_at,0.989958,A,0.3736261,A,0.7406114,A,---,0.7013985,A
1626551_at,0.384019,A,1.070484,A,0.7466797,A,---,0.733727567,A
1633864_at,0.8915812,A,0.458877,A,0.8870494,A,FBgn0037487,0.745835867,A
1632629_a_at,0.6629612,A,0.4075457,A,1.193364,A,FBgn0029663,0.754623633,A
1626450_at,1.243952,A,0.4108559,A,0.6271846,A,---,0.760664167,A
1636959_at,0.812819,A,0.7483904,A,0.7625108,A,---,0.7745734,A
1637569_s_at,1.027811,A,0.572907,A,0.7407474,A,FBgn0040487 /// FBgn0040809,0.780488467,A
1634093_at,0.4421882,A,0.9765584,A,0.9548199,A,FBgn0052017,0.791188833,A
1624282_s_at,1.222413,A,0.6281098,A,0.5231289,A,---,0.791217233,A
1633104_at,1.360904,A,0.64067,A,0.5253316,A,---,0.842301867,A
1637655_s_at,0.8361552,A,0.7657667,A,1.011706,A,---,0.8712093,A
1625711_at,0.541088,A,0.8080447,A,1.296337,A,FBgn0264907,0.881823233,A
1626174_a_at,1.049706,A,0.7877732,A,0.8572606,A,FBgn0027654,0.8982466,A
1634618_at,1.453144,A,0.5762386,A,0.6988271,A,---,0.909403233,A
1623812_at,1.165577,A,0.5805894,A,0.9969973,A,FBgn0036320,0.9143879,A
1624702_s_at,1.530157,A,0.6972465,A,0.5195228,A,FBgn0052057,0.9156421,A
1625368_at,1.231992,A,0.4674283,A,1.124005,A,---,0.941141767,A
1633932_x_at,1.020939,A,1.026229,A,0.8267012,A,---,0.9579564,A
1636973_at,1.421172,A,0.8316305,A,0.6290229,A,FBgn0038257,0.960608467,A
1627251_s_at,1.248406,A,0.4581196,A,1.204973,A,FBgn0259245,0.970499533,A
1623845_s_at,0.9336497,A,1.042633,A,0.9744574,A,---,0.983580033,A
1636264_at,1.520997,A,0.812288,A,0.640309,A,FBgn0015323,0.991198,A
1627203_at,0.8131294,A,0.4105126,A,1.753649,A,FBgn0035581,0.992430333,A
1628520_at,1.129289,A,0.8555321,A,1.011174,A,---,0.998665033,A
1625946_at,0.4884678,A,0.7595531,A,1.816497,A,FBgn0036789,1.021505967,A
1633489_at,0.6955383,A,1.674863,A,0.7065931,A,FBgn0028644,1.0256648,A
1623488_at,1.077809,A,1.073231,A,0.9291759,A,---,1.026738633,A
1638895_at,1.256239,A,0.8644708,A,0.9699913,A,---,1.0302337,A
1637651_at,1.192383,A,0.4699835,A,1.434052,A,FBgn0030418,1.0321395,A
1637273_at,1.374099,A,0.5176191,A,1.206565,A,---,1.032761033,A
1632681_at,1.587123,A,0.391602,A,1.130052,A,FBgn0001138,1.036259,A
1639864_at,1.065898,A,0.8319382,A,1.240939,A,---,1.0462584,A
1626694_at,1.334089,A,0.9021147,A,0.9065257,A,FBgn0039897,1.047576467,A
1637884_at,1.043777,A,0.6756332,A,1.427844,A,FBgn0267428,1.049084733,A
1640164_at,0.9375333,A,0.8679922,A,1.366827,A,FBgn0025519,1.057450833,A
1623035_at,1.17435,A,1.25283,A,0.7578767,A,FBgn0016684,1.061685567,A
1636704_at,0.9213032,A,0.886999,A,1.381058,A,FBgn0083940,1.063120067,A
1636024_at,1.328693,A,1.114085,A,0.777578,A,---,1.073452,A
1629958_at,1.117458,A,1.373702,A,0.7519959,A,FBgn0038704,1.081051967,A
1634896_at,0.5659174,A,2.177284,A,0.5098311,A,---,1.084344167,A
