Probe Set ID,GSM461118.mas5-Signal,GSM461118.mas5-Detection,GSM461119.mas5-Signal,GSM461119.mas5-Detection,GSM461120.mas5-Signal,GSM461120.mas5-Detection,Ensembl,Ave signal,Combined detection signal
1624838_a_at,0.6086907,A,0.4183244,A,0.2460173,A,FBgn0032840,0.424344133,A
1626794_at,0.4628375,A,0.3617016,A,0.7365125,A,---,0.520350533,A
1627053_at,0.6266884,A,0.7783554,A,0.2127603,A,FBgn0004567,0.539268033,A
1623075_at,0.7257902,A,0.4866759,A,0.4118333,A,---,0.541433133,A
1633104_at,0.5618136,A,0.7199118,A,0.541546,A,---,0.607757133,A
1639824_at,0.4995891,A,0.7067015,A,0.6313014,A,FBgn0054005,0.612530667,A
1636973_at,0.8805053,A,0.337242,A,0.7247143,A,FBgn0038257,0.6474872,A
1634018_at,0.7931871,A,0.6499382,A,0.5159709,A,FBgn0054028,0.653032067,A
1627203_at,0.7879037,A,0.9751113,A,0.4930498,A,FBgn0035581,0.7520216,A
1637393_at,0.9361201,A,0.7808632,A,0.6176692,A,FBgn0260964,0.7782175,A
1638401_at,0.6921182,A,0.7496195,A,1.055546,A,FBgn0035011,0.8324279,A
1636704_at,1.690658,A,0.3591384,A,0.4564321,A,FBgn0083940,0.8354095,A
1640428_a_at,1.991149,A,0.4141308,A,0.2036748,A,---,0.869651533,A
1624642_at,0.8198585,A,1.227798,A,0.6022366,A,FBgn0028866,0.8832977,A
1636024_at,1.340946,A,0.7007079,A,0.6086338,A,---,0.883429233,A
1626394_at,0.6023198,A,0.591767,A,1.491978,A,FBgn0039778,0.895354933,A
1624833_a_at,1.880217,A,0.4453446,A,0.3665583,A,FBgn0000037,0.8973733,A
1623845_s_at,1.097314,A,0.8274716,A,0.7802495,A,---,0.901678367,A
1637273_at,1.156915,A,0.7559244,A,0.9142399,A,---,0.942359767,A
1632629_a_at,0.8613313,A,1.529107,A,0.539281,A,FBgn0029663,0.9765731,A
1623180_a_at,1.263276,A,0.536518,A,1.142247,A,FBgn0000448 /// FBgn0033497,0.980680333,A
1639366_at,1.749217,A,0.4922283,A,0.7104243,A,FBgn0014859,0.983956533,A
1629415_x_at,1.198533,A,0.9201095,A,0.839305,A,---,0.9859825,A
1627374_at,1.468471,A,0.9737757,A,0.5257668,A,---,0.989337833,A
1632681_at,1.498249,A,0.5344996,A,0.9612966,A,FBgn0001138,0.998015067,A
1636821_at,1.056151,A,0.793142,A,1.14815,A,FBgn0038369,0.999147667,A
1630905_at,0.7441396,A,0.3224792,A,1.94479,A,---,1.003802933,A
1624918_at,0.8069862,A,1.443728,A,0.8307934,A,---,1.0271692,A
1640164_at,1.132732,A,1.332194,A,0.6550424,A,FBgn0025519,1.039989467,A
1626501_at,1.166792,A,1.179607,A,0.7761163,A,FBgn0037576,1.040838433,A
1636959_at,1.327942,A,0.7838353,A,1.017191,A,---,1.042989433,A
1627251_s_at,2.197425,A,0.5530755,A,0.3983832,A,FBgn0259245,1.0496279,A
1639912_x_at,1.359952,A,1.059619,A,0.7954957,A,---,1.0716889,A
1624507_at,1.023811,A,1.328769,A,0.8681664,A,FBgn0051268,1.073582133,A
1627929_at,0.8885604,A,0.6536782,A,1.713939,A,FBgn0264449,1.085392533,A
1632126_at,0.9713446,A,1.222279,A,1.105514,A,---,1.099712533,A
1633525_at,1.051278,A,1.288643,A,1.022889,A,---,1.120936667,A
1636700_at,1.361019,A,1.203548,A,0.8302009,A,---,1.1315893,A
1624900_at,1.241587,A,1.232985,A,0.9221259,A,FBgn0051051,1.132232633,A
1633775_at,2.168291,A,0.8410054,A,0.391862,A,FBgn0051665,1.133719467,A
1623963_at,1.709023,A,1.080525,A,0.6613691,A,FBgn0052115,1.1503057,A
1625622_at,1.600638,A,1.057309,A,0.7960633,A,---,1.151336767,A
1634480_at,1.567536,A,1.00985,A,0.9348491,A,---,1.170745033,A
1629404_at,1.032431,A,1.431557,A,1.049363,A,FBgn0053517,1.171117,A
1633864_at,0.9557679,A,0.6534797,A,1.911138,A,FBgn0037487,1.173461867,A
1625225_at,1.114762,A,1.080611,A,1.362557,A,---,1.185976667,A
1637569_s_at,1.587493,A,1.273938,A,0.7027602,A,FBgn0040487 /// FBgn0040809,1.188063733,A
1626824_at,1.647179,A,0.9916655,A,0.9359695,A,---,1.191604667,A
1630854_at,1.113128,A,1.097972,A,1.376231,A,---,1.195777,A
1625356_at,0.6318434,A,1.493219,A,1.471813,A,---,1.198958467,A
1638170_at,1.354288,A,1.561699,A,0.690037,A,---,1.202008,A
1638144_at,1.452028,A,1.212686,A,0.9416091,A,---,1.2021077,A
1623768_at,1.628817,A,1.441905,A,0.5388414,A,---,1.2031878,A
1639618_at,1.36744,A,1.616557,A,0.6300806,A,---,1.204692533,A
1636072_at,1.384757,A,0.9203469,A,1.315695,A,---,1.206932967,A
1638260_s_at,0.8014427,A,1.787666,A,1.04752,A,FBgn0033484,1.212209567,A
1632719_at,0.8389311,A,2.02375,A,0.7913769,A,FBgn0000279,1.218019333,A
1629067_at,1.321004,A,0.630146,A,1.715116,A,FBgn0035847,1.222088667,A
1633345_at,1.038351,A,0.9291885,A,1.71079,A,FBgn0003339,1.226109833,A
1633638_s_at,1.22709,A,1.583148,A,0.8793292,A,---,1.229855733,A
1628933_at,0.9922013,A,1.518604,A,1.18336,A,---,1.231388433,A
1641260_at,1.878214,A,1.005256,A,0.8461621,A,---,1.2432107,A
1638004_at,1.408854,A,0.9357476,A,1.391807,A,FBgn0004580,1.245469533,A
1637237_at,0.7963107,A,1.309619,A,1.638044,A,---,1.247991233,A
1630058_at,1.314238,A,0.8144912,A,1.643528,A,FBgn0262636,1.257419067,A
1634856_at,2.046118,A,0.8168117,A,0.9095837,A,FBgn0005619,1.257504467,A
1624282_s_at,1.40823,A,0.8643653,A,1.526475,A,---,1.266356767,A
1624336_at,1.212146,A,1.390426,A,1.227947,A,---,1.276839667,A
1638404_at,1.556614,A,0.9883988,A,1.313615,A,---,1.286209267,A
1640107_at,0.8384035,A,2.08874,A,0.9728118,A,FBgn0031097,1.2999851,A
1635414_at,1.265868,A,1.391856,A,1.256275,A,---,1.304666333,A
1637655_s_at,1.760153,A,0.8809266,A,1.40634,A,---,1.349139867,A
1638759_at,1.796567,A,1.117708,A,1.134323,A,FBgn0261930,1.349532667,A
1636492_at,1.148834,A,1.335847,A,1.579491,A,---,1.354724,A
1631554_at,0.7203179,A,2.39175,A,0.9666785,A,FBgn0259994,1.359582133,A
1625318_at,1.45451,A,1.687334,A,0.9479813,A,---,1.3632751,A
1631408_at,2.197077,A,0.7069791,A,1.198794,A,FBgn0029123,1.3676167,A
1633276_at,1.396609,A,1.143944,A,1.590302,A,---,1.376951667,A
1623082_s_at,1.2496,A,1.731545,A,1.162459,A,---,1.381201333,A
1623812_at,0.6930041,A,0.2382375,A,3.224319,A,FBgn0036320,1.385186867,A
1637805_at,1.509671,A,1.194566,A,1.457672,A,---,1.387303,A
1629892_at,1.233214,A,1.644461,A,1.312209,A,FBgn0263117,1.396628,A
1637594_at,2.021473,A,1.098404,A,1.109245,A,FBgn0259734,1.409707333,A
1624674_at,0.5673085,A,1.761203,A,1.908395,A,FBgn0023023,1.412302167,A
1636893_at,1.567381,A,1.722595,A,0.9613596,A,---,1.417111867,A
1631657_at,1.346146,A,2.014037,A,0.8976229,A,---,1.419268633,A
1627441_at,0.6505342,A,1.55855,A,2.048796,A,FBgn0004514,1.4192934,A
