Gene_ID,Spermatogonia_Rep_1,Spermatogonia_Rep_2,Spermatogonia_Rep_3,Spermatocytes_Rep_1,Spermatocytes_Rep_2,Spermatocytes_Rep_3,Spermatids_Rep_1,Spermatids_Rep_2,Spermatids_Rep_3,Spermatozoa_Rep_1,Spermatozoa_Rep_2,Spermatozoa_Rep_3
ENSMUSG00000102693,0,0,0,1,0,1,13,18,10,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,77,87,98,0,0,0,0,0,0,0,0,0
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,1,0,2,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000103147,2,1,2,0,0,0,0,0,0,0,1,2
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102331,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,2,1,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,1,0,1,2,2,0,0,0
ENSMUSG00000025900,96,100,106,915,1011,1278,230,454,448,9,8,18
ENSMUSG00000102948,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000025902,237,219,268,252,322,417,159,246,256,1,1,2
ENSMUSG00000104238,0,0,0,14,7,7,6,8,8,0,1,0
ENSMUSG00000102269,3,3,1,0,0,0,0,1,0,2,3,1
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,9,10,15,35,41,45,0,0,0
ENSMUSG00000102735,0,1,1,4,4,4,11,11,19,0,0,0
ENSMUSG00000098104,105,114,105,100,138,142,36,62,65,27,25,27
ENSMUSG00000102175,1,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000088000,0,0,0,4,1,2,5,7,12,0,3,0
ENSMUSG00000103265,1,0,0,0,0,0,0,1,3,0,2,0
ENSMUSG00000103922,8,17,14,21,17,15,11,15,5,4,2,3
ENSMUSG00000033845,462,458,514,485,510,653,295,437,524,181,199,228
ENSMUSG00000102275,1,0,3,2,4,1,1,1,2,9,8,14
ENSMUSG00000025903,454,461,466,307,328,420,124,244,219,355,367,432
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,1995,2044,2392,366,380,431,827,1278,1418,533,564,636
ENSMUSG00000062588,98,102,111,0,4,6,4,8,5,35,27,39
ENSMUSG00000103280,3,5,7,0,0,0,0,0,0,1,2,1
ENSMUSG00000002459,36,33,50,0,1,0,1,4,2,2,2,6
ENSMUSG00000091305,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0,0,2,0,0,1,0
ENSMUSG00000085623,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,4,3,2,0,0,0
ENSMUSG00000033793,2864,2990,3386,2725,2871,3691,516,862,893,1090,1197,1389
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,1,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,4692,4726,5737,27013,29002,35982,12782,21501,22307,2867,2813,3386
ENSMUSG00000090031,58,56,89,7,12,14,7,8,6,118,131,161
ENSMUSG00000087247,0,2,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000103355,1,2,1,14,26,15,3,2,4,0,1,0
ENSMUSG00000102706,0,0,0,351,393,515,235,328,418,0,0,0
ENSMUSG00000103845,26,41,31,105,154,183,228,304,340,4,4,10
ENSMUSG00000033740,9,9,9,1,4,7,14,19,17,2,3,6
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000104385,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,1,2,3,1,3,3,0,0,0,0,0,1
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,670,629,767,48,52,54,13,25,29,5556,5648,6682
ENSMUSG00000098201,4,8,12,2,2,1,0,1,0,1,1,0
ENSMUSG00000103509,14,12,12,1,2,1,0,0,0,866,906,1065
ENSMUSG00000048538,4,7,8,9,6,0,3,6,2,5,3,2
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,2,2,1
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000097797,5,9,14,33,28,37,14,23,29,40,36,39
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,64,49,51,0,0,0,0,1,0,0,1,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,4,0,5,23,31,31,81,141,153,26,26,31
ENSMUSG00000102647,0,0,0,0,0,0,0,0,1,0,2,0
ENSMUSG00000086235,2,1,0,0,0,2,0,1,2,0,1,4
ENSMUSG00000102253,0,0,0,0,0,0,0,1,2,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,0,0,4,17,15,24,0,3,0,1,0,0
ENSMUSG00000103933,36,57,42,17,18,18,14,14,14,8,15,17
ENSMUSG00000076135,2,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000102316,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101571,3,7,5,1,0,0,0,1,0,1,1,0
ENSMUSG00000104428,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000102272,0,1,1,0,1,0,0,0,1,1,2,0
ENSMUSG00000065625,0,0,0,0,0,1,0,0,1,0,0,0
ENSMUSG00000103411,0,0,0,0,0,1,0,0,0,2,1,2
ENSMUSG00000061024,1086,1213,1384,293,385,453,39,36,70,119,110,134
ENSMUSG00000025911,29,24,23,55,62,89,9,11,8,257,249,316
ENSMUSG00000079671,4,5,7,4,7,2,1,3,4,75,87,100
ENSMUSG00000081441,4,5,2,1,4,2,1,1,2,22,12,16
ENSMUSG00000067879,38,34,49,9,4,12,17,18,34,25,29,39
ENSMUSG00000099827,0,0,0,0,0,0,1,1,1,0,0,0
ENSMUSG00000025912,229,251,278,2803,3039,3814,786,1221,1331,220,248,298
ENSMUSG00000045210,4044,4075,5101,2832,3119,4026,1352,1970,2300,1794,1746,2192
ENSMUSG00000097893,3,7,11,130,162,210,145,264,247,9,17,21
ENSMUSG00000025915,1913,2034,2342,457,536,661,152,239,274,386,397,483
ENSMUSG00000046334,56,52,71,18,13,22,7,10,4,13,11,19
ENSMUSG00000088916,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046101,11,11,14,202,226,305,45,59,61,3,5,9
ENSMUSG00000098234,583,542,742,126,115,186,64,68,107,102,95,114
ENSMUSG00000093178,30,29,38,4,3,7,3,2,2,22,18,28
ENSMUSG00000099032,152,170,187,53,80,100,12,29,22,96,109,124
ENSMUSG00000104025,0,0,5,3,7,3,0,3,1,1,2,2
ENSMUSG00000025916,1,13,9,1738,2000,2358,1724,2964,3009,1,2,1
ENSMUSG00000087199,0,0,0,12,15,13,7,7,13,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000025917,2750,2737,3390,6827,7545,9936,4606,7301,8372,844,847,923
ENSMUSG00000056763,1851,1923,2343,3325,3854,4592,1997,3287,3462,4920,5120,5997
ENSMUSG00000102356,0,0,0,1,6,6,11,21,16,1,0,2
ENSMUSG00000067851,6237,6353,7721,2866,2962,3869,2129,3637,3761,6051,6120,7485
ENSMUSG00000088153,0,0,0,0,0,1,0,0,0,0,1,2
ENSMUSG00000102556,0,0,1,0,0,0,0,0,0,1,1,1
ENSMUSG00000042501,1,2,4,31,42,66,141,210,243,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000083422,1,1,1,0,0,0,0,0,0,2,0,0
ENSMUSG00000094979,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,1,1,2,1,1,1,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0,0,0,0,0,0,6
ENSMUSG00000100212,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000100648,0,3,3,1,3,3,4,5,6,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960,678,696,845,4,7,9,24,20,18,4,2,5
ENSMUSG00000077318,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000057715,21,12,30,40,31,56,12,32,17,5,10,13
ENSMUSG00000103825,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,1,0,1,0,0,0,0,0,1
ENSMUSG00000101610,3,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093864,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000097628,3,1,3,0,0,0,1,0,0,0,1,0
ENSMUSG00000098163,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,7,6,16,45,57,47,0,0,0
ENSMUSG00000101314,0,0,0,6,3,6,24,28,21,0,0,0
ENSMUSG00000016918,1017,1090,1258,31,33,45,55,75,93,7,7,6
ENSMUSG00000025938,1005,944,1223,11,14,13,47,61,79,1,0,0
ENSMUSG00000104518,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000099498,0,0,0,4,4,10,6,8,12,0,0,0
ENSMUSG00000042414,3,2,0,2,1,1,0,1,4,0,0,0
ENSMUSG00000005886,2293,2305,2722,754,874,1003,925,1474,1598,2069,2228,2482
ENSMUSG00000103506,0,0,0,0,0,0,0,1,0,1,1,1
ENSMUSG00000103495,0,2,1,0,0,0,0,2,1,10,9,8
ENSMUSG00000099183,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000102639,0,0,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000104170,1,0,0,0,1,0,0,0,1,6,8,9
ENSMUSG00000087782,0,0,0,0,0,0,0,0,0,0,2,2
ENSMUSG00000103085,0,0,1,2,1,1,0,6,5,12,11,22
ENSMUSG00000102664,1,2,2,0,1,1,3,0,2,8,5,16
ENSMUSG00000101476,1,0,0,3,5,6,3,3,6,5,2,5
ENSMUSG00000101171,1,1,1,0,1,0,5,8,9,1,0,2
ENSMUSG00000025935,1885,1867,2112,5133,5905,7267,2797,4539,4919,1180,1210,1406
ENSMUSG00000025937,294,333,417,31,42,46,13,13,4,543,523,648
ENSMUSG00000102982,4,3,5,0,1,0,1,0,0,34,39,40
ENSMUSG00000067813,0,2,1,1,2,1,3,12,11,3,4,2
ENSMUSG00000077368,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,7,7,3,1,0,1,0,0,1,3,3,2
ENSMUSG00000102166,1,3,8,0,1,3,5,6,12,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0,1,1,0,0,0,0
ENSMUSG00000025932,49,57,69,12,13,14,32,39,40,0,3,1
ENSMUSG00000095853,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054493,9,11,12,1,2,1,0,0,3,0,0,0
