Gene stable ID,Probe Set ID,avg-signal,A/P
FBgn0001128,1616608_a_at,348.0328667,P
FBgn0053057,1622892_s_at,2065.3986670000004,P
FBgn0035889,1622892_s_at,2065.3986670000004,P
FBgn0040736,1622893_at,34.51497333,P
FBgn0034454,1622894_at,52.06825333,P
FBgn0052075,1622895_at,291.4328,P
FBgn0038966,1622896_at,107.45551999999999,P
FBgn0038307,1622898_a_at,740.1110332999999,P
FBgn0041236,1622900_at,34.59490667,P
FBgn0030330,1622903_s_at,73.52448000000001,P
FBgn0033631,1622906_at,109.23564669999999,P
FBgn0034350,1622907_at,146.9517,P
FBgn0050120,1622907_at,146.9517,P
FBgn0020622,1622909_at,592.0484,P
FBgn0035786,1622915_at,3093.196333,P
FBgn0261536,1622915_at,3093.196333,P
FBgn0261537,1622915_at,3093.196333,P
FBgn0259701,1622917_a_at,4020.366,P
FBgn0052022,1622921_at,2271.9703329999998,P
FBgn0083975,1622922_at,61.01825667,P
FBgn0261617,1622925_at,205.6441667,P
FBgn0032450,1622926_at,73.33366667,P
FBgn0038576,1622928_at,841.0773,P
FBgn0027873,1622930_a_at,270.7568667,P
FBgn0035617,1622931_at,244.0548333,P
FBgn0003447,1622932_s_at,264.7982333,P
FBgn0034729,1622933_at,361.9355,P
FBgn0036773,1622937_at,146.2270667,P
FBgn0020497,1622939_at,408.4373667,P
FBgn0030721,1622940_at,2261.838667,P
FBgn0033529,1622941_at,2738.172,P
FBgn0030323,1622943_s_at,240.42096669999998,P
FBgn0033309,1622944_at,2686.631667,P
FBgn0027084,1622945_a_at,366.7680333,P
FBgn0004363,1622947_s_at,2605.0233329999996,P
FBgn0037885,1622948_at,1146.136,P
FBgn0003053,1622949_at,189.9489667,P
FBgn0034611,1622950_a_at,630.8657667,P
FBgn0067903,1622952_at,1824.26,P
FBgn0260455,1622952_at,1824.26,P
FBgn0085306,1622956_at,3958.520333,P
FBgn0051542,1622956_at,3958.520333,P
FBgn0028407,1622957_s_at,222.86253330000002,P
FBgn0261016,1622959_at,220.2339667,P
FBgn0028381,1622960_at,76.31667,P
FBgn0038440,1622960_at,76.31667,P
FBgn0031500,1622962_a_at,304.2919667,P
FBgn0039739,1622966_at,610.2238667,P
FBgn0040087,1622968_at,277.5777,P
FBgn0050484,1622969_at,240.0315333,P
FBgn0034380,1622971_at,655.9766333,P
FBgn0038110,1622973_at,335.3392,P
FBgn0036438,1622975_at,6522.75,P
FBgn0267648,1622976_at,21.72393667,P
FBgn0266176,1622976_at,21.72393667,P
FBgn0267649,1622976_at,21.72393667,P
FBgn0266178,1622976_at,21.72393667,P
FBgn0266173,1622976_at,21.72393667,P
FBgn0266177,1622976_at,21.72393667,P
FBgn0266174,1622976_at,21.72393667,P
FBgn0002781,1622976_at,21.72393667,P
FBgn0266175,1622976_at,21.72393667,P
FBgn0029535,1622977_at,63.30096667,P
FBgn0036972,1622978_at,56.07510333,P
FBgn0035871,1622979_a_at,7096.532667,P
FBgn0261119,1622980_at,346.72956669999996,P
FBgn0024846,1622982_at,63.03100667,P
FBgn0021761,1622983_a_at,341.8699,P
FBgn0010213,1622984_at,2316.0836670000003,P
FBgn0039531,1622989_at,100.99313670000001,P
FBgn0032218,1622990_at,229.7273333,P
FBgn0011829,1622991_s_at,19.85909333,P
FBgn0002673,1622992_at,434.27056669999996,P
FBgn0034986,1622995_at,1391.492667,P
FBgn0085396,1622997_at,772.6685,P
FBgn0035405,1622998_a_at,677.3589333,P
FBgn0011710,1622999_at,351.02973330000003,P
FBgn0051404,1623002_at,459.18546669999995,P
FBgn0033285,1623004_a_at,9497.761333,P
FBgn0261811,1623007_a_at,159.2325333,P
FBgn0031335,1623008_at,3555.980333,P
FBgn0028382,1623009_at,536.8925,P
FBgn0038678,1623012_at,783.3489333,P
FBgn0034958,1623013_s_at,550.3134,P
FBgn0038609,1623015_at,526.5513666999999,P
FBgn0031948,1623017_at,192.3829,P
FBgn0033301,1623018_at,163.8221667,P
FBgn0031360,1623020_at,170.77343330000002,P
FBgn0026380,1623021_at,6794.512667,P
FBgn0024728,1623023_at,1258.788667,P
FBgn0036153,1623026_a_at,1122.186633,P
FBgn0036156,1623030_at,2555.1326670000003,P
FBgn0040290,1623031_a_at,49.3996,P
FBgn0037455,1623032_at,3180.291667,P
FBgn0262514,1623034_at,1982.0816670000002,P
FBgn0027596,1623036_a_at,3165.949,P
FBgn0033095,1623039_at,414.4595667,P
FBgn0266525,1623039_at,414.4595667,P
FBgn0039065,1623040_at,3483.5836670000003,P
