,logFC,logCPM,LR,PValue,FDR
FBgn0267816,2.53496757753509,3.07014649444518,67.0103285605275,2.70088369792136e-16,1.19783923525308e-15
FBgn0051516,2.45714900651638,1.3806082548568201,23.9386913261927,9.94527606484221e-07,2.39278708428063e-06
FBgn0267988,1.40089537390414,1.31410752046398,8.31637146145026,0.00392893272895335,0.00646361587887104
FBgn0250821,1.17215355110183,7.08889785897591,133.512760630992,6.98324067917345e-31,6.60093784199158e-30
FBgn0037229,1.7010197162709702,4.2801649469504,70.9940464820214,3.583044719670349e-17,1.68204043784525e-16
FBgn0037239,1.2001767260553,8.24673587225788,155.402622133759,1.14342901796819e-35,1.39538372717912e-34
FBgn0085454,1.10072428528049,8.16338514166616,136.405584198853,1.6266728812615e-31,1.57226250585709e-30
FBgn0051526,1.56939379264081,4.01163901010125,55.456190827600004,9.55652557537925e-14,3.67563745750966e-13
FBgn0052945,1.06320026023057,6.21587700565965,81.5335193056041,1.7231411428826098e-19,9.20935136929212e-19
FBgn0267118,1.6135614669716698,1.30502964575691,11.1594779953067,0.000836034437314343,0.0015028409530707801
FBgn0265038,1.21093556707301,1.01370089484107,5.37495120350911,0.0204279124113322,0.0304047151102214
FBgn0265039,1.47799747894448,3.6546000239233796,34.5370544931406,4.1821368439365995e-09,1.1948656341513501e-08
FBgn0265040,1.70088808552632,2.8643698749093995,31.609239483256896,1.88530448299128e-08,5.1364646319699004e-08
FBgn0264907,1.3768938309052,1.4818863318521398,9.21123952855391,0.0024053377803272898,0.00407923636943449
FBgn0037283,1.3918793813883001,7.95067459906991,210.843146121001,8.99325556971839e-48,2.2746206944362596e-46
FBgn0267140,1.4030013303127,3.84243477306301,40.500519260693395,1.96563798884544e-10,6.16555852856638e-10
FBgn0053293,1.1441289973436999,8.5906814810513,150.788186902459,1.16596025033469e-34,1.3352279909890302e-33
FBgn0037307,1.40331137926579,6.74698935334182,157.514818087822,3.95054014625285e-36,4.939946725482549e-35
FBgn0051538,1.6101000661843201,11.8572760318645,263.716483273356,2.6572547450281895e-59,1.51994971415613e-57
FBgn0003275,1.0844548889155798,6.671642284746691,102.098007392584,5.284167345807089e-24,3.5938782058007494e-23
FBgn0037320,1.3597265784644899,7.14165854563121,177.411084812916,1.78117963802109e-40,2.90542941374728e-39
FBgn0037329,1.47909637327876,9.37450359985287,233.36373856943803,1.1010065798579797e-52,4.0935424639119594e-51
FBgn0264427,1.5116787295768401,6.73199132524549,191.120678164043,1.81015138685757e-43,3.5798632214555496e-42
FBgn0267811,1.8996395135188502,0.44623232763729404,10.0305446958801,0.00153965500376326,0.00267580428668985
FBgn0051549,1.32255167259654,4.24739869605302,40.2469724782362,2.23801901204352e-10,6.99435810040163e-10
FBgn0051546,1.55197484150424,8.02723624336983,247.824417389187,7.740062114136669e-56,3.62742238744035e-54
FBgn0037365,1.32803114783289,6.963499839595491,155.035324945486,1.3755431000725e-35,1.66588574790539e-34
FBgn0027608,1.39554891217108,8.23467297017218,178.107839506615,1.25477985595242e-40,2.06427942673942e-39
FBgn0037375,1.21100439208459,8.69472336874003,159.95940604478,1.15482887313198e-36,1.49257951922527e-35
FBgn0261561,1.09042655379533,9.16990756872531,127.14793257975401,1.7242954609200398e-29,1.5155864122223897e-28
FBgn0037385,1.05134328892214,6.221836892382929,77.7225696758534,1.18578631845021e-18,6.0338780091211694e-18
FBgn0037388,1.2707086231502,7.710494706256481,158.811127727466,2.05782522507987e-36,2.60533286725777e-35
FBgn0085316,1.26510024923143,5.863596583104269,89.7296049648226,2.73038551743059e-21,1.5953232090843798e-20
FBgn0267400,1.49760273955386,2.75758343466381,22.119235109014603,2.56229424713252e-06,5.94422421641351e-06
FBgn0040679,1.48622924448147,6.84687727184856,159.095458757398,1.78354101685507e-36,2.2683713229192098e-35
FBgn0266230,1.06483124684409,1.3079980524191102,5.1363935030601295,0.0234292715644288,0.0345354955767992
FBgn0266231,1.3161189788611398,2.4685917953494,13.7842222635255,0.00020505106283795602,0.000397072839391417
FBgn0266232,1.90063438518137,2.27218151862607,26.472258906544102,2.67349983359236e-07,6.74007743369014e-07
FBgn0266226,1.87650239536484,3.63699968408489,55.8772442817366,7.714029112621131e-14,2.98343553128211e-13
FBgn0026077,1.13016041839087,1.7877323083096102,7.5175128443388495,0.0061101987012898,0.00981044426575305
FBgn0051559,1.50753469565525,2.3487899121667297,14.0885456227201,0.000174402617546085,0.00034014457004879
FBgn0037408,1.24484413474967,0.5218554220553421,4.458272880836809,0.0347325983884264,0.049680354247821
FBgn0037413,1.29113149859185,3.46840675858616,27.1810692309181,1.85263859156786e-07,4.72543582216965e-07
FBgn0037420,2.28822714693012,0.420090830365439,12.179212753777199,0.00048325035132061795,0.0008970168777883461
FBgn0037422,1.3199295419683799,0.44186358756771793,4.515402539530269,0.0335909808500724,0.04818955632176301
FBgn0040279,1.7920240813386101,0.993664109622479,11.1940217907891,0.000820612872445385,0.00147702371780794
