"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1616608_a_at",-1.0664394207398,8.61033677677413,-7.97817125712758,1.94913387312426e-05,7.08884766137996e-05,2.37861378893684
"1622892_s_at",-0.952936645722913,11.5153893984344,-10.9735327768435,1.33202811244189e-06,6.68908234949621e-06,5.30010980498441
"1622893_at",-0.427739076273087,5.31512816463322,-3.23718747600215,0.00987442232302017,0.0185931497134504,-4.28729654921619
"1622894_at",-0.392363168049366,5.97532831735512,-3.96638959709824,0.00311256682484064,0.00668510499369672,-3.08106134299426
"1622895_at",1.09404165702306,7.84660596300629,9.1954267980355,6.00888112031602e-06,2.49214585689354e-05,3.65942134047459
"1622896_at",0.565325391414798,6.22410483126841,4.76066203367185,0.000958981435175339,0.00234814162266706,-1.83064468603497
"1622897_at",-0.398163774586205,5.85337692789814,-3.17683440625679,0.0108926660740227,0.0202509130306923,-4.38858999327729
"1622898_a_at",0.768313994038548,8.93171637698953,6.66673097523974,8.16997701728849e-05,0.000255044316309754,0.822419826419026
"1622899_at",0.0128807529470016,4.69675138830742,0.163797068164499,0.873421451516179,0.893493441479232,-8.14830343725709
"1622900_at",-0.19149229299918,4.52540171202053,-2.42754800064679,0.0374985484368217,0.0592325795944861,-5.64015503575888
"1622901_at",-0.205045737454678,5.42959402135045,-1.82858754074759,0.0998926174771747,0.138046148930102,-6.58330265747979
"1622902_at",-0.452074755031679,6.1196684786217,-3.9525238914101,0.00317969701405361,0.00681153134512762,-3.10356254450047
"1622903_s_at",-0.26216222015005,6.81538878593403,-1.79874477708455,0.10476719212433,0.14391156230632,-6.62748194285892
"1622904_at",0.23085927257884,6.76537471432781,1.7795444979192,0.108018960512861,0.147746488137973,-6.6557214407625
"1622905_at",-0.117702615521062,4.10658009788401,-1.46815684985387,0.17529430297422,0.224790420865242,-7.09055142222014
"1622906_at",-1.51426934241397,7.18222923037739,-14.9896556254664,8.62352304660163e-08,6.99627606075318e-07,8.27355026752195
"1622907_at",-0.512160742057778,7.48153166750323,-3.3794551402766,0.00784570955529357,0.0152207889745034,-4.04906442029962
"1622908_a_at",0.242775742504273,5.99579296488325,2.2942152424822,0.046755877473892,0.0716038531094369,-5.85737576535965
"1622909_at",0.992148636869672,8.74706300050014,10.622960128319,1.76181959272256e-06,8.48970376844087e-06,4.99562300795426
"1622910_at",-0.208120619705977,5.41216573982553,-2.63232863665716,0.0267018201638591,0.0441466366348651,-5.30163207737137
"1622911_at",-0.0910187775146993,3.99630693590689,-1.17551490648905,0.269218207888877,0.324734182529914,-7.4501505698254
"1622912_at",0.0410367045713933,5.85953624787055,0.382243311348985,0.710933312486948,0.751079109106006,-8.08286716371768
"1622913_a_at",-0.471064840599012,5.84234085056901,-5.625283436132,0.000295089156248173,0.000813134531086221,-0.565652259535391
"1622914_at",-0.398163779097872,5.56270558754198,-4.34787138734075,0.00174852687077261,0.00400170042928178,-2.47061664824441
"1622915_at",0.142878260883133,11.0409243074179,1.75618279274732,0.112101123246149,0.152609446802083,-6.68988094779594
"1622916_at",-0.227477672696221,6.46863183565441,-2.88339927649037,0.017624973977273,0.0307619877875429,-4.88165499083635
"1622917_a_at",-0.629106594459181,12.1563735981259,-6.57496825125566,9.09816283435252e-05,0.000280244020033751,0.705825949524193
"1622918_at",-0.167830294517583,4.58983336180868,-1.32435913583677,0.217237214287064,0.269565879995315,-7.27403539311665
"1622919_at",-0.433265819456795,6.28244472329047,-2.85574941750014,0.0184477914684828,0.0320108536816229,-4.92806197785425
"1622920_at",-0.182359950765558,5.13192799686927,-1.12108746611303,0.290568913289624,0.347041974077701,-7.51070343759986
"1622921_at",-0.33161665732989,11.1305596149706,-4.14138404557342,0.00238308630117722,0.00527250193554875,-2.79891176988453
"1622922_at",0.539118123475697,5.72591058442141,6.96674268815024,5.78742560175488e-05,0.00018755692545222,1.19627651994847
"1622923_at",-0.0530156002850379,4.0445812266162,-0.528008527403243,0.609950450936602,0.659503705280151,-8.01105002678312
"1622924_at",-0.0643339625384334,5.78320409069043,-0.59834423713377,0.56400232013327,0.616541037732349,-7.96864586376471
"1622925_at",0.911961159710923,7.97472425067778,9.94375013377735,3.10034303986102e-06,1.39302279021921e-05,4.38011743316702
"1622926_at",0.896585806041306,5.49481319472341,6.47202864509871,0.000102780810230971,0.000312269524907287,0.573754889406734
"1622927_at",-0.0448839234148464,6.17907178630634,-0.480497130393113,0.642057483507654,0.688660163678973,-8.03686882441995
"1622928_at",0.0792197202412002,9.4574112992784,0.863362900011445,0.409810262496462,0.467987713595622,-7.76622404455944
"1622929_at",-0.570525909934962,5.08819854963066,-4.61262391045574,0.00118612885916863,0.00283367126420823,-2.05756453447948
"1622930_a_at",1.63125479182389,7.13803259977477,11.6477595260658,7.94636686303765e-07,4.30161510392144e-06,5.86236854241474
"1622931_at",2.24616950907609,7.31480543349775,23.0999249229284,1.75484834380361e-09,3.77173082982048e-08,12.4477562739142
"1622932_s_at",-1.71608510321365,8.61990460110522,-9.79231796930111,3.53239649542336e-06,1.55905864884172e-05,4.23802197040233
"1622933_at",2.01591493336017,7.25911785211416,13.7278448688956,1.88096213284859e-07,1.31396956659589e-06,7.42831075279722
"1622934_at",-0.520234810985715,7.15158074747123,-4.55702882372364,0.00128575791556606,0.00304596050197599,-2.14354119323343
"1622935_at",-0.377379459351362,5.498518926811,-4.74454188391637,0.000981287559747137,0.00239594973361604,-1.8552108009622
"1622936_at",-0.369851506775603,5.48083265618734,-3.4250460767476,0.00729145157442391,0.0142692277165889,-3.97293114265918
"1622937_at",-1.24353720614923,7.58627370180134,-8.36853299199632,1.31697564385291e-05,4.98389025605039e-05,2.80514574290651
"1622938_at",-0.16723816331422,4.86635208288708,-1.34258021646217,0.211490498806786,0.263395316478887,-7.25147714507175
"1622939_at",0.304527812222786,8.07864722716124,2.41054153177806,0.0385701750197761,0.0606473041545505,-5.66802405409696
"1622940_at",0.670420185477907,10.8309112958971,7.85828542882933,2.20509731528395e-05,7.90448351035775e-05,2.24442856192062
"1622941_at",0.132365962670949,11.2162757913737,1.64136348620844,0.134296093190115,0.178096673300613,-6.85437163090072
"1622942_at",-0.20207240548523,5.67786940305721,-1.71466241231029,0.119708075570295,0.161358993471424,-6.75003088735406
"1622943_s_at",0.324355889607125,7.70279486242185,2.77452132204287,0.0210982826421449,0.0359969978964646,-5.06421907668901
"1622944_at",0.913922780896574,10.6885044124752,10.2509115221932,2.39161441881167e-06,1.11038403883682e-05,4.66279416719376
"1622945_a_at",0.899415381922974,7.75927914604225,10.3585724789893,2.18707401562916e-06,1.02928797477536e-05,4.76016189208912
"1622946_at",-0.137864751310113,4.9413930718738,-1.61312927089614,0.140331470688957,0.185031894145192,-6.89390069858735
"1622947_s_at",-0.045851063535304,11.2562049333652,-0.558676798642415,0.589676463411809,0.640652851099553,-7.9931688926691
"1622948_at",2.04159656517345,8.8961480649365,17.3839621772283,2.2920368436754e-08,2.42809850538492e-07,9.70411573116803
"1622949_at",-0.254458729981724,8.05272700529995,-1.92528205283261,0.0855131565703311,0.120610652922595,-6.43789270688579
"1622950_a_at",-0.489531232997596,9.07923684390251,-4.93372958712936,0.000750981914955293,0.00188731023788171,-1.5691380111396
"1622951_at",-0.125423550727814,4.16603368180496,-1.43439524959588,0.1844576047309,0.234683171647423,-7.13472373760453
"1622952_at",-1.43469515722365,11.2307906316442,-12.6423249230902,3.88496526335537e-07,2.38432194530799e-06,6.64060467122707
"1622953_at",-0.316398214466258,5.33226833932533,-2.77331808634047,0.0211403235044463,0.0360532905484015,-5.0662336127637
"1622954_at",-0.291551391060273,5.15177453938616,-2.49973264533535,0.0332693274854155,0.0534022439657487,-5.52140439175878
"1622955_at",-0.233837454857477,6.14462900384733,-2.51202599204048,0.0325979308215963,0.0524979592905245,-5.5011118968319
"1622956_at",-1.13241093950742,12.1803626374212,-12.4048557085861,4.5872228563582e-07,2.72639062850895e-06,6.45998357360622
"1622957_s_at",-1.09039758792593,8.26047262967966,-13.4405091658546,2.26722214090682e-07,1.53513376257471e-06,7.22560562337402
"1622958_at",-0.301764634896593,4.86974115704492,-3.11940486494004,0.0119624283881225,0.0219852543455875,-4.48505994254561
"1622959_at",-1.54239516674688,8.49366623930968,-10.9020077377194,1.40933896993766e-06,7.00860460725757e-06,5.23868487551573
"1622960_at",0.623146765596417,5.5332653011894,5.48041724975855,0.000356866697635883,0.000963850314036663,-0.770353325734581
"1622961_at",-0.0549500558484661,4.77704538737266,-0.649269021898328,0.531986059819641,0.586788488284358,-7.93489153509238
"1622962_a_at",1.20175336492496,7.53445275159561,10.0814617646765,2.75748628678723e-06,1.25795917211626e-05,4.50775776883776
"1622963_at",-0.138079852802091,4.97524381208378,-1.64918251194793,0.132666586939605,0.176268729366194,-6.84335803466385
"1622964_at",-0.179025690351385,5.06559437927064,-1.14622845526643,0.280545797230324,0.336470316992096,-7.48300058670805
"1622965_s_at",-0.0790826107719855,3.9941458446353,-0.96443610192565,0.359413007904537,0.417244105295344,-7.67244372968615
"1622966_at",-0.465417371409131,9.88130932287153,-3.85463535164593,0.00369935101149993,0.0077891456915839,-3.26298941619949
"1622967_at",-0.425961293317247,6.44750900522814,-3.9188251237145,0.00334930530146064,0.0071361477316787,-3.15833395557668
"1622968_at",0.544579478698797,8.14603338080311,6.10243001899553,0.000160999962542502,0.000469365623519776,0.0882147902198547
"1622969_at",0.737282297925081,7.61937653729436,5.21699121410489,0.000508036474200133,0.00132584787373188,-1.15005956966404
"1622970_at",-0.937321730942675,7.5712785506082,-6.73336722443673,7.56069558716299e-05,0.000238142434382438,0.906422784607656
"1622971_at",0.940368938323502,8.50458782490311,7.06348509922972,5.19009498478588e-05,0.000169990756160729,1.31448191836233
"1622972_at",-0.354265134144384,6.16286962559845,-4.00971755494142,0.00291228148638845,0.00629847754536504,-3.01088303372041
"1622973_at",-0.305361334901429,8.18217703568692,-3.00968342496911,0.0143173989158018,0.0256929594027341,-4.66948017054481
"1622974_at",-0.298487828601263,4.98980874397538,-2.67211868498219,0.0249973782540025,0.0417070439888947,-5.23534652332135
"1622975_at",-0.12028047424125,12.546911751438,-1.36297068405443,0.205212319197243,0.256915304097381,-7.22598787841939
"1622976_at",0.0456471396756202,4.18076418231016,0.555018240479832,0.592075896664678,0.642707050437538,-7.99535167747249
"1622977_at",-4.65508439975867,8.20338970284607,-36.7633892700863,2.51405832149327e-11,3.45818929747491e-09,16.8149031145732
"1622978_at",0.611771715042681,4.54773442251283,3.47872096745803,0.00669080905363249,0.0132280631321138,-3.88345653859162
"1622979_a_at",-0.032919308869948,13.0923918867672,-0.402584268363695,0.696418546295298,0.738114217039742,-8.07417264054838
"1622980_at",1.11203535781364,7.95212664428409,7.38945410296438,3.62358157887949e-05,0.000123226481397675,1.70459253703811
"1622981_at",-0.939783010694445,6.99628605669709,-8.3376161685186,1.3577919835623e-05,5.12402900686432e-05,2.77193066249171
"1622982_at",-1.2366443139822,6.53003700539327,-11.010658075104,1.29374975752352e-06,6.53147187122688e-06,5.33185417696921
"1622983_a_at",0.650330377238635,8.14389524111962,7.35463612873065,3.76323853972226e-05,0.000127381490989134,1.66351470353453
"1622984_at",0.195882074386519,11.1882142435731,2.10587322164689,0.0637418121423647,0.0935735727127882,-6.15818017835348
"1622985_at",-0.106931781398934,5.74779078172558,-1.10321587537649,0.297863617638138,0.354458827168027,-7.53011189909077
"1622986_at",-0.228083817633342,6.12034177757034,-2.24602023515304,0.0506270109036854,0.0765626484716443,-5.93509370927411
"1622987_at",-0.394559441148148,5.36291265776756,-3.54077606927859,0.00606021523198136,0.0121153163582817,-3.78024829372437
"1622988_at",-0.370230350117227,4.94731037701309,-3.23111654518226,0.00997223824254414,0.0187549726280338,-4.29748067054337
"1622989_at",0.807480017870547,6.01395002872165,8.30338522639649,1.40460729770999e-05,5.29016643604923e-05,2.73504321729284
"1622990_at",-2.04724249771141,8.96466396460943,-15.8749031030721,5.17010122420043e-08,4.58510802063859e-07,8.82682615347615
"1622991_s_at",0.29177299938545,3.87392696639284,3.22738364649174,0.0100328806937646,0.0188503177266013,-4.30374329449439
