"","logFC","logCPM","LR","PValue","FDR"
"FBgn0267431",0.523950190737842,1.74120325337633,1.10591728583881,0.292971165007845,0.532612205433384
"FBgn0267797",0.920356721923293,0.693645727975068,2.08405789589578,0.148844025146484,0.351959579779904
"FBgn0267430",0.704450798556775,4.16508569025004,7.46665492690726,0.0062852226299247,0.0357196808379001
"FBgn0266747",0.855375436302922,2.07132592449962,3.61905394121209,0.0571213469180944,0.18267570533215
"FBgn0010247",0.196376765522436,4.92033037326953,0.803390354809927,0.370081638400806,0.610925701874411
"FBgn0086378",-0.560865299635992,3.2140286046185,2.64298569886552,0.104007912520409,0.275646712711887
"FBgn0267816",0.0837228641371893,3.58161878197574,0.0766536703523757,0.781884541982895,0.89728164962603
"FBgn0263977",-0.243692864994707,5.00028386816416,1.11220205171886,0.29160377184749,0.530806117846153
"FBgn0069923",-0.403247494095144,1.029042291612,0.490288202501114,0.483798772084175,0.70486235579062
"FBgn0039955",0.303838043580826,5.50650547260142,2.67905130066997,0.101676284439884,0.271280333291262
"FBgn0259821",-0.289362572127862,1.85543292519116,0.392118182643471,0.531188091296189,0.739774537406782
"FBgn0027341",-0.442512599764727,1.15313663967227,0.56768002495048,0.45118228818392,0.680941909226791
"FBgn0085812",0.129057817219219,2.29231242649011,0.099205660160239,0.752784963164045,0.881338883401577
"FBgn0037215",-0.55937653146318,3.49578442055605,3.26821504753771,0.0706344383514618,0.211903315054385
"FBgn0037217",-2.41646007361695,1.84697302729709,21.7301415199801,3.13821567779124e-06,5.30819514409334e-05
"FBgn0037218",-0.205247906303385,5.94457124571642,1.62889298178783,0.20185623311064,0.424778830172095
"FBgn0051516",-3.96383348704765,4.87288069288801,139.804012704473,2.93813564631592e-32,4.49408833787208e-29
"FBgn0261436",-0.0857750824673065,3.50042617769417,0.0779542484129052,0.780089133279927,0.896277964376883
"FBgn0037220",0.150993208008625,5.51977923246343,0.723482459538464,0.395003969675981,0.63417416454052
"FBgn0015331",-0.00315465316211498,5.27472464913424,0.000283783473166821,0.986559572864873,0.994641558066308
"FBgn0010225",-0.50773030769383,4.51515712313946,4.69300330396165,0.0302856680176249,0.115645024060167
"FBgn0267988",0.993607513087196,1.26432572792683,3.05738302433771,0.080371016049,0.231762043855815
"FBgn0037222",0.396848619416754,4.20188091257519,2.43201269418637,0.118880174019845,0.302207868011414
"FBgn0250821",0.255097541578218,7.07843277429565,3.71282202265886,0.0539960263021512,0.175229800869952
"FBgn0037227",0.0286058143572347,0.806092882792004,0.00227060241687849,0.961994514693643,0.985193343117222
"FBgn0037228",0.58737054410023,3.78748975070078,4.19910981813804,0.0404452052029481,0.143014138741072
"FBgn0037229",-0.102461935906914,4.64351151251142,0.212901988197851,0.644502301831675,0.818198499610119
"FBgn0041605",-0.555664457977581,2.98925882800624,2.35838486426857,0.124611146292116,0.312664608927118
"FBgn0037230",0.370228694051233,3.2522847365215,1.22510467501974,0.268361178905533,0.505603227615967
"FBgn0037231",-0.502151873629733,0.939981641477281,0.73715370170428,0.390574177246623,0.630187580830234
"FBgn0037232",0.694788621263962,3.10748455023946,3.82843528806253,0.0503899530613016,0.167606470154506
"FBgn0261086",0.609920990854618,2.86481624654826,2.77334238157563,0.0958458365433946,0.261257986728647
"FBgn0037234",-0.0741185432754,6.05579018395216,0.194662748620672,0.659063858267986,0.825536156389296
"FBgn0027866",-0.108856922828764,7.19637373892668,0.731843651983676,0.392286241137325,0.631901102871213
"FBgn0037236",1.03580677231427,1.45184297882854,3.27806806581039,0.0702115320734668,0.211167099413092
"FBgn0037235",0.592056778503431,3.49981692506107,3.66595063629965,0.0555349541289112,0.178938535617891
"FBgn0037238",-0.303905078448948,0.933328628693461,0.262450997167218,0.608441265249081,0.794048738267091
"FBgn0037239",-0.0374241380807567,8.37931970802698,0.112481151831361,0.737336870299311,0.872390468665028
"FBgn0037240",-0.852427593228234,6.20593607575156,24.3148566639707,8.18056712944622e-07,1.6250339935989e-05
"FBgn0003882",0.571105819710656,3.22635484812016,2.91970506740578,0.0875038563721303,0.245648607807131
"FBgn0037241",-0.0139937343595792,2.60277718067897,0.00136832520043395,0.970492277500505,0.987990941453441
"FBgn0037242",0.275056566111921,5.30765232645949,2.1487649714622,0.142684625063572,0.34249293864762
"FBgn0086605",0.057818073708946,6.36252502471845,0.15527748309073,0.693542175694094,0.845762300783214
"FBgn0037244",0.000945607310102491,3.0998767759646,8.5238303864088e-06,0.997670531489307,0.999257098284005
"FBgn0263594",0.732349143214777,7.31315653293577,35.101970544819,3.12884018116873e-09,1.18376296182946e-07
"FBgn0052944",-0.131007177000065,5.76410544302785,0.557234858221175,0.455376510596307,0.683641744095628
"FBgn0051528",0.771642287528902,7.03133909848488,32.4427511168449,1.22755998976011e-08,3.99498018552021e-07
"FBgn0037248",0.353228023960401,2.84965051951015,0.959083705486651,0.327417845543126,0.569841169088142
"FBgn0051525",0.118667651404349,6.62893891272929,0.688247274638498,0.406761188126196,0.643878184693551
"FBgn0037249",0.252441863312669,7.51361590264404,4.49335660256227,0.0340268047485428,0.126107649166718
"FBgn0037250",0.0653931965655643,1.45790709208778,0.0147297921966549,0.903400864438858,0.95922331611606
"FBgn0037252",0.623790675908895,5.57550771896202,12.363415921585,0.000437828887099355,0.00401500057344388
