Gene stable ID,Probe Set ID,avg-signal,A/P
FBgn0001128,1616608_a_at,726.9347667000001,P
FBgn0053057,1622892_s_at,1372.300333,P
FBgn0035889,1622892_s_at,1372.300333,P
FBgn0040736,1622893_at,72.77498,P
FBgn0034454,1622894_at,59.95318333,A
FBgn0052075,1622895_at,878.3333332999998,P
FBgn0038966,1622896_at,214.5095667,P
FBgn0000606,1622897_at,30.84398,A
FBgn0038307,1622898_a_at,1070.933667,P
FBgn0025807,1622899_at,49.74603667,P
FBgn0041236,1622900_at,24.96191667,A
FBgn0034553,1622901_at,36.32825,A
FBgn0011283,1622902_at,29.02304367,A
FBgn0030330,1622903_s_at,244.7645,P
FBgn0035934,1622904_at,58.47325333,A
FBgn0033631,1622906_at,134.58413330000002,P
FBgn0034350,1622907_at,217.22893330000002,P
FBgn0050120,1622907_at,217.22893330000002,P
FBgn0264384,1622908_a_at,26.55429733,A
FBgn0030073,1622908_a_at,26.55429733,A
FBgn0020622,1622909_at,849.3254667000001,P
FBgn0030872,1622912_at,52.45368667,A
FBgn0034789,1622913_a_at,4.549380333,A
FBgn0035786,1622915_at,907.9210332999999,P
FBgn0261536,1622915_at,907.9210332999999,P
FBgn0261537,1622915_at,907.9210332999999,P
FBgn0030540,1622916_at,30.13727333,A
FBgn0259701,1622917_a_at,1562.005,P
FBgn0086052,1622918_at,21.35198333,A
FBgn0037227,1622919_at,8.601151332999999,A
FBgn0003861,1622920_at,11.76260833,A
FBgn0052022,1622921_at,2046.1786670000001,P
FBgn0083975,1622922_at,16.31601667,A
FBgn0025878,1622923_at,33.11712667,P
FBgn0034326,1622924_at,34.96590667,A
FBgn0261617,1622925_at,577.8625667,P
FBgn0032450,1622926_at,176.6357,P
FBgn0033312,1622927_at,12.57212167,A
FBgn0038576,1622928_at,753.6288667,P
FBgn0027873,1622930_a_at,351.7035667,P
FBgn0035617,1622931_at,392.0819333,P
FBgn0003447,1622932_s_at,601.9699667,P
FBgn0034729,1622933_at,136.8638,P
FBgn0033145,1622935_at,41.0424,A
FBgn0036773,1622937_at,231.6540667,P
FBgn0020497,1622939_at,1902.229,P
FBgn0030721,1622940_at,1014.4063,P
FBgn0033529,1622941_at,3564.817333,P
FBgn0263846,1622942_at,30.442474,A
FBgn0030323,1622943_s_at,299.5857,P
FBgn0033309,1622944_at,2213.925,P
FBgn0027084,1622945_a_at,1099.003333,P
FBgn0037936,1622946_at,24.60102667,A
FBgn0004363,1622947_s_at,6512.107667,P
FBgn0037885,1622948_at,1497.747333,P
FBgn0003053,1622949_at,462.73443330000003,P
FBgn0034611,1622950_a_at,975.7651667000001,P
FBgn0261633,1622951_at,17.15592267,A
FBgn0067903,1622952_at,676.9108667,P
FBgn0260455,1622952_at,676.9108667,P
FBgn0085306,1622956_at,1478.290333,P
FBgn0051542,1622956_at,1478.290333,P
FBgn0028407,1622957_s_at,67.85018667,P
FBgn0050288,1622958_at,7.6794586670000005,A
FBgn0261016,1622959_at,249.4413333,P
FBgn0028381,1622960_at,42.58918333,A
FBgn0038440,1622960_at,42.58918333,A
FBgn0031500,1622962_a_at,464.73213330000004,P
FBgn0085374,1622964_at,13.55199967,A
FBgn0259967,1622965_s_at,7.344732799999999,A
FBgn0039739,1622966_at,268.3883667,P
FBgn0040087,1622968_at,594.9685,P
FBgn0050484,1622969_at,75.56745333,A
FBgn0053556,1622970_at,47.30065,A
FBgn0034380,1622971_at,894.7545,P
FBgn0038110,1622973_at,588.6052667,P
FBgn0038820,1622974_at,7.0537533329999995,A
