Gene stable ID,Probe Set ID,avg-signal,A/P
FBgn0001128,1616608_a_at,348.0328667,P
FBgn0053057,1622892_s_at,2065.3986670000004,P
FBgn0035889,1622892_s_at,2065.3986670000004,P
FBgn0040736,1622893_at,34.51497333,P
FBgn0034454,1622894_at,52.06825333,P
FBgn0052075,1622895_at,291.4328,P
FBgn0038966,1622896_at,107.45551999999999,P
FBgn0000606,1622897_at,45.32698333,A
FBgn0038307,1622898_a_at,740.1110332999999,P
FBgn0025807,1622899_at,34.09417,A
FBgn0041236,1622900_at,34.59490667,P
FBgn0034553,1622901_at,34.77707667,A
FBgn0011283,1622902_at,10.64490067,A
FBgn0030330,1622903_s_at,73.52448000000001,P
FBgn0035934,1622904_at,58.41016667,A
FBgn0033631,1622906_at,109.23564669999999,P
FBgn0034350,1622907_at,146.9517,P
FBgn0050120,1622907_at,146.9517,P
FBgn0264384,1622908_a_at,59.34207333,A
FBgn0030073,1622908_a_at,59.34207333,A
FBgn0020622,1622909_at,592.0484,P
FBgn0030872,1622912_at,5.5215756670000005,A
FBgn0034789,1622913_a_at,4.867485333,A
FBgn0035786,1622915_at,3093.196333,P
FBgn0261536,1622915_at,3093.196333,P
FBgn0261537,1622915_at,3093.196333,P
FBgn0030540,1622916_at,15.02548333,A
FBgn0259701,1622917_a_at,4020.366,P
FBgn0086052,1622918_at,10.02861033,A
FBgn0037227,1622919_at,22.56528967,A
FBgn0003861,1622920_at,13.29940933,A
FBgn0052022,1622921_at,2271.9703329999998,P
FBgn0083975,1622922_at,61.01825667,P
FBgn0025878,1622923_at,2.596528967,A
FBgn0034326,1622924_at,16.674714,A
FBgn0261617,1622925_at,205.6441667,P
FBgn0032450,1622926_at,73.33366667,P
FBgn0033312,1622927_at,6.257036332999999,A
FBgn0038576,1622928_at,841.0773,P
FBgn0027873,1622930_a_at,270.7568667,P
FBgn0035617,1622931_at,244.0548333,P
FBgn0003447,1622932_s_at,264.7982333,P
FBgn0034729,1622933_at,361.9355,P
FBgn0033145,1622935_at,39.91953667,A
FBgn0036773,1622937_at,146.2270667,P
FBgn0020497,1622939_at,408.4373667,P
FBgn0030721,1622940_at,2261.838667,P
FBgn0033529,1622941_at,2738.172,P
FBgn0263846,1622942_at,13.948580999999999,A
FBgn0030323,1622943_s_at,240.42096669999998,P
FBgn0033309,1622944_at,2686.631667,P
FBgn0027084,1622945_a_at,366.7680333,P
FBgn0037936,1622946_at,10.94553,A
FBgn0004363,1622947_s_at,2605.0233329999996,P
FBgn0037885,1622948_at,1146.136,P
FBgn0003053,1622949_at,189.9489667,P
FBgn0034611,1622950_a_at,630.8657667,P
FBgn0261633,1622951_at,2.410832,A
FBgn0067903,1622952_at,1824.26,P
FBgn0260455,1622952_at,1824.26,P
FBgn0085306,1622956_at,3958.520333,P
FBgn0051542,1622956_at,3958.520333,P
FBgn0028407,1622957_s_at,222.86253330000002,P
FBgn0050288,1622958_at,12.60530333,A
FBgn0261016,1622959_at,220.2339667,P
FBgn0028381,1622960_at,76.31667,P
FBgn0038440,1622960_at,76.31667,P
FBgn0031500,1622962_a_at,304.2919667,P
FBgn0085374,1622964_at,4.337600667,A
FBgn0259967,1622965_s_at,10.00044167,A
FBgn0039739,1622966_at,610.2238667,P
FBgn0040087,1622968_at,277.5777,P
FBgn0050484,1622969_at,240.0315333,P
FBgn0053556,1622970_at,91.54048667,A
FBgn0034380,1622971_at,655.9766333,P
FBgn0038110,1622973_at,335.3392,P
FBgn0038820,1622974_at,3.052710667,A
FBgn0036438,1622975_at,6522.75,P
FBgn0267648,1622976_at,21.72393667,P
FBgn0266176,1622976_at,21.72393667,P
FBgn0267649,1622976_at,21.72393667,P
FBgn0266178,1622976_at,21.72393667,P
FBgn0266173,1622976_at,21.72393667,P
FBgn0266177,1622976_at,21.72393667,P
FBgn0266174,1622976_at,21.72393667,P
FBgn0002781,1622976_at,21.72393667,P
FBgn0266175,1622976_at,21.72393667,P
FBgn0029535,1622977_at,63.30096667,P
FBgn0036972,1622978_at,56.07510333,P
FBgn0035871,1622979_a_at,7096.532667,P
FBgn0261119,1622980_at,346.72956669999996,P
FBgn0003964,1622981_at,67.69529333,A
FBgn0024846,1622982_at,63.03100667,P
FBgn0021761,1622983_a_at,341.8699,P
FBgn0010213,1622984_at,2316.0836670000003,P
FBgn0038531,1622985_at,12.506105999999999,A
FBgn0029968,1622987_at,15.64171433,A
FBgn0039531,1622989_at,100.99313670000001,P
FBgn0032218,1622990_at,229.7273333,P
FBgn0011829,1622991_s_at,19.85909333,P
