Gene stable ID,Probe Set ID,avg-signal,A/P
FBgn0001128,1616608_a_at,726.9347667000001,P
FBgn0053057,1622892_s_at,1372.300333,P
FBgn0035889,1622892_s_at,1372.300333,P
FBgn0040736,1622893_at,72.77498,P
FBgn0052075,1622895_at,878.3333332999998,P
FBgn0038966,1622896_at,214.5095667,P
FBgn0038307,1622898_a_at,1070.933667,P
FBgn0025807,1622899_at,49.74603667,P
FBgn0030330,1622903_s_at,244.7645,P
FBgn0033631,1622906_at,134.58413330000002,P
FBgn0034350,1622907_at,217.22893330000002,P
FBgn0050120,1622907_at,217.22893330000002,P
FBgn0020622,1622909_at,849.3254667000001,P
FBgn0035786,1622915_at,907.9210332999999,P
FBgn0261536,1622915_at,907.9210332999999,P
FBgn0261537,1622915_at,907.9210332999999,P
FBgn0259701,1622917_a_at,1562.005,P
FBgn0052022,1622921_at,2046.1786670000001,P
FBgn0025878,1622923_at,33.11712667,P
FBgn0261617,1622925_at,577.8625667,P
FBgn0032450,1622926_at,176.6357,P
FBgn0038576,1622928_at,753.6288667,P
FBgn0027873,1622930_a_at,351.7035667,P
FBgn0035617,1622931_at,392.0819333,P
FBgn0003447,1622932_s_at,601.9699667,P
FBgn0034729,1622933_at,136.8638,P
FBgn0036773,1622937_at,231.6540667,P
FBgn0020497,1622939_at,1902.229,P
FBgn0030721,1622940_at,1014.4063,P
FBgn0033529,1622941_at,3564.817333,P
FBgn0030323,1622943_s_at,299.5857,P
FBgn0033309,1622944_at,2213.925,P
FBgn0027084,1622945_a_at,1099.003333,P
FBgn0004363,1622947_s_at,6512.107667,P
FBgn0037885,1622948_at,1497.747333,P
FBgn0003053,1622949_at,462.73443330000003,P
FBgn0034611,1622950_a_at,975.7651667000001,P
FBgn0067903,1622952_at,676.9108667,P
FBgn0260455,1622952_at,676.9108667,P
FBgn0085306,1622956_at,1478.290333,P
FBgn0051542,1622956_at,1478.290333,P
FBgn0028407,1622957_s_at,67.85018667,P
FBgn0261016,1622959_at,249.4413333,P
FBgn0031500,1622962_a_at,464.73213330000004,P
FBgn0039739,1622966_at,268.3883667,P
FBgn0040087,1622968_at,594.9685,P
FBgn0034380,1622971_at,894.7545,P
FBgn0038110,1622973_at,588.6052667,P
FBgn0036438,1622975_at,2583.977667,P
FBgn0267648,1622976_at,79.05236333,P
FBgn0266176,1622976_at,79.05236333,P
FBgn0267649,1622976_at,79.05236333,P
FBgn0266178,1622976_at,79.05236333,P
FBgn0266173,1622976_at,79.05236333,P
FBgn0266177,1622976_at,79.05236333,P
FBgn0266174,1622976_at,79.05236333,P
FBgn0002781,1622976_at,79.05236333,P
FBgn0266175,1622976_at,79.05236333,P
FBgn0029535,1622977_at,52.71229,P
FBgn0036972,1622978_at,38.776559999999996,P
FBgn0035871,1622979_a_at,6848.713667,P
FBgn0261119,1622980_at,1224.296333,P
FBgn0003964,1622981_at,184.2000333,P
FBgn0024846,1622982_at,204.4147667,P
FBgn0021761,1622983_a_at,613.4422,P
FBgn0010213,1622984_at,3161.310667,P
FBgn0039531,1622989_at,173.6621,P
FBgn0032218,1622990_at,255.24683330000002,P
FBgn0011829,1622991_s_at,26.93828667,P
FBgn0002673,1622992_at,444.4574,P
FBgn0034986,1622995_at,1565.400333,P
FBgn0020620,1622996_at,143.3337333,P
FBgn0085396,1622997_at,292.147,P
FBgn0035405,1622998_a_at,1331.216333,P
FBgn0011710,1622999_at,776.1036,P
FBgn0051404,1623002_at,144.47973330000002,P
FBgn0033285,1623004_a_at,5647.972667,P
