"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000268903.1",-1.06553887352775,1.61269510334003,1.99575267610144,0.15774068400235,0.296118703623039
"ENSG00000269981.1",-1.86827382304712,1.56303988237064,3.94567834604527,0.0469919041677675,0.130184084125443
"ENSG00000279457.4",1.82571366261842,0.694242968251919,5.86962865651777,0.0154043009615265,0.061989177257425
"ENSG00000237094.12",-1.84474908398595,1.58582507386465,4.86838557475131,0.0273530785208478,0.0906256434288797
"ENSG00000230021.9",-0.875371683064468,2.91893171329723,1.32856017257097,0.249061526157944,0.402689626109007
"ENSG00000225972.1",-2.34091870782469,1.64231302303373,12.4732737988322,0.000412815958782238,0.00546588462463469
"ENSG00000225630.1",-1.27342992905171,9.02104355699437,8.57907353275257,0.00340048346685852,0.0223087724195487
"ENSG00000237973.1",-1.78148094515286,4.81172948043573,11.9178469185162,0.000555987037241833,0.00668785053490249
"ENSG00000229344.1",-1.03061847262382,2.29872685765037,2.58097767423392,0.108154841945445,0.228585687996156
"ENSG00000248527.1",-1.07284580625363,8.78625063800998,6.55789636481541,0.0104419735245663,0.0475649708624133
"ENSG00000198744.5",0.0931581780299108,6.40853880047697,0.015109083502665,0.902171230421485,0.93713975826085
"ENSG00000228327.3",0.004734588710485,4.31951462594659,5.35408913222568e-05,0.994161799786203,0.996469475176887
"ENSG00000237491.8",0.640042015814197,3.75006588645816,0.69897305139736,0.403128979138473,0.557984910833246
"ENSG00000177757.2",-0.909377080102435,1.41501263620167,0.82476182785668,0.363791587748059,0.52064550827334
"ENSG00000228794.8",-2.23348673713097,4.98246954691144,10.2043068625757,0.00140113044780082,0.0124105609253152
"ENSG00000188976.10",-0.806425790089565,3.79690185512771,1.67827372055298,0.195153992433441,0.343645347242545
"ENSG00000187961.13",-0.17211598004865,3.26732455383539,0.0356723708791975,0.850193681937163,0.90452684405122
"ENSG00000188157.14",-3.04648297477365,3.61267129360925,7.938842627704,0.00483847706888963,0.0282360945193505
"ENSG00000131591.17",1.57438242069308,5.31695071308582,6.28789822497354,0.0121565123368232,0.0524866511551139
"ENSG00000162571.13",-2.03714057453794,3.75769292056945,3.12268877762375,0.0772092857598845,0.180908552588568
"ENSG00000078808.16",1.05192931177958,4.89380111149232,2.7782722647061,0.0955511954201875,0.209686535881358
"ENSG00000176022.4",0.20128605972802,1.90499345023415,0.0438629784749835,0.834108748433924,0.89388543612002
"ENSG00000160087.20",1.06142357853626,6.49966910102259,3.80648034243556,0.0510546269962271,0.137138259453973
"ENSG00000162572.20",-0.509787168116872,4.01179326051181,0.489031360018366,0.484359710980786,0.631731057608876
"ENSG00000169972.11",1.05811376642481,1.60981104613445,1.5228787881233,0.217184366070604,0.367429123760472
"ENSG00000127054.20",0.114659386658023,5.93700634620313,0.0551551711825269,0.814324086479301,0.881764348364938
"ENSG00000224051.6",-0.126572541244028,4.67962901503487,0.0302143444090497,0.862004773709151,0.912125418510735
"ENSG00000107404.19",1.78525348009843,4.59496767819376,6.20649988648711,0.0127282051974003,0.0541299602811497
