"","Post_Mitotic_Cells","Mitotic_Cells"
"ENSG00000227232.5",349,300
"ENSG00000279457.4",315,283
"ENSG00000225972.1",322,355
"ENSG00000225630.1",41951,43788
"ENSG00000237973.1",74446,72848
"ENSG00000229344.1",459,534
"ENSG00000248527.1",125822,123438
"ENSG00000198744.5",759,792
"ENSG00000228327.3",623,653
"ENSG00000237491.8",241,161
"ENSG00000228794.8",3086,3115
"ENSG00000225880.5",224,135
"ENSG00000230699.2",369,362
"ENSG00000223764.2",867,851
"ENSG00000187634.11",3738,3855
"ENSG00000188976.10",39577,36964
"ENSG00000187961.13",2105,1843
"ENSG00000187583.10",1008,1089
"ENSG00000187642.9",290,265
"ENSG00000188290.10",216,216
"ENSG00000187608.8",3963,3756
"ENSG00000188157.14",38164,34765
"ENSG00000217801.9",557,635
"ENSG00000131591.17",2470,2420
"ENSG00000078808.16",36355,33957
"ENSG00000176022.4",7699,7693
"ENSG00000184163.3",162,147
"ENSG00000160087.20",13324,13497
"ENSG00000162572.20",346,312
"ENSG00000131584.18",8815,8599
"ENSG00000169972.11",3854,3542
"ENSG00000127054.20",14679,12723
"ENSG00000240731.1",512,440
"ENSG00000224051.6",4649,4102
"ENSG00000169962.4",808,634
"ENSG00000107404.19",26438,25382
"ENSG00000162576.16",984,844
"ENSG00000175756.13",18306,16650
"ENSG00000221978.11",13320,14943
"ENSG00000224870.6",4058,3154
"ENSG00000242485.5",14409,15566
"ENSG00000272455.1",1546,1095
"ENSG00000160072.19",16302,15365
"ENSG00000284740.1",153,153
"ENSG00000197785.13",22357,19957
"ENSG00000160075.11",21427,22423
"ENSG00000228594.3",3903,3117
"ENSG00000272106.1",537,370
"ENSG00000197530.12",6001,5411
"ENSG00000248333.8",8663,8429
"ENSG00000189339.11",5856,5865
"ENSG00000269737.2",150,114
"ENSG00000008128.22",208,184
"ENSG00000215790.7",1006,958
"ENSG00000008130.15",12677,12030
"ENSG00000078369.17",79303,79003
"ENSG00000067606.16",3586,3519
"ENSG00000182873.5",312,262
"ENSG00000162585.16",3951,3618
"ENSG00000157933.9",11080,12311
"ENSG00000116151.13",906,889
"ENSG00000157916.19",15525,16792
"ENSG00000157911.9",3510,3325
"ENSG00000157881.13",117,331
"ENSG00000157870.14",207,40
"ENSG00000130762.14",4589,4264
"ENSG00000162591.15",2494,2768
"ENSG00000158109.14",4895,5268
"ENSG00000116213.15",3781,3790
"ENSG00000227372.11",3088,2951
"ENSG00000130764.9",13410,13002
"ENSG00000116198.12",8946,9673
"ENSG00000169598.15",1496,1492
"ENSG00000198912.10",5525,5633
"ENSG00000131697.17",2075,1887
"ENSG00000069424.14",10700,11048
"ENSG00000116254.17",294,221
"ENSG00000116251.9",45409,58535
"ENSG00000158286.12",2260,2305
"ENSG00000116237.15",22436,23525
"ENSG00000225077.2",179,189
"ENSG00000158292.6",1144,1178
"ENSG00000097021.19",7573,6575
"ENSG00000069812.11",239,312
"ENSG00000215788.9",537,605
"ENSG00000171680.21",2157,2312
"ENSG00000162408.10",9406,10830
"ENSG00000204859.12",2550,2396
"ENSG00000162413.16",14901,14018
"ENSG00000116273.5",2884,2749
"ENSG00000041988.15",1520,1502
"ENSG00000007923.15",15450,16057
"ENSG00000171735.18",2601,2721
"ENSG00000049245.12",13081,14836
"ENSG00000049246.14",576,631
"ENSG00000116288.12",26337,28062
"ENSG00000116285.12",3187,3194
"ENSG00000142599.17",11908,12822
"ENSG00000074800.14",439034,424603
"ENSG00000180758.11",2856,3248
"ENSG00000228526.7",637,421
"ENSG00000049239.12",1608,1349
"ENSG00000171621.13",3539,3850
"ENSG00000171612.6",3228,3775
"ENSG00000188807.12",8433,7222
"ENSG00000171608.15",4960,4951
"ENSG00000231789.2",135,118
"ENSG00000171603.16",28201,27513
"ENSG00000178585.14",839,668
"ENSG00000162441.11",3747,4459
"ENSG00000173614.13",1504,1748
"ENSG00000130939.18",18701,18924
"ENSG00000054523.17",18488,20434
"ENSG00000142657.20",36025,36235
"ENSG00000175279.21",306,354
"ENSG00000160049.11",19955,21440
"ENSG00000142655.12",3551,3457
"ENSG00000130940.14",324,341
"ENSG00000120948.16",21347,22720
"ENSG00000009724.16",250,191
