,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000025900,-1.12040739168054,4.992313255802019,132.73992520199,1.0306671422917299e-30,2.9606294450682898e-30
ENSMUSG00000033793,-1.64438310608177,6.40007415360883,355.59721846017896,2.56031360876846e-79,1.5411436109554697e-78
ENSMUSG00000061024,-2.50149304034235,2.9988224723921,172.92452275778197,1.7000144154006197e-39,5.6431930131716495e-39
ENSMUSG00000025912,-1.1458993438868201,6.596321786730679,187.865695543805,9.29430924325198e-43,3.2616313405043e-42
ENSMUSG00000046101,-1.7503089909436798,2.7774207527577,156.104244527755,8.033186197214009e-36,2.51115570314966e-35
ENSMUSG00000099032,-1.49824200935525,1.2386670931486599,52.762396778044604,3.76439815365011e-13,7.37337329045953e-13
ENSMUSG00000025940,-1.27097251329481,4.29136627182456,159.086793289603,1.7913335806897e-36,5.66419192538463e-36
ENSMUSG00000025934,-5.717971908575901,4.4421466137601,1526.8114917555802,0.0,0.0
ENSMUSG00000102398,-1.2708491775364998,2.20795470700381,65.6773853869459,5.31118185642681e-16,1.12162351110145e-15
ENSMUSG00000101111,-1.07911700390531,1.8542207231172498,23.9803968400382,9.73215619521906e-07,1.52163474418602e-06
ENSMUSG00000102070,-1.44684922484365,1.79730530251577,38.5972507608722,5.209224837645559e-10,9.23408506685872e-10
ENSMUSG00000101249,-1.08488285974949,1.28376972934148,22.0265548436693,2.68904252287426e-06,4.11921520442483e-06
ENSMUSG00000026063,-1.6802118526319099,5.32018576830151,367.52827630613,6.462042058372019e-82,4.028342031488479e-81
ENSMUSG00000026134,-1.02980909837108,5.33797125956075,185.90290568181098,2.4928055088959e-42,8.673996294629059e-42
ENSMUSG00000004768,-1.57027274622893,5.8303348014372895,452.159063985352,2.4448149255940397e-100,1.8065039537322394e-99
ENSMUSG00000042111,-1.37962064841495,2.81801558108527,68.84723706010399,1.0639354891772399e-16,2.29108742437844e-16
ENSMUSG00000100280,-1.87601113372818,1.3436970756166202,80.93722994795559,2.33002372059482e-19,5.3483158880965205e-19
ENSMUSG00000026123,-1.5173832523433601,2.9707719603766103,131.542609182759,1.8838709417639802e-30,5.3937753334670294e-30
ENSMUSG00000103708,-1.21894877226777,2.10925566367729,54.552890844192,1.51319889856841e-13,2.9991812187317603e-13
ENSMUSG00000104201,-1.1099071679,1.4550931253344301,28.796163639737802,8.04102322876684e-08,1.31158648119571e-07
