,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000025900,3.8810642600973795,5.00380801172232,1333.68456201071,5.409604717252556e-292,2.695896719792469e-291
ENSMUSG00000025902,1.27086910106185,4.09769787761092,141.725289060684,1.11673162443611e-32,1.77731646779357e-32
ENSMUSG00000025907,3.13061437285038,10.0178671602828,1164.7848385683,2.745561350801719e-255,1.2045372466579393e-254
ENSMUSG00000103845,2.5734976642675598,2.221566931507,151.603079334196,7.737073861206679e-35,1.2518006578786599e-34
ENSMUSG00000025911,2.01180607500458,1.30779755623879,94.8259704697998,2.0788039846711996e-22,3.04609157788609e-22
ENSMUSG00000025912,4.19072095710211,6.655962881211409,1708.41994685607,0.0,0.0
ENSMUSG00000025917,1.9394911541382098,8.24663042101599,1030.4324227924499,4.359656344603368e-226,1.7283446206980292e-225
ENSMUSG00000056763,1.3967764029173002,7.26835273968282,489.636230208218,1.7098749074277097e-108,4.1968364151957386e-108
ENSMUSG00000057715,1.4821923416290101,0.7363098283658209,33.7105887419493,6.3951632457219305e-09,8.032052902020542e-09
ENSMUSG00000025935,2.12694927757831,7.80371912103144,1283.64687460134,4.0457815498820175e-281,1.9322207515334588e-280
ENSMUSG00000025925,1.88861083812315,6.90048508088213,450.244416338293,6.381515891115569e-100,1.5092182814605497e-99
ENSMUSG00000025777,1.77797003797719,0.870413113250646,51.25161056830029,8.125404389457241e-13,1.08137215896666e-12
ENSMUSG00000101589,1.17747548631713,2.20127271829081,67.13076033625421,2.5408287236911003e-16,3.51500163017309e-16
ENSMUSG00000025931,2.29224825631961,5.03704264221815,900.073501283526,9.458939310300495e-198,3.3656491108320585e-197
ENSMUSG00000041809,7.573001987828571,8.60581085320962,5799.60622716034,0.0,0.0
ENSMUSG00000025934,1.91291857294413,5.2033115348865495,600.032815926282,1.6468775443656696e-132,4.518483915589379e-132
ENSMUSG00000026154,3.73266913984622,4.48525582860877,981.125406227084,2.2748946206576087e-215,8.646943300542097e-215
ENSMUSG00000026153,1.56899986017712,7.461805872638251,430.915605657653,1.0270865423589498e-95,2.3813400862313098e-95
ENSMUSG00000026147,2.1489958713323603,1.32597159058198,108.594915715669,1.99084711273781e-25,2.99756931679411e-25
ENSMUSG00000081557,1.1611243634768202,2.00039173769383,49.00262260760179,2.5562049782767298e-12,3.38097198896876e-12
ENSMUSG00000026134,2.2763701659705298,5.53554158706128,862.198190557033,1.6206006962053092e-189,5.587853919217258e-189
ENSMUSG00000004768,1.2593381626904498,6.44391929449607,388.076861104803,2.170448803664799e-86,4.777982206986138e-86
ENSMUSG00000042197,1.18346883413706,7.661433488823941,508.86060326050006,1.1223163986946794e-112,2.809003053421529e-112
ENSMUSG00000010453,1.43289222101548,8.390702618368639,812.5516304159579,1.0072494875679896e-178,3.3497429437260993e-178
ENSMUSG00000037408,1.26942407932758,5.3152637950051,227.211105045393,2.4186325026642695e-51,4.418130175840079e-51
ENSMUSG00000079610,1.20414996906429,1.56200074990979,32.5444759897628,1.1649578019746498e-08,1.45879208847186e-08
ENSMUSG00000046337,6.8716709298124,7.89982649407668,3764.2092467499297,0.0,0.0
ENSMUSG00000061518,1.045036491406,5.748569920856121,191.60395633569198,1.4198078262734697e-43,2.4563674087023197e-43
ENSMUSG00000050122,7.115482303069309,6.40759049654158,4779.3356263757005,0.0,0.0
ENSMUSG00000026111,1.38515523878771,5.67732041531322,490.22429986462697,1.2735237375212898e-108,3.1277764188009994e-108
