"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000025900",3.8833714998637,4.95937852715249,2876.12174245392,0,0
"ENSMUSG00000025902",0.926466217439563,3.86721263691095,131.392785745536,2.03155568118936e-30,2.91870954650406e-30
"ENSMUSG00000098104",0.705200844865347,2.5892898491761,30.3464707872064,3.61363851267011e-08,4.33017921715338e-08
"ENSMUSG00000033845",0.678383420830619,4.71285702246501,117.21071788871,2.58132712616885e-27,3.64162849464674e-27
"ENSMUSG00000025903",0.0864995721506561,4.36046422240221,1.34972631014631,0.245325969328949,0.254874775073953
"ENSMUSG00000033813",-1.96760374415613,5.9315973512858,1255.11818270337,6.40917273294236e-275,1.95573184687352e-274
"ENSMUSG00000033793",0.486872340924392,7.30876199277696,148.134248085905,4.43389294500931e-34,6.5266817402815e-34
"ENSMUSG00000025907",3.08646219599206,10.0031851637829,6209.34661694601,0,0
"ENSMUSG00000103845",2.6389017615263,2.22093671685365,265.952042311559,8.65303132213053e-60,1.44633700438499e-59
"ENSMUSG00000051285",-3.26496901580866,4.18500459617107,1065.81674302392,8.88233523648784e-234,2.4774224183698e-233
"ENSMUSG00000061024",-1.22586055547447,5.30011380681762,444.982616165045,8.91354804937672e-99,1.72593359206043e-98
"ENSMUSG00000025911",1.90547084526617,1.30468086751216,94.6615958919874,2.25879179153855e-22,3.09273607672215e-22
"ENSMUSG00000025912",4.1509696055614,6.59319355941121,5521.70968440754,0,0
"ENSMUSG00000045210",0.0740566636608078,7.60522118394302,3.88356147095646,0.0487610178586797,0.0520146329625863
"ENSMUSG00000025915",-1.44919946263918,6.00412629881458,865.004105516481,3.97809749955823e-190,1.00289712460067e-189
"ENSMUSG00000098234",-1.64894523616914,4.24228804026338,338.390927957482,1.42988224188683e-75,2.54403228315602e-75
"ENSMUSG00000099032",-0.652073722929906,2.65270653286638,27.6291754614287,1.46945548384059e-07,1.74640192659424e-07
"ENSMUSG00000025917",1.93056120617967,8.2382027673408,2655.93965019847,0,0
"ENSMUSG00000056763",1.42625063858108,7.31010969528011,1400.65823052209,1.51145139422473e-306,4.9215179560934e-306
"ENSMUSG00000067851",-0.584384764434152,7.93632613728222,218.066507411311,2.38855866362293e-49,3.79633868401014e-49
"ENSMUSG00000057715",1.48425350123142,0.760376137143198,39.6293872790089,3.07028253129582e-10,3.7752871411378e-10
"ENSMUSG00000016918",-4.46660804061758,4.80663949959683,2283.52990452852,0,0
"ENSMUSG00000005886",-0.995777377854547,6.3403195928499,467.320591351877,1.22696208293707e-103,2.41816790347029e-103
"ENSMUSG00000025935",2.11896633999757,7.78585463107868,3192.4128904507,0,0
"ENSMUSG00000025937",-2.64930593924721,3.2758182466814,436.153658549955,7.43989186165247e-97,1.4304650731604e-96
"ENSMUSG00000025925",1.84670128388397,6.87465694443647,1408.71119385802,2.68826630072012e-308,8.7938450348013e-308
"ENSMUSG00000043716",-1.03288707117857,8.1484686450134,730.577517025321,6.70845256989629e-161,1.565045582101e-160
"ENSMUSG00000025921",-4.71465934773573,5.96880670289281,3810.20021517898,0,0
"ENSMUSG00000025920",-3.85090455310125,4.24711233774403,1426.90347592815,2.99423602586499e-312,9.91053430832308e-312
"ENSMUSG00000025939",0.00765575559678622,5.92321059860034,0.0271844669130648,0.869040696225511,0.873977602436316
"ENSMUSG00000079658",0.865205674080051,6.50955461806083,147.54085983762,5.97720287207871e-34,8.79090631326616e-34
"ENSMUSG00000025940",0.321415094033041,5.14418076056301,31.6516894183927,1.84454065890958e-08,2.21890481182707e-08
"ENSMUSG00000025777",1.69365788114792,0.897421585798771,53.9662882785843,2.03959184281693e-13,2.59239854332491e-13
"ENSMUSG00000101589",1.20217876338725,2.27469414357111,72.1072297639271,2.0381566157831e-17,2.6888032154298e-17
"ENSMUSG00000100204",-1.81524320369721,2.53256264598693,150.368096788124,1.44046652657087e-34,2.12895470188583e-34
"ENSMUSG00000041859",-1.99790355824884,5.84887456336396,1396.51836579609,1.19948890681274e-305,3.890985572679e-305
"ENSMUSG00000025931",2.25836685233811,5.00952123724197,1335.96216725081,1.7306923481793e-292,5.46969663622537e-292
"ENSMUSG00000041809",7.52642006291416,8.59441779595312,17198.4986076838,0,0
"ENSMUSG00000041779",0.854908346796389,4.29737039657554,144.5540411253,2.68818800083192e-33,3.93643750074251e-33
"ENSMUSG00000025934",1.92383864588474,5.16469809707313,1010.8442117574,7.89110376336157e-222,2.14382999556187e-221
"ENSMUSG00000082935",-0.262730574709283,4.96718464861704,20.9864573792137,4.62541381010054e-06,5.37978081603771e-06
"ENSMUSG00000026155",0.778353904649259,6.49915453648858,310.836157492031,1.435734676678e-69,2.49687576391935e-69
"ENSMUSG00000026154",3.75314435958702,4.1957761159769,1686.32210815811,0,0
"ENSMUSG00000026153",1.52812734081239,7.43670506175604,1471.81507732483,5.23709584591721e-322,1.77369566857008e-321
"ENSMUSG00000026147",2.14330547053533,1.29976118059231,115.25167070452,6.93177332493193e-27,9.75847120635371e-27
"ENSMUSG00000100131",0.644741244121724,1.20343291342118,6.20041695691473,0.0127720221601119,0.0138488202813391
