"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000025900",-1.04631529236773,5.05088541566256,245.904944233458,2.02874635385351e-55,6.50494165887113e-55
"ENSMUSG00000025902",-0.11692805557287,3.69558454321424,1.90512120263965,0.167506211940435,0.185666712885248
"ENSMUSG00000098104",-0.759763532262991,2.11024559537075,27.5833173150687,1.5047098479819e-07,2.23893290056524e-07
"ENSMUSG00000033845",0.0676718269997502,4.51096199422168,0.971862976990007,0.324215996927931,0.349321488871054
"ENSMUSG00000025903",-0.387036192167359,3.68350086083537,18.8711767437324,1.398498626867e-05,1.94059033045117e-05
"ENSMUSG00000033813",2.03705939086529,5.27267718722906,1024.44463674098,8.72863909288604e-225,8.64498963491255e-224
"ENSMUSG00000033793",-1.57478920863576,6.42773498958018,876.257742823509,1.422914131738e-192,1.23440397486906e-191
"ENSMUSG00000025907",-0.250766679330524,10.162281197844,38.6666439421837,5.02727329608447e-10,8.03439844786605e-10
"ENSMUSG00000102706",0.10303077367586,4.13736911563391,1.86985045430278,0.171492208144145,0.189922493597748
"ENSMUSG00000103845",1.45054787000601,3.39460574514847,226.171349572353,4.07696797315439e-51,1.24883413301392e-50
"ENSMUSG00000051285",-0.741497672853819,0.861254212944473,11.5779455752708,0.00066738634116447,0.000863178017383483
"ENSMUSG00000097797",-0.111189400884504,0.458135701300807,0.213112194118493,0.644338957490978,0.667118853846557
"ENSMUSG00000025909",2.59451686518165,1.8952278772799,260.135560675747,1.60312423809448e-58,5.30481621431636e-58
"ENSMUSG00000061024",-2.49592578375675,3.30221756725623,427.013215641727,7.26050137589576e-95,3.4163401723202e-94
"ENSMUSG00000025912",-1.07321686723813,6.61425850598529,501.545001193431,4.38339135943323e-111,2.31970046635387e-110
"ENSMUSG00000045210",-0.364060824381782,6.90903484184666,66.2915505023043,3.8892228401331e-16,7.15532716021392e-16
"ENSMUSG00000097893",0.848822602655678,3.20160114544917,72.3507138640809,1.80157622077737e-17,3.40048703821159e-17
"ENSMUSG00000025915",-0.852681220542154,4.166561916945,130.062535848076,3.97068920723867e-30,9.30648635556909e-30
"ENSMUSG00000046101",-1.68333498734157,2.81282938808731,189.264795643463,4.60057237149104e-43,1.2775187531582e-42
"ENSMUSG00000098234",-0.367890994950141,2.4004753377365,6.70002919602789,0.00964113325607371,0.0117002929287035
"ENSMUSG00000099032",-1.41628196567756,1.25942374568725,47.3429414585057,5.95923214755233e-12,1.00331211059369e-11
"ENSMUSG00000025916",0.789818263097909,6.79557171590442,270.102240401865,1.07801900727461e-60,3.64848293349561e-60
"ENSMUSG00000025917",0.19605064713634,8.45324912135482,24.7988591108808,6.36351228597221e-07,9.27410711450395e-07
"ENSMUSG00000056763",0.0275247543862771,7.32616224679891,0.429623305098572,0.5121738445827,0.538014537190724
"ENSMUSG00000067851",0.427199050585682,7.25548729473448,80.8193002628249,2.47330507209405e-19,4.84137756494721e-19
"ENSMUSG00000042501",2.55687170273647,2.56045535753664,385.336283823862,8.57411699575012e-86,3.69215146719167e-85
"ENSMUSG00000057715",-0.591958338633255,0.640916254595213,5.83143330139355,0.0157422924398531,0.0188764565980481
"ENSMUSG00000016918",1.49233568493381,1.43181456775747,75.21986563154,4.21108693577665e-18,8.05722053636256e-18
"ENSMUSG00000005886",1.06007093093706,5.74234217153942,380.112282424582,1.17629325248699e-84,5.007849064767e-84
"ENSMUSG00000025935",-0.121746427413219,7.88950739242994,9.88457866405998,0.00166669690255988,0.00211236392289248
"ENSMUSG00000025925",-0.3335952160375,6.84652611641681,51.8231319959077,6.07320725820995e-13,1.04874781349546e-12
"ENSMUSG00000067795",0.465508561722037,5.22475601459277,63.7268950022491,1.42920002276964e-15,2.60256010275033e-15
"ENSMUSG00000043716",-0.183311591696856,6.87066826610657,16.0568710058941,6.14681733715349e-05,8.30956482108845e-05
"ENSMUSG00000025921",1.72253290732205,2.53579096308509,177.144093857841,2.03707734350073e-40,5.47752584332719e-40
"ENSMUSG00000025920",0.514753808133302,0.883209954502279,6.3369679476304,0.0118246843508444,0.0142797331254651
"ENSMUSG00000089982",2.76861152753907,3.98118464676062,1013.96945415662,1.65131903015031e-222,1.62421462124163e-221
"ENSMUSG00000025939",1.0072025906603,5.91251743813959,369.80308567625,2.06570588933919e-82,8.65230466776962e-82
"ENSMUSG00000102457",0.310824504558051,3.30700585207317,11.0773352951019,0.000873892919013326,0.00112374545225571
"ENSMUSG00000079658",0.896919869987422,6.83089673600335,299.183225848069,4.96271966364663e-67,1.7973160955543e-66
"ENSMUSG00000097744",0.265573309391,1.77653154587464,2.86736417235221,0.0903928009540182,0.102511301463598
"ENSMUSG00000025940",-1.23594068180426,4.3163240416459,265.601653828732,1.03166412964532e-59,3.45227447606793e-59
"ENSMUSG00000025777",2.86359238000484,2.89917424893622,551.921779943616,4.80757662909136e-122,2.76251643368658e-121
"ENSMUSG00000101589",-0.157992805004631,2.2067549022781,1.34382766965753,0.246360077318357,0.268622891644832
"ENSMUSG00000100204",-0.348283767620352,0.597593082163925,2.28095822018256,0.130970933796686,0.146640560355498
"ENSMUSG00000089914",2.96648252652755,2.65607566914452,512.309873390251,1.99367589846002e-113,1.07867244551733e-112
"ENSMUSG00000041859",-0.672643628561285,3.63620902949516,60.3770990726644,7.83188746782214e-15,1.40908766325318e-14
"ENSMUSG00000025931",-0.357192118571071,5.11737801087172,34.0158662663746,5.46644962562439e-09,8.49542383792688e-09
"ENSMUSG00000041809",0.323601943573745,9.21635223224401,77.9930796618206,1.03402186035031e-18,2.00152277040122e-18
"ENSMUSG00000041779",0.258171904342819,4.26312268383186,12.3529802510905,0.000440283058055097,0.000574240235389282
"ENSMUSG00000025934",-5.68962480131042,4.51281620900501,2073.91459346365,0,0
"ENSMUSG00000096375",-0.124525898796996,2.08779201686091,0.377328945273161,0.539036217587924,0.564237397081759
"ENSMUSG00000082935",-0.509746004269057,4.04405395427141,40.960928823982,1.55303125654487e-10,2.51868680700966e-10
"ENSMUSG00000073730",0.596301588627883,9.62660432908881,269.212696224711,1.68461083456228e-60,5.68795447976498e-60
"ENSMUSG00000026156",0.467799571593494,1.49240428799936,7.16507396742499,0.0074336625399771,0.00908785317548032
"ENSMUSG00000026155",2.13852685565009,7.69733175135579,2462.34175906851,0,0
"ENSMUSG00000026154",-0.476957933014472,4.49169976806624,44.7252656675909,2.26712869584793e-11,3.75886880495038e-11
"ENSMUSG00000026153",-0.248728294483388,7.35173765495255,35.5917252006243,2.43318935627128e-09,3.81509967009025e-09
"ENSMUSG00000102398",-1.22922415532736,2.27837457705851,75.9987438518811,2.83845242846938e-18,5.44992037356358e-18
"ENSMUSG00000026147",0.164510920087796,1.64236449374826,1.07482389047804,0.299858379672515,0.323958806975942
"ENSMUSG00000026141",1.92150409626625,1.01016136857415,86.7733059334987,1.2170115384983e-20,2.4401825617971e-20
"ENSMUSG00000099997",0.372569588031288,1.25348265537597,4.00205417039226,0.045444846154536,0.0527624874516438
"ENSMUSG00000101111",-1.8473499165459,1.98485747192834,13.1373230904707,0.000289471137643143,0.000380711671437339
"ENSMUSG00000100862",-1.37598634970577,0.903209532108825,33.2175457501519,8.2403630175576e-09,1.27369738112503e-08
"ENSMUSG00000102070",-0.927058665715835,2.06873335721315,14.5452580791681,0.000136832599260347,0.000182622733543989
"ENSMUSG00000101249",-1.26191808024765,1.24625635243236,39.1659888248888,3.89262399223401e-10,6.24202871342945e-10
"ENSMUSG00000073725",2.24192857417866,6.35046638416954,1902.09611436429,0,0
"ENSMUSG00000099392",2.03878982919835,1.73475635912026,155.673574038388,9.97698200417505e-36,2.52066815489007e-35
"ENSMUSG00000033569",0.269679959065445,0.964657622832667,1.83087313923625,0.176024449443056,0.194745225192527
"ENSMUSG00000073722",2.91289094289938,3.79175905430061,869.539487657853,4.10862721027116e-191,3.52782909529725e-190
"ENSMUSG00000048411",0.261800270583981,4.8985907898088,16.2747889249882,5.47880807870272e-05,7.42552131696838e-05
"ENSMUSG00000048874",0.17711045270141,5.97956297361385,11.2712133887154,0.000787182586768251,0.00101462250813274
"ENSMUSG00000026064",1.45900104357276,5.02146582850112,527.361245726925,1.05931910649349e-116,5.88547296330742e-116
"ENSMUSG00000100371",-0.397834424499947,1.15216532572801,4.40100594449954,0.0359177383832465,0.0420504666575161
"ENSMUSG00000086727",0.134092720932552,2.82060916614514,1.52116373074067,0.217443471010309,0.238167482032795
"ENSMUSG00000026063",-1.59394574742838,5.36270917169968,657.245282042731,5.93496843716611e-145,3.99078358561353e-144
"ENSMUSG00000102865",3.10709431250147,2.18242291598417,398.508518295993,1.16308905015034e-88,5.14834762049785e-88
"ENSMUSG00000091318",2.88083963168395,3.71639512089844,907.551528087505,2.23983922808101e-199,1.99653669193071e-198
"ENSMUSG00000026134",-0.978765923785623,5.38426068037074,276.918087405726,3.52542393611311e-62,1.21565754779606e-61
"ENSMUSG00000103746",-0.897842884325301,2.7786227856077,45.6158578468959,1.43872082786405e-11,2.39792409103623e-11
"ENSMUSG00000004768",-1.40619804640722,5.97890508115626,683.287376240906,1.28835796976212e-150,8.90671903283921e-150
"ENSMUSG00000042215",-0.613515751549258,0.536163445187477,6.18920126249871,0.012853218669693,0.0154929517129109
"ENSMUSG00000042197",1.92410950062257,8.83163697750837,2611.01079166047,0,0
"ENSMUSG00000026131",0.379479044965189,7.98377763293817,96.8261719566607,7.56889697404112e-23,1.57174735940266e-22
"ENSMUSG00000042111",-1.36642770407047,2.98064715041642,128.032813181328,1.10402534337613e-29,2.57029210695893e-29
"ENSMUSG00000026127",-0.919954984020328,3.8617181254061,117.118815517209,2.70375246389513e-27,6.05542048367971e-27
"ENSMUSG00000101223",0.164716357191688,4.55785307640942,5.39671142894705,0.0201747309914451,0.0240096806909204
"ENSMUSG00000026125",1.02484894235762,7.39534345523375,629.69442439676,5.82480328945594e-139,3.78096088985786e-138
