,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000025900,3.8833714998637,4.95937852715249,2876.1217424539195,0.0,0.0
ENSMUSG00000025907,3.0864621959920604,10.0031851637829,6209.346616946011,0.0,0.0
ENSMUSG00000103845,2.6389017615262995,2.22093671685365,265.952042311559,8.653031322130529e-60,1.4463370043849898e-59
ENSMUSG00000025911,1.90547084526617,1.30468086751216,94.6615958919874,2.25879179153855e-22,3.0927360767221497e-22
ENSMUSG00000025912,4.1509696055614,6.59319355941121,5521.70968440754,0.0,0.0
ENSMUSG00000025917,1.9305612061796698,8.2382027673408,2655.9396501984697,0.0,0.0
ENSMUSG00000056763,1.42625063858108,7.310109695280111,1400.6582305220902,1.511451394224729e-306,4.921517956093398e-306
ENSMUSG00000057715,1.48425350123142,0.760376137143198,39.629387279008895,3.07028253129582e-10,3.7752871411378e-10
ENSMUSG00000025935,2.11896633999757,7.78585463107868,3192.4128904507,0.0,0.0
ENSMUSG00000025925,1.84670128388397,6.87465694443647,1408.7111938580201,2.688266300720118e-308,8.793845034801295e-308
ENSMUSG00000025777,1.69365788114792,0.897421585798771,53.9662882785843,2.03959184281693e-13,2.59239854332491e-13
ENSMUSG00000101589,1.20217876338725,2.27469414357111,72.1072297639271,2.0381566157830998e-17,2.6888032154298004e-17
ENSMUSG00000025931,2.25836685233811,5.0095212372419695,1335.96216725081,1.7306923481792988e-292,5.469696636225367e-292
ENSMUSG00000041809,7.526420062914161,8.59441779595312,17198.4986076838,0.0,0.0
ENSMUSG00000025934,1.92383864588474,5.16469809707313,1010.8442117574001,7.891103763361567e-222,2.1438299955618688e-221
ENSMUSG00000026154,3.7531443595870204,4.1957761159769,1686.32210815811,0.0,0.0
ENSMUSG00000026153,1.5281273408123899,7.43670506175604,1471.81507732483,5.24e-322,1.774e-321
ENSMUSG00000026147,2.14330547053533,1.2997611805923102,115.25167070452,6.931773324931929e-27,9.758471206353709e-27
ENSMUSG00000081557,1.1185321723888602,2.0238666188492798,54.7766864968538,1.35033121967765e-13,1.71886298218034e-13
ENSMUSG00000026134,2.31035795230247,5.497565162964211,1737.8648664708098,0.0,0.0
ENSMUSG00000004768,1.3037722905165101,6.495184470746059,924.0078540729841,5.927579041232247e-203,1.541170550720379e-202
ENSMUSG00000042197,1.17321218924123,7.66280363830501,1159.4204904315302,4.022399491915668e-254,1.1724369269656395e-253
ENSMUSG00000010453,1.44010574898799,8.41166785537174,1915.6292559751603,0.0,0.0
ENSMUSG00000037432,3.79497115111561,3.8985971649449302,1306.7334559699302,3.890005500863458e-286,1.2137865790408094e-285
ENSMUSG00000037408,1.30279101539421,5.308395225988701,532.439892233737,8.320306466534839e-118,1.7127197203171393e-117
