id_gene,id_string,up,down,gene,biotype
FBgn0000014,7227.FBpp0082829,False,True,abd-A,protein_coding
FBgn0000015,7227.FBpp0082826,True,False,Abd-B,protein_coding
FBgn0000042,7227.FBpp0100124,False,True,Act5C,protein_coding
FBgn0000044,7227.FBpp0071448,True,False,Act57B,protein_coding
FBgn0000046,7227.FBpp0082253,True,False,Act87E,protein_coding
FBgn0000064,7227.FBpp0302781,True,False,Ald,protein_coding
FBgn0000078,7227.FBpp0086136,True,False,Amy-d,protein_coding
FBgn0000078,7227.FBpp0086155,True,False,Amy-d,protein_coding
FBgn0000079,7227.FBpp0086155,True,False,Amy-p,protein_coding
FBgn0000083,7227.FBpp0088506,False,True,AnxB9,protein_coding
FBgn0000084,7227.FBpp0291143,True,False,AnxB10,protein_coding
FBgn0000114,7227.FBpp0079926,True,False,bru1,protein_coding
FBgn0000120,7227.FBpp0298351,True,False,Arr1,protein_coding
FBgn0000157,7227.FBpp0289353,False,True,Dll,protein_coding
FBgn0000206,7227.FBpp0084323,True,False,boss,protein_coding
FBgn0000256,7227.FBpp0288517,True,False,capu,protein_coding
FBgn0000287,7227.FBpp0297936,True,False,salr,protein_coding
FBgn0000316,7227.FBpp0070063,False,True,cin,protein_coding
FBgn0000355,7227.FBpp0076299,True,False,Cp15,protein_coding
FBgn0000395,7227.FBpp0071536,True,True,cv-2,protein_coding
FBgn0000406,7227.FBpp0304264,True,False,Cyt-b5-r,protein_coding
FBgn0000416,7227.FBpp0085075,False,True,Sap-r,protein_coding
FBgn0000447,7227.FBpp0289671,True,False,Dhod,protein_coding
FBgn0000489,7227.FBpp0075283,True,False,Pka-C3,protein_coding
FBgn0000490,7227.FBpp0077451,True,False,dpp,protein_coding
FBgn0000492,7227.FBpp0084807,True,False,Dr,protein_coding
FBgn0000527,7227.FBpp0083505,True,True,e,protein_coding
FBgn0000533,7227.FBpp0082539,False,True,ea,protein_coding
FBgn0000542,7227.FBpp0111714,False,True,ec,protein_coding
FBgn0000562,7227.FBpp0113078,True,False,egl,protein_coding
FBgn0000567,7227.FBpp0099825,True,False,Eip74EF,protein_coding
FBgn0000578,7227.FBpp0113115,False,True,ena,protein_coding
FBgn0000635,7227.FBpp0070633,False,True,Fas2,protein_coding
FBgn0000636,7227.FBpp0111717,True,True,Fas3,protein_coding
FBgn0000667,7227.FBpp0070331,False,True,Actn,protein_coding
FBgn0000711,7227.FBpp0071381,True,False,flw,protein_coding
FBgn0000721,7227.FBpp0088350,False,True,for,protein_coding
FBgn0001077,7227.FBpp0081139,True,False,ftz,protein_coding
FBgn0001091,7227.FBpp0087977,False,True,Gapdh1,protein_coding
FBgn0001092,7227.FBpp0073922,False,True,Gapdh2,protein_coding
FBgn0001098,7227.FBpp0088988,False,True,Gdh,protein_coding
FBgn0001104,7227.FBpp0076643,False,True,Galphai,protein_coding
FBgn0001124,7227.FBpp0086370,True,False,Got1,protein_coding
FBgn0001125,7227.FBpp0077537,True,False,Got2,protein_coding
FBgn0001128,7227.FBpp0305431,False,True,Gpdh1,protein_coding
FBgn0001142,7227.FBpp0077773,False,True,Gs1,protein_coding
