id_gene,id_string,gene,Mit_vs_Pre,Pos_vs_Mit,biotype
ENSG00000000003,9606.ENSP00000362111,TSPAN6,True,True,protein_coding
ENSG00000000419,9606.ENSP00000360644,DPM1,True,True,protein_coding
ENSG00000000457,9606.ENSP00000356746,SCYL3,True,True,protein_coding
ENSG00000000460,9606.ENSP00000286031,C1orf112,True,True,protein_coding
ENSG00000000971,9606.ENSP00000356399,CFH,True,True,protein_coding
ENSG00000001036,9606.ENSP00000002165,FUCA2,True,True,protein_coding
ENSG00000001084,9606.ENSP00000229416,GCLC,True,True,protein_coding
ENSG00000001167,9606.ENSP00000345702,NFYA,True,True,protein_coding
ENSG00000001460,9606.ENSP00000363530,STPG1,True,True,protein_coding
ENSG00000001461,9606.ENSP00000363520,NIPAL3,True,True,protein_coding
ENSG00000001497,9606.ENSP00000363944,LAS1L,True,True,protein_coding
ENSG00000001617,9606.ENSP00000002829,SEMA3F,True,True,protein_coding
ENSG00000001629,9606.ENSP00000265742,ANKIB1,True,True,protein_coding
ENSG00000001630,9606.ENSP00000003100,CYP51A1,True,True,protein_coding
ENSG00000001631,9606.ENSP00000378015,KRIT1,True,True,protein_coding
ENSG00000002016,9606.ENSP00000351284,RAD52,True,True,protein_coding
ENSG00000002330,9606.ENSP00000378040,BAD,True,True,protein_coding
ENSG00000002549,9606.ENSP00000226299,LAP3,True,True,protein_coding
ENSG00000002586,9606.ENSP00000370588,CD99,True,True,protein_coding
ENSG00000002587,9606.ENSP00000002596,HS3ST1,True,True,protein_coding
ENSG00000002746,9606.ENSP00000379228,HECW1,True,True,protein_coding
ENSG00000002822,9606.ENSP00000385334,MAD1L1,True,True,protein_coding
ENSG00000002834,9606.ENSP00000325240,LASP1,True,True,protein_coding
ENSG00000002919,9606.ENSP00000377059,SNX11,True,True,protein_coding
ENSG00000003056,9606.ENSP00000000412,M6PR,True,True,protein_coding
ENSG00000003096,9606.ENSP00000443191,KLHL13,True,True,protein_coding
ENSG00000003137,9606.ENSP00000001146,CYP26B1,True,True,protein_coding
ENSG00000003249,9606.ENSP00000457625,DBNDD1,True,True,protein_coding
ENSG00000003393,9606.ENSP00000264276,ALS2,True,True,protein_coding
ENSG00000003400,9606.ENSP00000286186,CASP10,True,True,protein_coding
ENSG00000003402,9606.ENSP00000312455,CFLAR,True,True,protein_coding
ENSG00000003436,9606.ENSP00000233156,TFPI,True,True,protein_coding
ENSG00000003509,9606.ENSP00000002125,NDUFAF7,True,True,protein_coding
ENSG00000003756,9606.ENSP00000343054,RBM5,True,True,protein_coding
ENSG00000003987,9606.ENSP00000180173,MTMR7,True,True,protein_coding
ENSG00000003989,9606.ENSP00000004531,SLC7A2,True,True,protein_coding
ENSG00000004059,9606.ENSP00000000233,ARF5,True,True,protein_coding
ENSG00000004139,9606.ENSP00000468032,SARM1,True,True,protein_coding
ENSG00000004142,9606.ENSP00000475924,POLDIP2,True,True,protein_coding
ENSG00000004399,9606.ENSP00000317128,PLXND1,True,True,protein_coding
ENSG00000004455,9606.ENSP00000346921,AK2,True,True,protein_coding
ENSG00000004478,9606.ENSP00000001008,FKBP4,True,True,protein_coding
ENSG00000004487,9606.ENSP00000383042,KDM1A,True,True,protein_coding
ENSG00000004534,9606.ENSP00000266022,RBM6,True,True,protein_coding
ENSG00000004660,9606.ENSP00000158166,CAMKK1,True,True,protein_coding
ENSG00000004700,9606.ENSP00000416739,RECQL,True,True,protein_coding
ENSG00000004766,9606.ENSP00000307666,VPS50,True,True,protein_coding
ENSG00000004777,9606.ENSP00000320038,ARHGAP33,True,True,protein_coding
ENSG00000004779,9606.ENSP00000458770,NDUFAB1,True,True,protein_coding
ENSG00000004799,9606.ENSP00000005178,PDK4,True,True,protein_coding
ENSG00000004838,9606.ENSP00000231749,ZMYND10,True,True,protein_coding
ENSG00000004864,9606.ENSP00000400101,SLC25A13,True,True,protein_coding
ENSG00000004866,9606.ENSP00000265437,ST7,True,True,protein_coding
ENSG00000004897,9606.ENSP00000434614,CDC27,True,True,protein_coding
ENSG00000004961,9606.ENSP00000326579,HCCS,True,True,protein_coding
ENSG00000004975,9606.ENSP00000005340,DVL2,True,True,protein_coding
ENSG00000005007,9606.ENSP00000470142,UPF1,True,True,protein_coding
ENSG00000005020,9606.ENSP00000005587,SKAP2,True,True,protein_coding
ENSG00000005022,9606.ENSP00000360671,SLC25A5,True,True,protein_coding
ENSG00000005059,9606.ENSP00000378145,MCUB,True,True,protein_coding
ENSG00000005073,9606.ENSP00000006015,HOXA11,True,True,protein_coding
ENSG00000005075,9606.ENSP00000292614,POLR2J,True,True,protein_coding
ENSG00000005100,9606.ENSP00000225296,DHX33,True,True,protein_coding
ENSG00000005156,9606.ENSP00000367787,LIG3,True,True,protein_coding
ENSG00000005175,9606.ENSP00000005386,RPAP3,True,True,protein_coding
ENSG00000005189,9606.ENSP00000261377,REXO5,True,True,protein_coding
ENSG00000005194,9606.ENSP00000377914,CIAPIN1,True,True,protein_coding
ENSG00000005206,9606.ENSP00000478298,SPPL2B,True,True,protein_coding
ENSG00000005238,9606.ENSP00000367823,FAM214B,True,True,protein_coding
ENSG00000005302,9606.ENSP00000312244,MSL3,True,True,protein_coding
ENSG00000005339,9606.ENSP00000262367,CREBBP,True,True,protein_coding
ENSG00000005379,9606.ENSP00000345824,TSPOAP1,True,True,protein_coding
ENSG00000005436,9606.ENSP00000318690,GCFC2,True,True,protein_coding
ENSG00000005448,9606.ENSP00000006526,WDR54,True,True,protein_coding
ENSG00000005469,9606.ENSP00000413575,CROT,True,True,protein_coding
ENSG00000005483,9606.ENSP00000312379,KMT2E,True,True,protein_coding
ENSG00000005486,9606.ENSP00000006777,RHBDD2,True,True,protein_coding
ENSG00000005700,9606.ENSP00000305721,IBTK,True,True,protein_coding
ENSG00000005801,9606.ENSP00000382511,ZNF195,True,True,protein_coding
ENSG00000005810,9606.ENSP00000444596,MYCBP2,True,True,protein_coding
ENSG00000005812,9606.ENSP00000347834,FBXL3,True,True,protein_coding
ENSG00000005882,9606.ENSP00000420927,PDK2,True,True,protein_coding
ENSG00000005884,9606.ENSP00000007722,ITGA3,True,True,protein_coding
ENSG00000005889,9606.ENSP00000368475,ZFX,True,True,protein_coding
ENSG00000005893,9606.ENSP00000408411,LAMP2,True,True,protein_coding
ENSG00000006007,9606.ENSP00000261386,GDE1,True,True,protein_coding
ENSG00000006015,9606.ENSP00000351422,REX1BD,True,True,protein_coding
ENSG00000006016,9606.ENSP00000376188,CRLF1,True,True,protein_coding
ENSG00000006025,9606.ENSP00000007414,AC003665.1,True,True,protein_coding
ENSG00000006062,9606.ENSP00000482657,MAP3K14,True,True,protein_coding
ENSG00000006071,9606.ENSP00000303960,ABCC8,True,False,protein_coding
ENSG00000006118,9606.ENSP00000005286,TMEM132A,True,True,protein_coding
ENSG00000006125,9606.ENSP00000482835,AP2B1,True,True,protein_coding
ENSG00000006194,9606.ENSP00000219069,ZNF263,True,True,protein_coding
ENSG00000006282,9606.ENSP00000006658,SPATA20,True,True,protein_coding
ENSG00000006283,9606.ENSP00000352011,CACNA1G,True,True,protein_coding
ENSG00000006327,9606.ENSP00000326737,TNFRSF12A,True,True,protein_coding
ENSG00000006432,9606.ENSP00000451263,MAP3K9,True,True,protein_coding
