id_gene,id_string,gene,Cyte_vs_Gonia,Cyte_vs_Tid,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_CyteTid,logFC_CyteTid,FDR_CyteTid,biotype
ENSMUSG00000000001,10090.ENSMUSP00000000001,Gnai3,True,True,7.62801450767261,-2.02165293016119,1.9522157469632374e-265,5.289762291020058,-1.08119683158185,5.26052479598639e-48,protein_coding
ENSMUSG00000000168,10090.ENSMUSP00000034567,Dlat,True,True,6.859755227782509,2.0141811288182803,1.1364746231475195e-190,6.6683946489762915,-0.7688216656074159,3.17462833536784e-29,protein_coding
ENSMUSG00000000276,10090.ENSMUSP00000103526,Dgke,True,True,5.27520350378302,-1.09429425317783,2.656845765315009e-66,3.62238099919819,-1.120160236087,5.23042487107802e-29,protein_coding
ENSMUSG00000000958,10090.ENSMUSP00000000984,Slc7a7,True,True,2.7110843910479,1.20021529199125,1.25569664048773e-21,2.72600296761535,0.057325734896761,0.660867137349129,protein_coding
ENSMUSG00000001415,10090.ENSMUSP00000001451,Smg5,True,True,7.86747143317555,1.70345185257535,3.003586944648019e-92,7.754201329328329,-0.370429986644271,2.0484024493106998e-06,protein_coding
ENSMUSG00000001440,10090.ENSMUSP00000001479,Kpnb1,True,True,9.663671392116347,0.23380729061735,4.8977196013494595e-06,8.6319175003861,-1.5770954575550602,9.176545474220361e-178,protein_coding
ENSMUSG00000002068,10090.ENSMUSP00000103658,Ccne1,True,True,3.36507607877345,1.19210906923992,1.22369273886536e-28,2.9975932173768403,-0.902024145731013,1.91249442430141e-15,protein_coding
ENSMUSG00000002190,10090.ENSMUSP00000105457,Clgn,True,True,10.8070603696852,9.60393881773762,0.0,11.1702676176286,-0.149431311200989,0.00541242659966823,protein_coding
ENSMUSG00000002280,10090.ENSMUSP00000002350,Narfl,True,True,4.883689978890612,1.60520571694594,4.914841724294388e-59,4.800350193718232,-0.346265303823585,0.000490160242351475,protein_coding
ENSMUSG00000002608,10090.ENSMUSP00000002683,Ccdc97,True,True,6.423088787643452,1.8596092838091105,1.1556302549009592e-93,6.11054430416084,-1.05078041131763,1.1021569153810996e-29,protein_coding
ENSMUSG00000002635,10090.ENSMUSP00000002710,Pdcd2l,True,True,4.88187820387398,1.83878293642259,3.1292700631727076e-146,4.77631182688987,-0.556902216262287,1.22856952888842e-12,protein_coding
ENSMUSG00000002820,10090.ENSMUSP00000068450,Atg4d,True,True,4.69286975876166,1.61690888456762,1.5934809069970693e-59,4.34162954860377,-1.1376004044201202,9.12058482051925e-22,protein_coding
ENSMUSG00000002846,10090.ENSMUSP00000002925,Timmdc1,True,True,3.28847293020773,0.476088664591818,7.99966940468687e-07,2.5234781715286,-1.30254792860076,4.6602429298574885e-22,protein_coding
ENSMUSG00000003033,10090.ENSMUSP00000003117,Ap1m1,True,True,7.55669477868325,3.6379056836390697,0.0,7.6970792514766515,-0.4404177225645221,2.37828947399896e-10,protein_coding
ENSMUSG00000003099,10090.ENSMUSP00000003183,Ppp5c,True,True,6.221316931066508,1.56846987532859,7.539095893170608e-38,5.589672484982492,-2.1031119600203203,1.0742557458832298e-52,protein_coding
ENSMUSG00000003153,10090.ENSMUSP00000032476,Slc2a3,True,True,10.8285980973583,7.52813178029028,0.0,10.5060723008044,-2.4256257785926003,0.0,protein_coding
