id_gene,id_string,gene,Cyte_vs_Gonia,Tid_vs_Cyte,logCPM_CyteGonia,logFC_CyteGonia,FDR_CyteGonia,logCPM_TidCyte,logFC_TidCyte,FDR_TidCyte,biotype
ENSG00000000457,9606.ENSP00000356746,SCYL3,True,True,5.29714821312487,2.40319432830457,0.0027934845419088,5.3755676492067,-3.4172121730727,0.00693142972350456,protein_coding
ENSG00000004838,9606.ENSP00000231749,ZMYND10,True,True,8.24755817912624,1.7635264727846,0.0429973381474245,8.503420495315531,-1.31430155194945,0.0340812527078947,protein_coding
ENSG00000004975,9606.ENSP00000005340,DVL2,True,True,4.8924134744446,-2.16241163743743,0.0567867644829354,3.00876652589655,-4.86241745443061,0.00590256261127946,protein_coding
ENSG00000005007,9606.ENSP00000470142,UPF1,True,True,5.54716237919092,1.84312606027362,0.00961959510622798,5.757886822634702,-1.31851869273781,0.170394120097984,protein_coding
ENSG00000005175,9606.ENSP00000005386,RPAP3,True,True,4.782222875437321,0.7798719475797309,0.32341455345969605,4.51256431156915,-3.85485775044412,0.0017813148745071,protein_coding
ENSG00000005194,9606.ENSP00000377914,CIAPIN1,True,True,7.38461797452911,1.90340019255719,0.0120987491094841,7.67822524407777,-1.07360058274252,0.313836751945647,protein_coding
ENSG00000005469,9606.ENSP00000413575,CROT,True,True,1.99869409282013,-0.8370281761185729,0.512701047049125,1.06646404675859,-8.80830657612765,0.000100688140765356,protein_coding
ENSG00000006047,9606.ENSP00000007699,YBX2,True,True,8.06878871119614,1.34768877810411,0.0392391986872758,8.99601094528768,1.09253144007515,0.0395558534352879,protein_coding
ENSG00000006576,9606.ENSP00000403042,PHTF2,True,True,3.83211200619788,-0.904375934451744,0.28482445110113697,2.82485897639287,-6.755528152618838,1.17897838645019e-05,protein_coding
ENSG00000006744,9606.ENSP00000337445,ELAC2,True,True,6.01685591963377,-0.233028142246982,0.788084772759341,5.45838464667076,-2.34204266680714,0.024984307026172,protein_coding
ENSG00000007392,9606.ENSP00000293872,LUC7L,True,True,6.5804868788237,1.27298356643904,0.0312196481150616,6.826025618153349,-0.893742392331118,0.304637272865323,protein_coding
ENSG00000007516,9606.ENSP00000324510,BAIAP3,True,True,4.77783731459994,-0.40536256791204,0.709713855194881,4.04780757878836,-6.10436129994972,0.000304649282183712,protein_coding
ENSG00000008838,9606.ENSP00000377686,MED24,True,True,6.543146694892111,-0.26262708549781,0.693028870672309,6.00009378856865,-1.987864493635,0.0253687543347844,protein_coding
ENSG00000009335,9606.ENSP00000309198,UBE3C,True,True,6.64336944499272,0.0928334369803821,0.892073097704909,6.2202348217056,-2.61847495448683,0.00983369789238812,protein_coding
ENSG00000010072,9606.ENSP00000295050,SPRTN,True,True,5.2947392644935585,2.15593851956942,0.005460370446113729,5.56195221577048,-2.01536271333047,0.0662433366600184,protein_coding
ENSG00000010244,9606.ENSP00000378165,ZNF207,True,True,8.07365707659972,-0.095103272568452,0.888535608624481,7.61277473459745,-2.47337256374944,0.00132570769363271,protein_coding
ENSG00000011198,9606.ENSP00000390849,ABHD5,True,True,5.75336053878249,-2.7332816025855102,0.0037195140562328796,3.46060901886572,-2.55840160188573,0.0408205330745818,protein_coding
ENSG00000011258,9606.ENSP00000468304,MBTD1,True,True,7.01210480652187,1.3142578853037,0.0425761757897843,7.02714590569751,-2.82462211262216,0.000167026293930968,protein_coding
ENSG00000011426,9606.ENSP00000265748,ANLN,True,True,5.69383014111097,0.6583075540972501,0.334579704646132,5.518137987141781,-2.51910357989834,0.00367583637214754,protein_coding
ENSG00000011485,9606.ENSP00000012443,PPP5C,True,True,5.61078169105394,1.5719555075144198,0.13656824599638198,5.635680911563848,-7.594773450579409,3.86827696821066e-05,protein_coding
ENSG00000012983,9606.ENSP00000013125,MAP4K5,True,True,4.83483458379202,-1.4059914562717,0.106124084432955,3.53663760863541,-3.2561073051338,0.0235958928540614,protein_coding
ENSG00000013573,9606.ENSP00000440402,DDX11,True,True,4.461400820595362,0.308462463407481,0.800996698442789,3.84902719658755,-7.21087646351732,0.000254354812620227,protein_coding
ENSG00000014138,9606.ENSP00000265465,POLA2,True,True,4.70412546446049,-0.815364866167735,0.468105441074534,3.77257606825494,-11.6031504248794,1.92053868906191e-07,protein_coding
ENSG00000014164,9606.ENSP00000262577,ZC3H3,True,True,5.73467736448983,1.75547468641303,0.0148698484917565,5.734853205797732,-4.679854354314731,0.000110707030165602,protein_coding
ENSG00000015413,9606.ENSP00000376807,DPEP1,True,True,4.3027815290909,1.04348661660493,0.34735562300085,4.18373985761729,-4.978759396661781,0.000397383656147896,protein_coding
ENSG00000020922,9606.ENSP00000325863,MRE11,True,True,3.6739018799281697,-0.999144523217716,0.3446522341275029,2.63865738453066,-3.78293999673191,0.0433803703154693,protein_coding
ENSG00000022840,9606.ENSP00000322242,RNF10,True,True,7.069164790217919,0.32539661241965195,0.5914341760354339,6.77744297260953,-1.84675009287332,0.0104194469897561,protein_coding
ENSG00000022976,9606.ENSP00000399863,ZNF839,True,True,4.01484192899782,1.3933238119975302,0.12508055826714,3.89481341828143,-3.07869404473157,0.0244705265612592,protein_coding
ENSG00000023287,9606.ENSP00000025008,RB1CC1,True,True,8.077692913340071,0.5927887453501639,0.293266292635209,7.8689739767916596,-2.03833306803448,0.00305400903333328,protein_coding
ENSG00000027001,9606.ENSP00000371607,MIPEP,True,True,3.84054530039246,0.20059066100561895,0.836378266028444,3.4502178656773297,-3.7490399957213394,0.0024229320711935,protein_coding
ENSG00000028528,9606.ENSP00000261889,SNX1,True,True,6.4776631581472,-0.766216852113762,0.3706791352150711,5.60953250373275,-2.78470315694039,0.00649409991510566,protein_coding
ENSG00000029725,9606.ENSP00000445408,RABEP1,True,True,6.34649871436716,0.0366178698940231,0.960666602906152,5.8754665535977,-3.70792771984775,0.000995390840837579,protein_coding
ENSG00000032742,9606.ENSP00000323580,IFT88,True,True,7.4957641932038985,1.3056260962813,0.0406658964101955,7.6259631859680095,-1.53349000992931,0.0357094877566632,protein_coding
ENSG00000033100,9606.ENSP00000035307,CHPF2,True,True,2.65893240891727,0.961259216926288,0.4632372051141129,2.56535026649816,-6.16419996635232,0.00224473724417591,protein_coding
ENSG00000033122,9606.ENSP00000035383,LRRC7,True,True,5.13696108724551,0.0563540497592969,0.9449653627264272,4.6452947562741205,-5.07539035637392,3.55393793715157e-05,protein_coding
ENSG00000033627,9606.ENSP00000264649,ATP6V0A1,True,True,6.934777253721008,0.67923355863612,0.262506824460087,6.77116689096907,-3.28501608980129,0.00397191108128642,protein_coding
ENSG00000033867,9606.ENSP00000295736,SLC4A7,True,True,5.27117411844961,-0.493686131771906,0.5046309684163189,4.47765179180638,-3.99937288988882,0.00042158185060300803,protein_coding
ENSG00000037474,9606.ENSP00000264670,NSUN2,True,True,4.81796295817734,-0.0945865576057221,0.917786757565754,4.24322950733513,-3.91246812297199,0.00651188080825794,protein_coding
ENSG00000038219,9606.ENSP00000040738,BOD1L1,True,True,7.746069568779192,1.25307809360862,0.0446203878214515,7.6730553127305,-2.65973298832785,0.00113610059104046,protein_coding
ENSG00000042429,9606.ENSP00000251871,MED17,True,True,2.9198453758651204,1.5016230363216498,0.197986901341886,2.91143908760036,-9.198798336430167,9.61004805425129e-05,protein_coding
ENSG00000047346,9606.ENSP00000443598,FAM214A,True,True,6.55649379841801,1.0031459630804,0.11290332749008,6.4781968807011605,-2.61558024385414,0.008226334255438679,protein_coding
ENSG00000048405,9606.ENSP00000376989,ZNF800,True,True,6.318000065903242,0.0715210792046046,0.916423296435488,5.81914053470981,-3.549492775437069,0.0009072179023398599,protein_coding
ENSG00000049656,9606.ENSP00000313854,CLPTM1L,True,True,4.62592999205854,0.817312778350343,0.372304001865267,4.35206125900607,-7.92528615987649,7.01744676138583e-08,protein_coding
ENSG00000050438,9606.ENSP00000405812,SLC4A8,True,True,8.37209391396631,1.89983531690012,0.000314210529496513,8.587070555024,-2.07358084412091,0.00224357353288362,protein_coding
ENSG00000051341,9606.ENSP00000264233,POLQ,True,True,4.63102221772887,1.80747994731784,0.0511200809305845,4.66563493186982,-12.505329541695799,8.23358249114391e-08,protein_coding
ENSG00000052795,9606.ENSP00000264433,FNIP2,True,True,6.54740315478607,0.6676039174452829,0.398228068332216,6.37924240699999,-2.3104344522851097,0.0128462167156164,protein_coding
ENSG00000053372,9606.ENSP00000364320,MRTO4,True,True,4.37624352308687,2.9246060563614,0.00239997917370221,4.94222201212972,-0.9289400364635358,0.5544409146145699,protein_coding
ENSG00000055147,9606.ENSP00000341597,FAM114A2,True,True,5.70404857462279,-0.334414437158944,0.729083293083483,5.049392339617951,-3.7603127993076497,0.00171636407021258,protein_coding
ENSG00000055950,9606.ENSP00000339844,MRPL43,True,True,6.17690802730651,2.30809401623107,0.00121540734691379,6.39090422118672,-1.8657795641661,0.0666576557427654,protein_coding
ENSG00000056097,9606.ENSP00000265069,ZFR,True,True,7.938826664412661,-0.666503380817947,0.234478489676224,7.19651911408888,-1.559082653324,0.0232644480317918,protein_coding
ENSG00000060642,9606.ENSP00000363260,PIGV,True,True,6.5543683342229295,2.34653575651443,0.000292747927277764,7.23490473625025,0.0927535941088464,0.9205430831736672,protein_coding
ENSG00000060709,9606.ENSP00000261655,RIMBP2,True,True,5.14234025746642,1.62954111555121,0.0659400173962345,5.2741605415099295,-2.70369374252034,0.0111004679030607,protein_coding
ENSG00000063244,9606.ENSP00000307863,U2AF2,True,True,3.22191079457265,-0.43325358701835903,0.665589469261432,2.5481564860509502,-3.6535457756197296,0.00349168327293455,protein_coding
ENSG00000063854,9606.ENSP00000380514,HAGH,True,True,6.15572306980026,1.64124321379449,0.00526183185290205,6.4387481866271,-0.974870596884827,0.269915639522102,protein_coding
ENSG00000064419,9606.ENSP00000265388,TNPO3,True,True,6.6921270638972,0.7154469417184159,0.307179418942527,6.60774173025699,-1.8212898052589104,0.0393600101860005,protein_coding
ENSG00000065135,9606.ENSP00000358867,GNAI3,True,True,5.525968675050452,-0.144334495448663,0.8499436411797221,4.98379873752375,-3.27287209862325,0.00168978585053556,protein_coding
ENSG00000065268,9606.ENSP00000476117,WDR18,True,True,3.46351329791606,2.46218727751355,0.0184122811913567,4.98313866569829,1.6499030707655302,0.101542537385588,protein_coding
ENSG00000066117,9606.ENSP00000378414,SMARCD1,True,True,6.11874049006292,0.20602894339241892,0.7915247197847449,5.645699737620619,-6.36217818731481,1.11205735378986e-05,protein_coding
ENSG00000066322,9606.ENSP00000477602,ELOVL1,True,True,4.36638538191638,-1.16670515779509,0.319772710055169,3.17141046850313,-8.84511523105612,9.08870202388784e-05,protein_coding
ENSG00000066926,9606.ENSP00000372326,FECH,True,True,3.3521622737060697,0.587565607036902,0.663227046669701,3.10974658198169,-10.9303280006176,1.4303668140278305e-05,protein_coding
ENSG00000067057,9606.ENSP00000370517,PFKP,True,True,7.53536091193424,1.5691249581475402,0.0151826546208603,8.30848735662629,0.645800841154711,0.29656462192734,protein_coding
ENSG00000067113,9606.ENSP00000264775,PLPP1,True,True,3.47606267997672,-0.7883925623821271,0.467194949069686,2.56204667210027,-4.53371749948935,0.00239886895169278,protein_coding
ENSG00000068366,9606.ENSP00000339787,ACSL4,True,True,4.01612598688786,-0.0444531183289001,0.9684014099321352,3.51109810197279,-4.77072085358964,0.00139570960775898,protein_coding
ENSG00000069248,9606.ENSP00000261396,NUP133,True,True,5.20795699980971,-1.64591836610719,0.0498327102683018,3.7546013870276296,-3.0769429752726203,0.0233521908314312,protein_coding
ENSG00000069424,9606.ENSP00000367323,KCNAB2,True,True,3.3053404330931,-0.235199388643776,0.86056303309748,2.67545233074659,-5.2790728052907,0.00132496721411382,protein_coding
ENSG00000070614,9606.ENSP00000261797,NDST1,True,True,5.196372954512941,0.200046389322342,0.840955874239506,4.7621907409459014,-4.343450760445609,0.0027699661670302802,protein_coding
ENSG00000070759,9606.ENSP00000361158,TESK2,True,True,4.52807590384851,-1.0746081818152,0.289484508510519,3.48015721792037,-3.19674845958829,0.029125656290954,protein_coding
ENSG00000071462,9606.ENSP00000401191,BUD23,True,True,6.01425871670031,0.478268282879439,0.470112231940863,5.845881489101862,-2.14686638572757,0.019660496591608,protein_coding
ENSG00000071626,9606.ENSP00000233078,DAZAP1,True,True,5.860928084953098,2.3704063179564803,0.000516705938209907,6.11041297746471,-2.7749116539770697,0.0047495233045173,protein_coding
ENSG00000072518,9606.ENSP00000385751,MARK2,True,True,5.505402757771879,-2.775668209225,0.0009427401475689519,3.0428008863029103,-10.8627279124879,4.38323905973753e-07,protein_coding
ENSG00000072778,9606.ENSP00000438689,ACADVL,True,True,7.00536517618824,1.54097795699696,0.0162506532322019,7.34122652547814,-0.7269339665400179,0.35028733335995005,protein_coding
ENSG00000072958,9606.ENSP00000388996,AP1M1,True,True,6.00881430899997,1.64685683781933,0.0142628780281746,6.444455011976709,-0.485987309494473,0.668285595191046,protein_coding
ENSG00000073060,9606.ENSP00000261693,SCARB1,True,True,6.2191468013271605,0.8365952861722329,0.306682121383952,6.020392681273942,-3.48226566746615,7.17717374181842e-05,protein_coding
ENSG00000073146,9606.ENSP00000262794,MOV10L1,True,True,6.38477421360268,1.75069642628267,0.00890989503460024,7.15225899909497,0.595945669497406,0.462630483506331,protein_coding
ENSG00000073417,9606.ENSP00000311453,PDE8A,True,True,6.48474457882128,0.276410145895228,0.720459240477578,6.1251227708307185,-2.97249659684056,0.00564897277461134,protein_coding
ENSG00000073670,9606.ENSP00000200557,ADAM11,True,True,1.67586607627367,1.45066770599398,0.202025038577099,1.72628060437027,-3.1234247006333704,0.0496528938244967,protein_coding
ENSG00000074696,9606.ENSP00000261875,HACD3,True,True,6.98221453984634,0.224022102214586,0.7413185678037719,6.61613242536693,-3.1494866564259203,0.00125256132053249,protein_coding
ENSG00000075239,9606.ENSP00000265838,ACAT1,True,True,6.36980759536903,1.6268472335060502,0.0288634177970553,6.72954355979929,-0.577386018913475,0.514933505409217,protein_coding
ENSG00000075702,9606.ENSP00000384792,WDR62,True,True,7.72524509170632,1.8486665696441105,0.004167066025546871,8.08443471060452,-1.04255081974559,0.15959665946688698,protein_coding
ENSG00000075886,9606.ENSP00000326042,TUBA3D,True,True,6.9370550301166105,3.06900878425192,0.00035714332191080496,7.136479032084909,-3.03527666117006,0.000130553952740011,protein_coding
ENSG00000075914,9606.ENSP00000265564,EXOSC7,True,True,3.81891006989668,0.336516594986431,0.7701075134596971,3.43998962572418,-11.266139834412902,7.62870304595889e-07,protein_coding
ENSG00000076043,9606.ENSP00000265881,REXO2,True,True,5.81843473798756,0.6981852328034399,0.319911042827984,5.595432861495191,-4.085502801314609,0.00024253664571315,protein_coding
ENSG00000076650,9606.ENSP00000170564,GPATCH1,True,True,3.5361774330520697,-0.0864382210501616,0.93339622610672,3.0791627119517497,-2.82877888746729,0.0181175103868047,protein_coding
ENSG00000077097,9606.ENSP00000396704,TOP2B,True,True,5.577384982782348,-0.4930232778870279,0.54220609420693,4.85101212103651,-3.84591643972722,0.000608460724784813,protein_coding
ENSG00000077235,9606.ENSP00000348510,GTF3C1,True,True,6.96463515390007,0.8680705963275629,0.168124903730057,6.7991862937877405,-4.79485440168098,1.2763284133255e-06,protein_coding
ENSG00000078070,9606.ENSP00000265594,MCCC1,True,True,5.10371465926493,2.4431384345052,0.0130368855683646,5.564308586269848,-1.13872325965841,0.4549109608009829,protein_coding
ENSG00000078142,9606.ENSP00000262039,PIK3C3,True,True,6.267355165337,-1.146383580032,0.11112137327628,5.106364244976572,-3.41117649328771,0.00655158275502071,protein_coding
ENSG00000078403,9606.ENSP00000307411,MLLT10,True,True,10.070638686636,1.28496293134492,0.0208869859469924,10.0905500332253,-2.00016752473804,0.0018083204642868602,protein_coding
ENSG00000078668,9606.ENSP00000428845,VDAC3,True,True,5.938185756304481,1.69435555629334,0.0135345652093785,6.35617554191682,-0.579737245898666,0.6046930357912329,protein_coding
ENSG00000079134,9606.ENSP00000261600,THOC1,True,True,5.46853037099005,0.494070316195514,0.490527086127955,5.24461917258771,-2.9874055507875097,0.008660206818621959,protein_coding
ENSG00000079387,9606.ENSP00000394791,SENP1,True,True,9.3886266378191,1.40651377849439,0.0686000375613817,9.47376192216848,-1.69388352507956,0.0351353504956583,protein_coding
ENSG00000079785,9606.ENSP00000370745,DDX1,True,True,5.99907171896776,0.622327354700354,0.38492495917264097,5.7826483392106,-3.8069808943763,0.000176758253646771,protein_coding
ENSG00000080007,9606.ENSP00000359361,DDX43,True,True,5.05301874650172,0.7063678672456559,0.414177172611233,4.90846209942854,-2.54203820506842,0.0273490429761815,protein_coding
ENSG00000080503,9606.ENSP00000265773,SMARCA2,True,True,8.36577750057878,0.8132986374228759,0.175733374698711,8.3105317598871,-1.95867745514964,0.00290588636400562,protein_coding
