id_gene,id_string,up,down,gene,biotype
FBgn0000008,7227.FBpp0099961,True,True,a,protein_coding
FBgn0000014,7227.FBpp0082829,True,True,abd-A,protein_coding
FBgn0000015,7227.FBpp0082826,True,True,Abd-B,protein_coding
FBgn0000017,7227.FBpp0303166,True,True,Abl,protein_coding
FBgn0000018,7227.FBpp0079757,True,True,abo,protein_coding
FBgn0000024,7227.FBpp0289713,False,True,Ace,protein_coding
FBgn0000028,7227.FBpp0073832,True,True,acj6,protein_coding
FBgn0000032,7227.FBpp0084975,True,True,Acph-1,protein_coding
FBgn0000036,7227.FBpp0084003,False,True,nAChRalpha1,protein_coding
FBgn0000042,7227.FBpp0100124,True,True,Act5C,protein_coding
FBgn0000043,7227.FBpp0085365,True,True,Act42A,protein_coding
FBgn0000044,7227.FBpp0071448,True,True,Act57B,protein_coding
FBgn0000045,7227.FBpp0078131,True,True,Act79B,protein_coding
FBgn0000046,7227.FBpp0082253,True,True,Act87E,protein_coding
FBgn0000052,7227.FBpp0078850,True,True,Pfas,protein_coding
FBgn0000053,7227.FBpp0079059,True,True,Gart,protein_coding
FBgn0000055,7227.FBpp0100048,True,True,Adh,protein_coding
FBgn0000056,7227.FBpp0099544,True,True,Adhr,protein_coding
FBgn0000057,7227.FBpp0085923,True,True,adp,protein_coding
FBgn0000063,7227.FBpp0303766,True,True,Mps1,protein_coding
FBgn0000064,7227.FBpp0302781,True,True,Ald,protein_coding
FBgn0000071,7227.FBpp0081135,True,False,Ama,protein_coding
FBgn0000078,7227.FBpp0086136,True,False,Amy-d,protein_coding
FBgn0000078,7227.FBpp0086155,True,False,Amy-d,protein_coding
FBgn0000079,7227.FBpp0086155,True,False,Amy-p,protein_coding
FBgn0000083,7227.FBpp0088506,True,True,AnxB9,protein_coding
FBgn0000084,7227.FBpp0291143,True,True,AnxB10,protein_coding
FBgn0000094,7227.FBpp0084976,True,True,Anp,protein_coding
FBgn0000097,7227.FBpp0077522,True,True,aop,protein_coding
FBgn0000100,7227.FBpp0306232,True,True,RpLP0,protein_coding
FBgn0000108,7227.FBpp0298292,True,False,Appl,protein_coding
FBgn0000109,7227.FBpp0088438,True,True,Aprt,protein_coding
FBgn0000114,7227.FBpp0079926,True,True,bru1,protein_coding
FBgn0000115,7227.FBpp0075272,True,True,Arl1,protein_coding
FBgn0000116,7227.FBpp0076270,True,True,Argk,protein_coding
FBgn0000117,7227.FBpp0089035,True,True,arm,protein_coding
FBgn0000119,7227.FBpp0086821,True,True,arr,protein_coding
FBgn0000120,7227.FBpp0298351,True,True,Arr1,protein_coding
FBgn0000137,7227.FBpp0070074,False,True,ase,protein_coding
FBgn0000139,7227.FBpp0084040,True,True,ash2,protein_coding
FBgn0000140,7227.FBpp0084071,True,True,asp,protein_coding
FBgn0000146,7227.FBpp0079754,True,True,aub,protein_coding
FBgn0000147,7227.FBpp0081957,True,True,aurA,protein_coding
FBgn0000150,7227.FBpp0085223,True,True,awd,protein_coding
FBgn0000152,7227.FBpp0074146,True,False,Axs,protein_coding
FBgn0000153,7227.FBpp0301687,True,True,b,protein_coding
FBgn0000158,7227.FBpp0084243,True,True,bam,protein_coding
FBgn0000163,7227.FBpp0110299,True,True,baz,protein_coding
FBgn0000173,7227.FBpp0073686,True,True,ben,protein_coding
FBgn0000179,7227.FBpp0301040,False,True,bi,protein_coding
FBgn0000180,7227.FBpp0079519,True,True,bib,protein_coding
FBgn0000181,7227.FBpp0086895,True,True,bic,protein_coding
FBgn0000182,7227.FBpp0080361,True,True,BicC,protein_coding
FBgn0000183,7227.FBpp0303258,True,True,BicD,protein_coding
FBgn0000212,7227.FBpp0305757,True,True,brm,protein_coding
FBgn0000221,7227.FBpp0070606,True,True,brn,protein_coding
FBgn0000228,7227.FBpp0302745,True,True,Bsg25D,protein_coding
FBgn0000229,7227.FBpp0079676,True,True,bsk,protein_coding
FBgn0000239,7227.FBpp0290556,True,True,bur,protein_coding
FBgn0000241,7227.FBpp0072026,True,False,bw,protein_coding
FBgn0000244,7227.FBpp0081597,True,False,by,protein_coding
FBgn0000246,7227.FBpp0082648,True,True,c(3)G,protein_coding
FBgn0000247,7227.FBpp0084850,True,True,ca,protein_coding
FBgn0000250,7227.FBpp0080402,True,True,cact,protein_coding
FBgn0000251,7227.FBpp0080942,True,True,cad,protein_coding
FBgn0000253,7227.FBpp0293502,True,True,Cam,protein_coding
FBgn0000256,7227.FBpp0288517,True,True,capu,protein_coding
FBgn0000257,7227.FBpp0074496,True,False,car,protein_coding
FBgn0000259,7227.FBpp0089135,True,True,CkIIbeta,protein_coding
FBgn0000261,7227.FBpp0074825,True,True,Cat,protein_coding
FBgn0000273,7227.FBpp0079448,True,True,Pka-C1,protein_coding
FBgn0000274,7227.FBpp0085089,True,True,Pka-C2,protein_coding
FBgn0000283,7227.FBpp0082580,True,True,Cp190,protein_coding
FBgn0000286,7227.FBpp0088592,True,False,Cf2,protein_coding
FBgn0000287,7227.FBpp0297936,False,True,salr,protein_coding
FBgn0000289,7227.FBpp0288474,True,True,cg,protein_coding
FBgn0000299,7227.FBpp0078641,True,False,Col4a1,protein_coding
FBgn0000303,7227.FBpp0088397,False,True,ChAT,protein_coding
FBgn0000307,7227.FBpp0080396,True,True,chif,protein_coding
FBgn0000308,7227.FBpp0089196,True,True,chic,protein_coding
FBgn0000316,7227.FBpp0070063,True,True,cin,protein_coding
FBgn0000317,7227.FBpp0080282,True,True,ck,protein_coding
FBgn0000318,7227.FBpp0303002,True,True,cl,protein_coding
FBgn0000319,7227.FBpp0073966,True,True,Chc,protein_coding
FBgn0000320,7227.FBpp0078964,True,True,eya,protein_coding
FBgn0000326,7227.FBpp0071604,True,False,clt,protein_coding
FBgn0000330,7227.FBpp0304594,True,True,cm,protein_coding
FBgn0000339,7227.FBpp0080405,True,True,cni,protein_coding
FBgn0000346,7227.FBpp0305521,True,True,comt,protein_coding
FBgn0000351,7227.FBpp0078949,True,True,cort,protein_coding
FBgn0000352,7227.FBpp0088087,True,True,cos,protein_coding
FBgn0000355,7227.FBpp0076299,True,True,Cp15,protein_coding
FBgn0000370,7227.FBpp0081040,True,True,crc,protein_coding
FBgn0000376,7227.FBpp0070472,True,True,crm,protein_coding
FBgn0000377,7227.FBpp0070402,True,True,crn,protein_coding
FBgn0000382,7227.FBpp0070363,True,True,csw,protein_coding
FBgn0000384,7227.FBpp0110418,True,True,cta,protein_coding
FBgn0000392,7227.FBpp0288761,True,True,cup,protein_coding
FBgn0000394,7227.FBpp0070770,True,False,cv,protein_coding
FBgn0000404,7227.FBpp0075807,True,True,CycA,protein_coding
FBgn0000405,7227.FBpp0071822,True,True,CycB,protein_coding
FBgn0000411,7227.FBpp0075488,True,True,D,protein_coding
FBgn0000412,7227.FBpp0081467,True,True,D1,protein_coding
FBgn0000414,7227.FBpp0075077,True,False,Dab,protein_coding
FBgn0000416,7227.FBpp0085075,True,True,Sap-r,protein_coding
FBgn0000422,7227.FBpp0080710,True,True,Ddc,protein_coding
FBgn0000426,7227.FBpp0087118,True,True,SmF,protein_coding
FBgn0000427,7227.FBpp0071097,True,False,dec-1,protein_coding
FBgn0000439,7227.FBpp0081138,False,True,Dfd,protein_coding
FBgn0000447,7227.FBpp0289671,True,True,Dhod,protein_coding
FBgn0000449,7227.FBpp0073061,False,True,dib,protein_coding
FBgn0000454,7227.FBpp0082299,True,True,Dip-B,protein_coding
FBgn0000455,7227.FBpp0082069,True,True,Dip-C,protein_coding
FBgn0000463,7227.FBpp0083153,True,True,Dl,protein_coding
FBgn0000464,7227.FBpp0303681,True,True,Lar,protein_coding
FBgn0000473,7227.FBpp0085466,True,True,Cyp6a2,protein_coding
FBgn0000479,7227.FBpp0305507,True,True,dnc,protein_coding
FBgn0000482,7227.FBpp0070259,True,False,dor,protein_coding
FBgn0000489,7227.FBpp0075283,True,True,Pka-C3,protein_coding
FBgn0000490,7227.FBpp0077451,True,True,dpp,protein_coding
FBgn0000499,7227.FBpp0073310,True,True,dsh,protein_coding
FBgn0000504,7227.FBpp0081256,True,False,dsx,protein_coding
FBgn0000520,7227.FBpp0070465,True,False,dwg,protein_coding
FBgn0000524,7227.FBpp0070876,True,True,dx,protein_coding
FBgn0000533,7227.FBpp0082539,True,False,ea,protein_coding
FBgn0000536,7227.FBpp0073990,True,True,eas,protein_coding
FBgn0000541,7227.FBpp0304412,True,True,E(bx),protein_coding
FBgn0000543,7227.FBpp0072781,True,True,ecd,protein_coding
FBgn0000546,7227.FBpp0291631,True,False,EcR,protein_coding
FBgn0000547,7227.FBpp0077154,True,True,ed,protein_coding
FBgn0000557,7227.FBpp0085193,True,True,eEF1alpha2,protein_coding
FBgn0000559,7227.FBpp0305182,True,True,eEF2,protein_coding
FBgn0000560,7227.FBpp0078091,True,True,eg,protein_coding
FBgn0000562,7227.FBpp0113078,True,True,egl,protein_coding
FBgn0000565,7227.FBpp0075308,True,True,Eip71CD,protein_coding
FBgn0000566,7227.FBpp0085889,True,True,Eip55E,protein_coding
FBgn0000568,7227.FBpp0297726,True,True,Eip75B,protein_coding
FBgn0000575,7227.FBpp0072477,True,True,emc,protein_coding
FBgn0000578,7227.FBpp0113115,True,True,ena,protein_coding
FBgn0000579,7227.FBpp0077572,True,True,Eno,protein_coding
FBgn0000581,7227.FBpp0087238,True,True,E(Pc),protein_coding
FBgn0000588,7227.FBpp0079907,True,True,esc,protein_coding
FBgn0000592,7227.FBpp0305575,True,False,Est-6,protein_coding
