id_gene_DM,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched
FBgn0036273,10,0,8,0,18,0,20,0
FBgn0033845,18,0,30,0,25,0,23,0
FBgn0037383,29,0,27,0,18,0,35,0
FBgn0039213,25,0,30,0,9,0,15,0
FBgn0038248,19,0,17,0,11,0,21,0
FBgn0035437,15,0,11,0,16,0,25,0
FBgn0264291,24,0,25,0,29,0,27,1
FBgn0033897,25,0,30,0,30,2,20,0
FBgn0032052,26,3,23,0,13,0,25,1
FBgn0034535,24,0,17,0,27,10,18,1
FBgn0266599,25,7,17,0,23,18,23,0
FBgn0001216,18,6,30,8,29,7,25,20
FBgn0263855,20,7,20,11,10,6,30,19
FBgn0035724,8,6,17,8,25,10,20,13
FBgn0034849,25,23,30,5,30,11,19,16
FBgn0004838,25,11,21,19,14,11,25,18
FBgn0034566,14,12,20,16,52,41,44,31
FBgn0036165,22,15,33,30,23,19,59,45
FBgn0036784,17,11,19,13,16,16,18,16
FBgn0037609,8,4,15,14,22,21,30,28
FBgn0041094,26,21,26,23,30,23,30,26
FBgn0013759,24,20,23,20,30,25,25,20
FBgn0036821,29,24,31,28,30,21,30,28
FBgn0036330,30,18,28,26,30,29,25,22
FBgn0033809,45,33,16,15,74,56,75,72
FBgn0027507,30,24,21,14,27,26,33,32
FBgn0031673,30,27,29,28,30,24,25,19
FBgn0037613,19,13,20,18,32,30,30,28
FBgn0012034,20,18,24,18,15,13,29,28
FBgn0032378,25,16,16,15,28,28,25,24
FBgn0039115,22,22,20,16,26,25,23,20
FBgn0086674,25,23,23,22,24,21,30,27
FBgn0033686,30,22,23,23,24,23,32,31
FBgn0030411,18,18,27,26,20,16,25,24
FBgn0034071,17,15,28,27,18,17,30,28
FBgn0010340,19,18,32,32,31,29,20,17
FBgn0031191,21,19,24,22,20,20,23,21
FBgn0037901,27,26,22,22,27,21,22,22
FBgn0001624,35,34,26,24,30,28,25,23
FBgn0037607,17,14,19,18,10,10,19,19
FBgn0036184,15,14,29,28,25,23,21,20
FBgn0033766,28,27,29,29,21,18,26,26
FBgn0033528,29,27,31,29,30,29,25,25
FBgn0001197,30,25,25,25,25,25,31,31
FBgn0035842,20,18,25,25,21,21,25,24
FBgn0038332,30,29,30,28,29,28,25,25
FBgn0039560,28,27,31,29,30,29,19,19
FBgn0010314,26,25,19,19,22,22,20,19
FBgn0030768,27,26,25,25,29,29,20,19
FBgn0031696,16,15,18,18,21,21,26,26
FBgn0035627,20,20,25,24,26,26,29,29
FBgn0033624,31,31,25,25,20,20,29,28
FBgn0031873,20,20,29,29,17,17,25,25
FBgn0004363,26,0,9,0,15,0,14,0
FBgn0003124,23,0,25,0,20,0,11,0
FBgn0020392,23,0,27,0,20,0,16,0
FBgn0040075,13,0,29,0,18,0,19,0
FBgn0036557,29,0,27,0,19,0,25,0
FBgn0035722,20,0,21,0,30,0,32,0
FBgn0003943,26,0,28,0,24,0,20,0
FBgn0034579,28,1,26,0,25,0,19,0
