id_gene_DM,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Previous ref to RNAi working,Other species infertility phenotype?
FBgn0003886,31703,P{TRiP.HM04009}attP2,32,0,23,0,8,0,19,0,"No sperm. Post-meiotic defect: predominance of round spermatid cysts, few manage to start elongation. Cells collapse prior to initating elongation.",No. Phenotypes only recorded in overexpression. https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481,structural gene for a-Tubulin. 98% similar to 84B,Yes,
FBgn0003943,v102379,P{KK109327}VIE-260B,26,0,28,0,24,0,20,0,Meiotic arrest,Yes. Meiotic arrest. http://dev.biologists.org/content/140/17/3522,polyubiquitin precursor,No,Mouse infertility reported (meiotic arrest)
FBgn0001216,v45596,P{GD13532}v45596,18,6,30,8,29,7,25,20,OAT. Individualization defect,No,Heat shock protein cognate 1,Yes,Mouse infertility reported for Hspa2 (meiotic failure)
FBgn0035724,v106172,P{KK100997}VIE-260B,8,6,17,8,25,10,20,13,"Few sperm, weakly motile. Disorganized distal testis.",No,Cilia- and flagella-associated protein 52,No,
FBgn0036784,34882,P{TRiP.HMS01227}attP2,17,11,19,13,16,16,18,16,,No,,No,
FBgn0041094,v25504,P{GD9925}v25504/CyO,26,21,26,23,30,23,30,26,,,,No,
FBgn0036821,v37305,P{GD2713}v37305,29,24,31,28,30,21,30,28,,No,,Yes,
FBgn0012034,41917,P{TRiP.HMS02314}attP2,20,18,24,18,15,13,29,28,,No,,Yes,
FBgn0259111,62177,P{TRiP.HMC05184}attP40,13,13,29,28,25,22,25,21,,No,,No,
FBgn0031191,v101161,P{KK105525}VIE-260B,21,19,24,22,20,20,23,21,,No,,Yes,
FBgn0001624,v41136,P{GD4689}v41136/TM3,35,34,26,24,30,28,25,23,,,,Yes,
FBgn0032857,v16117,P{GD7138}v16117/TM3,30,28,32,30,29,28,23,21,,,,No,
FBgn0038721,v108953,P{KK102353}VIE-260B,29,28,26,26,30,29,25,23,,,,Yes,
FBgn0003651,v37086,ORDERED,,,,,,,,,,,,yes,
FBgn0016078,v6446,ORDERED,,,,,,,,,,,,yes,
FBgn0025638,v32398,ORDERED,,,,,,,,,,,,yes,
FBgn0029853,v7113,ORDERED,,,,,,,,,,,,yes,
FBgn0033371,v7374,ORDERED,,,,,,,,,,,,yes,
FBgn0033755,v4642,ORDERED,,,,,,,,,,,,yes,
FBgn0037090,v8146,ORDERED,,,,,,,,,,,,,
FBgn0264695,v7164,ORDERED,,,,,,,,,,,,yes,
FBgn0266719,v31571,ORDERED,,,,,,,,,,,,yes,
FBgn0001217,v19202,PENDING,,,,,,,,,,No,,Yes,Mouse infertility reported
FBgn0032520,v27322,PENDING,,,,,,,,,,,,No,
FBgn0035802,v35251,PENDING,,,,,,,,,,No,,Yes,
FBgn0264574,v13326,PENDING,,,,,,,,,,No,,Yes,
FBgn0266377,v25976 (currently unavail.),,,,,,,,,,,,,Yes,
FBgn0000447,51801,,,,,,,,,,,,,,
FBgn0000567,29353,,,,,,,,,,,,,,
FBgn0001104,31133,,,,,,,,,,,,,,
FBgn0001258,v31192,,,,,,,,,,,,,yes,
FBgn0003885,64904,,,,,,,,,,,,,,
FBgn0010435,53257,,,,,,,,,,,,,yes,
FBgn0016075,50895,,,,,,,,,,,,,yes,
FBgn0017556,v21871,,,,,,,,,,,,,yes,
FBgn0019952,60125,,,,,,,,,,,,,,
FBgn0028670,v30297,,,,,,,,,,,,,yes,
FBgn0028671,26290,,,,,,,,,,,,,yes,
FBgn0028892,v26401,,,,,,,,,,,,,yes,
FBgn0030574,v108867,,,,,,,,,,,,,yes,
FBgn0030993,61259,,,,,,,,,,,,,yes,
FBgn0032677,62453,,,,,,,,,,,,,,
FBgn0032752,35289,,,,,,,,,,,,,yes,
FBgn0032768,v20485,,,,,,,,,,,,,,
FBgn0033074,v42439,,,,,,,,,,,,,yes,
FBgn0033402,v25399,,,,,,,,,,,,,yes,
FBgn0033856,62225,,,,,,,,,,,,,,
FBgn0034194,31158,,,,,,,,,,,,,,
FBgn0034532,v100956,,,,,,,,,,,,,,
FBgn0034687,v22864,,,,,,,,,,,,,yes,
FBgn0034689,52965,,,,,,,,,,,,,,
FBgn0035189,v46326,,,,,,,,,,,,,,
FBgn0035383,62455,,,,,,,,,,,,,,
FBgn0035756,v41835,,,,,,,,,,,,,yes,
FBgn0036493,58352,,,,,,,,,,,,,,
FBgn0037165,31721,,,,,,,,,,,,,,
FBgn0037203,v110425,,,,,,,,,,,,,yes,
FBgn0037534,50710,,,,,,,,,,,,,yes,
FBgn0037986,v109020,,,,,,,,,,,,,,
FBgn0038233,v24104,,,,,,,,,,,,,yes,
FBgn0038237,25828,,,,,,,,,,,,,,
