id_gene,Stock Number,Transgene,Status,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously reported in DM?,Function,Previous ref to RNAi working?,Other species infertility phenotype?,Our DM pheno code,Others DM pheno code,MM pheno code,HS pheno code,Flybase link
FBgn0003886,31703,P{TRiP.HM04009}attP2,Screened,32,0,23,0,8,0,19,0,"No sperm. Post-meiotic defect: predominance of round spermatid cysts, few manage to start elongation. Cells collapse prior to initating elongation.","Yes, in overexpression. Sperm axonome defects (https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481)",Structural gene for alpha-tubulin. 98% similar to 84B,Yes,,B,B,,,http://flybase.org/reports/FBgn0003886
FBgn0003943,v102379,P{KK109327}VIE-260B,Screened,26,0,28,0,24,0,20,0,No sperm. Meiotic arrest.,Yes. Meiotic arrest (http://dev.biologists.org/content/140/17/3522),Polyubiquitin precursor,No,Mouse infertility 1/3 (Ubb). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2223379/),A,A,A,,http://flybase.org/reports/FBgn0003943
FBgn0004903,31333,P{TRiP.JF01290}attP2,Screened,19,0,23,0,23,0,30,0,No sperm. Spermiogenesis defect.,Yes. Spemiogenesis defects (https://academic.oup.com/nar/article-abstract/21/9/2229/1338725?redirectedFrom=fulltext),Ribonuclear protein,No,,B,B,,,http://flybase.org/reports/FBgn0004903
FBgn0028887,57556,P{TRiP.HMC04873}attP40,Screened,22,0,14,0,25,0,26,0,"No sperm. Late spermiogenesis defect (elongating bundles can separate, but sperm retain cytoplasm).",No,Predicted to be involved in regulation of transcription,No,,B,,,,http://flybase.org/reports/FBgn0028887
FBgn0033845,33929,P{TRiP.HMS00878}attP2,Screened,18,0,30,0,25,0,23,0,No sperm. Spermiogenesis defect.,No,Microtubule-associated protein required for mitotic spindle attachment to the centrosome,No,,B,,,,http://flybase.org/reports/FBgn0033845
FBgn0035900,61816,P{TRiP.HMJ23259}attP40,Screened,7,0,14,0,19,0,20,0,"Plenty of sperm, all weakly motile or immotile/dead.",No,Involved in mRNA polyadenylation and regulation of mRNA export from nucleus,No,,C,,,,http://flybase.org/reports/FBgn0035900
FBgn0037660,53306,P{TRiP.HMC03533}attP2,Screened,31,0,27,0,27,0,17,0,"Very few sperm, all immotile/dead. Spermiogenesis defect.","Yes, but with somatic driver. Reduced number of early germ cells (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470893/pdf/15238523.pdf)",Spliceosomal protein,Yes,,B,H,,,http://flybase.org/reports/FBgn0037660
FBgn0069354,v39107,P{GD15043}v39108,Screened,30,0,35,0,27,0,30,0,"Very few sperm, all immotile/dead. Probable spermiogenesis defect.",No,Ion transporter,Yes,Mouse infertility 1/2 (for VDAC3). Sperm axoneme defects (https://www.ncbi.nlm.nih.gov/pubmed/11507092) ,B,,B,,http://flybase.org/reports/FBgn0069354
FBgn0001086,v105114,P{GD11268}v40500,Screened,15,0,27,0,29,0,25,0,No sperm. Individualization defect.,No,WD40 domain protein required for the full ubiquitin ligase activity of the APC/C in mitosis and meiosis ,Yes,,B,,,,http://flybase.org/reports/FBgn0001086
FBgn0017551,v35489,P{GD12609}v35489,Screened,17,0,36,0,26,0,24,0,No sperm. Highly defective spermatogenesis from spermatocyte stage onwards.,No,Anaphase-promoting complex/cyclosome inhibitor,Yes,Mouse infertility (Fbxo43). Meiotic defects (https://www.sciencedirect.com/science/article/pii/S2211124717308471),A,,A,,http://flybase.org/reports/FBgn0017551
FBgn0033074,v42439,P{GD13779}v42439,Screened,34,0,32,0,30,0,29,0,No sperm. Individualization defect.,No,Mitochondrial protein-transporting ATPase,Yes,,B,,,,http://flybase.org/reports/FBgn0033074
FBgn0039070,v39937,P{GD8788}v39937,Screened,45,0,39,0,25,0,28,0,No sperm. Defective spermatogenesis from spermatocyte stage onwards.,No,Unknown,Yes,,A,,,,http://flybase.org/reports/FBgn0039070
FBgn0039869,53677,P{TRiP.HMJ21731}attP40,Screened,38,0,27,0,27,0,28,0,"Few sperm, all immotile/dead. Highly defective spermatogenesis from spermatocyte stage onwards. Accumulation of round post-meiotic cysts.",No,Predicted to have tubulin binding activity,No,,A,,,,http://flybase.org/reports/FBgn0039869
FBgn0261385,v33466,P{GD9720}v33466/CyO,Screened,29,0,37,0,25,0,28,0,"Few sperm, all morphologically abnormal. Defective spermatogenesis from the spermatocyte stage onwards.  ",Yes. Meiotic cytokinesis defects (https://www.molbiolcell.org/doi/10.1091/mbc.e09-08-0714),"Actin, nonmuscle myosin II and microtubule-binding protein",Yes,,A,A,,,http://flybase.org/reports/FBgn0261385
FBgn0265606,v46876,P{GD17186}v46876,Screened,20,0,16,0,19,0,14,0,No sperm. Individualization defect.,Yes. Individualization defects (http://genesdev.cshlp.org/content/31/18/1841),Proteasome subunit,Yes,,B,B,,,http://flybase.org/reports/FBgn0265606
FBgn0052396,v41896,P{GD10881}v41896,Screened,30,0,20,0,28,0,29,0,No sperm. Spermiogenesis defect.,No,Predicted to have GTP binding activity and to be involved in microtubule cytoskeleton organization and mitosis,Yes,,B,,,,http://flybase.org/reports/FBgn0052396
FBgn0003124,v20177,P{GD7563}v20177,Screened,23,0,25,0,20,0,11,0,No sperm. Spermiogenesis defect (severely compromised post-meiotic stages).,Yes. Meiotic cell cycle defects (https://link.springer.com/article/10.1007/PL00013778),Serine/threonine-protein kinase,Yes ,,B,A,,,http://flybase.org/reports/FBgn0003124
FBgn0003884,31389,P{TRiP.JF01373}attP2,Screened,25,0,24,0,18,0,18,0,"No sperm. Post-meiotic defect: predominance of round spermatid cysts, few manage to start elongation.",Yes. Axonemal defects (https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481),Structural gene for alpha-tubulin,Yes ,,B,B,,,http://flybase.org/reports/FBgn0003884
FBgn0011259,v4743,P{GD2504}v4743,Screened,30,0,25,0,30,0,25,0,No sperm. Individualization defect.,No,Transmembrane protein,Yes ,,B,,,,http://flybase.org/reports/FBgn0011259
FBgn0025638,v32398,P{GD8596}v32398/TM3,Screened,25,0,22,0,30,0,25,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,C2H2 type zinc finger protein,Yes ,,B,,,,http://flybase.org/reports/FBgn0025638
FBgn0025874,50636,P{TRiP.HMC03035}attP2,Screened,5,0,18,0,26,0,30,0,No sperm. Severely abnormal spermiogenesis.,No (but observed to dynamically relocate to male meiotic central spindle),Predicted to have nucleic acid binding activity and zinc ion binding activity,No ,,B,,,,http://flybase.org/reports/FBgn0025874
FBgn0028692,v44134,P{GD7421}v44134,Screened,32,0,22,0,30,0,28,0,No sperm. Meiotic defect (cells incapable of completing meiosis).,No,Zinc ion binding,Yes ,,A,,,,http://flybase.org/reports/FBgn0028692
FBgn0028694,v19272,P{GD8888}v19272,Screened,14,0,16,0,22,0,25,0,No sperm. Meiotic arrest.,No,Predicted to have metallopeptidase activity,Yes ,,A,,,,http://flybase.org/reports/FBgn0028694
FBgn0032513,v39006,P{GD11963}v39006/TM3,Screened,10,0,6,0,19,0,12,0,No sperm. Individualization defect.,No,Phospholipid transporter,No ,,B,,,,http://flybase.org/reports/FBgn0032513
FBgn0033816,v110665,P{KK100629}VIE-260B,Screened,18,0,10,0,11,0,13,0,No sperm. Individualization defect.,No,Predicted to have rRNA binding and ribosomal small subunit binding activity,No ,,B,,,,http://flybase.org/reports/FBgn0033816
FBgn0033916,v110250,P{KK104810}VIE-260B,Screened,14,0,15,0,9,0,15,0,No sperm. Individualization defect.,No,Ubiquitin specific protease,No ,,B,,,,http://flybase.org/reports/FBgn0033916
FBgn0035437,34657,P{TRiP.HMS01134}attP2,Screened,15,0,11,0,16,0,25,0,No sperm. Severe spermiogenesis defects.,No,Component of the striatin-interacting phosphatase and kinase (STRIPAK) complex,No ,,B,,,,http://flybase.org/reports/FBgn0035437
FBgn0036273,34037,P{TRiP.HMS01011}attP2,Screened,10,0,8,0,18,0,20,0,No sperm. Meiotic arrest.,No,Inositol polyphosphate-related phosphatase,No ,,A,,,,http://flybase.org/reports/FBgn0036273
FBgn0037383,34693,P{TRiP.HMS01172}attP2,Screened,29,0,27,0,18,0,35,0,No sperm. Individualization defect.,No,Predicted to be involved in endoplasmic reticulum membrane fusion,No ,,B,,,,http://flybase.org/reports/FBgn0037383
FBgn0038248,v109607,P{KK100967}VIE-260B,Screened,19,0,17,0,11,0,21,0,No motile sperm. Testis is full of seemingly individualized sperm that have no motility.,No,Centrosomal protein of 78kDa,No ,,C,,,,http://flybase.org/reports/FBgn0038248
FBgn0040075,v103483,P{KK105732}VIE-260B,Screened,13,0,29,0,18,0,19,0,No sperm. Individualization defect.,No,DNA helicase,Yes ,,B,,,,http://flybase.org/reports/FBgn0040075
FBgn0040918,v109418,P{KK108152}VIE-260B,Screened,25,0,27,0,28,0,30,0,No sperm. Individualization defect.,No,Sphingosine N-acyltransferase,Yes ,,B,,,,http://flybase.org/reports/FBgn0040918
FBgn0041087,v4176,P{GD1900}v4176,Screened,6,0,19,0,9,0,32,0,No sperm. Defective spermatogenesis from spermatocytes onwards.,Yes. Affects early germ cell migration (https://dev.biologists.org/content/128/6/983.long),Lipid phosphate phosphatase,Yes ,,A,D,,,http://flybase.org/reports/FBgn0041087
FBgn0263120,v3222,P{GD1638}v3222,Screened,6,0,17,0,15,0,8,0,No sperm. Defective spermatogenesis from spermatocytes onwards.,No,Long-chain-fatty-acid--CoA ligase,Yes ,,A,,,,http://flybase.org/reports/FBgn0263120
FBgn0267977,44448 - lost stock,"P{TRiP.GLC01597}attP2/TM3, Sb1",Screened,17,0,30,0,16,0,11,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,Protease required for paternal chromosome integrity,No ,,B,,,,http://flybase.org/reports/FBgn0267977
FBgn0001215,32351,P{TRiP.HMS00342}attP2,Screened,29,0,30,0,31,0,29,0,No sperm. Spermiogenesis defect.,No,Heterogeneous nuclear ribonucleoprotein at 98DE,Yes ,,B,,,,http://flybase.org/reports/FBgn0001215
FBgn0015790,27730,P{TRiP.JF02812}attP2,Screened,31,0,32,0,37,0,26,0,No sperm. Spermiogenesis defect.,Yes. Meiotic cytokinesis defects (https://www.molbiolcell.org/doi/full/10.1091/mbc.e07-05-0415),Rab11,Yes ,,B,A,,,http://flybase.org/reports/FBgn0015790
FBgn0262872,28385,P{TRiP.JF03022}attP2,Screened,28,0,30,0,28,0,22,0,No sperm. Spermiogenesis defect.,Yes. Spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pubmed/18690063),Scaffolding protein with microtubule motor activity,Yes ,,B,B,,,http://flybase.org/reports/FBgn0262872
FBgn0264922,28034,P{TRiP.JF02869}attP2,Screened,27,0,32,0,34,0,25,0,No sperm. Individualization defect.,No,SUMO family protein,Yes ,,B,,,,http://flybase.org/reports/FBgn0264922
FBgn0285937,27299,P{TRiP.JF02609}attP2,Screened,28,0,33,0,21,0,31,0,No sperm. Meiotic defects and early post-meiotic arrest (cells do not elongate).,Yes. Meiotic cytokinesis defects (https://www.molbiolcell.org/doi/10.1091/mbc.e03-08-0603),Rab1,No ,,A,A,,,http://flybase.org/reports/FBgn0285937
