id_gene_MM,gene_MM,Others MM pheno code,Other species infertility phenotype?
ENSMUSG00000010796,Asz1,A,Mouse infertility. Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2727916/)
ENSMUSG00000042406,Atf4,H,Mouse infertility (Atf4). Due to defect in the genital ducts (https://watermark.silverchair.com/biolreprod0371.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApQwggKQBgkqhkiG9w0BBwagggKBMIICfQIBADCCAnYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMkbA44JVb2TQoUYJ1AgEQgIICRyGv-dm9L5_yedAXmX9oR2_lRfiCVi6hHfEOv5G3jTjYIEhtbCGh5rP0cgnKSUFlHtw_R52S0KJX90O2SPc42nZExMYK548dz_Jki6DDGT0RGRJvyEMZ3C9Z0mXTBRWQvyyDKzae9EY9X3-af0ewe0iQrAJONg4TUoKr3RWSbkGibnsMNWbEH8Jeu1f53SosHloxwzJvKQX5yvrL8CL9i5eQn2L72JXYGrIdCMPwc8qHaaz88IXe5PYk71C04TotrlyMKQObdViB9dx94tuHzpodEjB3gJKCN3_-UC0mlvYXycsDzc36myYAMXgRS1IkRa59-IYu2Hsp-xCrNsy35OeSFs-pdfHqirPztVC2c3B7pKZRP-FXWwbwMgkVhXfmLxvq880qnC6uPywrBafizXPr312R4RHvxOTEMb1LCDFTmq5ZsO6eLJIzol7KqW7vmS2hcs-x9LdXlDc0AEmmqvedJmYSU_LcbHNkN1o5HmG2U2L6-esbXHMO-JSmx3IWN-Zn7Evui69UexammzTzU5rGUDRBfENCNTgL6ad88qrWu120Bet6W3YJ2RuAEa7BGgVepr7LEWJ-p4MApuietIxmBgPtLO2oQOQwBI2iiYq3slk6DiaUXaC0p-oqptdpmp5LzqQcnDPM8eHxauUrEvunnKbWxqmP0MQbVDj4LVQyW7Jxh9ntBHPrAiPVsD5SV-msgrQVjdEwXDGzGp4dGGa3rMejNx8qX0yZSwTthxTJ4uNEM6tQDnJ1m2bEIBOvhaUAthJur0Y)
ENSMUSG00000026463,Atp2b4,C,Mouse infertility. Sperm motility defects (http://www.jbc.org/content/279/27/28220.long)
ENSMUSG00000028830,AU040320,B,Mouse infertility. Spermiogenesis defects (https://www.nature.com/articles/s41598-018-28666-6)
ENSMUSG00000073650,Catip,G,Mouse infertility (Catip). No details (http://www.informatics.jax.org/marker/phenotypes/MGI:2685062)
ENSMUSG00000045915,Ccdc42,B,Mouse infertility 1/2 (for Ccdc42). Spermiogenesis defect (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826836/)
ENSMUSG00000028212,Ccne2,E,Mouse infertility (for Ccne2). Abnormal spermatogenesis (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004165)
ENSMUSG00000070871,Ccnyl1,B,"Mouse infertility (Ccnyl1). Spermiogenesis defects, but normal counts (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005485)"
ENSMUSG00000025358,Cdk2,A,Mouse infertility (Cdk2). Meiotic defects (https://www.nature.com/articles/ng1232)
ENSMUSG00000039781,Cep131,B,Mouse infertility (Cep131). Flagellar defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3887133/)
ENSMUSG00000019971,Cep290,C,Human and mouse infertility. Sperm motility defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3283211/ and http://www.informatics.jax.org/marker/phenotypes/MGI:2384917)
ENSMUSG00000028294,Cfap206,G,Mouse infertility (Cfap206). No more details (https://www.mousephenotype.org/data/genes/MGI:1916579)
ENSMUSG00000062248,Cks2,A,Mouse infertility 2/2 (for Cks2). Meiotic defects (https://science.sciencemag.org/content/300/5619/647.long)
ENSMUSG00000002190,Clgn,C,Mouse infertility 1/3 (Clgn). Defective sperm migration and interaction with the egg (http://www.jbc.org/content/286/7/5639.full)
ENSMUSG00000030127,Cops7a,G,Mouse infertility. Few details (https://www.mousephenotype.org/data/genes/MGI:1349400)
ENSMUSG00000031446,Cul4a,A,Mouse infertility. Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3065526/)
ENSMUSG00000006711,D130043K22Rik,B,Mouse infertility. Spermiogenesis defects (https://www.nature.com/articles/s41598-018-28666-6)
ENSMUSG00000069565,Dazap1,A,Mouse infertility (Dazap1). Meiotic entry defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2525968/)
ENSMUSG00000032101,Ddx25,B,Mouse infertility (Ddx25). Spermiogenesis defect (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3245878/)
ENSMUSG00000033987,Dnah17,B,Mouse infertility. Sperm tail defects (http://jem.rupress.org/content/early/2019/10/25/jem.20182365)
ENSMUSG00000006920,Ezh1,D,Mouse infertility (for Ezh1 + Ezh2). Spermatogonia and meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5389884/)
ENSMUSG00000029687,Ezh2,D,Mouse infertility (for Ezh1 + Ezh2). Spermatogonia and meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5389884/)
ENSMUSG00000004018,Fancl,D,Mouse infertility. Early germ cell defects (https://academic.oup.com/hmg/article/11/24/3047/653267)
ENSMUSG00000048230,Fbxo43,A,Mouse infertility (Fbxo43). Meiotic defects (https://www.sciencedirect.com/science/article/pii/S2211124717308471)
ENSMUSG00000054252,Fgfr3,G,Mouse infertility 1/2 (for Fgfr3). No detailed phenotype (https://www.jax.org/strain/014182)
ENSMUSG00000045662,Henmt1,B,Mouse infertility (Henmt1). Spermiogenesis defects (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005620)
ENSMUSG00000021270,Hsp90aa1,A,Mouse infertility. Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3013136/)
ENSMUSG00000059970,Hspa2,A,Mouse infertility 2/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/)
ENSMUSG00000056899,Immp2l,E,Mouse infertility (Immp2l). Age-dependent spermatogenesis defects (https://academic.oup.com/biolreprod/article/78/4/601/2629830)
ENSMUSG00000028790,Khdrbs1,A,Mouse infertility 2/2 (for Khdrbs1). Meiotic and  spermiogenesis defects (http://jcb.rupress.org/content/185/2/235)
ENSMUSG00000027115,Kif18a,E,Mouse infertility 1/2 (for Kif18a). Cell cycle defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2963078/)
ENSMUSG00000004880,Lbr,G,Mouse infertility (Lbr). No detailed phenotype (https://academic.oup.com/hmg/article/17/19/2921/2385590)
ENSMUSG00000020593,Lpin1,H,Mouse infertility (Lpin1). Possibly due to behavior impairment (http://www.jbc.org/content/266/18/11955.full.pdf)
ENSMUSG00000038886,Man2a2,E,Mouse infertility 1/2 (Man2a2). Defective adhesion between somatic and germ cells (https://www.ncbi.nlm.nih.gov/pubmed/12417422)
ENSMUSG00000089911,Mfsd14a,B,Mouse infertility (Mfsd14a). Spermiogenesis defects (https://rep.bioscientifica.com/view/journals/rep/152/1/91.xml)
ENSMUSG00000015365,Mov10l1,A,Mouse infertility (Mov10l1). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2900665/)
ENSMUSG00000025912,Mybl1,A,Mouse infertility (Mybl1). Meiotic defects (https://dev.biologists.org/content/138/15/3319)
ENSMUSG00000039804,Ncoa5,B,Mouse infertility (Ncoa5). Spermiogenesis defects (https://www.nature.com/articles/s41598-019-52105-9)
ENSMUSG00000021595,Nsun2,A,Mouse infertility (Nsun2). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3624257/)
ENSMUSG00000033610,Pank1,B,Mouse infertility. Spermiogenesis arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2117329/)
ENSMUSG00000037514,Pank2,B,Mouse infertility. Spermiogenesis arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2117329/)
ENSMUSG00000074817,Papolb,B,Mouse infertility (Papolb). Spermiogenesis defects (https://science.sciencemag.org/content/298/5600/1999.long)
ENSMUSG00000029423,Piwil1,B,Mouse infertility 2/3 (for either Piwil1 or Piwil2). Meiotic (Piwil2) or spermiogenesis (Piwil1) defects (https://dev.biologists.org/content/131/4/839.long and https://www.sciencedirect.com/science/article/pii/S153458070200165X?via%3Dihub)
ENSMUSG00000033644,Piwil2,A,Mouse infertility 1/3 (for either Piwil1 or Piwil2). Meiotic (Piwil2) or spermiogenesis (Piwil1) defects (https://dev.biologists.org/content/131/4/839.long and https://www.sciencedirect.com/science/article/pii/S153458070200165X?via%3Dihub)
ENSMUSG00000042632,Pla2g6,C,Mouse infertility. Sperm motility defects and slight reduction in number (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3733543/)
ENSMUSG00000043648,Pld6,A,Mouse infertility. Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3062204/)
ENSMUSG00000032058,Ppp2r1b,G,Mouse infertility. No details (https://www.mousephenotype.org/data/genes/MGI:1920949)
ENSMUSG00000005469,Prkaca,C,Mouse infertility 1/3 (for Prkaca). Slight reduction of sperm counts and motility defects (https://academic.oup.com/mend/article/16/3/630/2741756)
ENSMUSG00000021466,Ptch1,H,Mouse infertility (for Ptch1). Hypogonadism (hormone-related; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6675546/)
ENSMUSG00000000365,Rnf17,B,Mouse infertility. Early spermiogenesis arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1994335/)
ENSMUSG00000024033,Rsph1,B,Mouse infertility. Sperm tail defects (http://www.jbc.org/content/283/27/19039.long)
ENSMUSG00000071054,Safb,H,"Mouse infertility (for Safb1). Spermatogenesis defects, with abnormal hormonal levels (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1069606/)"
ENSMUSG00000034007,Scaper,G,Mouse infertility (Scaper). No detailed phenotyping (https://www.mousephenotype.org/data/genes/MGI:1925976)
ENSMUSG00000043535,Setx,A,Mouse infertility (Setx). Crossing-over defects (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003435)
