Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID
MGI:94863	MGI	MGI:94863	Dbf	doublefoot	heritable phenotypic marker		109578
MGI:103076	MGI	MGI:103076	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor	protein coding gene	ENSMUSG00000022479	22337
MGI:98961	MGI	MGI:98961	Wnt7a	wingless-type MMTV integration site family, member 7A	protein coding gene	ENSMUSG00000030093	22421
MGI:1891595	MGI	MGI:1891595	Tg(Fst)5Zuk	transgene insertion 5, Martin M Matzuk	transgene		
MGI:1891596	MGI	MGI:1891596	Tg(Fst)9Zuk	transgene insertion 9, Martin M Matzuk	transgene		
MGI:106220	MGI	MGI:106220	Six5	sine oculis-related homeobox 5	protein coding gene	ENSMUSG00000040841	20475
MGI:1328328	MGI	MGI:1328328	Map7	microtubule-associated protein 7	protein coding gene	ENSMUSG00000019996	17761
MGI:2159437	MGI	MGI:2159437	Agtpbp1	ATP/GTP binding protein 1	protein coding gene	ENSMUSG00000021557	67269
MGI:1306796	MGI	MGI:1306796	Apaf1	apoptotic peptidase activating factor 1	protein coding gene	ENSMUSG00000019979	11783
MGI:107202	MGI	MGI:107202	Atm	ataxia telangiectasia mutated	protein coding gene	ENSMUSG00000034218	11920
MGI:95389	MGI	MGI:95389	En1	engrailed 1	protein coding gene	ENSMUSG00000058665	13798
MGI:105393	MGI	MGI:105393	Dmc1	DNA meiotic recombinase 1	protein coding gene	ENSMUSG00000022429	13404
MGI:95706	MGI	MGI:95706	Ggt1	gamma-glutamyltransferase 1	protein coding gene	ENSMUSG00000006345	14598
MGI:88139	MGI	MGI:88139	Bcl2l1	BCL2-like 1	protein coding gene	ENSMUSG00000007659	12048
MGI:99702MGI:88139		No associated gene					
MGI:108052	MGI	MGI:108052	Bcl2l2	BCL2-like 2	protein coding gene	ENSMUSG00000089682	12050
MGI:3028590	MGI	MGI:3028590	Mei1	meiotic double-stranded break formation protein 1	protein coding gene	ENSMUSG00000068117	74369
MGI:1890573	MGI	MGI:1890573	rsph	round sperm heads	heritable phenotypic marker		
MGI:1353633	MGI	MGI:1353633	Fus	fused in sarcoma	protein coding gene	ENSMUSG00000030795	233908
MGI:104537	MGI	MGI:104537	Brca1	breast cancer 1, early onset	protein coding gene	ENSMUSG00000017146	12189
MGI:88208	MGI	MGI:88208	Bsg	basigin	protein coding gene	ENSMUSG00000023175	12215
MGI:96205	MGI	MGI:96205	Hoxd13	homeobox D13	protein coding gene	ENSMUSG00000001819	15433
MGI:96172	MGI	MGI:96172	Hoxa11	homeobox A11	protein coding gene	ENSMUSG00000038210	15396
MGI:1346833MGI:2180056		No associated gene					
MGI:88495	MGI	MGI:88495	Crem	cAMP responsive element modulator	protein coding gene	ENSMUSG00000063889	12916
MGI:1316721	MGI	MGI:1316721	Lhx9	LIM homeobox protein 9	protein coding gene	ENSMUSG00000019230	16876
MGI:96783	MGI	MGI:96783	Lhcgr	luteinizing hormone/choriogonadotropin receptor	protein coding gene	ENSMUSG00000024107	16867
MGI:1340044	MGI	MGI:1340044	Lrp8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	protein coding gene	ENSMUSG00000028613	16975
MGI:1342057	MGI	MGI:1342057	B4galnt1	beta-1,4-N-acetyl-galactosaminyl transferase 1	protein coding gene	ENSMUSG00000006731	14421
MGI:1329021	MGI	MGI:1329021	Msh5	mutS homolog 5	protein coding gene	ENSMUSG00000007035	17687
MGI:1316740	MGI	MGI:1316740	Morc1	microrchidia 1	protein coding gene	ENSMUSG00000022652	17450
MGI:1097712	MGI	MGI:1097712	Npc1	NPC intracellular cholesterol transporter 1	protein coding gene	ENSMUSG00000024413	18145
MGI:1928898	MGI	MGI:1928898	Usp14	ubiquitin specific peptidase 14	protein coding gene	ENSMUSG00000047879	59025
MGI:1313307	MGI	MGI:1313307	crsp	cryptorchidism with white spotting, deletion region	heritable phenotypic marker		12948
MGI:2153463	MGI	MGI:2153463	Rxfp2	relaxin/insulin-like family peptide receptor 2	protein coding gene	ENSMUSG00000053368	140498
MGI:104510	MGI	MGI:104510	Myo7a	myosin VIIA	protein coding gene	ENSMUSG00000030761	17921
MGI:107595	MGI	MGI:107595	Sp4	trans-acting transcription factor 4	protein coding gene	ENSMUSG00000025323	20688
MGI:1925230	MGI	MGI:1925230	Sbf1	SET binding factor 1	protein coding gene	ENSMUSG00000036529	77980
MGI:96243	MGI	MGI:96243	Hspa2	heat shock protein 2	protein coding gene	ENSMUSG00000059970	15512
MGI:1858277	MGI	MGI:1858277	Gal3st1	galactose-3-O-sulfotransferase 1	protein coding gene	ENSMUSG00000049721	53897
MGI:106925	MGI	MGI:106925	Cldn11	claudin 11	protein coding gene	ENSMUSG00000037625	18417
MGI:88587	MGI	MGI:88587	Cyp19a1	cytochrome P450, family 19, subfamily a, polypeptide 1	protein coding gene	ENSMUSG00000032274	13075
MGI:95480	MGI	MGI:95480	Fancc	Fanconi anemia, complementation group C	protein coding gene	ENSMUSG00000021461	14088
MGI:2179947	MGI	MGI:2179947	Catsper1	cation channel, sperm associated 1	protein coding gene	ENSMUSG00000038498	225865
MGI:1347356	MGI	MGI:1347356	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	protein coding gene	ENSMUSG00000036545	216725
MGI:102944	MGI	MGI:102944	Ube2b	ubiquitin-conjugating enzyme E2B	protein coding gene	ENSMUSG00000020390	22210
MGI:1338756	MGI	MGI:1338756	Theg	testicular haploid expressed gene	protein coding gene	ENSMUSG00000020317	21830
MGI:106618	MGI	MGI:106618	Tpgs1	tubulin polyglutamylase complex subunit 1	protein coding gene	ENSMUSG00000020308	110012
MGI:104515MGI:103302		No associated gene					
MGI:107335	MGI	MGI:107335	Bmp8b	bone morphogenetic protein 8b	protein coding gene	ENSMUSG00000002384	12164
MGI:88258	MGI	MGI:88258	Camk4	calcium/calmodulin-dependent protein kinase IV	protein coding gene	ENSMUSG00000038128	12326
MGI:107472	MGI	MGI:107472	Clgn	calmegin	protein coding gene	ENSMUSG00000002190	12745
MGI:88547	MGI	MGI:88547	Csnk2a2	casein kinase 2, alpha prime polypeptide	protein coding gene	ENSMUSG00000046707	13000
MGI:2179277	MGI	MGI:2179277	Atxn7	ataxin 7	protein coding gene	ENSMUSG00000021738	246103
MGI:96945	MGI	MGI:96945	Smcp	sperm mitochondria-associated cysteine-rich protein	protein coding gene	ENSMUSG00000074435	17235
MGI:1330812	MGI	MGI:1330812	Acox1	acyl-Coenzyme A oxidase 1, palmitoyl	protein coding gene	ENSMUSG00000020777	11430
MGI:1334263	MGI	MGI:1334263	Neurl1a	neuralized E3 ubiquitin protein ligase 1A	protein coding gene	ENSMUSG00000006435	18011
MGI:1932115	MGI	MGI:1932115	Papolb	poly (A) polymerase beta (testis specific)	protein coding gene	ENSMUSG00000074817	56522
MGI:1096393	MGI	MGI:1096393	Snai2	snail family zinc finger 2	protein coding gene	ENSMUSG00000022676	20583
MGI:108056	MGI	MGI:108056	Nfia	nuclear factor I/A	protein coding gene	ENSMUSG00000028565	18027
MGI:1351664	MGI	MGI:1351664	Ptdss2	phosphatidylserine synthase 2	protein coding gene	ENSMUSG00000025495	27388
MGI:2653492	MGI	MGI:2653492	Tg(Amh-Smad4)1Tkw	transgene insertion 1, Teresa K Woodruff	transgene		
MGI:106922	MGI	MGI:106922	Vdac3	voltage-dependent anion channel 3	protein coding gene	ENSMUSG00000008892	22335
MGI:1349427	MGI	MGI:1349427	Exo1	exonuclease 1	protein coding gene	ENSMUSG00000039748	26909
MGI:1333773	MGI	MGI:1333773	Mab21l1	mab-21-like 1	protein coding gene	ENSMUSG00000056947	17116
MGI:101761	MGI	MGI:101761	Hmga2	high mobility group AT-hook 2	protein coding gene	ENSMUSG00000056758	15364
MGI:104294MGI:96965MGI:1347244		No associated gene					
MGI:101815	MGI	MGI:101815	Fmn1	formin 1	protein coding gene	ENSMUSG00000044042	14260
MGI:88094	MGI	MGI:88094	at	atrichosis	heritable phenotypic marker		11904
MGI:108415MGI:108414		No associated gene					
MGI:98784	MGI	MGI:98784	Tnp1	transition protein 1	protein coding gene	ENSMUSG00000026182	21958
MGI:103234	MGI	MGI:103234	Herc2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	protein coding gene	ENSMUSG00000030451	15204
MGI:108042	MGI	MGI:108042	Ccna1	cyclin A1	protein coding gene	ENSMUSG00000027793	12427
MGI:95295	MGI	MGI:95295	Egr1	early growth response 1	protein coding gene	ENSMUSG00000038418	13653
MGI:99252	MGI	MGI:99252	Egr4	early growth response 4	protein coding gene	ENSMUSG00000071341	13656
