id,row-names,mC_1,mC_2,mC_3,mdlc_1,mdlc_2,mdlc_3,Prp19_1,Prp19_2,Prp19_3,pvals_mdlc,p.adjust(pvals_mdlc),pvals_prp19,p.adjust(pvals_prp19),chr,start,end,strand,transcript,gene,biotype
FBgn0031128,FBtr0304576_2_FBtr0304576_3,0.0286296755894345,0.0252398355413431,0.0252895296620184,0.196939433979658,0.207902595910866,0.23742609887756,0.17059915164369,0.164561148224089,0.165316786414108,0,0,0,0,X,20672047,20672120,-,FBtr0304576,hydra,protein_coding
FBgn0032360,FBtr0080251_1_FBtr0080251_2,0.00554288721276969,0.00472568522435753,0.00613580583583311,0.205820476858345,0.191872427983539,0.172451912447491,0.0280477645098584,0.0248272331712311,0.0302301614565441,0,0,6.11782192163573e-26,3.13195775456219e-21,2L,11343046,11343100,-,FBtr0080251,CG14926,protein_coding
FBgn0034840,FBtr0343198_1_FBtr0343198_2,0.0044628207652425,0.00490051945506224,0.00323222277473894,0.320604543015561,0.302879740417765,0.30293875308981,0.241256969082615,0.288735258235055,0.260111223458038,0,0,0,0,2R,23283854,23283912,-,FBtr0343198,CG3124,protein_coding
FBgn0051639,FBtr0079208_1_FBtr0079208_2,0.00346625107480653,0.00390930414386239,0.00387146728610143,0.166215955186401,0.236064127077511,0.180310880829016,0.347072750753336,0.348302822273074,0.324573941726223,0,0,0,0,2L,6154896,6154949,-,FBtr0079208,CG31639,protein_coding
FBgn0052081,FBtr0076198_3_FBtr0076198_4,0.00224719101123596,0.00294033956179456,0.00388205934004991,0.202327238185704,0.193368626358317,0.198268398268398,0.369527145359019,0.381633594831564,0.370223325062035,0,0,0,0,3L,11027923,11027984,+,FBtr0076198,CG32081,protein_coding
FBgn0061197,FBtr0089671_1_FBtr0089671_2,0.00528879610299234,0.00425088225858197,0.00575943291737429,0.184121805328983,0.179870453413054,0.198639099712117,0.0869437076333628,0.0966122961104141,0.101684895063553,0,0,1.58233999654514e-135,8.19493884210727e-131,2R,12305999,12306062,-,FBtr0089671,salto,protein_coding
FBgn0250844,FBtr0344772_2_FBtr0344772_3,0.012077775565731,0.011684599865501,0.0127171771449042,0.224765478424015,0.260058369814467,0.267077103488713,0.324216250799744,0.321148036253776,0.374211749087288,0,0,0,0,2L,14547813,14547867,-,FBtr0344772,CG4218,protein_coding
FBgn0250849,FBtr0076933_1_FBtr0076933_2,0.00931382649907274,0.010813303951212,0.0082830978786066,0.267147503889125,0.276530469948403,0.294945159752027,0.211024269847799,0.176337390319841,0.181996086105675,0,0,0,0,3L,6984280,6984343,-,FBtr0076933,CG32388,protein_coding
FBgn0262968,FBtr0343183_2_FBtr0343183_3,0.00521392424474774,0.00556356892643726,0.00408242612752722,0.249265569917744,0.281603288797533,0.32037643207856,0.268344558667139,0.250614250614251,0.288941736028537,1.02474002443583e-316,5.31788835680973e-312,8.03960006073779e-230,4.16861302749315e-225,X,7495049,7495114,+,FBtr0343183,lncRNA:CR43279,ncRNA
FBgn0039797,FBtr0339513_1_FBtr0339513_2,0.00626959247648903,0.00465990843688685,0.003613369467028,0.183431952662722,0.214464778139885,0.208955223880597,0.0819805194805195,0.0674412730487497,0.0872467222884386,5.36273739564169e-306,2.78288531672034e-301,3.02987364203575e-104,1.56744453123436e-99,3R,30727155,30727215,+,FBtr0339513,eIF4H2,protein_coding
FBgn0040747,FBtr0087406_1_FBtr0087406_2,0.0167080076753873,0.0154320987654321,0.0201334067682516,0.181029448569283,0.221617021276596,0.228541882109617,0.606053088563632,0.65194006915098,0.607307040890394,1.76302672970863e-275,9.14799309511215e-271,0,0,2R,14933597,14933667,+,FBtr0087406,CG12853,protein_coding
FBgn0286507,FBtr0082631_1_FBtr0082631_2,0.00895885883273898,0.0140666760444507,0.00758563470427877,0.178775913129319,0.204001311905543,0.192044590828477,0.19478672985782,0.176043557168784,0.16129626219849,3.8456567156142e-273,1.99539590003074e-268,7.50598375811481e-207,3.89162739906979e-202,3R,12448067,12448133,+,FBtr0082631,vrs,protein_coding
FBgn0031871,FBtr0332325_1_FBtr0332325_2,0.00966042154566745,0.013625434143735,0.01051745898191,0.173014049659804,0.167624521072797,0.220192795535261,0.0928624813153961,0.0921875,0.0839080459770115,5.20092534316461e-270,2.69850011430096e-265,5.13312835414797e-81,2.65259540828951e-76,2L,6945070,6945134,-,FBtr0332325,Fgop2,protein_coding
FBgn0034416,FBtr0100137_1_FBtr0100137_2,0.0101010101010101,0.00765631646108039,0.00862269867163831,0.251627661446419,0.280852728339527,0.35233918128655,0.207276062366249,0.18766318537859,0.158730158730159,1.95771356391883e-267,1.01572052836801e-262,8.54771576491633e-136,4.42703294896547e-131,2R,19059487,19059596,+,FBtr0100137,CG15109,protein_coding
FBgn0033442,FBtr0088496_1_FBtr0088496_2,0.00678858409531726,0.00973741794310722,0.00835682641965364,0.222793763060601,0.258530845520256,0.261189801699717,0.157335907335907,0.135875402792696,0.136781609195402,9.71432389108615e-267,5.03998552117332e-262,3.93079880323545e-114,2.03430630463844e-109,2R,9757747,9757815,-,FBtr0088496,CG1690,protein_coding
FBgn0034082,FBtr0087250_1_FBtr0087250_2,0.0381882770870337,0.039382319411338,0.0363656834046386,0.368793379604912,0.329490616621984,0.331600445599703,0.531818181818182,0.491106170094497,0.461230509903076,2.63486934151652e-265,1.36699656307219e-260,0,0,2R,16158601,16158680,-,FBtr0087250,CG10734,protein_coding
FBgn0031859,FBtr0345445_1_FBtr0345445_2,0.00658465991316932,0.00736516987407935,0.00642335766423358,0.207914492938033,0.209688486345547,0.190717911530094,0.393055555555556,0.368865435356201,0.418461538461538,8.45844637167021e-259,4.38824197762251e-254,0,0,2L,6802655,6802708,-,FBtr0345445,CG17377,protein_coding
FBgn0026147,FBtr0304948_1_FBtr0304948_2,0.00907258064516129,0.0115065560610115,0.00788218211989214,0.273979222034308,0.292648444863336,0.376146788990826,0.384615384615385,0.427116827438371,0.399074609600925,3.01243292939856e-245,1.56275983078409e-240,4.34037427186968e-277,2.25122192359065e-272,2L,10989591,10989656,+,FBtr0304948,TTLL4A,protein_coding
FBgn0061197,FBtr0089671_2_FBtr0089671_3,0.0142363396971692,0.0112826603325416,0.0117492245511796,0.175067024128686,0.185352904434728,0.16062945368171,0.22897384305835,0.232308151687071,0.252590210789568,1.00484599493221e-200,5.21223666031286e-196,1.86674400019423e-260,9.68074771060724e-256,2R,12305872,12305931,-,FBtr0089671,salto,protein_coding
