id_gene,id_string,up,down,gene,biotype,description
ENSMUSG00000000001,10090.ENSMUSP00000000001,False,True,Gnai3,protein_coding,"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
ENSMUSG00000000028,10090.ENSMUSP00000000028,True,False,Cdc45,protein_coding,cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000049,10090.ENSMUSP00000000049,True,False,Apoh,protein_coding,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]
ENSMUSG00000000078,10090.ENSMUSP00000000080,False,True,Klf6,protein_coding,Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085,10090.ENSMUSP00000101908,True,False,Scmh1,protein_coding,sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088,10090.ENSMUSP00000000090,True,False,Cox5a,protein_coding,cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000120,10090.ENSMUSP00000000122,True,False,Ngfr,protein_coding,"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"
ENSMUSG00000000127,10090.ENSMUSP00000000129,True,False,Fer,protein_coding,fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131,10090.ENSMUSP00000009344,True,False,Xpo6,protein_coding,exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000167,10090.ENSMUSP00000000171,True,False,Pih1d2,protein_coding,PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]
ENSMUSG00000000168,10090.ENSMUSP00000034567,True,False,Dlat,protein_coding,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]
ENSMUSG00000000171,10090.ENSMUSP00000000175,True,True,Sdhd,protein_coding,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
ENSMUSG00000000247,10090.ENSMUSP00000000253,True,False,Lhx2,protein_coding,LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]
ENSMUSG00000000275,10090.ENSMUSP00000103528,False,True,Trim25,protein_coding,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]
ENSMUSG00000000276,10090.ENSMUSP00000103526,False,True,Dgke,protein_coding,"diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]"
ENSMUSG00000000278,10090.ENSMUSP00000000287,False,True,Scpep1,protein_coding,serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]
ENSMUSG00000000301,10090.ENSMUSP00000099753,True,False,Pemt,protein_coding,phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]
ENSMUSG00000000339,10090.ENSMUSP00000000348,True,False,Rtca,protein_coding,RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]
ENSMUSG00000000365,10090.ENSMUSP00000093469,True,False,Rnf17,protein_coding,ring finger protein 17 [Source:MGI Symbol;Acc:MGI:1353419]
ENSMUSG00000000399,10090.ENSMUSP00000085523,True,False,Ndufa9,protein_coding,NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]
ENSMUSG00000000439,10090.ENSMUSP00000000449,True,False,Mkrn2,protein_coding,"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
ENSMUSG00000000441,10090.ENSMUSP00000000451,False,True,Raf1,protein_coding,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]
ENSMUSG00000000532,10090.ENSMUSP00000000544,False,True,Acvr1b,protein_coding,"activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]"
ENSMUSG00000000538,10090.ENSMUSP00000099744,False,True,Tom1l2,protein_coding,target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306]
ENSMUSG00000000552,10090.ENSMUSP00000130176,True,False,Zfp385a,protein_coding,zinc finger protein 385A [Source:MGI Symbol;Acc:MGI:1352495]
ENSMUSG00000000594,10090.ENSMUSP00000000608,True,False,Gm2a,protein_coding,GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]
ENSMUSG00000000600,10090.ENSMUSP00000078985,False,True,Krit1,protein_coding,"KRIT1, ankyrin repeat containing [Source:MGI Symbol;Acc:MGI:1930618]"
ENSMUSG00000000631,10090.ENSMUSP00000130696,False,True,Myo18a,protein_coding,myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]
ENSMUSG00000000632,10090.ENSMUSP00000091532,True,False,Sez6,protein_coding,seizure related gene 6 [Source:MGI Symbol;Acc:MGI:104745]
ENSMUSG00000000738,10090.ENSMUSP00000119552,True,False,Spg7,protein_coding,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]"
ENSMUSG00000000751,10090.ENSMUSP00000000767,True,False,Rpa1,protein_coding,replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]
ENSMUSG00000000787,10090.ENSMUSP00000000804,False,True,Ddx3x,protein_coding,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064]"
ENSMUSG00000000804,10090.ENSMUSP00000103710,True,False,Usp32,protein_coding,ubiquitin specific peptidase 32 [Source:MGI Symbol;Acc:MGI:2144475]
ENSMUSG00000000811,10090.ENSMUSP00000000828,True,False,Txnrd3,protein_coding,thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]
ENSMUSG00000000823,10090.ENSMUSP00000104417,True,False,Zfp512b,protein_coding,zinc finger protein 512B [Source:MGI Symbol;Acc:MGI:2685478]
ENSMUSG00000000826,10090.ENSMUSP00000072175,False,True,Dnajc5,protein_coding,DnaJ heat shock protein family (Hsp40) member C5 [Source:MGI Symbol;Acc:MGI:892995]
ENSMUSG00000000884,10090.ENSMUSP00000130371,True,False,Gnb1l,protein_coding,"guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]"
ENSMUSG00000000902,10090.ENSMUSP00000000925,True,False,Smarcb1,protein_coding,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:MGI Symbol;Acc:MGI:1328366]"
ENSMUSG00000000958,10090.ENSMUSP00000000984,True,False,Slc7a7,protein_coding,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7 [Source:MGI Symbol;Acc:MGI:1337120]"
ENSMUSG00000000959,10090.ENSMUSP00000000985,False,True,Oxa1l,protein_coding,oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]
ENSMUSG00000000976,10090.ENSMUSP00000001002,False,True,Heatr6,protein_coding,HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]
ENSMUSG00000001017,10090.ENSMUSP00000001043,False,True,Chtop,protein_coding,chromatin target of PRMT1 [Source:MGI Symbol;Acc:MGI:1913761]
ENSMUSG00000001018,10090.ENSMUSP00000122090,True,True,Snapin,protein_coding,SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]
ENSMUSG00000001036,10090.ENSMUSP00000001063,False,True,Epn2,protein_coding,epsin 2 [Source:MGI Symbol;Acc:MGI:1333766]
ENSMUSG00000001039,10090.ENSMUSP00000099717,True,False,B9d1,protein_coding,B9 protein domain 1 [Source:MGI Symbol;Acc:MGI:1351471]
ENSMUSG00000001062,10090.ENSMUSP00000113575,True,False,Vps9d1,protein_coding,VPS9 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914143]
ENSMUSG00000001065,10090.ENSMUSP00000001092,False,True,Zfp276,protein_coding,zinc finger protein (C2H2 type) 276 [Source:MGI Symbol;Acc:MGI:1888495]
ENSMUSG00000001100,10090.ENSMUSP00000001127,True,False,Poldip2,protein_coding,"polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]"
