id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B93P,"9606.ENSP00000400099,9606.ENSP00000482957",,,negative regulation of Rho guanyl-nucleotide exchange factor activity
3B93T,9606.ENSP00000404705,,,exopeptidase activity
3B93W,,,7227.FBpp0087760,glucose-6-phosphate isomerase activity
3B940,,,7227.FBpp0074766,H3K27me3 modified histone binding
3B943,9606.ENSP00000348381,,,Adducin 3 (Gamma)
3B945,9606.ENSP00000341947,,,nucleobase-containing compound biosynthetic process
3B948,"9606.ENSP00000291906,9606.ENSP00000343325",,,GTP-Rho binding
3B949,9606.ENSP00000466477,,,belongs to the protein kinase superfamily
3B94A,,,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity
3B94C,9606.ENSP00000359385,,,hepatocyte growth factor receptor binding
3B94E,9606.ENSP00000355492,,,Cation channel sperm-associated protein subunit delta
3B94F,9606.ENSP00000262633,,,RNA binding
3B94J,"9606.ENSP00000380413,9606.ENSP00000485140",,,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein"
3B94M,,,7227.FBpp0080121,DNA-directed 5'-3' RNA polymerase activity
3B94U,9606.ENSP00000384109,,,Belongs to the cullin family
3B94V,9606.ENSP00000231487,,"7227.FBpp0071931,7227.FBpp0074566",Belongs to the SKP1 family
3B94X,9606.ENSP00000355279,,7227.FBpp0289500,CCR4-NOT transcription complex subunit
3B953,9606.ENSP00000268720,,,cellular response to calcium ion
3B955,,,7227.FBpp0070913,Belongs to the MCM family
3B958,,,7227.FBpp0076720,"ATP-binding cassette, subfamily B (MDR TAP), member"
3B959,9606.ENSP00000262265,,,PIH1 domain-containing protein
3B95A,,,7227.FBpp0075089,zinc ion binding
3B95B,,,7227.FBpp0303742,hydrolase activity
3B95G,9606.ENSP00000476519,,,small conductance calcium-activated potassium channel activity
3B95R,9606.ENSP00000436604,,,polypeptide N-acetylgalactosaminyltransferase
3B95S,,,7227.FBpp0081812,Belongs to the aconitase IPM isomerase family
3B95V,,,7227.FBpp0080603,double-strand break repair via break-induced replication
3B95W,9606.ENSP00000215567,,,very-long-chain enoyl-CoA reductase activity
3B95Z,9606.ENSP00000159111,,,histone demethylase activity (H3-K9 specific)
3B963,9606.ENSP00000296137,,,plus-end-directed vesicle transport along microtubule
3B965,9606.ENSP00000427772,,,WW and C2 domain containing
3B966,,,7227.FBpp0084496,regulation of establishment of cell polarity
3B96B,9606.ENSP00000378743,,,"Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates. Efficiently phosphorylates AMP and dAMP using ATP as phosphate donor, but phosphorylates only AMP when using GTP as phosphate donor. Also displays broad nucleoside diphosphate kinase activity"
3B96D,,,7227.FBpp0083582,pathogenesis
3B96R,9606.ENSP00000262765,,,
3B96V,,,7227.FBpp0087219,Protein similar to CwfJ C-terminus 1
3B96W,"9606.ENSP00000007722,9606.ENSP00000452120",,"7227.FBpp0086503,7227.FBpp0302767",integrin
3B96X,9606.ENSP00000351619,,,negative regulation of SMAD protein signal transduction
3B96Y,,,7227.FBpp0112085,chloride channel activity
3B96Z,,,7227.FBpp0081350,THO complex
3B974,9606.ENSP00000410339,,7227.FBpp0085338,protein import into mitochondrial matrix
3B97D,9606.ENSP00000356579,,,microtubule anchoring
3B97E,,,7227.FBpp0084968,acetyl-CoA metabolic process
3B97F,9606.ENSP00000278612,,,"Nuclear protein, ataxia-telangiectasia locus"
3B97G,9606.ENSP00000333275,,,steroid hormone receptor activity
3B97J,,,7227.FBpp0080706,helicase activity
3B97M,9606.ENSP00000382269,,7227.FBpp0079663,E3 ubiquitin-protein ligase
3B97N,9606.ENSP00000350050,,,Putative ABC-transporter type IV
3B97R,,,7227.FBpp0074373,positive regulation of hh target transcription factor activity
3B97Y,9606.ENSP00000417052,,,C-8 sterol isomerase activity
3B980,,,"7227.FBpp0086083,7227.FBpp0086085,7227.FBpp0288788",AMP catabolic process
3B984,"9606.ENSP00000330633,9606.ENSP00000447006",,,Cell adhesion molecule
3B985,9606.ENSP00000296859,,,Rap guanyl-nucleotide exchange factor activity
3B989,9606.ENSP00000292539,,,"protein phosphatase 1, regulatory"
3B98B,9606.ENSP00000379108,,,methylenetetrahydrofolate dehydrogenase (NAD+) activity
3B98I,9606.ENSP00000398837,,,Histone-lysine N-methyltransferase
3B98M,9606.ENSP00000304467,,,metalloendopeptidase activity
