,layer,id-i,id-j,gene-i,gene-j,weight-ij,other-layer,id-ortho-i,id-ortho-j,gene-ortho-i,gene-ortho-j,ortho-weight-ij
0,HS,ENSG00000161533,ENSG00000151726,ACOX1,ACSL1,0.975,MM,ENSMUSG00000020777,ENSMUSG00000018796,Acox1,Acsl1,0.743
1,HS,ENSG00000161533,ENSG00000151726,ACOX1,ACSL1,0.975,MM,ENSMUSG00000020777,ENSMUSG00000024981,Acox1,Acsl5,0.671
2,HS,ENSG00000161533,ENSG00000151726,ACOX1,ACSL1,0.975,MM,ENSMUSG00000020777,ENSMUSG00000020333,Acox1,Acsl6,0.523
3,HS,ENSG00000161533,ENSG00000151726,ACOX1,ACSL1,0.975,DM,FBgn0027572,FBgn0036821,CG5009,CG3961,0.61
4,HS,ENSG00000161533,ENSG00000164398,ACOX1,ACSL6,0.952,MM,ENSMUSG00000020777,ENSMUSG00000018796,Acox1,Acsl1,0.743
5,HS,ENSG00000161533,ENSG00000164398,ACOX1,ACSL6,0.952,MM,ENSMUSG00000020777,ENSMUSG00000024981,Acox1,Acsl5,0.671
6,HS,ENSG00000161533,ENSG00000164398,ACOX1,ACSL6,0.952,MM,ENSMUSG00000020777,ENSMUSG00000020333,Acox1,Acsl6,0.523
7,HS,ENSG00000161533,ENSG00000164398,ACOX1,ACSL6,0.952,DM,FBgn0027572,FBgn0036821,CG5009,CG3961,0.61
8,HS,ENSG00000161533,ENSG00000116171,ACOX1,SCP2,0.985,MM,ENSMUSG00000020777,ENSMUSG00000028603,Acox1,Scp2,0.984
9,HS,ENSG00000161533,ENSG00000116171,ACOX1,SCP2,0.985,DM,FBgn0027572,FBgn0015808,CG5009,ScpX,0.966
10,HS,ENSG00000161533,ENSG00000116171,ACOX1,SCP2,0.985,DM,FBgn0027572,FBgn0032715,CG5009,CG17597,0.957
11,HS,ENSG00000161533,ENSG00000157184,ACOX1,CPT2,0.976,MM,ENSMUSG00000020777,ENSMUSG00000028607,Acox1,Cpt2,0.978
12,HS,ENSG00000161533,ENSG00000156521,ACOX1,TYSND1,0.983,MM,ENSMUSG00000020777,ENSMUSG00000020087,Acox1,Tysnd1,0.969
13,HS,ENSG00000161533,ENSG00000156521,ACOX1,TYSND1,0.983,DM,FBgn0027572,FBgn0035065,CG5009,CG3589,0.927
14,HS,ENSG00000161533,ENSG00000110090,ACOX1,CPT1A,0.982,MM,ENSMUSG00000020777,ENSMUSG00000024900,Acox1,Cpt1a,0.864
15,HS,ENSG00000161533,ENSG00000110090,ACOX1,CPT1A,0.982,MM,ENSMUSG00000020777,ENSMUSG00000078937,Acox1,Cpt1b,0.751
