id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down
FBgn0250821,CG14644,protein_coding,True,True,ENSG00000148175,STOM,protein_coding,False,True,ENSMUSG00000026880,Stom,protein_coding,True,True
FBgn0051358,CG31358,protein_coding,True,True,ENSG00000148175,STOM,protein_coding,False,True,ENSMUSG00000026880,Stom,protein_coding,True,True
FBgn0037986,CG14736,protein_coding,True,True,ENSG00000148175,STOM,protein_coding,False,True,ENSMUSG00000026880,Stom,protein_coding,True,True
FBgn0022942,Cbp80,protein_coding,True,False,ENSG00000136937,NCBP1,protein_coding,False,True,ENSMUSG00000028330,Ncbp1,protein_coding,True,False
FBgn0038887,CG7907,protein_coding,True,True,ENSG00000136937,NCBP1,protein_coding,False,True,ENSMUSG00000028330,Ncbp1,protein_coding,True,False
FBgn0028360,Cdc7,protein_coding,True,True,ENSG00000097046,CDC7,protein_coding,False,True,ENSMUSG00000029283,Cdc7,protein_coding,True,True
FBgn0032677,CG5790,protein_coding,True,True,ENSG00000097046,CDC7,protein_coding,False,True,ENSMUSG00000029283,Cdc7,protein_coding,True,True
FBgn0001089,Gal,protein_coding,True,True,ENSG00000166105,GLB1L3,protein_coding,False,True,"ENSMUSG00000045594,ENSMUSG00000026200","Glb1,Glb1l","protein_coding,protein_coding","False,True","True,False"
FBgn0260746,Ect3,protein_coding,True,True,ENSG00000166105,GLB1L3,protein_coding,False,True,"ENSMUSG00000045594,ENSMUSG00000026200","Glb1,Glb1l","protein_coding,protein_coding","False,True","True,False"
FBgn0034572,CG9346,protein_coding,True,True,ENSG00000163714,U2SURP,protein_coding,False,True,ENSMUSG00000032407,U2surp,protein_coding,False,True
FBgn0033074,tomboy40,protein_coding,True,True,ENSG00000130204,TOMM40,protein_coding,False,True,ENSMUSG00000005674,Tomm40l,protein_coding,False,True
FBgn0016041,Tom40,protein_coding,True,True,ENSG00000130204,TOMM40,protein_coding,False,True,ENSMUSG00000005674,Tomm40l,protein_coding,False,True
FBgn0015239,Hr78,protein_coding,True,True,ENSG00000120798,NR2C1,protein_coding,False,True,"ENSMUSG00000005897,ENSMUSG00000005893","Nr2c1,Nr2c2","protein_coding,protein_coding","True,False","False,True"
FBgn0037182,ArfGAP3,protein_coding,True,True,ENSG00000149182,ARFGAP2,protein_coding,False,True,"ENSMUSG00000027255,ENSMUSG00000054277","Arfgap2,Arfgap3","protein_coding,protein_coding","True,True","True,False"
FBgn0037240,Cont,protein_coding,True,True,ENSG00000134121,CHL1,protein_coding,False,True,ENSMUSG00000030092,Cntn6,protein_coding,True,False
FBgn0264975,Nrg,protein_coding,True,True,ENSG00000134121,CHL1,protein_coding,False,True,ENSMUSG00000030092,Cntn6,protein_coding,True,False
FBgn0003862,trx,protein_coding,True,True,ENSG00000272333,KMT2B,protein_coding,False,True,ENSMUSG00000006307,Kmt2b,protein_coding,False,True
FBgn0040918,schlank,protein_coding,True,True,ENSG00000139624,CERS5,protein_coding,False,True,"ENSMUSG00000015714,ENSMUSG00000023021","Cers2,Cers5","protein_coding,protein_coding","False,False","True,True"
FBgn0025463,Bap60,protein_coding,True,True,"ENSG00000066117,ENSG00000108604","SMARCD1,SMARCD2","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000078619,ENSMUSG00000023018,ENSMUSG00000028949","Smarcd2,Smarcd1,Smarcd3","protein_coding,protein_coding,protein_coding","True,False,False","False,True,True"
FBgn0014189,Hel25E,protein_coding,True,True,ENSG00000123136,DDX39A,protein_coding,True,False,"ENSMUSG00000005481,ENSMUSG00000019432","Ddx39,Ddx39b","protein_coding,protein_coding","False,False","True,True"
FBgn0267977,mh,protein_coding,True,True,ENSG00000010072,SPRTN,protein_coding,True,False,ENSMUSG00000031986,Sprtn,protein_coding,True,True
FBgn0032052,PIG-U,protein_coding,True,True,ENSG00000101464,PIGU,protein_coding,False,True,ENSMUSG00000038383,Pigu,protein_coding,True,True
FBgn0034908,CG5543,protein_coding,True,True,ENSG00000082068,WDR70,protein_coding,False,True,ENSMUSG00000039828,Wdr70,protein_coding,True,False
FBgn0046692,Stlk,protein_coding,True,True,ENSG00000266173,STRADA,protein_coding,False,True,ENSMUSG00000069631,Strada,protein_coding,True,False
