id_gene_DM,biotype_DM,gene_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down
FBgn0263391,['protein_coding'],hts,True,True,ENSG00000148700,ADD3,['protein_coding'],False,True,"ENSMUSG00000025026,ENSMUSG00000029106","Add3,Add1","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0250821,['protein_coding',CG14644,True,True,ENSG00000148175,STOM,['protein_coding'],False,True,ENSMUSG00000026880,Stom,['protein_coding'],True,True
FBgn0051358, 'protein_coding',CG31358,True,True,ENSG00000148175,STOM,['protein_coding'],False,True,ENSMUSG00000026880,Stom,['protein_coding'],True,True
FBgn0037986, 'protein_coding'],CG14736,True,True,ENSG00000148175,STOM,['protein_coding'],False,True,ENSMUSG00000026880,Stom,['protein_coding'],True,True
FBgn0022942,['protein_coding',Cbp80,True,False,ENSG00000136937,NCBP1,['protein_coding'],False,True,ENSMUSG00000028330,Ncbp1,['protein_coding'],True,False
FBgn0038887, 'protein_coding'],CG7907,True,True,ENSG00000136937,NCBP1,['protein_coding'],False,True,ENSMUSG00000028330,Ncbp1,['protein_coding'],True,False
FBgn0033260,['protein_coding'],Cul4,True,True,ENSG00000139842,CUL4A,['protein_coding'],False,True,ENSMUSG00000031446,Cul4a,['protein_coding'],False,True
FBgn0031256,['protein_coding'],shv,True,True,ENSG00000090520,DNAJB11,['protein_coding'],False,True,ENSMUSG00000004460,Dnajb11,['protein_coding'],True,False
FBgn0028360,['protein_coding',Cdc7,True,True,ENSG00000097046,CDC7,['protein_coding'],False,True,ENSMUSG00000029283,Cdc7,['protein_coding'],True,True
FBgn0032677, 'protein_coding'],CG5790,True,True,ENSG00000097046,CDC7,['protein_coding'],False,True,ENSMUSG00000029283,Cdc7,['protein_coding'],True,True
FBgn0001089,['protein_coding',Gal,True,True,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","['protein_coding', 'protein_coding']","True,False","False,True",ENSMUSG00000026200,Glb1l,['protein_coding'],True,False
FBgn0260746, 'protein_coding'],Ect3,True,True,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","['protein_coding', 'protein_coding']","True,False","False,True",ENSMUSG00000026200,Glb1l,['protein_coding'],True,False
FBgn0082582,['protein_coding'],tmod,True,True,ENSG00000128872,TMOD2,['protein_coding'],False,True,"ENSMUSG00000058587,ENSMUSG00000032186","Tmod3,Tmod2","['protein_coding', 'protein_coding']","False,True","True,False"
FBgn0033615,['protein_coding'],CG7741,True,True,ENSG00000095485,CWF19L1,['protein_coding'],False,True,ENSMUSG00000025200,Cwf19l1,['protein_coding'],False,True
FBgn0034572,['protein_coding'],CG9346,True,True,ENSG00000163714,U2SURP,['protein_coding'],False,True,ENSMUSG00000032407,U2surp,['protein_coding'],False,True
FBgn0015239,['protein_coding'],Hr78,True,True,ENSG00000120798,NR2C1,['protein_coding'],False,True,ENSMUSG00000005897,Nr2c1,['protein_coding'],True,False
FBgn0032208,['protein_coding'],Ufd4,True,True,ENSG00000092148,HECTD1,['protein_coding'],False,True,ENSMUSG00000035247,Hectd1,['protein_coding'],False,True
FBgn0037182,['protein_coding'],ArfGAP3,True,True,ENSG00000149182,ARFGAP2,['protein_coding'],True,True,"ENSMUSG00000027255,ENSMUSG00000054277","Arfgap2,Arfgap3","['protein_coding', 'protein_coding']","True,True","True,False"
FBgn0037240,['protein_coding',Cont,True,True,ENSG00000134121,CHL1,['protein_coding'],False,True,"ENSMUSG00000055022,ENSMUSG00000030092","Cntn1,Cntn6","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0264975, 'protein_coding'],Nrg,True,True,ENSG00000134121,CHL1,['protein_coding'],False,True,"ENSMUSG00000055022,ENSMUSG00000030092","Cntn1,Cntn6","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0036801,['protein_coding'],MYPT-75D,True,True,ENSG00000160972,PPP1R16A,['protein_coding'],True,False,ENSMUSG00000033819,Ppp1r16a,['protein_coding'],True,False
FBgn0003862,['protein_coding'],trx,True,True,ENSG00000272333,KMT2B,['protein_coding'],False,True,ENSMUSG00000006307,Kmt2b,['protein_coding'],False,True
FBgn0040918,['protein_coding'],schlank,True,True,ENSG00000139624,CERS5,['protein_coding'],False,True,"ENSMUSG00000015714,ENSMUSG00000023021","Cers2,Cers5","['protein_coding', 'protein_coding']","False,False","True,True"
