id_gene_MM,biotype_MM,gene_MM,MM_up,MM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down
ENSMUSG00000025026,['protein_coding',Add3,True,False,ENSG00000148700,ADD3,['protein_coding'],False,True,FBgn0263391,hts,['protein_coding'],True,True
ENSMUSG00000029106, 'protein_coding'],Add1,False,True,ENSG00000148700,ADD3,['protein_coding'],False,True,FBgn0263391,hts,['protein_coding'],True,True
ENSMUSG00000026880,['protein_coding'],Stom,True,True,ENSG00000148175,STOM,['protein_coding'],False,True,"FBgn0250821,FBgn0051358,FBgn0037986","CG14644,CG31358,CG14736","['protein_coding', 'protein_coding', 'protein_coding']","True,True,True","True,True,True"
ENSMUSG00000028330,['protein_coding'],Ncbp1,True,False,ENSG00000136937,NCBP1,['protein_coding'],False,True,"FBgn0022942,FBgn0038887","Cbp80,CG7907","['protein_coding', 'protein_coding']","True,True","False,True"
ENSMUSG00000031446,['protein_coding'],Cul4a,False,True,ENSG00000139842,CUL4A,['protein_coding'],False,True,FBgn0033260,Cul4,['protein_coding'],True,True
ENSMUSG00000004460,['protein_coding'],Dnajb11,True,False,ENSG00000090520,DNAJB11,['protein_coding'],False,True,FBgn0031256,shv,['protein_coding'],True,True
ENSMUSG00000029283,['protein_coding'],Cdc7,True,True,ENSG00000097046,CDC7,['protein_coding'],False,True,"FBgn0028360,FBgn0032677","Cdc7,CG5790","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000026200,['protein_coding'],Glb1l,True,False,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","['protein_coding', 'protein_coding']","True,False","False,True","FBgn0001089,FBgn0260746","Gal,Ect3","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000058587,['protein_coding',Tmod3,False,True,ENSG00000128872,TMOD2,['protein_coding'],False,True,FBgn0082582,tmod,['protein_coding'],True,True
ENSMUSG00000032186, 'protein_coding'],Tmod2,True,False,ENSG00000128872,TMOD2,['protein_coding'],False,True,FBgn0082582,tmod,['protein_coding'],True,True
ENSMUSG00000025200,['protein_coding'],Cwf19l1,False,True,ENSG00000095485,CWF19L1,['protein_coding'],False,True,FBgn0033615,CG7741,['protein_coding'],True,True
ENSMUSG00000032407,['protein_coding'],U2surp,False,True,ENSG00000163714,U2SURP,['protein_coding'],False,True,FBgn0034572,CG9346,['protein_coding'],True,True
