id_gene,id_string,gene,Middle_vs_Apical,Middle_vs_Basal,logCPM_MiddleApical,logFC_MiddleApical,FDR_MiddleApical,logCPM_MiddleBasal,logFC_MiddleBasal,FDR_MiddleBasal,biotype,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Previous ref to RNAi working,Other species infertility phenotype?
FBgn0000108,7227.FBpp0298292,Appl,True,True,2.03697715396908,-1.11544230100957,0.009573657136882073,1.0358489249674498,0.0228546456961974,0.9878445283222801,protein_coding,28043,,,,,,,,,,,,,yes,
FBgn0000119,7227.FBpp0086821,arr,True,True,5.959013579893202,-1.00377894228424,6.0933274475898994e-15,4.8604044532812,0.280434270619584,0.40473967763389707,protein_coding,v4819,,,,,,,,,,,,,yes,
FBgn0000139,7227.FBpp0084040,ash2,True,True,4.70923292903928,-1.2252449708751798,1.72158033317305e-11,3.6217862076517497,-0.10583607995579401,0.861940969926703,protein_coding,35388,,,,,,,,,,,,,yes,
FBgn0000146,7227.FBpp0079754,aub,True,True,5.48608247894611,-3.84726617416239,2.34674248532673e-95,2.10099468581579,0.20589744340213395,0.812973406095593,protein_coding,v30125,,,,,,,,,,,male pheno,,yes,
FBgn0000212,7227.FBpp0305757,brm,True,True,4.18449690944757,-1.6267803922230901,5.395211901689212e-13,3.1758441264988,-0.8574666152119692,0.0630496468500474,protein_coding,31712,,,,,,,,,,,,,yes,
FBgn0000299,7227.FBpp0078641,Col4a1,True,True,4.65687803269447,0.935816177439322,1.8307565726316798e-06,5.0440954231192014,-0.610279688682042,0.0193115757881163,protein_coding,44520,,,,,,,,,,,,,yes,
FBgn0000326,7227.FBpp0071604,clt,True,True,3.7698954145094494,0.18839759411072896,0.48214776968686296,3.6124581029146703,-0.18730406672892,0.747241906578609,protein_coding,50683,,,,,,,,,,,,,,
FBgn0000370,7227.FBpp0081040,crc,True,True,6.52565249006816,0.03334901303573,0.7992717048672429,6.37886757896405,-0.38930371904475103,0.0470699137413272,protein_coding,v2934,,,,,,,,,,,,,yes,
FBgn0000447,7227.FBpp0289671,Dhod,True,True,8.28485841853276,1.3391275169423402,1.18630863503163e-43,8.55851223646219,-0.228118661547632,0.129741248353702,protein_coding,51801,,,,,,,,,,,,,,
FBgn0000499,7227.FBpp0073310,dsh,True,True,7.2019342029352496,0.4344067716674889,3.40474046827909e-05,7.12610767571337,-0.171851769773607,0.393525285068053,protein_coding,31306,,,,,,,,,,,,,yes,
FBgn0000567,7227.FBpp0099825,Eip74EF,True,True,2.3343955461599197,1.11025456162082,0.00410184687001582,2.35270583065535,0.27994901122217897,0.725091271030521,protein_coding,29353,,,,,,,,,,,,,,
FBgn0000579,7227.FBpp0077572,Eno,True,True,8.9581107682024,0.90632676493794,4.54362136916687e-21,9.094270394155519,-0.230973724120037,0.10784196277084801,protein_coding,v110090,,,,,,,,,,,,,yes,
FBgn0000629,7227.FBpp0306192,E(z),True,True,4.16091942531081,-0.710439220044714,0.000770348404477942,3.4808206258173597,-0.2443086505699989,0.680301381873084,protein_coding,33659,,,,,,,,,,,,,yes,
