id_gene,gene,is_core,is_conserved,is_ortho_metric_nodes
ENSMUSG00000000001,Gnai3,True,True,True
ENSMUSG00000000168,Dlat,True,True,True
ENSMUSG00000000276,Dgke,True,True,True
ENSMUSG00000000365,Rnf17,True,False,False
ENSMUSG00000000532,Acvr1b,True,True,True
ENSMUSG00000000958,Slc7a7,True,False,False
ENSMUSG00000001175,Calm1,True,True,True
ENSMUSG00000001415,Smg5,True,True,True
ENSMUSG00000001416,Cct3,True,True,True
ENSMUSG00000001440,Kpnb1,True,True,True
ENSMUSG00000001785,Pwp1,True,True,True
ENSMUSG00000001983,Taco1,True,True,True
ENSMUSG00000002068,Ccne1,True,True,True
ENSMUSG00000002102,Psmc3,True,True,True
ENSMUSG00000002190,Clgn,True,True,False
ENSMUSG00000002280,Narfl,True,True,True
ENSMUSG00000002475,Abhd3,True,True,True
ENSMUSG00000002608,Ccdc97,True,True,True
ENSMUSG00000002635,Pdcd2l,True,True,False
ENSMUSG00000002661,Alkbh7,True,True,True
ENSMUSG00000002820,Atg4d,True,True,True
ENSMUSG00000002846,Timmdc1,True,True,True
ENSMUSG00000002881,Nab1,True,True,True
ENSMUSG00000003033,Ap1m1,True,True,True
ENSMUSG00000003099,Ppp5c,True,True,True
ENSMUSG00000003153,Slc2a3,True,True,True
ENSMUSG00000003234,Abcf3,True,True,False
ENSMUSG00000003348,Mob3a,True,True,True
ENSMUSG00000003458,Ncstn,True,True,True
ENSMUSG00000003464,Pex19,True,True,True
ENSMUSG00000003623,Crot,True,False,False
ENSMUSG00000003660,Snrnp200,True,True,True
ENSMUSG00000003779,Kif20a,True,True,False
ENSMUSG00000003813,Rad23a,True,True,True
ENSMUSG00000003814,Calr,True,True,True
ENSMUSG00000003868,Ruvbl2,True,True,True
ENSMUSG00000004018,Fancl,True,True,True
ENSMUSG00000004268,Emg1,True,True,True
ENSMUSG00000004270,Lpcat3,True,True,True
ENSMUSG00000004460,Dnajb11,True,True,True
ENSMUSG00000004633,Chn2,True,True,False
ENSMUSG00000004789,Dlst,True,True,True
ENSMUSG00000004798,Ulk2,True,True,True
ENSMUSG00000004880,Lbr,True,True,False
ENSMUSG00000004929,Thop1,True,True,False
ENSMUSG00000004980,Hnrnpa2b1,True,True,True
ENSMUSG00000005150,Wdr83,True,True,False
ENSMUSG00000005320,Fgfr4,True,True,True
ENSMUSG00000005378,Bud23,True,True,True
ENSMUSG00000005469,Prkaca,True,True,True
ENSMUSG00000005470,Asf1b,True,True,True
ENSMUSG00000005481,Ddx39,True,True,True
ENSMUSG00000005533,Igf1r,True,True,False
ENSMUSG00000005674,Tomm40l,True,False,False
ENSMUSG00000005682,Pan2,True,True,True
ENSMUSG00000005699,Pard6a,True,True,True
ENSMUSG00000005823,Gpr108,True,True,False
ENSMUSG00000005882,Uqcc1,True,True,True
ENSMUSG00000005893,Nr2c2,True,True,False
ENSMUSG00000005897,Nr2c1,True,True,False
ENSMUSG00000006191,Cdkal1,True,False,False
ENSMUSG00000006205,Htra1,True,True,False
ENSMUSG00000006307,Kmt2b,True,True,True
ENSMUSG00000006390,Elovl1,True,True,False
ENSMUSG00000006398,Cdc20,True,True,True
ENSMUSG00000006711,D130043K22Rik,True,False,False
ENSMUSG00000006720,Zfp184,True,True,False
ENSMUSG00000006818,Sod2,True,True,True
ENSMUSG00000006906,Stambp,True,True,True
ENSMUSG00000006920,Ezh1,True,True,True
ENSMUSG00000007033,Hspa1l,True,True,True
ENSMUSG00000007670,Khsrp,True,True,False
ENSMUSG00000007867,Ift43,True,True,True
ENSMUSG00000008822,Acyp1,True,True,True
ENSMUSG00000008892,Vdac3,True,True,False
ENSMUSG00000010021,Kif19a,True,True,True
ENSMUSG00000010044,Zmynd10,True,True,True
ENSMUSG00000010045,Tmem115,True,True,True
ENSMUSG00000010453,Kansl3,True,True,True
ENSMUSG00000010517,Faf1,True,True,True
ENSMUSG00000010796,Asz1,True,True,True
ENSMUSG00000010911,Apip,True,True,True
ENSMUSG00000011158,Brf1,True,True,True
ENSMUSG00000011256,Adam19,True,False,False
ENSMUSG00000011832,Evi5l,True,True,True
ENSMUSG00000012076,Brms1l,True,True,True
ENSMUSG00000012535,Tnpo3,True,True,False
ENSMUSG00000013646,Sh3bp5l,True,True,False
ENSMUSG00000013858,Tmem259,True,True,False
ENSMUSG00000013997,Nit1,True,True,False
ENSMUSG00000014245,Pigl,True,True,True
ENSMUSG00000014355,Anapc1,True,True,True
ENSMUSG00000014547,Wdfy2,True,True,False
ENSMUSG00000014601,Strip1,True,True,True
ENSMUSG00000014748,Tex261,True,True,False
