id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B93J,,10090.ENSMUSP00000051246,,PX domain-containing protein 1
3B93K,,10090.ENSMUSP00000027554,,glutamate reuptake
3B93M,9606.ENSP00000482609,10090.ENSMUSP00000018877,7227.FBpp0305188,Required for protein import into peroxisomes
3B93N,,,7227.FBpp0112127,dioxygenase activity
3B93P,"9606.ENSP00000400099,9606.ENSP00000482957",10090.ENSMUSP00000039966,,negative regulation of Rho guanyl-nucleotide exchange factor activity
3B93R,9606.ENSP00000355866,10090.ENSMUSP00000045838,,negative regulation of epithelium regeneration
3B93S,9606.ENSP00000387123,10090.ENSMUSP00000133372,7227.FBpp0074784,L-aminoadipate-semialdehyde dehydrogenase activity
3B93T,9606.ENSP00000404705,,,exopeptidase activity
3B93U,9606.ENSP00000302441,,7227.FBpp0070775,N-acetylneuraminic acid phosphatase
3B93V,9606.ENSP00000406885,,,SNARE associated Golgi protein
3B93W,9606.ENSP00000405573,10090.ENSMUSP00000049355,7227.FBpp0087760,glucose-6-phosphate isomerase activity
3B93X,9606.ENSP00000277632,10090.ENSMUSP00000028105,7227.FBpp0074418,"family with sequence similarity 188, member A"
3B93Y,"9606.ENSP00000350310,9606.ENSP00000353414,9606.ENSP00000392043","10090.ENSMUSP00000020107,10090.ENSMUSP00000119242",7227.FBpp0289782,This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
3B940,"9606.ENSP00000262450,9606.ENSP00000349508,9606.ENSP00000369716","10090.ENSMUSP00000030775,10090.ENSMUSP00000060054,10090.ENSMUSP00000104301","7227.FBpp0074766,7227.FBpp0099808",H3K27me3 modified histone binding
3B941,9606.ENSP00000308179,10090.ENSMUSP00000060613,7227.FBpp0082995,snoRNA binding
3B942,9606.ENSP00000366267,,7227.FBpp0297069,peptidyl-dipeptidase inhibitor activity
