id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B93M,9606.ENSP00000482609,10090.ENSMUSP00000018877,7227.FBpp0305188,Required for protein import into peroxisomes
3B93P,"9606.ENSP00000400099,9606.ENSP00000482957",10090.ENSMUSP00000039966,,negative regulation of Rho guanyl-nucleotide exchange factor activity
3B93R,9606.ENSP00000355866,10090.ENSMUSP00000045838,,negative regulation of epithelium regeneration
3B93S,9606.ENSP00000387123,10090.ENSMUSP00000133372,7227.FBpp0074784,L-aminoadipate-semialdehyde dehydrogenase activity
3B93W,9606.ENSP00000405573,10090.ENSMUSP00000049355,7227.FBpp0087760,glucose-6-phosphate isomerase activity
3B93X,9606.ENSP00000277632,10090.ENSMUSP00000028105,7227.FBpp0074418,"family with sequence similarity 188, member A"
3B93Y,"9606.ENSP00000350310,9606.ENSP00000353414,9606.ENSP00000392043","10090.ENSMUSP00000020107,10090.ENSMUSP00000119242",7227.FBpp0289782,This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of calcium
3B940,"9606.ENSP00000262450,9606.ENSP00000349508,9606.ENSP00000369716","10090.ENSMUSP00000030775,10090.ENSMUSP00000060054,10090.ENSMUSP00000104301","7227.FBpp0074766,7227.FBpp0099808",H3K27me3 modified histone binding
3B941,9606.ENSP00000308179,10090.ENSMUSP00000060613,7227.FBpp0082995,snoRNA binding
3B943,"9606.ENSP00000264436,9606.ENSP00000264758,9606.ENSP00000348381","10090.ENSMUSP00000107370,10090.ENSMUSP00000109979",7227.FBpp0301121,Adducin 3 (Gamma)
3B944,"9606.ENSP00000296755,9606.ENSP00000300231","10090.ENSMUSP00000068374,10090.ENSMUSP00000092223",7227.FBpp0300236,Microtubule-associated protein
3B945,9606.ENSP00000341947,10090.ENSMUSP00000123425,7227.FBpp0290602,nucleobase-containing compound biosynthetic process
3B948,"9606.ENSP00000343325,9606.ENSP00000359552","10090.ENSMUSP00000005616,10090.ENSMUSP00000039566",7227.FBpp0111810,GTP-Rho binding
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity
3B94B,9606.ENSP00000340329,10090.ENSMUSP00000028607,7227.FBpp0074865,cell cycle associated protein
3B94C,9606.ENSP00000359385,10090.ENSMUSP00000077168,,hepatocyte growth factor receptor binding
3B94H,9606.ENSP00000365678,10090.ENSMUSP00000100617,,protein K63-linked deubiquitination
3B94I,"9606.ENSP00000262850,9606.ENSP00000369899","10090.ENSMUSP00000039013,10090.ENSMUSP00000088591",7227.FBpp0081491,positive regulation of TOR signaling
3B94J,"9606.ENSP00000307634,9606.ENSP00000380413,9606.ENSP00000392206,9606.ENSP00000392513,9606.ENSP00000400972,9606.ENSP00000449241,9606.ENSP00000485140","10090.ENSMUSP00000024123,10090.ENSMUSP00000027521",7227.FBpp0080123,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein"
3B94K,9606.ENSP00000254043,10090.ENSMUSP00000099420,,structural molecule activity
3B94M,9606.ENSP00000219252,10090.ENSMUSP00000105147,7227.FBpp0080121,DNA-directed 5'-3' RNA polymerase activity
3B94P,9606.ENSP00000342181,10090.ENSMUSP00000098648,7227.FBpp0083319,7S RNA binding
3B94Q,"9606.ENSP00000300935,9606.ENSP00000312734","10090.ENSMUSP00000003121,10090.ENSMUSP00000041857",7227.FBpp0074690,Golgi vesicle fusion to target membrane
3B94R,"9606.ENSP00000240874,9606.ENSP00000339299","10090.ENSMUSP00000087714,10090.ENSMUSP00000110611",7227.FBpp0072539,neurotransmitter receptor localization to postsynaptic specialization membrane
3B94S,9606.ENSP00000376532,10090.ENSMUSP00000058363,,galactosylgalactosylglucosylceramide beta-D-acetylgalactosaminyltransferase activity
3B94T,9606.ENSP00000364289,10090.ENSMUSP00000030014,"7227.FBpp0070652,7227.FBpp0112173",primary miRNA processing
3B94U,"9606.ENSP00000364589,9606.ENSP00000384109","10090.ENSMUSP00000016680,10090.ENSMUSP00000059276",7227.FBpp0087897,Belongs to the cullin family
3B94V,9606.ENSP00000231487,10090.ENSMUSP00000038744,"7227.FBpp0070118,7227.FBpp0071931,7227.FBpp0074565,7227.FBpp0074566,7227.FBpp0074575,7227.FBpp0087127",Belongs to the SKP1 family
3B94W,"9606.ENSP00000296484,9606.ENSP00000323302","10090.ENSMUSP00000020113,10090.ENSMUSP00000072064",7227.FBpp0302861,POC1 centriolar protein
3B94X,"9606.ENSP00000355279,9606.ENSP00000430493","10090.ENSMUSP00000104471,10090.ENSMUSP00000117304",7227.FBpp0289500,CCR4-NOT transcription complex subunit
3B94Y,9606.ENSP00000157600,10090.ENSMUSP00000032376,,LIM and cysteine-rich domains
3B94Z,9606.ENSP00000296003,10090.ENSMUSP00000108771,7227.FBpp0086114,Myotubularin related protein 14
3B950,9606.ENSP00000399585,10090.ENSMUSP00000021772,,mitochondrial magnesium ion transmembrane transport
3B951,9606.ENSP00000268624,10090.ENSMUSP00000095964,,adenosine deaminase activity
3B953,"9606.ENSP00000244751,9606.ENSP00000290776,9606.ENSP00000317257,9606.ENSP00000329748,9606.ENSP00000373343,9606.ENSP00000477590,9606.ENSP00000478878","10090.ENSMUSP00000024805,10090.ENSMUSP00000029885",,cellular response to calcium ion
3B954,"9606.ENSP00000266682,9606.ENSP00000330199",10090.ENSMUSP00000029499,7227.FBpp0293407,neurotransmitter:sodium symporter activity
3B955,9606.ENSP00000264156,10090.ENSMUSP00000027601,7227.FBpp0070913,Belongs to the MCM family
3B959,9606.ENSP00000262265,10090.ENSMUSP00000082490,7227.FBpp0290386,PIH1 domain-containing protein
3B95A,9606.ENSP00000443113,10090.ENSMUSP00000103454,7227.FBpp0075089,zinc ion binding
3B95B,9606.ENSP00000380251,10090.ENSMUSP00000047778,"7227.FBpp0080823,7227.FBpp0303742,7227.FBpp0304597",hydrolase activity
3B95D,9606.ENSP00000351686,10090.ENSMUSP00000074104,,methyltransferase activity
3B95E,9606.ENSP00000264538,10090.ENSMUSP00000046645,7227.FBpp0077218,intraciliary transport
3B95G,9606.ENSP00000481848,10090.ENSMUSP00000000811,7227.FBpp0303993,small conductance calcium-activated potassium channel activity
3B95H,"9606.ENSP00000263620,9606.ENSP00000343126","10090.ENSMUSP00000019708,10090.ENSMUSP00000130173",7227.FBpp0071982,positive regulation of transcription by RNA polymerase II
3B95K,9606.ENSP00000354622,10090.ENSMUSP00000042151,7227.FBpp0070180,Rab GTPase binding
3B95P,"9606.ENSP00000362649,9606.ENSP00000430432","10090.ENSMUSP00000019911,10090.ENSMUSP00000078339,10090.ENSMUSP00000099657",7227.FBpp0073173,Belongs to the histone deacetylase family. HD Type 1 subfamily
3B95R,9606.ENSP00000364150,10090.ENSMUSP00000125315,,polypeptide N-acetylgalactosaminyltransferase
3B95S,9606.ENSP00000216254,10090.ENSMUSP00000023116,"7227.FBpp0081812,7227.FBpp0289654",Belongs to the aconitase IPM isomerase family
3B95T,9606.ENSP00000349298,10090.ENSMUSP00000047403,7227.FBpp0071748,myosin regulatory light chain interacting protein
3B95U,9606.ENSP00000414398,10090.ENSMUSP00000126828,7227.FBpp0077720,unfolded protein binding
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,"7227.FBpp0070911,7227.FBpp0080603",double-strand break repair via break-induced replication
3B95W,9606.ENSP00000215567,10090.ENSMUSP00000128329,7227.FBpp0073017,very-long-chain enoyl-CoA reductase activity
3B95X,9606.ENSP00000250863,10090.ENSMUSP00000010736,,translation activator activity
3B95Y,9606.ENSP00000372445,10090.ENSMUSP00000047720,7227.FBpp0079488,Methyltransferase-like protein 17
3B95Z,"9606.ENSP00000159111,9606.ENSP00000361473","10090.ENSMUSP00000025036,10090.ENSMUSP00000030102,10090.ENSMUSP00000102014","7227.FBpp0087961,7227.FBpp0302636",histone demethylase activity (H3-K9 specific)
3B960,9606.ENSP00000370419,10090.ENSMUSP00000114504,,
3B962,9606.ENSP00000377280,10090.ENSMUSP00000037544,,regulation of ARF protein signal transduction
3B963,9606.ENSP00000296137,10090.ENSMUSP00000081764,,plus-end-directed vesicle transport along microtubule
3B964,9606.ENSP00000290541,10090.ENSMUSP00000005923,7227.FBpp0078448,threonine-type endopeptidase activity
3B965,"9606.ENSP00000370242,9606.ENSP00000384222,9606.ENSP00000427772","10090.ENSMUSP00000018993,10090.ENSMUSP00000056121",7227.FBpp0099467,WW and C2 domain containing
3B966,"9606.ENSP00000370394,9606.ENSP00000373420","10090.ENSMUSP00000020643,10090.ENSMUSP00000031229,10090.ENSMUSP00000113429",7227.FBpp0084496,regulation of establishment of cell polarity
3B969,"9606.ENSP00000328118,9606.ENSP00000440374",10090.ENSMUSP00000106500,,Rho guanyl-nucleotide exchange factor activity
3B96B,9606.ENSP00000378743,10090.ENSMUSP00000102559,,"Involved in maintaining the homeostasis of cellular nucleotides by catalyzing the interconversion of nucleoside phosphates. Efficiently phosphorylates AMP and dAMP using ATP as phosphate donor, but phosphorylates only AMP when using GTP as phosphate donor. Also displays broad nucleoside diphosphate kinase activity"
3B96C,9606.ENSP00000420095,10090.ENSMUSP00000104892,7227.FBpp0085185,histone binding
3B96D,9606.ENSP00000356057,10090.ENSMUSP00000086333,7227.FBpp0083582,pathogenesis
3B96F,"9606.ENSP00000220429,9606.ENSP00000357914","10090.ENSMUSP00000106055,10090.ENSMUSP00000121283",,GA binding protein transcription factor beta subunit
3B96H,"9606.ENSP00000295759,9606.ENSP00000306920,9606.ENSP00000396615,9606.ENSP00000444628","10090.ENSMUSP00000034448,10090.ENSMUSP00000047128,10090.ENSMUSP00000055803,10090.ENSMUSP00000109253","7227.FBpp0078861,7227.FBpp0081961",beta-galactosidase activity
3B96I,9606.ENSP00000267257,10090.ENSMUSP00000083709,7227.FBpp0080752,Roundabout binding
3B96K,9606.ENSP00000334642,10090.ENSMUSP00000096880,,mitochondrion-endoplasmic reticulum membrane tethering
3B96N,9606.ENSP00000281543,10090.ENSMUSP00000084480,,"Promotes mitochondrial protein synthesis. May act as a fidelity factor of the translation reaction, by catalyzing a one- codon backward translocation of tRNAs on improperly translocated ribosomes. Binds to mitochondrial ribosomes in a GTP-dependent manner"
3B96P,"9606.ENSP00000249700,9606.ENSP00000308753","10090.ENSMUSP00000072087,10090.ENSMUSP00000096152,10090.ENSMUSP00000103402",7227.FBpp0297625,pointed-end actin filament capping
3B96T,9606.ENSP00000395473,10090.ENSMUSP00000034121,"7227.FBpp0079343,7227.FBpp0079346,7227.FBpp0079620,7227.FBpp0302811",carbohydrate binding. It is involved in the biological process described with mannose metabolic process
3B96U,9606.ENSP00000263578,10090.ENSMUSP00000038924,"7227.FBpp0080719,7227.FBpp0085457",mitochondrial respiratory chain complex I assembly
3B96V,9606.ENSP00000326411,10090.ENSMUSP00000026218,7227.FBpp0087219,Protein similar to CwfJ C-terminus 1
3B96W,"9606.ENSP00000261023,9606.ENSP00000264741,9606.ENSP00000293379,9606.ENSP00000386896,9606.ENSP00000452120","10090.ENSMUSP00000001548,10090.ENSMUSP00000028499,10090.ENSMUSP00000028522,10090.ENSMUSP00000044227,10090.ENSMUSP00000096712","7227.FBpp0071972,7227.FBpp0074131,7227.FBpp0086501,7227.FBpp0086503,7227.FBpp0302767",integrin
3B96X,9606.ENSP00000351619,10090.ENSMUSP00000020262,,negative regulation of SMAD protein signal transduction
3B96Z,9606.ENSP00000265097,10090.ENSMUSP00000026990,7227.FBpp0081350,THO complex
3B972,9606.ENSP00000418563,10090.ENSMUSP00000078602,7227.FBpp0071455,U2 snRNP-associated SURP
