id_gene_DM,gene_DM,DM_up,DM_down,id_gene_HS,gene_HS,HS_up,HS_down,id_gene_MM,gene_MM,MM_up,MM_down,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Overlapping,Previous ref to RNAi working
FBgn0250821,CG14644,True,True,ENSG00000148175,STOM,False,True,ENSMUSG00000026880,Stom,True,True,,,,,,,,,,,,,,,
FBgn0051358,CG31358,True,True,ENSG00000148175,STOM,False,True,ENSMUSG00000026880,Stom,True,True,,,,,,,,,,,,,,,
FBgn0037986,CG14736,True,True,ENSG00000148175,STOM,False,True,ENSMUSG00000026880,Stom,True,True,,,,,,,,,,,,,,,
FBgn0022942,Cbp80,True,False,ENSG00000136937,NCBP1,False,True,ENSMUSG00000028330,Ncbp1,True,False,,,,,,,,,,,,,,,
FBgn0038887,CG7907,True,True,ENSG00000136937,NCBP1,False,True,ENSMUSG00000028330,Ncbp1,True,False,,,,,,,,,,,,,,,
FBgn0036354,Poc1,True,True,ENSG00000164087,POC1A,True,False,"ENSMUSG00000019952,ENSMUSG00000023345","Poc1b,Poc1a","True,True","False,False",v38353,w[1118]; P{GD6894}v38353/CyO,30.0,30.0,25.0,24.0,30.0,28.0,29.0,27.0,Tested all available reagents: no fertility pheno,"Yes, but this reagent using bam has been shown to give no sperm tail phenotype (just a delay in post-fert embryo dev)",,,Yes
FBgn0031256,shv,True,True,ENSG00000090520,DNAJB11,False,True,ENSMUSG00000004460,Dnajb11,True,False,,,,,,,,,,,,,,,
FBgn0028360,Cdc7,True,True,ENSG00000097046,CDC7,False,True,ENSMUSG00000029283,Cdc7,True,True,,,,,,,,,,,,,,,
FBgn0032677,CG5790,True,True,ENSG00000097046,CDC7,False,True,ENSMUSG00000029283,Cdc7,True,True,,,,,,,,,,,,,,,
FBgn0001089,Gal,True,True,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","True,False","False,True",ENSMUSG00000026200,Glb1l,True,False,,,,,,,,,,,,,,,
FBgn0260746,Ect3,True,True,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","True,False","False,True",ENSMUSG00000026200,Glb1l,True,False,,,,,,,,,,,,,,,
FBgn0033615,CG7741,True,True,ENSG00000095485,CWF19L1,False,True,ENSMUSG00000025200,Cwf19l1,False,True,,,,,,,,,,,,,,,
FBgn0034572,CG9346,True,True,ENSG00000163714,U2SURP,False,True,ENSMUSG00000032407,U2surp,False,True,,,,,,,,,,,,,,,
FBgn0015239,Hr78,True,True,ENSG00000120798,NR2C1,False,True,ENSMUSG00000005897,Nr2c1,True,False,,,,,,,,,,,,,,,
FBgn0037182,ArfGAP3,True,True,ENSG00000149182,ARFGAP2,False,True,"ENSMUSG00000027255,ENSMUSG00000054277","Arfgap2,Arfgap3","True,True","True,False",,,,,,,,,,,,,,,
FBgn0037240,Cont,True,True,ENSG00000134121,CHL1,False,True,"ENSMUSG00000055022,ENSMUSG00000030092","Cntn1,Cntn6","True,True","False,False",,,,,,,,,,,,,,,
FBgn0264975,Nrg,True,True,ENSG00000134121,CHL1,False,True,"ENSMUSG00000055022,ENSMUSG00000030092","Cntn1,Cntn6","True,True","False,False",,,,,,,,,,,,,,,
FBgn0036801,MYPT-75D,True,True,ENSG00000160972,PPP1R16A,True,False,ENSMUSG00000033819,Ppp1r16a,True,False,,,,,,,,,,,,,,,
FBgn0003862,trx,True,True,ENSG00000272333,KMT2B,False,True,ENSMUSG00000006307,Kmt2b,False,True,,,,,,,,,,,,,,,
FBgn0040918,schlank,True,True,ENSG00000139624,CERS5,False,True,"ENSMUSG00000015714,ENSMUSG00000023021","Cers2,Cers5","False,False","True,True",,,,,,,,,,,,,,,
FBgn0039252,CG11771,True,True,ENSG00000172009,AC006538.1,False,True,ENSMUSG00000004929,Thop1,True,False,,,,,,,,,,,,,,,
FBgn0025463,Bap60,True,True,"ENSG00000066117,ENSG00000108604","SMARCD1,SMARCD2","False,False","True,True","ENSMUSG00000078619,ENSMUSG00000023018","Smarcd2,Smarcd1","True,False","False,True",,,,,,,,,,,,,,,
FBgn0014189,Hel25E,True,True,ENSG00000123136,DDX39A,True,False,"ENSMUSG00000005481,ENSMUSG00000019432","Ddx39,Ddx39b","False,False","True,True",,,,,,,,,,,,,,,
FBgn0267977,mh,True,True,ENSG00000010072,SPRTN,True,False,ENSMUSG00000031986,Sprtn,True,True,,,,,,,,,,,,,,,
FBgn0032052,PIG-U,True,True,ENSG00000101464,PIGU,True,True,ENSMUSG00000038383,Pigu,True,True,v105420,P{KK101552}VIE-260B,26.0,3.0,23.0,0.0,13.0,0.0,25.0,1.0,"OAT (very few sperm, but motile) ",No,"subunit of glycosylphosphatidylinositol (GPI) transamidase, which mediates GPI anchoring in the endoplasmic reticulum",No,No
FBgn0034908,CG5543,True,True,ENSG00000082068,WDR70,False,True,ENSMUSG00000039828,Wdr70,True,False,,,,,,,,,,,,,,,
FBgn0046692,Stlk,True,True,ENSG00000266173,STRADA,False,True,ENSMUSG00000069631,Strada,True,False,,,,,,,,,,,,,,,
FBgn0025615,Torsin,True,True,ENSG00000136827,TOR1A,False,True,ENSMUSG00000026848,Tor1b,False,True,,,,,,,,,,,,,,,
FBgn0030735,CG3632,True,False,ENSG00000100330,MTMR3,False,True,ENSMUSG00000018401,Mtmr4,True,False,,,,,,,,,,,,,,,
FBgn0026431,Grip75,True,True,ENSG00000137822,TUBGCP4,True,False,ENSMUSG00000027263,Tubgcp4,True,False,,,,,,,,,,,,,,,
FBgn0033060,CG7849,True,True,ENSG00000167112,TRUB2,False,True,ENSMUSG00000039826,Trub2,False,True,v107949,P{KK102617}VIE-260B,17.0,15.0,28.0,20.0,30.0,21.0,23.0,19.0,GD works,,,,No
FBgn0284221,Sema5c,True,False,ENSG00000143434,SEMA6C,False,True,ENSMUSG00000052133,Sema5b,False,True,,,,,,,,,,,,,,,
FBgn0016059,Sema1b,True,True,ENSG00000143434,SEMA6C,False,True,ENSMUSG00000052133,Sema5b,False,True,,,,,,,,,,,,,,,
FBgn0011260,Sema2a,True,True,ENSG00000143434,SEMA6C,False,True,ENSMUSG00000052133,Sema5b,False,True,,,,,,,,,,,,,,,
FBgn0264273,Sema2b,True,True,ENSG00000143434,SEMA6C,False,True,ENSMUSG00000052133,Sema5b,False,True,,,,,,,,,,,,,,,
FBgn0011259,Sema1a,True,True,ENSG00000143434,SEMA6C,False,True,ENSMUSG00000052133,Sema5b,False,True,,,,,,,,,,,,,,,
FBgn0039229,Saf-B,True,True,ENSG00000160633,SAFB,False,True,"ENSMUSG00000032212,ENSMUSG00000071054","Sltm,Safb","True,False","False,True",,,,,,,,,,,,,,,
FBgn0037382,Hpr1,True,True,ENSG00000079134,THOC1,False,True,ENSMUSG00000024287,Thoc1,True,False,,,,,,,,,,,,,,,
FBgn0038721,subdued,True,True,ENSG00000146205,ANO7,False,True,ENSMUSG00000055489,Ano5,True,True,v108953,P{KK102353}VIE-260B,29.0,28.0,26.0,26.0,30.0,29.0,25.0,23.0,,,,,Yes
FBgn0011763,Dp,True,True,ENSG00000198176,TFDP1,True,True,ENSMUSG00000038482,Tfdp1,False,True,,,,,,,,,,,,,,,
FBgn0036888,CG9330,True,True,ENSG00000161204,ABCF3,False,True,ENSMUSG00000003234,Abcf3,True,False,,,,,,,,,,,,,,,
FBgn0000119,arr,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","False,False","True,True",ENSMUSG00000032193,Ldlr,False,True,,,,,,,,,,,,,,,
FBgn0051092,LpR2,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","False,False","True,True",ENSMUSG00000032193,Ldlr,False,True,,,,,,,,,,,,,,,
FBgn0261260,mgl,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","False,False","True,True",ENSMUSG00000032193,Ldlr,False,True,,,,,,,,,,,,,,,
FBgn0053087,LRP1,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","False,False","True,True",ENSMUSG00000032193,Ldlr,False,True,,,,,,,,,,,,,,,
FBgn0066101,LpR1,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","False,False","True,True",ENSMUSG00000032193,Ldlr,False,True,,,,,,,,,,,,,,,
FBgn0004391,shtd,True,True,ENSG00000153107,ANAPC1,False,True,ENSMUSG00000014355,Anapc1,False,True,,,,,,,,,,,,,,,
FBgn0265140,Meltrin,True,True,"ENSG00000148848,ENSG00000168615","ADAM12,ADAM9","True,False","True,True",ENSMUSG00000020926,Adam11,True,True,58331,y[1] v[1]; P{TRiP.HMJ22461}attP40,14.0,13.0,16.0,15.0,20.0,18.0,23.0,22.0,,,,,No
FBgn0085434,NaCP60E,True,True,"ENSG00000144285,ENSG00000196876,ENSG00000169432","SCN1A,SCN8A,SCN9A","True,False,False","False,True,True","ENSMUSG00000075318,ENSMUSG00000023033","Scn2a,Scn8a","True,True","False,False",,,,,,,,,,,,,,,
FBgn0036500,CG7275,True,True,ENSG00000164934,DCAF13,False,True,ENSMUSG00000022300,Dcaf13,False,True,,,,,,,,,,,,,,,
FBgn0003360,sesB,True,True,ENSG00000151475,SLC25A31,True,False,"ENSMUSG00000016319,ENSMUSG00000031633","Slc25a5,Slc25a4","False,False","True,True",,,,,,,,,,,,,,,
FBgn0025111,Ant2,True,True,ENSG00000151475,SLC25A31,True,False,"ENSMUSG00000016319,ENSMUSG00000031633","Slc25a5,Slc25a4","False,False","True,True",,,,,,,,,,,,,,,
FBgn0005696,DNApol-alpha73,True,False,ENSG00000014138,POLA2,False,True,ENSMUSG00000024833,Pola2,True,True,,,,,,,,,,,,,,,
FBgn0033755,ClC-b,True,True,ENSG00000103249,CLCN7,False,True,ENSMUSG00000036636,Clcn7,False,True,,,,,,,,,,,,,,,
FBgn0035645,CG5592,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","True,False,True","False,True,False",,,,,,,,,,,,,,,
FBgn0035647,CG10486,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","True,False,True","False,True,False",,,,,,,,,,,,,,,
FBgn0259164,CG42269,False,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","True,False,True","False,True,False",,,,,,,,,,,,,,,
