id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation,id_gene_HS,id_gene_MM,id_gene_DM,gene_HS,gene_MM,gene_DM
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity,ENSG00000148175,ENSMUSG00000026880,"FBgn0030993,FBgn0250821,FBgn0037986",STOM,Stom,"Mec2,CG14644,CG14736"
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,7227.FBpp0080603,double-strand break repair via break-induced replication,ENSG00000097046,ENSMUSG00000029283,FBgn0032677,CDC7,Cdc7,CG5790
3B974,9606.ENSP00000410339,10090.ENSMUSP00000005817,7227.FBpp0085338,protein import into mitochondrial matrix,ENSG00000130204,ENSMUSG00000005674,FBgn0033074,TOMM40,Tomm40l,tomboy40
3B97M,9606.ENSP00000382269,10090.ENSMUSP00000136449,7227.FBpp0079663,E3 ubiquitin-protein ligase,ENSG00000092148,ENSMUSG00000035247,FBgn0032208,HECTD1,Hectd1,Ufd4
3B9G2,9606.ENSP00000263955,10090.ENSMUSP00000027263,7227.FBpp0073356,positive regulation of fibroblast apoptotic process,ENSG00000081320,ENSMUSG00000026094,FBgn0052666,STK17B,Stk17b,Drak
3B9GR,9606.ENSP00000274979,10090.ENSMUSP00000046884,7227.FBpp0291654,intracellular chloride channel activity,ENSG00000146205,ENSMUSG00000055489,FBgn0038721,ANO7,Ano5,subdued
3B9HR,"9606.ENSP00000303634,9606.ENSP00000367888",10090.ENSMUSP00000034713,7227.FBpp0291363,lipoprotein receptor-related protein,"ENSG00000157193,ENSG00000134569",ENSMUSG00000032193,FBgn0261260,"LRP8,LRP4",Ldlr,mgl
3B9HX,9606.ENSP00000419751,10090.ENSMUSP00000029131,"7227.FBpp0074110,7227.FBpp0074393",glutathione hydrolase activity,ENSG00000100121,ENSMUSG00000027603,"FBgn0030796,FBgn0030932",GGTLC2,Ggt7,"CG4829,Ggt-1"
3B9J2,9606.ENSP00000229795,10090.ENSMUSP00000086204,7227.FBpp0080111,MAP kinase activity,ENSG00000112062,ENSMUSG00000053137,FBgn0024846,MAPK14,Mapk11,p38b
3B9JD,9606.ENSP00000370517,"10090.ENSMUSP00000059801,10090.ENSMUSP00000117030",7227.FBpp0087506,"Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis",ENSG00000067057,"ENSMUSG00000033065,ENSMUSG00000021196",FBgn0003071,PFKP,"Pfkm,Pfkp",Pfk
