id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down,FDR<=0.05,FDR<=0.01,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Previous ref to RNAi working,Other species infertility phenotype?
FBgn0259214,PMCA,protein_coding,True,True,ENSG00000157087,ATP2B2,protein_coding,False,True,ENSMUSG00000026463,Atp2b4,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0263391,hts,protein_coding,True,True,ENSG00000148700,ADD3,protein_coding,False,True,"ENSMUSG00000025026,ENSMUSG00000029106","Add3,Add1","protein_coding,protein_coding","True,False","False,True",True,False,,,,,,,,,,,,,,,
FBgn0250821,CG14644,protein_coding,True,True,ENSG00000148175,STOM,protein_coding,False,True,ENSMUSG00000026880,Stom,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0051358,CG31358,protein_coding,True,True,ENSG00000148175,STOM,protein_coding,False,True,ENSMUSG00000026880,Stom,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0037986,CG14736,protein_coding,True,True,ENSG00000148175,STOM,protein_coding,False,True,ENSMUSG00000026880,Stom,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0022942,Cbp80,protein_coding,True,False,ENSG00000136937,NCBP1,protein_coding,False,True,ENSMUSG00000028330,Ncbp1,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0038887,CG7907,protein_coding,True,True,ENSG00000136937,NCBP1,protein_coding,False,True,ENSMUSG00000028330,Ncbp1,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0033260,Cul4,protein_coding,True,True,ENSG00000139842,CUL4A,protein_coding,False,True,ENSMUSG00000031446,Cul4a,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0031256,shv,protein_coding,True,True,ENSG00000090520,DNAJB11,protein_coding,False,True,ENSMUSG00000004460,Dnajb11,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0028360,Cdc7,protein_coding,True,True,ENSG00000097046,CDC7,protein_coding,False,True,ENSMUSG00000029283,Cdc7,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0032677,CG5790,protein_coding,True,True,ENSG00000097046,CDC7,protein_coding,False,True,ENSMUSG00000029283,Cdc7,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0001089,Gal,protein_coding,True,True,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","protein_coding,protein_coding","True,False","False,True","ENSMUSG00000045594,ENSMUSG00000026200","Glb1,Glb1l","protein_coding,protein_coding","False,True","True,False",True,True,50680,y1 v1; P{TRiP.HMC03081}attP2,16,15,28,28,25,25,25,24,,,,No,
