id_gene,gene,is_core,is_conserved,is_ortho_metric_nodes
FBgn0000079,Amy-p,True,True,False
FBgn0000108,Appl,True,False,False
FBgn0000119,arr,True,True,False
FBgn0000139,ash2,True,True,True
FBgn0000146,aub,True,True,True
FBgn0000152,Axs,True,True,False
FBgn0000181,bic,True,True,True
FBgn0000212,brm,True,True,True
FBgn0000253,Cam,True,True,True
FBgn0000273,Pka-C1,True,True,True
FBgn0000274,Pka-C2,True,True,True
FBgn0000299,Col4a1,True,True,True
FBgn0000326,clt,True,True,False
FBgn0000370,crc,True,True,False
FBgn0000447,Dhod,True,True,True
FBgn0000499,dsh,True,True,True
FBgn0000567,Eip74EF,True,True,False
FBgn0000579,Eno,True,True,True
FBgn0000629,E(z),True,True,True
FBgn0001086,fzy,True,True,True
FBgn0001089,Gal,True,True,True
FBgn0001104,Galphai,True,True,True
FBgn0001114,Glt,True,True,False
FBgn0001122,Galphao,True,True,True
FBgn0001197,His2Av,True,True,False
FBgn0001215,Hrb98DE,True,True,True
FBgn0001216,Hsc70-1,True,True,True
FBgn0001217,Hsc70-2,True,True,True
FBgn0001230,Hsp68,True,True,True
FBgn0001233,Hsp83,True,True,True
FBgn0001258,Ldh,True,True,False
FBgn0001624,dlg1,True,True,True
FBgn0001942,eIF4A,True,True,True
FBgn0001977,CIAPIN1,True,True,True
FBgn0002069,AspRS,True,True,True
FBgn0002183,dre4,True,True,True
FBgn0002466,sti,True,True,True
FBgn0002542,lds,True,True,False
FBgn0002719,Men,True,True,True
FBgn0002778,mnd,True,True,False
FBgn0002783,mor,True,True,True
FBgn0002899,mus301,True,True,False
FBgn0002905,mus308,True,True,False
FBgn0002906,Blm,True,True,True
FBgn0002914,Myb,True,True,False
FBgn0002973,numb,True,True,False
FBgn0002989,okr,True,True,True
FBgn0003008,or,True,True,True
FBgn0003041,pbl,True,True,True
FBgn0003071,Pfk,True,True,True
FBgn0003090,pk,True,False,False
FBgn0003124,polo,True,True,True
FBgn0003210,rb,True,True,True
FBgn0003292,rt,True,False,False
FBgn0003317,sax,True,True,False
FBgn0003330,Sce,True,True,True
FBgn0003386,Shaw,True,True,False
FBgn0003392,shi,True,True,True
FBgn0003450,snk,True,True,False
FBgn0003483,spn-E,True,True,True
FBgn0003545,sub,True,True,False
FBgn0003559,su(f),True,True,True
FBgn0003607,Su(var)205,True,True,False
FBgn0003612,Su(var)2-10,True,True,True
FBgn0003651,svp,True,True,True
FBgn0003656,sws,True,True,True
FBgn0003716,tkv,True,True,False
FBgn0003731,Egfr,True,False,False
FBgn0003744,trc,True,True,True
FBgn0003862,trx,True,True,True
FBgn0003884,alphaTub84B,True,True,True
FBgn0003885,alphaTub84D,True,True,True
FBgn0003886,alphaTub85E,True,True,True
FBgn0003889,betaTub85D,True,True,True
FBgn0003890,betaTub97EF,True,True,True
FBgn0003892,ptc,True,True,False
FBgn0003943,Ubi-p63E,True,True,True
FBgn0004049,yrt,True,True,True
FBgn0004066,Prosalpha4,True,True,True
FBgn0004106,Cdk1,True,True,True
FBgn0004107,Cdk2,True,True,True
FBgn0004227,nonA,True,True,False
FBgn0004237,Hrb87F,True,True,True
FBgn0004360,Wnt2,True,True,True
FBgn0004363,porin,True,True,False
FBgn0004373,fwd,True,True,True
FBgn0004379,Klp67A,True,True,True
FBgn0004380,Klp64D,True,True,True
FBgn0004381,Klp68D,True,False,False
FBgn0004391,shtd,True,True,True
FBgn0004419,me31B,True,True,True
FBgn0004556,Dbp73D,True,False,False
FBgn0004619,GluRIA,True,False,False
FBgn0004832,Xpac,True,True,True
