id_eggnog,id_string_HS,id_string_MM,id_string_DM,annotation
3B94A,9606.ENSP00000286713,10090.ENSMUSP00000028241,"7227.FBpp0074440,7227.FBpp0078620,7227.FBpp0290937",regulation of acid-sensing ion channel activity
3B94T,9606.ENSP00000364289,10090.ENSMUSP00000030014,"7227.FBpp0070652,7227.FBpp0112173",primary miRNA processing
3B95V,9606.ENSP00000393139,10090.ENSMUSP00000031221,"7227.FBpp0070911,7227.FBpp0080603",double-strand break repair via break-induced replication
3B96H,9606.ENSP00000396615,"10090.ENSMUSP00000055803,10090.ENSMUSP00000109253","7227.FBpp0078861,7227.FBpp0081961",beta-galactosidase activity
3B972,9606.ENSP00000418563,10090.ENSMUSP00000078602,7227.FBpp0071455,U2 snRNP-associated SURP
3B974,9606.ENSP00000410339,10090.ENSMUSP00000005817,"7227.FBpp0085338,7227.FBpp0305890",protein import into mitochondrial matrix
3B97G,9606.ENSP00000333275,"10090.ENSMUSP00000100927,10090.ENSMUSP00000109087",7227.FBpp0089291,steroid hormone receptor activity
3B97V,9606.ENSP00000434442,"10090.ENSMUSP00000028691,10090.ENSMUSP00000064893",7227.FBpp0304160,Adp-ribosylation factor
3B984,9606.ENSP00000256509,10090.ENSMUSP00000086623,"7227.FBpp0078557,7227.FBpp0297081",Cell adhesion molecule
3B98I,9606.ENSP00000398837,10090.ENSMUSP00000103789,7227.FBpp0082406,Histone-lysine N-methyltransferase
3B98K,9606.ENSP00000325485,"10090.ENSMUSP00000015858,10090.ENSMUSP00000023762",7227.FBpp0070899,Ceramide synthase
3B98S,"9606.ENSP00000378414,9606.ENSP00000392617","10090.ENSMUSP00000021052,10090.ENSMUSP00000023759,10090.ENSMUSP00000030791",7227.FBpp0073572,chromatin disassembly
3B99C,9606.ENSP00000242776,"10090.ENSMUSP00000019576,10090.ENSMUSP00000134178",7227.FBpp0078754,negative regulation of DNA damage checkpoint
3B99P,9606.ENSP00000295050,10090.ENSMUSP00000034467,7227.FBpp0073890,K63-linked polyubiquitin modification-dependent protein binding
3B9A2,9606.ENSP00000217446,10090.ENSMUSP00000076816,7227.FBpp0079294,attachment of GPI anchor to protein
3B9A9,9606.ENSP00000265107,10090.ENSMUSP00000037340,7227.FBpp0072033,enzyme binding
3B9AE,9606.ENSP00000336655,10090.ENSMUSP00000099361,7227.FBpp0110403,Ste20-related kinase
3B9BT,9606.ENSP00000345719,10090.ENSMUSP00000028199,7227.FBpp0070658,chaperone cofactor-dependent protein refolding
3B9C0,9606.ENSP00000384651,10090.ENSMUSP00000099468,7227.FBpp0111901,phosphatidylinositol 5-phosphate metabolic process
3B9DX,9606.ENSP00000361982,10090.ENSMUSP00000041848,7227.FBpp0085330,tRNA pseudouridine synthase 2
3B9EA,9606.ENSP00000357909,10090.ENSMUSP00000057494,"7227.FBpp0075784,7227.FBpp0086050,7227.FBpp0086237,7227.FBpp0288448,7227.FBpp0292880",semaphorin receptor binding
3B9EB,9606.ENSP00000401277,10090.ENSMUSP00000099038,7227.FBpp0303688,E3 ubiquitin-protein ligase Hakai
3B9FI,9606.ENSP00000467423,"10090.ENSMUSP00000049112,10090.ENSMUSP00000092849",7227.FBpp0084078,regulation of mRNA processing
3B9G2,9606.ENSP00000263955,10090.ENSMUSP00000027263,7227.FBpp0073356,positive regulation of fibroblast apoptotic process
3B9GI,9606.ENSP00000261600,10090.ENSMUSP00000025137,7227.FBpp0078316,Tho complex
3B9GR,9606.ENSP00000274979,10090.ENSMUSP00000046884,7227.FBpp0291654,intracellular chloride channel activity
3B9GT,9606.ENSP00000364519,10090.ENSMUSP00000127952,7227.FBpp0086853,negative regulation of fat cell proliferation
3B9HR,"9606.ENSP00000303634,9606.ENSP00000367888",10090.ENSMUSP00000034713,"7227.FBpp0073931,7227.FBpp0086821,7227.FBpp0112298,7227.FBpp0291363,7227.FBpp0303798,7227.FBpp0305397",lipoprotein receptor-related protein
3B9HV,9606.ENSP00000339109,10090.ENSMUSP00000014499,7227.FBpp0073893,protein modification by small protein conjugation
3B9I0,9606.ENSP00000419446,"10090.ENSMUSP00000011400,10090.ENSMUSP00000055000,10090.ENSMUSP00000069466",7227.FBpp0290713,Disintegrin and metalloproteinase domain-containing protein
3B9I5,9606.ENSP00000346534,"10090.ENSMUSP00000028377,10090.ENSMUSP00000080842","7227.FBpp0292707,7227.FBpp0300662",voltage-gated sodium channel activity
