Gene ID,Gene Name,Reference,Strand,Start,End,Coverage,FPKM,TPM
FBgn0031208,CG11023,2L,+,7529,9484,48.768612,56.830147,79.857491
FBgn0002121,l(2)gl,2L,-,9839,21376,3.147417,4.019438,5.648098
FBgn0031209,Ir21a,2L,-,21823,25155,0,0,0
FBgn0263584,asRNA:CR43609,2L,+,21952,24237,2.317489,2.691758,3.782448
FBgn0051973,Cda5,2L,-,25402,65404,0.131642,0.238821,0.335591
FBgn0267987,lncRNA:CR46254,2L,+,54817,55767,0.157729,0.183202,0.257435
FBgn0266878,lncRNA:CR45339,2L,+,65999,66242,0,0,0
FBgn0266879,lncRNA:CR45340,2L,+,66318,66524,0,0,0
FBgn0067779,dbr,2L,+,66482,71390,3.563681,4.484059,6.300982
FBgn0266322,asRNA:CR44987,2L,-,71039,73836,0.08435,0.097972,0.13767
FBgn0031213,galectin,2L,+,71757,76211,0.873794,2.175358,3.056804
FBgn0031214,CG11374,2L,+,76348,77783,5.833091,6.775122,9.520375
FBgn0002931,net,2L,-,82421,87387,12.427416,14.434417,20.283184
FBgn0031216,Zir,2L,+,94739,102086,0.661828,0.768712,1.080191
FBgn0031217,CG11377,2L,+,102380,104142,3.207563,4.268135,5.997566
FBgn0026787,Nhe1,2L,-,103962,106732,10.523492,12.223014,17.17573
FBgn0005278,Sam-S,2L,+,106903,114432,5.483577,11.379283,15.990122
FBgn0031228,ND-15,2L,+,114726,156030,71.324371,140.043427,196.788452
FBgn0031219,CG13694,2L,-,115365,116488,2.564057,4.09222,5.750372
FBgn0031220,CG4822,2L,-,116970,121754,0.09304,0.11389,0.160037
FBgn0025683,CG3164,2L,-,122624,130791,9.019534,11.515007,16.180841
FBgn0266304,asRNA:CR44969,2L,+,122837,124031,24.909142,28.931915,40.65501
FBgn0001142,Gs1,2L,+,132077,134472,0.551336,0.686003,0.963968
FBgn0265074,lncRNA:CR44185,2L,+,135402,136128,0,0,0
FBgn0265075,lncRNA:CR44186,2L,+,136144,136701,0,0,0
FBgn0051976,ovm,2L,-,138384,140992,0,0,0
FBgn0051975,CG31975,2L,-,138384,140992,0.589755,0.684999,0.962558
FBgn0051974,CG31974,2L,-,141077,143091,1.484801,2.045363,2.874136
FBgn0031224,CG11454,2L,+,143323,144227,3.844199,4.465029,6.27424
FBgn0259818,CG42399,2L,-,144231,153300,3.368521,3.913263,5.498901
FBgn0031227,CG3709,2L,-,153539,155305,4.908674,5.701414,8.011604
FBgn0031229,CG3436,2L,+,156029,157666,2.549602,3.243167,4.557285
FBgn0053635,CG33635,2L,-,157836,158664,1.358908,1.578369,2.217917
FBgn0016977,spen,2L,+,159032,203397,1.793677,2.367445,3.326724
FBgn0031231,mRpL10,2L,+,203779,204782,4.314507,5.011291,7.041845
FBgn0031232,CG11617,2L,-,204743,207297,0,0,0
FBgn0031233,Tbc1d15-17,2L,+,207179,210725,9.894862,13.259166,18.631725
FBgn0266557,kis,2L,-,210735,250823,3.782417,4.560546,6.408461
FBgn0265151,lncRNA:CR44220,2L,+,219651,220050,2.365,2.746942,3.859992
FBgn0265153,lncRNA:CR44222,2L,+,223519,224708,5.706723,6.628347,9.314126
FBgn0265152,lncRNA:CR44221,2L,+,228037,228588,4.486609,5.211187,7.322739
FBgn0263465,snoRNA:kis-a,2L,-,232166,232253,0,0,0
FBgn0031235,CG13693,2L,+,232487,234208,82.280899,95.569092,134.293289
FBgn0262252,mir-965,2L,-,243035,243141,0,0,0
FBgn0265149,lncRNA:CR44218,2L,+,248909,249812,0.332965,0.386738,0.543443
FBgn0283652,Rpp30,2L,-,251039,252373,0,0,0
FBgn0031238,CG3645,2L,-,252589,271744,2.479918,3.10938,4.369288
FBgn0031239,CG17075,2L,-,259949,267505,0.621675,1.350672,1.897959
FBgn0265150,lncRNA:CR44219,2L,+,262203,263003,15.891247,18.457649,25.936615
FBgn0031240,CG3345,2L,+,269088,271626,300.390564,348.903015,490.277069
FBgn0086912,mbm,2L,-,271912,273715,3.201595,3.718646,5.225426
FBgn0086856,CG11555,2L,+,273836,274766,0.740064,1.055768,1.483561
FBgn0086855,CG17078,2L,-,274740,278234,4.701788,8.106264,11.39089
FBgn0003444,smo,2L,+,277582,282167,1.340328,1.556788,2.187592
FBgn0031244,CG11601,2L,-,281670,283269,31.311274,49.030922,68.898056
FBgn0031245,CG3625,2L,-,283385,291795,2.276476,14.004556,19.679144
FBgn0267995,asRNA:CR46262,2L,+,283807,284255,17.388956,20.197235,28.381073
FBgn0267996,asRNA:CR46263,2L,+,286383,288292,0,0,0
FBgn0025686,Amnionless,2L,-,287252,289144,0.357105,0.467087,0.656349
FBgn0031247,CG11562,2L,+,292419,293222,383.442505,445.367676,625.828796
FBgn0017457,U2af38,2L,-,292959,294681,14.111782,21.512119,30.228745
FBgn0024352,Stip1,2L,+,295122,297449,20.333662,23.617506,33.187222
FBgn0020622,Pi3K21B,2L,+,297880,305233,3.282503,4.919346,6.912646
FBgn0004611,Plc21C,2L,+,305935,355566,0.29516,0.771375,1.083933
FBgn0263872,lncRNA:CR43719,2L,-,308537,309348,8.041872,10.432283,14.659402
FBgn0031248,CG11912,2L,-,318362,319259,1.505568,1.748714,2.457286
FBgn0031249,CG11911,2L,-,320279,321248,3.846392,4.467576,6.27782
FBgn0053127,CG33127,2L,+,322101,323091,0.130172,0.151194,0.212458
FBgn0264086,CG43755,2L,-,325522,329761,561.927856,941.217529,1322.594971
FBgn0051921,CG31921,2L,-,329910,332335,251.18425,291.749969,409.965881
FBgn0031250,Ent1,2L,-,355565,357874,10.772453,12.512181,17.582066
FBgn0266907,asRNA:CR45367,2L,+,355663,356891,2.874773,3.339043,4.692009
FBgn0266906,asRNA:CR45366,2L,+,357329,358174,1.026744,1.192561,1.675782
FBgn0263871,lncRNA:CR43718,2L,+,396120,396571,13.838495,16.073383,22.586252
FBgn0031251,CG4213,2L,-,396595,402198,18.261948,21.211214,29.805912
FBgn0003278,RpI135,2L,+,404285,407969,0.249719,0.290048,0.407574
FBgn0264855,AP-2alpha,2L,-,408030,414777,2.569376,3.086315,4.336877
FBgn0263933,ebi,2L,+,415067,418536,5.85813,6.804205,9.561242
FBgn0031252,CG13690,2L,-,418434,419652,0.588187,0.683178,0.959999
FBgn0002593,RpLP1,2L,+,419952,420864,46.246094,68.640465,96.4533
FBgn0031253,CG11885,2L,-,420895,421450,61.392086,71.306778,100.199997
FBgn0031254,CG13692,2L,+,421771,422489,2.593985,3.012908,4.233726
FBgn0031255,BBS8,2L,+,422873,425321,0.512174,0.594889,0.835936
FBgn0004583,ex,2L,+,431227,448701,0.791517,0.919345,1.29186
FBgn0263870,lncRNA:CR43717,2L,+,439539,440104,3.100707,3.601465,5.060763
FBgn0015924,crq,2L,-,448254,453024,3.419242,5.541728,7.787214
FBgn0031256,shv,2L,+,453108,454654,15.138581,17.583429,24.708164
