id_gene,id_string,up,down,gene,biotype,description
ENSG00000000457,9606.ENSP00000356746,True,True,SCYL3,protein_coding,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]
ENSG00000000460,9606.ENSP00000286031,False,True,C1orf112,protein_coding,chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]
ENSG00000001036,9606.ENSP00000002165,False,True,FUCA2,protein_coding,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008]
ENSG00000002016,9606.ENSP00000351284,False,True,RAD52,protein_coding,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]"
ENSG00000002330,9606.ENSP00000378040,False,True,BAD,protein_coding,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]
ENSG00000002549,9606.ENSP00000226299,False,True,LAP3,protein_coding,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]
ENSG00000002587,9606.ENSP00000002596,False,True,HS3ST1,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]
ENSG00000003056,9606.ENSP00000000412,False,True,M6PR,protein_coding,"mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]"
ENSG00000003436,9606.ENSP00000233156,False,True,TFPI,protein_coding,tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]
ENSG00000004468,9606.ENSP00000226279,False,True,CD38,protein_coding,CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]
ENSG00000004534,9606.ENSP00000266022,False,True,RBM6,protein_coding,RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004700,9606.ENSP00000416739,False,True,RECQL,protein_coding,RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]
ENSG00000004766,9606.ENSP00000307666,False,True,VPS50,protein_coding,VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]
ENSG00000004779,9606.ENSP00000458770,False,True,NDUFAB1,protein_coding,NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]
ENSG00000004809,9606.ENSP00000357915,True,False,SLC22A16,protein_coding,solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]
ENSG00000004838,9606.ENSP00000231749,True,True,ZMYND10,protein_coding,zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
ENSG00000004975,9606.ENSP00000005340,False,True,DVL2,protein_coding,dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENSG00000005007,9606.ENSP00000470142,True,False,UPF1,protein_coding,UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]
ENSG00000005156,9606.ENSP00000367787,True,True,LIG3,protein_coding,DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]
ENSG00000005175,9606.ENSP00000005386,False,True,RPAP3,protein_coding,RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENSG00000005189,9606.ENSP00000261377,True,False,REXO5,protein_coding,RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]
