id_gene,id_string,gene,Middle_vs_Apical,Basal_vs_Middle,logCPM_MiddleApical,logFC_MiddleApical,FDR_MiddleApical,logCPM_BasalMiddle,logFC_BasalMiddle,FDR_BasalMiddle,biotype,Stock Number,Transgene,status,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously known to affect male fertility/sperm cells,Function,Previous ref to RNAi working,Other species infertility phenotype?,Flybase link,id_gene_HS,id_gene_MM,gene_HS,gene_MM
FBgn0000108,7227.FBpp0298292,Appl,True,True,2.03697715396908,-1.11544230100957,0.009573657136882073,1.0358489249674498,-0.0228546456961974,0.9878445283222801,protein_coding,28043,P{TRiP.JF02878}attP2,Crossed 11/11,,,,,,,,,,No,_ amyloid protein precursor-like,Yes ,, http://flybase.org/reports/FBgn0000108,"ENSG00000084234,ENSG00000142192",ENSMUSG00000031996,"APLP2,APP",Aplp2
FBgn0000119,7227.FBpp0086821,arr,True,True,5.959013579893202,-1.00377894228424,6.0933274475898994e-15,4.8604044532812,-0.280434270619584,0.40473967763389707,protein_coding,v4819,P{GD2617}v4819/CyO,Screened,25.0,24.0,23.0,23.0,25.0,25.0,21.0,21.0,,No,Type I trans-membrane protein,Yes,,http://flybase.org/reports/FBgn0000119,"ENSG00000157193,ENSG00000134569",ENSMUSG00000032193,"LRP8,LRP4",Ldlr
FBgn0000139,7227.FBpp0084040,ash2,True,True,4.70923292903928,-1.2252449708751798,1.72158033317305e-11,3.6217862076517497,0.10583607995579401,0.861940969926703,protein_coding,35388,"P{TRiP.GL00307}attP2/TM3, Sb",Ordered,,,,,,,,,,Yes. Sterility reported (http://www.ijdb.ehu.es/web/paper.php?doi=12068954),Component of the histone methyltransferase complex,Yes,,http://flybase.org/reports/FBgn0000139,ENSG00000129691,ENSMUSG00000031575,ASH2L,Ash2l
FBgn0000146,7227.FBpp0079754,aub,True,True,5.48608247894611,-3.84726617416239,2.34674248532673e-95,2.10099468581579,-0.20589744340213395,0.812973406095593,protein_coding,v30125,P{GD11831}v30125,Screened,28.0,28.0,26.0,19.0,29.0,29.0,24.0,22.0,,"Yes. Male sterile, with meiotic defects and crystal accumulation in spermatocytes and spermatids (https://www.genetics.org/content/151/2/749.long)",piRNA binding and RNA binding.,Yes ,Mouse infertility 1/3 (for either Piwil1 or Piwil2). Meiotic (Piwil2) or spermiogenesis (Piwil1) defects (https://dev.biologists.org/content/131/4/839.long and https://www.sciencedirect.com/science/article/pii/S153458070200165X?via%3Dihub),http://flybase.org/reports/FBgn0000146,ENSG00000197181,"ENSMUSG00000033644,ENSMUSG00000029423",PIWIL2,"Piwil2,Piwil1"
FBgn0000152,7227.FBpp0074146,Axs,True,True,1.39079484446565,-1.1942336272570802,0.02705857451791,0.607635951818436,0.463788980227559,0.6966959220655911,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000160746,ENSMUSG00000037949,ANO10,Ano10
FBgn0000181,7227.FBpp0086895,bic,True,True,8.76563785000974,0.160515479709511,0.10789845098964801,8.52649913004098,0.10174157859110496,0.585177743797727,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000134717,ENSMUSG00000028568,BTF3L4,Btf3l4
FBgn0000212,7227.FBpp0305757,brm,True,True,4.18449690944757,-1.6267803922230901,5.395211901689212e-13,3.1758441264988,0.8574666152119692,0.0630496468500474,protein_coding,31712,P{TRiP.HM04019}attP2,Crossed 11/11,,,,,,,,,,No,"ATPase subunit of the Brahma chromatin-remodeling complex, which is involved in transcription regulation (regulates Egfr signalling, stem cell proliferation, and innate immune response).",Yes ,, http://flybase.org/reports/FBgn0000212,"ENSG00000080503,ENSG00000127616","ENSMUSG00000024921,ENSMUSG00000032187","SMARCA2,SMARCA4","Smarca2,Smarca4"
FBgn0000253,7227.FBpp0293502,Cam,True,True,8.72463267173063,0.00925440198267795,0.9445332938388772,8.51778389087867,0.30036133938378,0.2268333992178149,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000160014,"ENSMUSG00000019370,ENSMUSG00000036438,ENSMUSG00000001175",CALM3,"Calm3,Calm2,Calm1"
FBgn0000273,7227.FBpp0079448,Pka-C1,True,True,4.77181968885074,-0.0851793851868983,0.661564650843022,4.61672614691067,0.5015410219022179,0.12169107431894699,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000165059,ENSMUSG00000005469,PRKACG,Prkaca
FBgn0000274,7227.FBpp0085089,Pka-C2,True,True,7.723653491470999,0.8462213230427809,1.37595873090522e-17,7.715387740156598,-0.0131921647614655,0.961463221578496,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000165059,ENSMUSG00000005469,PRKACG,Prkaca
FBgn0000299,7227.FBpp0078641,Col4a1,True,True,4.65687803269447,0.935816177439322,1.8307565726316798e-06,5.0440954231192014,0.610279688682042,0.0193115757881163,protein_coding,44520,P{TRiP.HMC02910}attP2,Pending,,,,,,,,,,No,Ssubunit of Collagen IV and a major component of basement membranes.,Yes ,, http://flybase.org/reports/FBgn0000299,"ENSG00000204262,ENSG00000081052",ENSMUSG00000022483,"COL5A2,COL4A4",Col2a1
FBgn0000326,7227.FBpp0071604,clt,True,True,3.7698954145094494,0.18839759411072896,0.48214776968686296,3.6124581029146703,0.18730406672892,0.747241906578609,protein_coding,50683,P{TRiP.HMC03084}attP40,Pending,,,,,,,,, ,No (but mating defective behaviour (10.1186/1471-2164-11-558)).,Unknown (predicted carboxylic ester hydrolase activity).,No ,, http://flybase.org/reports/FBgn0000326,ENSG00000172831,"ENSMUSG00000056973,ENSMUSG00000074156",CES2,"Ces1d,Ces1h"
FBgn0000370,7227.FBpp0081040,crc,True,True,6.52565249006816,0.03334901303573,0.7992717048672429,6.37886757896405,0.38930371904475103,0.0470699137413272,protein_coding,v2934,P{GD1407}v2934,Screened,29.0,29.0,25.0,25.0,25.0,24.0,30.0,27.0,,No,Member of the CREB/ATF family of basic-leucine zipper transcription factors.,Yes ,Mouse infertility. Due to defect in the genital ducts (https://watermark.silverchair.com/biolreprod0371.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApQwggKQBgkqhkiG9w0BBwagggKBMIICfQIBADCCAnYGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMkbA44JVb2TQoUYJ1AgEQgIICRyGv-dm9L5_yedAXmX9oR2_lRfiCVi6hHfEOv5G3jTjYIEhtbCGh5rP0cgnKSUFlHtw_R52S0KJX90O2SPc42nZExMYK548dz_Jki6DDGT0RGRJvyEMZ3C9Z0mXTBRWQvyyDKzae9EY9X3-af0ewe0iQrAJONg4TUoKr3RWSbkGibnsMNWbEH8Jeu1f53SosHloxwzJvKQX5yvrL8CL9i5eQn2L72JXYGrIdCMPwc8qHaaz88IXe5PYk71C04TotrlyMKQObdViB9dx94tuHzpodEjB3gJKCN3_-UC0mlvYXycsDzc36myYAMXgRS1IkRa59-IYu2Hsp-xCrNsy35OeSFs-pdfHqirPztVC2c3B7pKZRP-FXWwbwMgkVhXfmLxvq880qnC6uPywrBafizXPr312R4RHvxOTEMb1LCDFTmq5ZsO6eLJIzol7KqW7vmS2hcs-x9LdXlDc0AEmmqvedJmYSU_LcbHNkN1o5HmG2U2L6-esbXHMO-JSmx3IWN-Zn7Evui69UexammzTzU5rGUDRBfENCNTgL6ad88qrWu120Bet6W3YJ2RuAEa7BGgVepr7LEWJ-p4MApuietIxmBgPtLO2oQOQwBI2iiYq3slk6DiaUXaC0p-oqptdpmp5LzqQcnDPM8eHxauUrEvunnKbWxqmP0MQbVDj4LVQyW7Jxh9ntBHPrAiPVsD5SV-msgrQVjdEwXDGzGp4dGGa3rMejNx8qX0yZSwTthxTJ4uNEM6tQDnJ1m2bEIBOvhaUAthJur0Y),http://flybase.org/reports/FBgn0000370,ENSG00000128272,ENSMUSG00000042406,ATF4,Atf4
FBgn0000499,7227.FBpp0073310,dsh,True,True,7.2019342029352496,0.4344067716674889,3.40474046827909e-05,7.12610767571337,0.171851769773607,0.393525285068053,protein_coding,31306,P{TRiP.JF01253}attP2,Crossed 11/11,,,,,,,,,,No,Phosphatidic acid binding.,Yes ,, http://flybase.org/reports/FBgn0000499,ENSG00000004975,"ENSMUSG00000020888,ENSMUSG00000029071",DVL2,"Dvl2,Dvl1"
FBgn0000579,7227.FBpp0077572,Eno,True,True,8.9581107682024,0.90632676493794,4.54362136916687e-21,9.094270394155519,0.230973724120037,0.10784196277084801,protein_coding,v110090,P{KK100571}VIE-260B,Pending,,,,,,,,,,No,Phosphopyruvate hydratase involved in glucose homeostasis.,Yes ,,http://flybase.org/reports/FBgn0000579,ENSG00000111674,ENSMUSG00000060600,ENO2,Eno3
FBgn0000629,7227.FBpp0306192,E(z),True,True,4.16091942531081,-0.710439220044714,0.000770348404477942,3.4808206258173597,0.2443086505699989,0.680301381873084,protein_coding,33659,P{TRiP.HMS00066}attP2,Ordered,,,,,,,,,,No,Catalytic component of the Polycomb Repressive Complex 2 (PRC2) methyltransferase that methylates histone H3 lysine27. Silences developmental genes to determine specific differentiated cell identities.,Yes ,Mouse infertility (for Ezh1 + Ezh2). Spermatogonia and meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5389884/), http://flybase.org/reports/FBgn0000629,"ENSG00000106462,ENSG00000108799","ENSMUSG00000029687,ENSMUSG00000006920","EZH2,EZH1","Ezh2,Ezh1"
FBgn0001089,7227.FBpp0078861,Gal,True,True,3.1287428944094904,-2.32922173185296,1.47670032216272e-12,1.27822221054068,0.33649606782697805,0.7531981226030849,protein_coding,50680,P{TRiP.HMC03081}attP2,Screened,16.0,15.0,28.0,28.0,25.0,25.0,25.0,24.0,,No,Putative digestive enzyme that hydrolyses _-galactosides into monosaccharides.,No ,, http://flybase.org/reports/FBgn0001089,"ENSG00000163521,ENSG00000166105","ENSMUSG00000045594,ENSMUSG00000026200","GLB1L,GLB1L3","Glb1,Glb1l"
FBgn0001104,7227.FBpp0076643,Galphai,True,True,3.00991021541613,-0.227776884483095,0.49409645610966296,3.03412627816839,1.00088623740392,0.0287602943273927,protein_coding,31133,P{TRiP.JF01608}attP2,Crossed 11/11,,,,,,,,,,No,DNA and protein binding (predicted G protein-coupled receptor binding).,No ,, http://flybase.org/reports/FBgn0001104,ENSG00000065135,"ENSMUSG00000000001,ENSMUSG00000031748",GNAI3,"Gnai3,Gnao1"
FBgn0001114,7227.FBpp0079329,Glt,True,True,3.2971138362493098,0.23923592817089398,0.458616113605037,2.95109069272173,-0.249960696426513,0.7122455168133579,protein_coding,v15428,P{GD5017}v15428,Pending,,,,,,,,,,No,Secreted protein that belongs to the family of cholinesterase/carboxylesterase-like proteins.,Yes ,,http://flybase.org/reports/FBgn0001114,ENSG00000172831,"ENSMUSG00000056973,ENSMUSG00000074156",CES2,"Ces1d,Ces1h"
FBgn0001122,7227.FBpp0087359,Galphao,True,True,4.50035523493304,-0.16792978060999805,0.413224631671174,4.04602382511132,0.0172427533468761,0.9791136939079672,protein_coding,v19124,P{GD8640}v19124,Pending,,,,,,,,,,No,The most abundant G protein in the nervous tissue and is involved in signaling by a variety of GPCRs.,Yes ,,http://flybase.org/reports/FBgn0001122,ENSG00000065135,"ENSMUSG00000000001,ENSMUSG00000031748",GNAI3,"Gnai3,Gnao1"
FBgn0001197,7227.FBpp0084434,His2Av,True,True,6.62694583058445,-0.818975972791218,1.99614024807577e-13,5.712523309531572,-0.14710585128970402,0.628285674068654,protein_coding,28966,P{TRiP.HM05177}attP2,Screened,30.0,25.0,25.0,25.0,25.0,25.0,31.0,31.0,,"Yes. Required for male germ line stem cell maintenance, but not for differentiation (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003903)",Protein that is present in about 25% of nucleosomes: it influences chromatin structure and gene regulation and is also phosphorylated in response to DNA damage in the less conserved C-terminal tail.,Yes ,, http://flybase.org/reports/FBgn0001197,ENSG00000164032,ENSMUSG00000037894,H2AFZ,H2afz
FBgn0001215,7227.FBpp0084669,Hrb98DE,True,True,9.846772006459881,0.286559807781534,0.0038968407366963397,9.634049332437721,0.0382781355768283,0.8623132381150359,protein_coding,32351,P{TRiP.HMS00342}attP2,Crossed 11/11,,,,,,,,,,No,"Nuclear RNA-binding protein. It controls hnRNA stability, splicing, IRES-dependent translation, and translational repression. Regulates tissue polarity patterning and germ-line stem cell fate.",Yes ,, http://flybase.org/reports/FBgn0001215,"ENSG00000122566,ENSG00000139675",ENSMUSG00000004980,"HNRNPA2B1,HNRNPA1L2",Hnrnpa2b1
FBgn0001230,7227.FBpp0083974,Hsp68,True,True,8.02775408221509,-1.7648715704592999,9.95861842694096e-62,6.60398690704074,0.168416736247297,0.48582812510312795,protein_coding,v47146,P{KK106301}VIE-260B,Screened,30.0,28.0,25.0,24.0,30.0,26.0,25.0,24.0,,No,Heat shock protein,Yes ,Mouse infertility 4/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),http://flybase.org/reports/FBgn0001230,ENSG00000126803,"ENSMUSG00000007033,ENSMUSG00000015656,ENSMUSG00000059970",HSPA2,"Hspa1l,Hspa8,Hspa2"
FBgn0001233,7227.FBpp0305095,Hsp83,True,True,11.3392427402067,-0.620036054899514,2.5185762252354305e-11,10.438502277174198,-0.40567005450136,0.00077327537142245,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000080824,ENSMUSG00000021270,HSP90AA1,Hsp90aa1
FBgn0001624,7227.FBpp0290503,dlg1,True,True,4.04622943069215,-0.3741578883721551,0.0981430830236606,4.07332138159472,1.1185558605135202,0.00275670735682494,protein_coding,v41136,P{GD4689}v41136/TM3,Screened,35.0,34.0,26.0,24.0,30.0,28.0,25.0,23.0,,No,Guanylate kinase.,Yes ,,http://flybase.org/reports/FBgn0001624,ENSG00000150672,ENSMUSG00000052572,DLG2,Dlg2
FBgn0001942,7227.FBpp0297911,eIF4A,True,True,9.19983634756009,0.19978562904745492,0.0523177155040626,9.06072894369672,0.25509123868534,0.0813184616840783,protein_coding,33970,P{TRiP.HMS00927}attP2,Ordered,,,,,,,,,,No,Essential DEAD-box RNA helicase protein and a canonical translation initiation factor.,Yes ,, http://flybase.org/reports/FBgn0001942,ENSG00000156976,ENSMUSG00000022884,EIF4A2,Eif4a2
FBgn0001977,7227.FBpp0080284,CIAPIN1,True,True,6.06102040456203,-0.653283951515364,3.27186791281136e-07,5.12558312521794,-0.43914923778174997,0.102706295205125,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000005194,ENSMUSG00000031781,CIAPIN1,Ciapin1
FBgn0002069,7227.FBpp0305104,AspRS,True,True,3.10718301396758,-2.3903272902732002,5.759763823567421e-13,1.36574968242805,0.7819824171318759,0.4072629715415129,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000115866,ENSMUSG00000026356,DARS,Dars
FBgn0002183,7227.FBpp0072743,dre4,True,True,6.89810519873937,-2.36939821804509,3.5836177851224377e-87,4.6404491990318215,-0.6030122108390171,0.0565134914247779,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000092201,ENSMUSG00000035726,SUPT16H,Supt16
FBgn0002466,7227.FBpp0304889,sti,True,True,6.544901784707849,-1.1429440330390601,8.041213662144829e-23,5.16397487947597,-0.7742161666190269,0.0014255559132467699,protein_coding,35392,P{TRiP.GL00312}attP2,Ordered,,,,,,,,,,Yes. Cytokinesis defects (https://www.molbiolcell.org/doi/10.1091/mbc.e04-06-0536),Member of the AGC family of kinases that functions to regulate both actin-myosin-mediated cytokinesis and epigenetic gene silencing.,Yes ,, http://flybase.org/reports/FBgn0002466,ENSG00000122966,ENSMUSG00000029516,CIT,Cit
FBgn0002778,7227.FBpp0075379,mnd,True,True,2.00751391403493,0.209777881020911,0.635534155265615,1.9588732685745,0.465520657571259,0.563312307778491,protein_coding,62207,P{TRiP.HMC05214}attP40,Pending,,,,,,,,,,No,Encodes the putative amino acid/polyamine transporter involved in leucine import,No ,, http://flybase.org/reports/FBgn0002778,"ENSG00000151012,ENSG00000103064","ENSMUSG00000000958,ENSMUSG00000040010","SLC7A11,SLC7A6","Slc7a7,Slc7a5"
FBgn0002783,7227.FBpp0082692,mor,True,True,5.4397950381183495,-1.12900456230747,3.23901815175862e-12,4.424237634126451,0.0813835762792805,0.874108534365049,protein_coding,35630,P{TRiP.GL00477}attP40,Ordered,,,,,,,,,,No,Encodes a member of the trithorax group of homeotic gene regulators and its product is a chromatin remodeling protein.,Yes ,, http://flybase.org/reports/FBgn0002783,ENSG00000139613,ENSMUSG00000025369,SMARCC2,Smarcc2
FBgn0002899,7227.FBpp0076412,mus301,True,True,3.97536311369758,-0.5898829505676889,0.0152713169816611,3.2851740629557997,0.0151991130979592,0.9851933431172221,protein_coding,v28072,P{GD12336}v28072,Pending,,,,,,,,,,No,"Member of the Mus308 subfamily of ATP-dependent helicases. It is involved in the repair of double-strand DNA breaks during recombination and in somatic cells, and in chromosome segregation.",Yes ,,http://flybase.org/reports/FBgn0002899,ENSG00000051341,"ENSMUSG00000035266,ENSMUSG00000034206",POLQ,"Helq,Polq"
FBgn0002905,7227.FBpp0082131,mus308,True,True,5.2034207663880006,-1.9765060603409197,3.7364002973760894e-32,3.20119092011071,-0.750947299476809,0.0958299297698062,protein_coding,58238,P{TRiP.HMJ22259}attP40,Pending,,,,,,,,,,Yes. Reported male sterility (https://flybase.org/reports/FBal0012660#phenotypic_data_sub),DNA-directed DNA polymerase and Adenosinetriphosphatase (contributes to repair/tolerance of DNA interstrand crosslinks and alternative-end joining repair of DNA double-strand breaks).,No ,, http://flybase.org/reports/FBgn0002905,ENSG00000051341,"ENSMUSG00000035266,ENSMUSG00000034206",POLQ,"Helq,Polq"
FBgn0002906,7227.FBpp0081910,Blm,True,True,7.0379930821837124,0.0315615024918156,0.7914708763794459,6.386165081845619,-0.69817173359242,4.86797073364175e-05,protein_coding,,,,,,,,,,,,,,,,,,ENSG00000197299,ENSMUSG00000030528,BLM,Blm
FBgn0002914,7227.FBpp0089402,Myb,True,True,7.44069181741509,0.6481268085829929,1.4150311159408999e-09,7.40835938571923,0.086393009048955,0.702214892547524,protein_coding,v37710,P{GD4472}v37710,Pending,,,,,,,,,,No,Transcription factor that activates the transcription of genes involved in the G2/M phases of the cell cycle. ,Yes ,Mouse infertility. Meiotic defects (https://dev.biologists.org/content/138/15/3319),http://flybase.org/reports/FBgn0002914,ENSG00000185697,ENSMUSG00000025912,MYBL1,Mybl1
FBgn0002973,7227.FBpp0303726,numb,True,True,6.861873719604089,0.580947353011986,4.0398082848872e-08,6.78978982008446,0.0620004622805543,0.8232361726377719,protein_coding,35045,P{TRiP.HMS01459}attP2,Ordered,,,,,,,,,,Yes. Increased number of early germ cells (https://www.genetics.org/content/167/2/707#T1),Membrane-associated inhibitor of Notch signaling. It controls neuroblast and sense organ precursor asymmetric division.,Yes ,, http://flybase.org/reports/FBgn0002973,ENSG00000133961,ENSMUSG00000021224,NUMB,Numb
FBgn0002989,7227.FBpp0077357,okr,True,True,3.69970110984165,-2.4930206152932595,3.76681024710243e-20,1.4965208801668501,-0.161269537372257,0.8837086979021841,protein_coding,33707,P{TRiP.HMS00585}attP2,Ordered,,,,,,,,,,No,Helicase involved in homologous DNA repair. It functions in meiotic recombination.,No ,, http://flybase.org/reports/FBgn0002989,ENSG00000085999,"ENSMUSG00000078773,ENSMUSG00000028702",RAD54L,"Rad54b,Rad54l"
